,PEG
2020-12-10,49.412445068359375
2020-12-11,49.30769348144531
2020-12-14,49.2640380859375
2020-12-15,50.46879196166992
2020-12-16,49.89261245727539
2020-12-17,49.92752456665039
2020-12-18,49.60450744628906
2020-12-21,49.29896926879883
2020-12-22,49.22911834716797
2020-12-23,49.351341247558594
2020-12-24,49.89261245727539
2020-12-28,50.04102325439453
2020-12-29,49.831504821777344
2020-12-30,50.07594680786133
2020-12-31,50.89657211303711
2021-01-04,48.652923583984375
2021-01-05,48.66166305541992
2021-01-06,49.68308639526367
2021-01-07,48.97594451904297
2021-01-08,50.032283782958984
2021-01-11,49.74419403076172
2021-01-12,50.06721496582031
2021-01-13,51.22831726074219
2021-01-14,50.44260787963867
2021-01-15,51.839420318603516
2021-01-19,50.791812896728516
2021-01-20,51.73466873168945
2021-01-21,50.940216064453125
2021-01-22,50.948951721191406
2021-01-25,51.088626861572266
2021-01-26,50.922760009765625
2021-01-27,49.20292282104492
2021-01-28,49.8053092956543
2021-01-29,49.2640380859375
2021-02-01,49.89261245727539
2021-02-02,50.940216064453125
2021-02-03,50.72197341918945
2021-02-04,51.12355422973633
2021-02-05,51.787044525146484
2021-02-08,51.3418083190918
2021-02-09,51.271968841552734
2021-02-10,51.37672424316406
2021-02-11,51.132286071777344
2021-02-12,50.87037658691406
2021-02-16,50.591026306152344
2021-02-17,50.64339828491211
2021-02-18,51.071170806884766
2021-02-19,50.41641616821289
2021-02-22,49.84023666381836
2021-02-23,50.433876037597656
2021-02-24,48.93229675292969
2021-02-25,48.80134201049805
2021-02-26,46.994205474853516
2021-03-01,48.09420394897461
2021-03-02,47.67515563964844
2021-03-03,47.360877990722656
2021-03-04,47.71881866455078
2021-03-05,49.115623474121094
2021-03-08,50.30497360229492
2021-03-09,50.683799743652344
2021-03-10,50.868812561035156
2021-03-11,50.02305221557617
2021-03-12,50.82476806640625
2021-03-15,51.441463470458984
2021-03-16,51.59122848510742
2021-03-17,51.529563903808594
2021-03-18,51.60004425048828
2021-03-19,51.89958190917969
2021-03-22,50.99216079711914
2021-03-23,51.37979507446289
2021-03-24,51.72337341308594
2021-03-25,52.34888458251953
2021-03-26,52.24317169189453
2021-03-29,53.04487609863281
2021-03-30,52.69247817993164
2021-03-31,53.04487609863281
2021-04-01,52.569129943847656
2021-04-05,53.44132995605469
2021-04-06,53.67038345336914
2021-04-07,53.9434928894043
2021-04-08,54.005165100097656
2021-04-09,53.961124420166016
2021-04-12,53.99635314941406
2021-04-13,54.983070373535156
2021-04-14,55.34428405761719
2021-04-15,54.97426223754883
2021-04-16,55.81120300292969
2021-04-19,55.92573547363281
2021-04-20,56.075504302978516
2021-04-21,55.98740005493164
2021-04-22,55.43238067626953
2021-04-23,55.45000076293945
2021-04-26,54.76282501220703
2021-04-27,54.7099609375
2021-04-28,54.97426223754883
2021-04-29,55.582149505615234
2021-04-30,55.64381408691406
2021-05-03,56.075504302978516
2021-05-04,55.67024612426758
2021-05-05,54.013973236083984
2021-05-06,55.12403106689453
2021-05-07,55.635013580322266
2021-05-10,55.749549865722656
2021-05-11,54.84210968017578
2021-05-12,53.4765625
2021-05-13,54.75401306152344
2021-05-14,55.079978942871094
2021-05-17,54.877357482910156
2021-05-18,54.71876525878906
2021-05-19,54.604248046875
2021-05-20,55.13284683227539
2021-05-21,55.52048110961914
2021-05-24,55.908119201660156
2021-05-25,54.78925323486328
2021-05-26,54.886165618896484
2021-05-27,54.648292541503906
2021-05-28,54.72759246826172
2021-06-01,54.648292541503906
2021-06-02,54.331138610839844
2021-06-03,54.366371154785156
2021-06-04,53.978736877441406
2021-06-07,54.076454162597656
2021-06-08,54.20082473754883
2021-06-09,54.30744552612305
2021-06-10,54.75163650512695
2021-06-11,54.90265655517578
2021-06-14,54.93819808959961
2021-06-15,55.39128494262695
2021-06-16,54.396278381347656
2021-06-17,54.369632720947266
2021-06-18,52.71722412109375
2021-06-21,53.35685348510742
2021-06-22,52.965965270996094
2021-06-23,52.583961486816406
2021-06-24,52.74386978149414
2021-06-25,53.17918014526367
2021-06-28,53.51677322387695
2021-06-29,52.85047912597656
2021-06-30,53.072574615478516
2021-07-01,53.51677322387695
2021-07-02,53.392391204833984
2021-07-06,53.570068359375
2021-07-07,54.05869674682617
2021-07-08,53.78328323364258
2021-07-09,53.73887252807617
2021-07-12,53.9254264831543
2021-07-13,53.15253448486328
2021-07-14,53.650028228759766
2021-07-15,54.36074447631836
2021-07-16,54.84935760498047
2021-07-19,53.47234344482422
2021-07-20,53.898780822753906
2021-07-21,53.34797668457031
2021-07-22,53.490116119384766
2021-07-23,54.38739013671875
2021-07-26,54.680564880371094
2021-07-27,55.835472106933594
2021-07-28,55.5245361328125
2021-07-29,56.03091812133789
2021-07-30,55.28466033935547
2021-08-02,55.844356536865234
2021-08-03,56.421810150146484
2021-08-04,56.20859909057617
2021-08-05,56.768287658691406
2021-08-06,56.732749938964844
2021-08-09,56.70609664916992
2021-08-10,55.8798942565918
2021-08-11,56.43958282470703
2021-08-12,56.72386932373047
2021-08-13,57.49676513671875
2021-08-16,57.585609436035156
2021-08-17,57.505653381347656
2021-08-18,56.857120513916016
2021-08-19,57.08810043334961
2021-08-20,57.70109176635742
2021-08-23,57.159175872802734
2021-08-24,56.688331604003906
2021-08-25,56.95484924316406
2021-08-26,56.67055892944336
2021-08-27,57.008148193359375
2021-08-30,57.070335388183594
2021-08-31,56.80382537841797
2021-09-01,57.49676513671875
2021-09-02,57.46123504638672
2021-09-03,56.98149871826172
2021-09-07,56.39942169189453
2021-09-08,57.40239715576172
2021-09-09,56.703895568847656
2021-09-10,55.64719009399414
2021-09-13,55.808380126953125
2021-09-14,56.03225326538086
2021-09-15,56.23822784423828
2021-09-16,56.06808853149414
2021-09-17,55.44122314453125
2021-09-20,55.584503173828125
2021-09-21,55.2531623840332
2021-09-22,54.64421844482422
2021-09-23,54.34869384765625
2021-09-24,54.357643127441406
2021-09-27,54.81435775756836
2021-09-28,54.05317306518555
2021-09-29,54.859134674072266
2021-09-30,54.536746978759766
2021-10-01,54.14272689819336
2021-10-04,54.76063537597656
2021-10-05,54.491981506347656
2021-10-06,54.58152389526367
2021-10-07,54.14272689819336
2021-10-08,53.63228225708008
2021-10-11,53.08601760864258
2021-10-12,53.211387634277344
2021-10-13,53.88302993774414
2021-10-14,54.993465423583984
2021-10-15,55.62031173706055
2021-10-18,55.280029296875
2021-10-19,55.9247932434082
2021-10-20,56.77553939819336
2021-10-21,56.497920989990234
2021-10-22,57.1695556640625
2021-10-25,57.25016403198242
2021-10-26,57.85910415649414
2021-10-27,57.294925689697266
2021-10-28,57.608367919921875
2021-10-29,57.13373565673828
2021-11-01,57.635223388671875
2021-11-02,57.294925689697266
2021-11-03,56.74866485595703
2021-11-04,57.02627944946289
2021-11-05,57.48299026489258
2021-11-08,55.674049377441406
2021-11-09,55.665103912353516
2021-11-10,56.166587829589844
2021-11-11,55.691959381103516
2021-11-12,55.674049377441406
2021-11-15,56.721805572509766
2021-11-16,56.166587829589844
2021-11-17,55.93375015258789
2021-11-18,55.88002014160156
2021-11-19,56.480010986328125
2021-11-22,56.81135559082031
2021-11-23,57.491943359375
2021-11-24,57.84119415283203
2021-11-26,56.990455627441406
2021-11-29,57.53671646118164
2021-11-30,55.96061706542969
2021-12-01,55.91584777832031
2021-12-02,56.56956481933594
2021-12-03,56.820308685302734
2021-12-06,57.05315017700195
2021-12-07,57.86806106567383
2021-12-08,57.68753433227539
2021-12-09,57.534088134765625
2021-12-10,57.5882453918457
2021-12-13,58.84291076660156
2021-12-14,58.247169494628906
2021-12-15,59.16786193847656
2021-12-16,59.222015380859375
2021-12-17,57.85000228881836
2021-12-20,57.85000228881836
2021-12-21,58.048583984375
2021-12-22,58.31035232543945
2021-12-23,58.292301177978516
2021-12-27,58.725563049316406
2021-12-28,59.19493103027344
2021-12-29,59.546966552734375
2021-12-30,59.862892150878906
2021-12-31,60.23297882080078
2022-01-03,59.71847152709961
2022-01-04,59.56501388549805
2022-01-05,59.42060089111328
2022-01-06,59.474761962890625
2022-01-07,60.4766845703125
2022-01-10,59.80873489379883
2022-01-11,59.43864440917969
2022-01-12,59.61015319824219
2022-01-13,59.8448371887207
2022-01-14,58.897064208984375
2022-01-18,58.869991302490234
2022-01-19,59.16786193847656
2022-01-20,59.20396423339844
2022-01-21,59.06857681274414
2022-01-24,58.084686279296875
2022-01-25,58.418670654296875
2022-01-26,58.3915901184082
2022-01-27,59.0324592590332
2022-01-28,59.60112380981445
2022-01-31,60.05243682861328
2022-02-01,59.80873489379883
2022-02-02,60.72941589355469
2022-02-03,60.55791091918945
2022-02-04,60.1517219543457
2022-02-07,60.287132263183594
2022-02-08,60.702335357666016
2022-02-09,60.86481475830078
2022-02-10,59.43864440917969
2022-02-11,59.52891159057617
2022-02-14,58.46379470825195
2022-02-15,58.156898498535156
