,TFX
2019-06-07,297.68096923828125
2019-06-10,303.20989990234375
2019-06-11,301.8642272949219
2019-06-12,307.9293518066406
2019-06-13,313.00970458984375
2019-06-14,312.26861572265625
2019-06-17,317.42706298828125
2019-06-18,323.34588623046875
2019-06-19,325.3448486328125
2019-06-20,326.5051574707031
2019-06-21,326.39794921875
2019-06-24,324.5159606933594
2019-06-25,327.7630920410156
2019-06-26,318.8018493652344
2019-06-27,319.59173583984375
2019-06-28,322.90704345703125
2019-07-01,327.509521484375
2019-07-02,323.7261047363281
2019-07-03,325.0035095214844
2019-07-05,325.8323974609375
2019-07-08,324.44769287109375
2019-07-09,326.9927978515625
2019-07-10,323.6383056640625
2019-07-11,327.6167907714844
2019-07-12,325.9493713378906
2019-07-15,326.6221923828125
2019-07-16,323.267822265625
2019-07-17,325.6763610839844
2019-07-18,332.0048828125
2019-07-19,326.7099304199219
2019-07-22,330.7371520996094
2019-07-23,333.00921630859375
2019-07-24,337.46539306640625
2019-07-25,337.5043640136719
2019-07-26,338.51849365234375
2019-07-29,342.0289306640625
2019-07-30,338.4405212402344
2019-07-31,331.2832336425781
2019-08-01,352.5698547363281
2019-08-02,352.3552551269531
2019-08-05,341.8729248046875
2019-08-06,353.6619567871094
2019-08-07,348.9034118652344
2019-08-08,357.26007080078125
2019-08-09,362.3990173339844
2019-08-12,356.6068420410156
2019-08-13,361.3848571777344
2019-08-14,356.2510681152344
2019-08-15,359.6181945800781
2019-08-16,360.9358825683594
2019-08-19,360.9651184082031
2019-08-20,359.0325927734375
2019-08-21,358.9545593261719
2019-08-22,357.37347412109375
2019-08-23,349.3506774902344
2019-08-26,351.5759582519531
2019-08-27,351.35150146484375
2019-08-28,351.00018310546875
2019-08-29,354.630859375
2019-08-30,355.18719482421875
2019-09-03,352.4543762207031
2019-09-04,347.2425537109375
2019-09-05,347.92572021484375
2019-09-06,347.6232604980469
2019-09-09,333.1392822265625
2019-09-10,330.7480163574219
2019-09-11,330.64068603515625
2019-09-12,329.6744384765625
2019-09-13,323.2034912109375
2019-09-16,321.23211669921875
2019-09-17,330.5137939453125
2019-09-18,332.6512145996094
2019-09-19,333.5003662109375
2019-09-20,335.5500183105469
2019-09-23,339.4150695800781
2019-09-24,335.3841247558594
2019-09-25,334.51544189453125
2019-09-26,331.8412170410156
2019-09-27,327.5663146972656
2019-09-30,331.5972595214844
2019-10-01,323.57452392578125
2019-10-02,317.4939270019531
2019-10-03,324.4137878417969
2019-10-04,322.15924072265625
2019-10-07,320.55865478515625
2019-10-08,309.14910888671875
2019-10-09,310.5935974121094
2019-10-10,309.49066162109375
2019-10-11,314.36083984375
2019-10-14,316.9473876953125
2019-10-15,320.6658630371094
2019-10-16,315.5321960449219
2019-10-17,320.168212890625
2019-10-18,320.4317321777344
2019-10-21,322.4619140625
2019-10-22,314.68310546875
2019-10-23,313.9510803222656
2019-10-24,312.96527099609375
2019-10-25,314.156005859375
2019-10-28,319.4849548339844
2019-10-29,320.5293273925781
2019-10-30,321.9250183105469
2019-10-31,339.0733947753906
2019-11-01,337.69720458984375
2019-11-04,340.27386474609375
2019-11-05,328.15191650390625
2019-11-06,326.9123840332031
2019-11-07,327.48828125
2019-11-08,323.23291015625
2019-11-11,319.0458068847656
2019-11-12,323.9745788574219
2019-11-13,327.9566955566406
2019-11-14,334.50250244140625
2019-11-15,338.90875244140625
2019-11-18,336.7496643066406
2019-11-19,345.6891174316406
2019-11-20,344.84893798828125
2019-11-21,342.90460205078125
2019-11-22,338.7817687988281
2019-11-25,340.34490966796875
2019-11-26,342.0547180175781
2019-11-27,345.4350891113281
2019-11-29,345.2104187011719
2019-12-02,343.5494384765625
2019-12-03,344.3506164550781
2019-12-04,345.4741516113281
2019-12-05,350.0172119140625
2019-12-06,359.5428466796875
2019-12-09,348.79595947265625
2019-12-10,345.77703857421875
2019-12-11,346.6171875
