,CBOE
2017-10-20,99.3998031616211
2017-10-23,100.03240966796875
2017-10-24,99.63475799560547
2017-10-25,99.16483306884766
2017-10-26,100.75540161132812
2017-10-27,101.17107391357422
2017-10-30,101.0897445678711
2017-10-31,102.17420196533203
2017-11-01,101.78560638427734
2017-11-02,104.44255065917969
2017-11-03,103.94550323486328
2017-11-06,103.42133331298828
2017-11-07,102.49954986572266
2017-11-08,102.49954986572266
2017-11-09,103.14118957519531
2017-11-10,103.43038177490234
2017-11-13,104.5961685180664
2017-11-14,105.37335205078125
2017-11-15,104.38829803466797
2017-11-16,104.84919738769531
2017-11-17,105.26490783691406
2017-11-20,107.75013732910156
2017-11-21,108.11162567138672
2017-11-22,107.85858154296875
2017-11-24,108.5634765625
2017-11-27,108.89786529541016
2017-11-28,110.90410614013672
2017-11-29,109.28645324707031
2017-11-30,112.04890441894531
2017-12-01,112.79328918457031
2017-12-04,111.75841522216797
2017-12-05,112.35755157470703
2017-12-06,112.03074645996094
2017-12-07,112.73882293701172
2017-12-08,113.71924591064453
2017-12-11,114.69964599609375
2017-12-12,115.8525390625
2017-12-13,114.6361083984375
2017-12-14,114.4364013671875
2017-12-15,114.71781158447266
2017-12-18,114.1912841796875
2017-12-19,113.15638732910156
2017-12-20,112.77513122558594
2017-12-21,113.13824462890625
2017-12-22,112.99298858642578
2017-12-26,112.60265350341797
2017-12-27,113.25626373291016
2017-12-28,113.33796691894531
2017-12-29,113.10193634033203
2018-01-02,111.43157958984375
2018-01-03,112.16692352294922
2018-01-04,112.60265350341797
2018-01-05,115.83440399169922
2018-01-08,117.58642578125
2018-01-09,118.73023223876953
2018-01-10,120.12826538085938
2018-01-11,120.0011978149414
2018-01-12,119.38387298583984
2018-01-16,118.73023223876953
2018-01-17,119.39292907714844
2018-01-18,120.65477752685547
2018-01-19,121.53531646728516
2018-01-22,122.15264892578125
2018-01-23,122.37957000732422
2018-01-24,123.06947326660156
2018-01-25,124.5129165649414
2018-01-26,124.38581848144531
2018-01-29,122.65189361572266
2018-01-30,120.99974060058594
2018-01-31,121.99830627441406
2018-02-01,123.96820068359375
2018-02-02,122.23433685302734
2018-02-05,118.49422454833984
2018-02-06,106.1573486328125
2018-02-07,104.00586700439453
2018-02-08,100.90119934082031
2018-02-09,97.23371887207031
2018-02-12,100.47452545166016
2018-02-13,101.8725357055664
2018-02-14,104.39617919921875
2018-02-15,106.62028503417969
2018-02-16,101.17352294921875
2018-02-20,100.5653305053711
2018-02-21,101.03734588623047
2018-02-22,99.82093048095703
2018-02-23,98.72248077392578
2018-02-26,101.06460571289062
2018-02-27,100.02973175048828
2018-02-28,101.6819076538086
2018-03-01,101.58370971679688
2018-03-02,104.9041748046875
2018-03-05,105.22343444824219
2018-03-06,107.79586029052734
2018-03-07,108.36143493652344
2018-03-08,109.3648681640625
2018-03-09,113.60665130615234
2018-03-12,112.94985961914062
2018-03-13,109.39225006103516
2018-03-14,108.81754302978516
2018-03-15,108.19722747802734
2018-03-16,108.75367736816406
2018-03-19,108.12425994873047
2018-03-20,109.3740005493164
2018-03-21,107.02960205078125
2018-03-22,102.73311614990234
2018-03-23,101.90299224853516
2018-03-26,104.53014373779297
2018-03-27,102.2222671508789
2018-03-28,102.0854263305664
2018-03-29,104.08316802978516
2018-04-02,102.60539245605469
2018-04-03,101.24620056152344
2018-04-04,101.4468765258789
2018-04-05,101.8026351928711
2018-04-06,99.74104309082031
2018-04-09,100.37049102783203
2018-04-10,100.59852600097656
2018-04-11,98.92918395996094
2018-04-12,100.0420913696289
2018-04-13,98.83795928955078
2018-04-16,99.25757598876953
2018-04-17,100.42520904541016
2018-04-18,99.73193359375
2018-04-19,100.233642578125
2018-04-20,100.48907470703125
2018-04-23,98.4639663696289
2018-04-24,96.28377532958984
2018-04-25,96.94055938720703
2018-04-26,97.48789978027344
2018-04-27,96.86760711669922
2018-04-30,97.4057846069336
2018-05-01,97.87102508544922
2018-05-02,97.41490936279297
2018-05-03,96.19256591796875
2018-05-04,93.49242401123047
2018-05-07,94.10358428955078
2018-05-08,93.38294219970703
2018-05-09,94.78775024414062
2018-05-10,96.15606689453125
2018-05-11,97.44230651855469
2018-05-14,98.61902618408203
2018-05-15,98.61902618408203
2018-05-16,98.92918395996094
2018-05-17,98.8653335571289
2018-05-18,97.20511627197266
2018-05-21,97.14125061035156
2018-05-22,95.2712173461914
2018-05-23,94.7238998413086
2018-05-24,93.75697326660156
2018-05-25,94.03974151611328
2018-05-29,93.03631591796875
2018-05-30,90.32705688476562
2018-05-31,89.48468017578125
2018-06-01,90.27349853515625
2018-06-04,89.95246124267578
2018-06-05,91.08065032958984
2018-06-06,92.01622772216797
2018-06-07,94.39185333251953
2018-06-08,95.34577941894531
2018-06-11,96.23546600341797
2018-06-12,96.85919189453125
2018-06-13,95.8502426147461
2018-06-14,95.21736145019531
2018-06-15,94.30928039550781
2018-06-18,94.9697265625
