,VST
2019-08-23,20.865219116210938
2019-08-26,21.10884666442871
2019-08-27,20.873918533325195
2019-08-28,20.917421340942383
2019-08-29,21.23065948486328
2019-08-30,21.70922088623047
2019-09-03,21.813636779785156
2019-09-04,21.944149017333984
2019-09-05,22.344396591186523
2019-09-06,22.21388053894043
2019-09-09,22.23128318786621
2019-09-10,22.292192459106445
2019-09-11,22.596729278564453
2019-09-12,22.857765197753903
2019-09-13,22.949565887451172
2019-09-16,23.220582962036133
2019-09-17,23.308008193969727
2019-09-18,23.386699676513672
2019-09-19,23.325498580932617
2019-09-20,23.727663040161133
2019-09-23,23.570293426513672
2019-09-24,23.58778190612793
2019-09-25,23.73640251159668
2019-09-26,23.500356674194336
2019-09-27,23.377952575683594
2019-09-30,23.369213104248047
2019-10-01,23.168127059936523
2019-10-02,22.83591079711914
2019-10-03,22.932079315185547
2019-10-04,23.544069290161133
2019-10-07,23.605262756347656
2019-10-08,23.727663040161133
2019-10-09,23.66646385192871
2019-10-10,23.535322189331055
2019-10-11,23.68394660949707
2019-10-14,23.57903289794922
2019-10-15,23.51783561706543
2019-10-16,23.308008193969727
2019-10-17,23.46537971496582
2019-10-18,23.421667098999023
2019-10-21,23.648975372314453
2019-10-22,23.692691802978516
2019-10-23,23.640233993530273
2019-10-24,23.596521377563477
2019-10-25,23.692691802978516
2019-10-28,23.596521377563477
2019-10-29,23.63149642944336
2019-10-30,23.823827743530273
2019-10-31,23.63149642944336
2019-11-01,23.75389289855957
2019-11-04,23.92874526977539
2019-11-05,23.045732498168945
2019-11-06,22.51242446899414
2019-11-07,22.914588928222656
2019-11-08,22.73099708557129
2019-11-11,22.80967903137207
2019-11-12,22.99327850341797
2019-11-13,22.73099708557129
2019-11-14,23.028249740600582
2019-11-15,22.90584945678711
2019-11-18,23.325498580932617
2019-11-19,23.11567497253418
2019-11-20,23.334243774414062
2019-11-21,23.11567497253418
2019-11-22,23.194360733032227
2019-11-25,22.9670467376709
2019-11-26,22.879619598388672
2019-11-27,23.150644302368164
2019-11-29,23.194360733032227
2019-12-02,23.133153915405273
2019-12-03,23.089447021484375
2019-12-04,21.95289421081543
2019-12-05,21.375879287719727
2019-12-06,21.06114387512207
2019-12-09,20.69394874572754
2019-12-10,20.842578887939453
2019-12-11,20.89502716064453
2019-12-12,21.026166915893555
2019-12-13,20.83722496032715
2019-12-16,21.303007125854492
2019-12-17,21.03935813903809
2019-12-18,20.986621856689453
2019-12-19,21.294218063354492
2019-12-20,21.10087203979492
2019-12-23,20.78449249267578
2019-12-24,20.643877029418945
2019-12-26,20.23961639404297
2019-12-27,20.0550537109375
2019-12-30,20.0550537109375
2019-12-31,20.204458236694336
2020-01-02,20.072633743286133
2020-01-03,20.28355598449707
2020-01-06,19.940805435180664
2020-01-07,20.063844680786133
2020-01-08,20.327495574951172
2020-01-09,20.09021377563477
2020-01-10,20.002328872680664
2020-01-13,19.800193786621097
2020-01-14,19.92323112487793
2020-01-15,19.97595977783203
2020-01-16,20.38901138305664
2020-01-17,20.16051483154297
2020-01-21,19.95838165283203
2020-01-22,19.98474884033203
2020-01-23,20.178091049194336
2020-01-24,19.483808517456055
2020-01-27,19.02681541442871
2020-01-28,18.93014907836914
2020-01-29,19.44866180419922
2020-01-30,19.694732666015625
2020-01-31,19.791406631469727
2020-02-03,19.83534812927246
2020-02-04,19.369564056396484
2020-02-05,19.272891998291016
2020-02-06,19.088333129882812
2020-02-07,19.598060607910156
2020-02-10,19.571699142456055
2020-02-11,20.19567108154297
2020-02-12,20.1517276763916
2020-02-13,20.27476501464844
2020-02-14,20.468111038208008
2020-02-18,20.52962875366211
2020-02-19,19.940805435180664
2020-02-20,20.13415145874023
2020-02-21,20.591144561767575
2020-02-24,20.19567108154297
2020-02-25,19.45744514465332
2020-02-26,19.053178787231445
2020-02-27,18.095251083374023
2020-02-28,16.90003204345703
2020-03-02,17.69977378845215
2020-03-03,17.796443939208984
2020-03-04,18.499509811401367
2020-03-05,18.13919258117676
2020-03-06,18.04252052307129
2020-03-09,16.19696617126465
2020-03-10,16.9967041015625
2020-03-11,15.63450527191162
2020-03-12,12.787075996398926
2020-03-13,13.61318016052246
2020-03-16,12.137052536010742
2020-03-17,11.427803993225098
2020-03-18,11.170702934265137
2020-03-19,12.606932640075684
2020-03-20,12.482813835144045
2020-03-23,11.454401016235352
2020-03-24,12.952692985534668
2020-03-25,13.023616790771484
2020-03-26,13.9988374710083
2020-03-27,14.53077793121338
2020-03-30,14.238208770751951
2020-03-31,14.14955234527588
2020-04-01,13.591018676757812
2020-04-02,14.167283058166504
2020-04-03,14.034297943115234
2020-04-06,14.202746391296388
2020-04-07,14.450984001159668
2020-04-08,15.479399681091309
2020-04-09,15.771971702575684
2020-04-13,15.195696830749512
2020-04-14,15.443936347961426
2020-04-15,14.353464126586914
2020-04-16,14.273672103881836
2020-04-17,15.550326347351074
2020-04-20,14.9740571975708
2020-04-21,15.089309692382812
2020-04-22,15.6389799118042
2020-04-23,15.51485824584961
2020-04-24,15.993605613708496
2020-04-27,16.800378799438477
2020-04-28,17.030885696411133
2020-04-29,17.50963020324707
2020-04-30,17.32345199584961
2020-05-01,17.15500259399414
2020-05-04,16.81810760498047
2020-05-05,16.596466064453125
2020-05-06,16.162052154541016
2020-05-07,15.913814544677734
2020-05-08,16.75604820251465
2020-05-11,16.241840362548828
2020-05-12,16.046798706054688
2020-05-13,15.798561096191406
2020-05-14,16.587602615356445
2020-05-15,16.463485717773438
2020-05-18,17.660343170166016
2020-05-19,17.314584732055664
2020-05-20,17.72240447998047
2020-05-21,17.376644134521484
2020-05-22,17.562822341918945
2020-05-26,17.483030319213867
2020-05-27,17.837661743164062
2020-05-28,18.449384689331055
2020-05-29,18.121356964111328
2020-06-01,18.564640045166016
2020-06-02,18.289804458618164
2020-06-03,18.449384689331055
2020-06-04,17.979507446289062
2020-06-05,18.50257682800293
2020-06-08,19.504396438598633
2020-06-09,18.7685489654541
2020-06-10,18.812877655029297
2020-06-11,17.50963020324707
2020-06-12,17.90858268737793
2020-06-15,17.73453712463379
2020-06-16,18.28790283203125
2020-06-17,18.10047149658203
2020-06-18,18.109403610229492
2020-06-19,17.698835372924805
2020-06-22,17.538185119628906
2020-06-23,16.859859466552734
2020-06-24,16.60995101928711
2020-06-25,16.842008590698242
2020-06-26,16.181535720825195
2020-06-29,16.725980758666992
2020-06-30,16.618881225585938
2020-07-01,17.082992553710938
2020-07-02,16.993743896484375
2020-07-06,17.207944869995117
2020-07-07,16.940189361572266
2020-07-08,17.457855224609375
2020-07-09,16.958038330078125
2020-07-10,16.842008590698242
2020-07-13,17.056215286254883
2020-07-14,17.127626419067383
2020-07-15,17.225793838500977
2020-07-16,17.31505012512207
2020-07-17,17.51140594482422
2020-07-20,17.047292709350586
2020-07-21,17.1722469329834
2020-07-22,17.422149658203125
2020-07-23,17.10084342956543
2020-07-24,16.850933074951172
2020-07-27,16.244014739990234
2020-07-28,16.458223342895508
2020-07-29,16.842008590698242
2020-07-30,16.7795352935791
2020-07-31,16.65458106994629
2020-08-03,16.743831634521484
2020-08-04,16.743831634521484
2020-08-05,16.29756736755371
2020-08-06,16.806306838989258
2020-08-07,16.868785858154297
2020-08-10,17.136545181274414
2020-08-11,16.859859466552734
2020-08-12,17.261499404907227
2020-08-13,17.056215286254883
2020-08-14,17.00266456604004
2020-08-17,17.27042579650879
2020-08-18,17.975522994995117
2020-08-19,17.60958480834961
2020-08-20,17.31505012512207
2020-08-21,17.047292709350586
2020-08-24,17.225793838500977
2020-08-25,17.082992553710938
2020-08-26,16.743831634521484
2020-08-27,17.047292709350586
2020-08-28,17.225793838500977
2020-08-31,17.163318634033203
2020-09-01,16.743831634521484
2020-09-02,17.21687126159668
2020-09-03,16.734905242919922
2020-09-04,16.270793914794922
2020-09-08,15.931631088256836
2020-09-09,16.440372467041016
2020-09-10,16.14583969116211
2020-09-11,16.520700454711914
2020-09-14,16.842008590698242
2020-09-15,16.558837890625
2020-09-16,16.72964096069336
2020-09-17,16.4329891204834
2020-09-18,16.280160903930664
2020-09-21,16.082393646240234
2020-09-22,16.01946449279785
2020-09-23,16.14531707763672
2020-09-24,16.172286987304688
2020-09-25,16.190263748168945
2020-09-28,16.15430450439453
2020-09-29,16.657726287841797
2020-09-30,16.95438003540039
2020-10-01,16.082393646240234
2020-10-02,16.172286987304688
2020-10-05,16.01047134399414
2020-10-06,16.13632583618164
2020-10-07,16.028453826904297
2020-10-08,16.4329891204834
2020-10-09,16.172286987304688
2020-10-12,16.1812744140625
2020-10-13,16.20824432373047
2020-10-14,16.864486694335938
2020-10-15,16.85549545288086
2020-10-16,17.098217010498047
2020-10-19,16.9094295501709
2020-10-20,17.035287857055664
2020-10-21,17.02629852294922
2020-10-22,17.134170532226562
2020-10-23,17.331939697265625
2020-10-26,17.161144256591797
2020-10-27,16.576818466186523
2020-10-28,15.596946716308594
2020-10-29,15.58796501159668
2020-10-30,15.614933013916016
2020-11-02,15.94754695892334
2020-11-03,16.531871795654297
2020-11-04,16.486921310424805
2020-11-05,16.62176513671875
2020-11-06,16.41500473022461
2020-11-09,16.999330520629883
2020-11-10,18.141008377075195
2020-11-11,17.655569076538086
2020-11-12,17.107206344604492
2020-11-13,17.73647689819336
2020-11-16,17.799402236938477
2020-11-17,17.376893997192383
2020-11-18,16.738630294799805
2020-11-19,16.657726287841797
2020-11-20,16.361066818237305
2020-11-23,16.69368553161621
2020-11-24,17.412853240966797
2020-11-25,17.502742767333984
2020-11-27,17.61062240600586
2020-11-30,16.792570114135742
2020-12-01,16.882465362548828
2020-12-02,16.963367462158203
2020-12-03,16.873472213745117
2020-12-04,17.215084075927734
2020-12-07,17.05326271057129
2020-12-08,17.035287857055664
2020-12-09,17.089221954345703
2020-12-10,16.91842269897461
2020-12-11,16.4329891204834
2020-12-14,16.307126998901367
2020-12-15,16.719221115112305
2020-12-16,16.375059127807617
2020-12-17,16.23920249938965
2020-12-18,15.985605239868164
2020-12-21,15.904092788696287
2020-12-22,16.420339584350586
2020-12-23,16.7282772064209
2020-12-24,16.945646286010742
2020-12-28,17.316986083984375
2020-12-29,17.117727279663086
2020-12-30,17.652095794677734
2020-12-31,17.80606460571289
2021-01-04,17.371326446533203
2021-01-05,17.950977325439453
2021-01-06,18.37665557861328
2021-01-07,18.27702522277832
2021-01-08,19.010643005371097
2021-01-11,19.173667907714844
2021-01-12,19.526891708374023
2021-01-13,19.7442626953125
2021-01-14,19.318584442138672
2021-01-15,19.481609344482425
2021-01-19,19.66274642944336
2021-01-20,19.40009880065918
2021-01-21,19.191783905029297
2021-01-22,19.327640533447266
2021-01-25,18.883848190307617
2021-01-26,18.838565826416016
2021-01-27,18.27702522277832
2021-01-28,18.27702522277832
2021-01-29,18.086828231811523
2021-02-01,18.44911193847656
2021-02-02,18.856672286987305
2021-02-03,19.291412353515625
2021-02-04,19.10121726989746
2021-02-05,19.064987182617188
2021-02-08,19.055927276611328
2021-02-09,19.318584442138672
2021-02-10,19.42726707458496
2021-02-11,19.490663528442383
2021-02-12,19.318584442138672
2021-02-16,19.84388732910156
2021-02-17,19.93446159362793
2021-02-18,20.966960906982425
2021-02-19,20.749589920043945
2021-02-22,20.876380920410156
2021-02-23,21.175270080566406
2021-02-24,21.58283233642578
2021-02-25,20.613733291625977
2021-02-26,15.62332534790039
2021-03-01,15.768240928649902
2021-03-02,15.12519073486328
2021-03-03,14.88064956665039
2021-03-04,15.840696334838867
2021-03-05,16.139575958251953
2021-03-08,17.09961700439453
2021-03-09,16.891305923461914
2021-03-10,17.67926597595215
2021-03-11,17.036216735839844
2021-03-12,16.664880752563477
2021-03-15,16.836963653564453
2021-03-16,16.544784545898438
2021-03-17,15.786935806274414
2021-03-18,15.330405235290527
2021-03-19,15.796065330505373
2021-03-22,15.248229026794434
2021-03-23,15.248229026794434
2021-03-24,15.357795715332031
2021-03-25,15.567801475524902
2021-03-26,15.403450012207031
2021-03-29,16.08824920654297
2021-03-30,16.26173210144043
2021-03-31,16.143037796020508
2021-04-01,16.179555892944336
2021-04-05,16.143037796020508
2021-04-06,16.325645446777344
2021-04-07,16.152164459228516
2021-04-08,16.06998634338379
2021-04-09,15.978682518005373
2021-04-12,15.668237686157228
2021-04-13,16.02433204650879
2021-04-14,16.097379684448242
2021-04-15,16.362165451049805
2021-04-16,16.252595901489258
2021-04-19,16.30738639831543
2021-04-20,16.26173210144043
2021-04-21,16.216079711914062
2021-04-22,15.905633926391602
2021-04-23,15.969552040100098
2021-04-26,15.567801475524902
2021-04-27,15.376056671142578
2021-04-28,15.330405235290527
2021-04-29,15.576930046081545
2021-04-30,15.403450012207031
2021-05-03,15.339532852172852
2021-05-04,14.87386989593506
2021-05-05,14.846475601196287
2021-05-06,14.663864135742188
2021-05-07,14.65473175048828
2021-05-10,14.618209838867188
2021-05-11,14.910390853881836
2021-05-12,14.609079360961914
2021-05-13,14.663864135742188
2021-05-14,14.956047058105469
