,LOW
2015-08-03,58.24212646484375
2015-08-04,58.622459411621094
2015-08-05,59.112648010253906
2015-08-06,58.58020782470703
2015-08-07,58.766143798828125
2015-08-10,58.799949645996094
2015-08-11,58.67316436767578
2015-08-12,58.29282760620117
2015-08-13,60.18606185913086
2015-08-14,60.946739196777344
2015-08-17,61.25947952270508
2015-08-18,61.715843200683594
2015-08-19,62.85683822631836
2015-08-20,61.8510856628418
2015-08-21,60.101539611816406
2015-08-24,57.73500061035156
2015-08-25,56.61935043334961
2015-08-26,58.106876373291016
2015-08-27,58.36888885498047
2015-08-28,57.85332107543945
2015-08-31,58.461856842041016
2015-09-01,57.261688232421875
2015-09-02,58.35198974609375
2015-09-03,58.4026985168457
2015-09-04,57.303958892822266
2015-09-08,58.58020782470703
2015-09-09,57.56597137451172
2015-09-10,57.4138298034668
2015-09-11,58.005455017089844
2015-09-14,57.59976577758789
2015-09-15,58.6900634765625
2015-09-16,59.222530364990234
2015-09-17,59.56906509399414
2015-09-18,57.63359451293945
2015-09-21,58.825286865234375
2015-09-22,58.03926467895508
2015-09-23,58.08998489379883
2015-09-24,57.878684997558594
2015-09-25,58.05617904663086
2015-09-28,56.75457763671875
2015-09-29,56.43339538574219
2015-09-30,58.25056457519531
2015-10-01,58.98590087890625
2015-10-02,59.3577766418457
2015-10-05,60.659358978271484
2015-10-06,60.16914749145508
2015-10-07,60.676265716552734
2015-10-08,61.842628479003906
2015-10-09,61.97787857055664
2015-10-12,62.383544921875
2015-10-13,61.67361068725586
2015-10-14,60.8875732421875
2015-10-15,61.40313720703125
2015-10-16,61.513004302978516
2015-10-19,62.30207443237305
2015-10-20,61.80147171020508
2015-10-21,61.69966125488281
2015-10-22,62.29359817504883
2015-10-23,62.403865814208984
2015-10-26,62.92145919799805
2015-10-27,62.403865814208984
2015-10-28,62.80262756347656
2015-10-29,62.67538833618164
2015-10-30,62.641456604003906
2015-11-02,62.59056091308594
2015-11-03,62.7432861328125
2015-11-04,62.022071838378906
2015-11-05,62.42932891845703
2015-11-06,62.05601119995117
2015-11-09,61.10574722290039
2015-11-10,62.2257080078125
2015-11-11,61.19058609008789
2015-11-12,61.6911735534668
2015-11-13,59.46821975708008
2015-11-16,60.78331756591797
2015-11-17,61.8099479675293
2015-11-18,62.34451675415039
2015-11-19,62.26813888549805
2015-11-20,64.28744506835938
2015-11-23,65.05107879638672
2015-11-24,65.66195678710938
2015-11-25,65.84862518310547
2015-11-27,65.61951446533203
2015-11-30,64.99166870117188
2015-12-01,65.44136047363281
2015-12-02,64.73714447021484
2015-12-03,63.73594284057617
2015-12-04,65.12743377685547
2015-12-07,64.8644027709961
2015-12-08,65.47528076171875
2015-12-09,64.58443450927734
2015-12-10,64.62683868408203
2015-12-11,63.642608642578125
2015-12-14,64.1856460571289
2015-12-15,63.549312591552734
2015-12-16,64.59288024902344
2015-12-17,63.549312591552734
2015-12-18,62.692352294921875
2015-12-21,63.54081344604492
2015-12-22,63.76990509033203
2015-12-23,64.61836242675781
2015-12-24,64.72016906738281
2015-12-28,64.85590362548828
2015-12-29,65.44136047363281
2015-12-30,65.21227264404297
2015-12-31,64.51652526855469
2016-01-04,63.871726989746094
2016-01-05,64.00745391845703
2016-01-06,62.73479461669922
2016-01-07,61.14818572998047
2016-01-08,60.138511657714844
2016-01-11,61.66572570800781
2016-01-12,62.16631317138672
2016-01-13,59.30701446533203
2016-01-14,59.315513610839844
2016-01-15,58.77029037475586
2016-01-19,59.170684814453125
2016-01-20,57.98659896850586
2016-01-21,59.051414489746094
2016-01-22,60.056617736816406
2016-01-25,59.545501708984375
2016-01-26,59.63069534301758
2016-01-27,59.24736022949219
2016-01-28,58.97477340698242
2016-01-29,61.04478454589844
2016-02-01,61.896644592285156
2016-02-02,61.223690032958984
2016-02-03,57.43288040161133
2016-02-04,57.892879486083984
2016-02-05,56.08692932128906
2016-02-08,54.13615036010742
2016-02-09,54.64727020263672
2016-02-10,54.57060241699219
2016-02-11,54.00838088989258
2016-02-12,55.26061248779297
2016-02-16,57.441410064697266
2016-02-17,57.926963806152344
2016-02-18,57.68844985961914
2016-02-19,58.36994171142578
2016-02-22,59.17920684814453
2016-02-23,57.84177780151367
2016-02-24,58.45512390136719
2016-02-25,58.523258209228516
2016-02-26,58.8640251159668
2016-02-29,57.526588439941406
2016-03-01,58.812904357910156
2016-03-02,58.85551071166992
2016-03-03,59.571067810058594
2016-03-04,59.962921142578125
2016-03-07,60.28662109375
2016-03-08,60.47404098510742
2016-03-09,60.35479736328125
2016-03-10,60.22700881958008
2016-03-11,61.43666076660156
2016-03-14,61.97333908081055
2016-03-15,62.2714729309082
2016-03-16,62.850746154785156
2016-03-17,63.05519485473633
2016-03-18,63.83039474487305
2016-03-21,64.07743072509766
2016-03-22,64.10301208496094
2016-03-23,63.702613830566406
2016-03-24,63.6940803527832
2016-03-28,63.881507873535156
2016-03-29,64.46078491210938
2016-03-30,64.75894165039062
2016-03-31,64.52893829345703
2016-04-01,65.16785430908203
2016-04-04,64.89522552490234
2016-04-05,64.63117980957031
2016-04-06,64.81856536865234
2016-04-07,64.18817138671875
2016-04-08,63.91559600830078
2016-04-11,64.01780700683594
2016-04-12,64.51188659667969
2016-04-13,65.30414581298828
2016-04-14,65.16785430908203
2016-04-15,65.85786437988281
2016-04-18,66.13997650146484
2016-04-19,65.32775115966797
2016-04-20,65.2679214477539
2016-04-21,64.83187103271484
2016-04-22,65.01996612548828
2016-04-25,65.13967895507812
2016-04-26,65.25082397460938
2016-04-27,65.7808837890625
2016-04-28,64.45568084716797
2016-04-29,64.99432373046875
2016-05-02,65.09690856933594
2016-05-03,64.72930145263672
2016-05-04,64.83187103271484
2016-05-05,64.24197387695312
2016-05-06,64.58395385742188
2016-05-09,64.8404541015625
2016-05-10,65.82365417480469
2016-05-11,64.2333984375
2016-05-12,64.46424102783203
