,LIN
2020-06-15,190.79945373535156
2020-06-16,195.5309295654297
2020-06-17,194.77989196777344
2020-06-18,195.4182891845703
2020-06-19,195.31500244140625
2020-06-22,197.11744689941406
2020-06-23,199.37054443359375
2020-06-24,193.4562225341797
2020-06-25,196.33827209472656
2020-06-26,194.16030883789062
2020-06-29,198.34732055664062
2020-06-30,199.12644958496094
2020-07-01,201.62364196777344
2020-07-02,207.7163848876953
2020-07-06,210.89891052246094
2020-07-07,210.7862091064453
2020-07-08,207.96047973632812
2020-07-09,208.3641357421875
2020-07-10,212.11932373046875
2020-07-13,211.9972686767578
2020-07-14,218.8598175048828
2020-07-15,223.08438110351562
2020-07-16,224.26724243164062
2020-07-17,227.7501678466797
2020-07-20,225.60972595214844
2020-07-21,229.064453125
2020-07-22,230.32241821289062
2020-07-23,230.92323303222656
2020-07-24,229.1301727294922
2020-07-27,231.7493438720703
2020-07-28,228.78282165527344
2020-07-29,229.73101806640625
2020-07-30,227.20565795898438
2020-07-31,230.1065216064453
2020-08-03,229.35548400878906
2020-08-04,228.92361450195312
2020-08-05,233.07310485839844
2020-08-06,231.56163024902344
2020-08-07,230.29428100585938
2020-08-10,228.44483947753906
2020-08-11,229.86241149902344
2020-08-12,233.41104125976562
2020-08-13,233.9836883544922
2020-08-14,233.28900146484375
2020-08-17,233.22325134277344
2020-08-18,231.7681427001953
2020-08-19,232.10610961914062
2020-08-20,230.29428100585938
2020-08-21,229.3460693359375
2020-08-24,233.67391967773438
2020-08-25,234.7722930908203
2020-08-26,237.40089416503906
2020-08-27,235.57025146484375
2020-08-28,238.04869079589844
2020-08-31,234.453125
2020-09-01,241.21237182617188
2020-09-02,245.22006225585938
2020-09-03,236.00418090820312
2020-09-04,233.4127960205078
2020-09-08,229.03097534179688
2020-09-09,236.6637725830078
2020-09-10,233.0264434814453
2020-09-11,235.7403106689453
2020-09-14,236.75802612304688
2020-09-15,236.26797485351562
2020-09-16,234.4870147705078
2020-09-17,235.94761657714844
2020-09-18,231.9050750732422
2020-09-21,224.6868896484375
2020-09-22,224.48902893066406
2020-09-23,219.70201110839844
2020-09-24,220.97412109375
2020-09-25,219.32510375976562
2020-09-28,223.37709045410156
2020-09-29,222.79281616210938
2020-09-30,224.3948211669922
2020-10-01,219.27798461914062
2020-10-02,218.7596893310547
2020-10-05,221.53012084960938
2020-10-06,218.69375610351562
2020-10-07,225.16748046875
2020-10-08,224.03668212890625
2020-10-09,226.10040283203125
2020-10-12,226.40191650390625
2020-10-13,222.36880493164062
2020-10-14,221.31341552734375
2020-10-15,216.35679626464844
2020-10-16,219.6360626220703
2020-10-19,216.61119079589844
2020-10-20,219.78683471679688
2020-10-21,217.59121704101562
2020-10-22,219.7491455078125
2020-10-23,220.75743103027344
2020-10-26,214.83963012695312
2020-10-27,212.46498107910156
2020-10-28,204.3987579345703
2020-10-29,207.15972900390625
2020-10-30,207.63088989257812
2020-11-02,215.39561462402344
2020-11-03,220.5878143310547
2020-11-04,221.7185821533203
2020-11-05,235.3539581298828
2020-11-06,235.88168334960938
2020-11-09,242.78887939453125
2020-11-10,246.92567443847656
2020-11-11,244.64524841308594
2020-11-12,240.35769653320312
2020-11-13,242.2328643798828
2020-11-16,240.7252197265625
2020-11-17,237.59671020507812
2020-11-18,235.8628387451172
2020-11-19,238.47305297851562
2020-11-20,237.53074645996094
2020-11-23,237.59671020507812
2020-11-24,241.38482666015625
2020-11-25,238.72747802734375
2020-11-27,242.58152770996094
2020-11-30,241.62982177734375
2020-12-01,243.96681213378906
2020-12-02,237.40550231933594
2020-12-03,232.86546325683594
2020-12-04,237.0460662841797
2020-12-07,236.25157165527344
2020-12-08,235.7408447265625
2020-12-09,237.53793334960938
2020-12-10,237.35821533203125
2020-12-11,235.89215087890625
2020-12-14,234.18963623046875
2020-12-15,238.02972412109375
2020-12-16,236.5825958251953
2020-12-17,242.73057556152344
2020-12-18,243.71424865722656
2020-12-21,240.40379333496094
2020-12-22,239.73226928710938
2020-12-23,241.28341674804688
2020-12-24,242.7211151123047
2020-12-28,245.9369354248047
2020-12-29,245.36944580078125
2020-12-30,247.59217834472656
2020-12-31,249.23794555664062
2021-01-04,244.79251098632812
2021-01-05,248.63255310058594
2021-01-06,256.79522705078125
2021-01-07,256.0574035644531
2021-01-08,255.7547607421875
2021-01-11,253.04019165039062
2021-01-12,252.1795196533203
2021-01-13,253.22938537597656
2021-01-14,249.408203125
2021-01-15,244.11151123046875
2021-01-19,245.0100555419922
2021-01-20,243.45887756347656
2021-01-21,239.48634338378906
2021-01-22,237.8594512939453
2021-01-25,239.41065979003906
2021-01-26,241.99282836914062
2021-01-27,229.753662109375
2021-01-28,236.02456665039062
2021-01-29,232.10877990722656
2021-02-01,236.86634826660156
2021-02-02,238.5877685546875
2021-02-03,236.5825958251953
2021-02-04,235.6840362548828
2021-02-05,243.4304656982422
2021-02-08,243.40208435058594
2021-02-09,241.77529907226562
2021-02-10,239.03233337402344
2021-02-11,239.4011993408203
2021-02-12,238.99447631835938
2021-02-16,236.59207153320312
2021-02-17,235.77862548828125
2021-02-18,236.39344787597656
2021-02-19,237.2919921875
2021-02-22,237.47174072265625
2021-02-23,244.63172912597656
2021-02-24,240.81993103027344
2021-02-25,233.62213134765625
2021-02-26,231.04000854492188
2021-03-01,237.86895751953125
2021-03-02,240.25245666503906
2021-03-03,234.1423797607422
2021-03-04,233.12594604492188
2021-03-05,235.23472595214844
2021-03-08,240.97218322753906
2021-03-09,249.1983642578125
2021-03-10,252.33306884765625
2021-03-11,253.97640991210938
2021-03-12,255.04977416992188
2021-03-15,255.52467346191406
2021-03-16,257.2250671386719
2021-03-17,256.04718017578125
2021-03-18,254.47982788085938
2021-03-19,255.6387176513672
2021-03-22,256.8165283203125
2021-03-23,254.46083068847656
2021-03-24,256.2561340332031
2021-03-25,259.6853942871094
2021-03-26,267.3035888671875
2021-03-29,266.9236145019531
2021-03-30,265.27069091796875
2021-03-31,266.106689453125
2021-04-01,266.7716369628906
2021-04-05,271.1031799316406
2021-04-06,269.8777770996094
2021-04-07,267.25604248046875
2021-04-08,268.0635070800781
2021-04-09,270.5332336425781
2021-04-12,271.1316223144531
2021-04-13,271.9485778808594
2021-04-14,270.7706298828125
2021-04-15,273.5444641113281
2021-04-16,275.43475341796875
2021-04-19,274.0004577636719
2021-04-20,271.52117919921875
2021-04-21,277.3440856933594
2021-04-22,274.2379150390625
2021-04-23,276.9925537109375
2021-04-26,275.01678466796875
2021-04-27,275.6722106933594
2021-04-28,272.7560119628906
2021-04-29,274.8457946777344
2021-04-30,271.52117919921875
2021-05-03,274.2379150390625
2021-05-04,268.82342529296875
2021-05-05,277.0020751953125
2021-05-06,281.5521545410156
2021-05-07,283.95538330078125
2021-05-10,285.93121337890625
2021-05-11,283.6514587402344
2021-05-12,279.25341796875
2021-05-13,283.02447509765625
2021-05-14,286.0831604003906
2021-05-17,285.8077392578125
2021-05-18,283.0718994140625
2021-05-19,281.2387390136719
2021-05-20,283.19549560546875
2021-05-21,283.6134033203125
2021-05-24,286.17816162109375
2021-05-25,286.1591796875
2021-05-26,284.7532958984375
2021-05-27,285.7127990722656
2021-05-28,285.5417175292969
2021-06-01,287.1186218261719
2021-06-02,285.8603515625
2021-06-03,284.3731994628906
2021-06-04,285.8412780761719
2021-06-07,277.9482727050781
2021-06-08,278.8253479003906
2021-06-09,276.8997497558594
2021-06-10,276.75677490234375
2021-06-11,277.605224609375
2021-06-14,277.3096618652344
2021-06-15,277.3096618652344
2021-06-16,276.02276611328125
2021-06-17,273.8111877441406
2021-06-18,268.8352355957031
2021-06-21,274.8502502441406
2021-06-22,276.7758483886719
2021-06-23,271.4471740722656
2021-06-24,271.79986572265625
2021-06-25,271.7808532714844
2021-06-28,276.1466979980469
2021-06-29,276.794921875
2021-06-30,275.5842590332031
2021-07-01,277.2428894042969
2021-07-02,278.1199035644531
2021-07-06,275.0123291015625
2021-07-07,278.8539123535156
2021-07-08,273.57293701171875
2021-07-09,279.02557373046875
2021-07-12,278.8443603515625
2021-07-13,276.17529296875
2021-07-14,277.481201171875
