,GIS
2015-10-13,41.641082763671875
2015-10-14,41.27316665649414
2015-10-15,41.50124740600586
2015-10-16,41.89861297607422
2015-10-19,41.707305908203125
2015-10-20,41.6484260559082
2015-10-21,41.92805862426758
2015-10-22,43.58369064331055
2015-10-23,42.92142868041992
2015-10-26,42.906715393066406
2015-10-27,42.84049606323242
2015-10-28,42.76690673828125
2015-10-29,42.811058044433594
2015-10-30,42.75955581665039
2015-11-02,42.66389083862305
2015-11-03,42.17087936401367
2015-11-04,42.156166076660156
2015-11-05,42.39898681640625
2015-11-06,41.63372802734375
2015-11-09,41.52334976196289
2015-11-10,41.69257736206055
2015-11-11,42.038429260253906
2015-11-12,41.354103088378906
2015-11-13,41.06713104248047
2015-11-16,42.02371597290039
2015-11-17,41.346744537353516
2015-11-18,42.0678596496582
2015-11-19,41.87654495239258
2015-11-20,41.758811950683594
2015-11-23,42.538795471191406
2015-11-24,42.65653610229492
2015-11-25,42.85520935058594
2015-11-27,42.98030090332031
2015-11-30,42.502010345458984
2015-12-01,42.86991500854492
2015-12-02,42.52408981323242
2015-12-03,42.14144515991211
2015-12-04,43.06123733520508
2015-12-07,43.10539245605469
2015-12-08,43.42180633544922
2015-12-09,43.10539245605469
2015-12-10,43.252559661865234
2015-12-11,42.75218963623047
2015-12-14,42.995025634765625
2015-12-15,43.08331298828125
2015-12-16,43.55425262451172
2015-12-17,42.11201095581055
2015-12-18,41.89861297607422
2015-12-21,42.24446105957031
2015-12-22,42.98030090332031
2015-12-23,43.3555793762207
2015-12-24,43.20840072631836
2015-12-28,43.10539245605469
2015-12-29,43.32614517211914
2015-12-30,43.09067153930664
2015-12-31,42.42842483520508
2016-01-04,42.28125762939453
2016-01-05,42.089935302734375
2016-01-06,41.74407958984375
2016-01-07,40.869022369384766
2016-01-08,41.002506256103516
2016-01-11,41.4622917175293
2016-01-12,41.80342102050781
2016-01-13,41.00991439819336
2016-01-14,41.046993255615234
2016-01-15,40.594627380371094
2016-01-19,41.09891128540039
2016-01-20,40.461143493652344
2016-01-21,40.13483810424805
2016-01-22,41.03217315673828
2016-01-25,40.639129638671875
2016-01-26,40.88386154174805
2016-01-27,40.74293899536133
