,SO
2020-12-16,51.68989944458008
2020-12-17,52.23733139038086
2020-12-18,51.44184875488281
2020-12-21,51.322086334228516
2020-12-22,51.08259201049805
2020-12-23,50.79176712036133
2020-12-24,51.151023864746094
2020-12-28,51.313541412353516
2020-12-29,51.38197326660156
2020-12-30,51.843875885009766
2020-12-31,52.54528045654297
2021-01-04,50.774662017822266
2021-01-05,51.108253479003906
2021-01-06,52.35708999633789
2021-01-07,52.29721450805664
2021-01-08,52.6650276184082
2021-01-11,52.35708999633789
2021-01-12,50.31276321411133
2021-01-13,51.07403564453125
2021-01-14,50.500946044921875
2021-01-15,51.03126907348633
2021-01-19,52.228790283203125
2021-01-20,51.87808609008789
2021-01-21,51.219459533691406
2021-01-22,51.44184875488281
2021-01-25,52.19457244873047
2021-01-26,51.05692672729492
2021-01-27,50.07326126098633
2021-01-28,50.500946044921875
2021-01-29,50.39829635620117
2021-02-01,50.56081771850586
2021-02-02,51.01416015625
2021-02-03,50.85163879394531
2021-02-04,51.61292266845703
2021-02-05,52.0748176574707
2021-02-08,51.94651412963867
2021-02-09,51.869529724121094
2021-02-10,52.11758804321289
2021-02-11,52.42552185058594
2021-02-12,51.950103759765625
2021-02-16,51.258583068847656
2021-02-17,51.232662200927734
2021-02-18,51.73400115966797
2021-02-19,51.26723098754883
2021-02-22,51.24994659423828
2021-02-23,50.930110931396484
2021-02-24,50.46334457397461
2021-02-25,49.927425384521484
2021-02-26,49.02845001220703
2021-03-01,49.9447021484375
2021-03-02,49.98793029785156
2021-03-03,49.78047180175781
2021-03-04,49.624881744384766
2021-03-05,50.437416076660156
2021-03-08,51.52654266357422
2021-03-09,51.353668212890625
2021-03-10,51.67349624633789
2021-03-11,51.24129867553711
2021-03-12,51.72536087036133
2021-03-15,52.71076965332031
2021-03-16,52.944156646728516
2021-03-17,52.46874237060547
2021-03-18,52.20941925048828
2021-03-19,51.604347229003906
2021-03-22,51.595703125
2021-03-23,52.408241271972656
2021-03-24,52.46009063720703
2021-03-25,53.05652618408203
2021-03-26,53.298561096191406
2021-03-29,53.86906051635742
2021-03-30,53.19483947753906
2021-03-31,53.730751037597656
2021-04-01,53.87771224975586
2021-04-05,54.16294860839844
2021-04-06,54.551937103271484
2021-04-07,54.28396224975586
2021-04-08,54.3358268737793
2021-04-09,54.22346496582031
2021-04-12,54.361759185791016
2021-04-13,54.94091033935547
2021-04-14,55.22616195678711
2021-04-15,55.74479293823242
2021-04-16,56.194278717041016
2021-04-19,56.116485595703125
2021-04-20,57.12781524658203
2021-04-21,56.816650390625
2021-04-22,56.27207565307617
2021-04-23,56.470890045166016
2021-04-26,55.89174270629883
2021-04-27,55.60649871826172
2021-04-28,55.615135192871094
2021-04-29,56.32394027709961
2021-04-30,57.19697570800781
2021-05-03,57.09325408935547
2021-05-04,57.4130744934082
2021-05-05,56.57460403442383
2021-05-06,57.09325408935547
2021-05-07,57.2747688293457
2021-05-10,57.317996978759766
2021-05-11,56.87715530395508
2021-05-12,55.63242721557617
2021-05-13,56.816650390625
2021-05-14,56.8515625
2021-05-17,56.26654815673828
2021-05-18,56.022071838378906
2021-05-19,55.86490249633789
2021-05-20,55.934749603271484
2021-05-21,56.21415710449219
2021-05-24,56.24908447265625
2021-05-25,55.952205657958984
2021-05-26,55.637874603271484
2021-05-27,55.58548355102539
2021-05-28,55.8125114440918
2021-06-01,55.3846549987793
2021-06-02,55.795047760009766
2021-06-03,56.28401184082031
2021-06-04,56.18796157836914
2021-06-07,56.467376708984375
2021-06-08,55.39338302612305
2021-06-09,55.559288024902344
2021-06-10,55.777587890625
2021-06-11,55.75138473510742
2021-06-14,55.69899368286133
2021-06-15,56.161766052246094
2021-06-16,54.99172592163086
2021-06-17,55.31479263305664
2021-06-18,53.65579605102539
2021-06-21,54.57261276245117
2021-06-22,54.20589828491211
2021-06-23,53.673255920410156
2021-06-24,53.24541091918945
2021-06-25,53.725650787353516
2021-06-28,53.69072723388672
2021-06-29,52.79137420654297
2021-06-30,52.83502197265625
2021-07-01,53.68198776245117
2021-07-02,53.725650787353516
2021-07-06,53.82169723510742
2021-07-07,53.86534881591797
2021-07-08,53.743106842041016
2021-07-09,53.673255920410156
2021-07-12,53.96139907836914
2021-07-13,53.55974578857422
2021-07-14,54.03998947143555
2021-07-15,54.721046447753906
2021-07-16,55.10525131225586
2021-07-19,54.825836181640625
2021-07-20,54.965538024902344
2021-07-21,54.852027893066406
2021-07-22,54.99172592163086
2021-07-23,55.76012420654297
2021-07-26,55.646602630615234
2021-07-27,56.3538703918457
2021-07-28,55.87362289428711
2021-07-29,56.28401184082031
2021-07-30,55.76884841918945
2021-08-02,55.952205657958984
2021-08-03,55.99586868286133
2021-08-04,55.908538818359375
2021-08-05,56.56342315673828
2021-08-06,56.49357223510742
2021-08-09,56.62454605102539
2021-08-10,56.93888473510742
2021-08-11,57.305606842041016
2021-08-12,57.38419723510742
2021-08-13,57.79874038696289
2021-08-16,58.54845428466797
2021-08-17,58.610206604003906
2021-08-18,58.22212219238281
2021-08-19,58.54845428466797
