,FOXA
2022-05-18,32.244354248046875
2022-05-19,32.09030532836914
2022-05-20,32.21546936035156
2022-05-23,32.918312072753906
2022-05-24,31.28154945373535
2022-05-25,32.061424255371094
2022-05-26,33.25530242919922
2022-05-27,34.14107894897461
2022-05-31,34.1892204284668
2022-06-01,33.56339645385742
2022-06-02,33.1397590637207
2022-06-03,32.86055374145508
2022-06-06,32.812408447265625
2022-06-07,33.31306838989258
2022-06-08,32.793155670166016
2022-06-09,32.23472595214844
2022-06-10,31.18526840209961
2022-06-13,30.34762954711914
2022-06-14,30.83865547180176
2022-06-15,31.608905792236328
2022-06-16,31.079357147216797
2022-06-17,30.87717056274414
2022-06-21,31.348949432373047
2022-06-22,30.86754608154297
2022-06-23,30.87717056274414
2022-06-24,31.580018997192383
2022-06-27,31.811092376708984
2022-06-28,31.493364334106445
2022-06-29,31.425966262817383
2022-06-30,30.963823318481445
2022-07-01,31.839977264404297
2022-07-05,31.93625831604004
2022-07-06,31.9266300201416
2022-07-07,32.25398635864258
2022-07-08,32.00365447998047
2022-07-11,31.67630195617676
2022-07-12,31.98439598083496
2022-07-13,31.6185302734375
2022-07-14,31.30080223083496
2022-07-15,32.42728805541992
2022-07-18,31.99402618408203
2022-07-19,32.97608184814453
2022-07-20,33.4478645324707
2022-07-21,33.65005111694336
2022-07-22,33.852237701416016
2022-07-25,33.9677734375
2022-07-26,32.8316650390625
2022-07-27,33.380462646484375
2022-07-28,33.58264923095703
2022-07-29,31.87848472595215
2022-08-01,32.19621276855469
2022-08-02,31.965145111083984
2022-08-03,32.321380615234375
2022-08-04,32.282867431640625
2022-08-05,32.09030532836914
2022-08-08,32.225101470947266
2022-08-09,32.48505783081055
2022-08-10,33.58264923095703
2022-08-11,35.07500457763672
2022-08-12,35.142398834228516
2022-08-15,35.0268669128418
2022-08-16,35.142398834228516
2022-08-17,34.82467269897461
2022-08-18,34.68025588989258
2022-08-19,34.35289764404297
2022-08-22,33.40935134887695
2022-08-23,33.22641372680664
2022-08-24,33.48637008666992
2022-08-25,33.67893600463867
2022-08-26,32.96646499633789
2022-08-29,33.04348373413086
2022-08-30,33.16957092285156
2022-08-31,33.150169372558594
2022-09-01,33.01438903808594
2022-09-02,32.72343063354492
2022-09-06,31.976625442504883
2022-09-07,32.41306686401367
