,LLY
2015-01-12,57.47149658203125
2015-01-13,57.4383659362793
2015-01-14,57.75297927856445
2015-01-15,57.736427307128906
2015-01-16,58.5146369934082
2015-01-20,59.63224792480469
2015-01-21,59.80612564086914
2015-01-22,59.988258361816406
2015-01-23,59.71505355834961
2015-01-26,59.698490142822266
2015-01-27,59.3839111328125
2015-01-28,58.754722595214844
2015-01-29,59.698490142822266
2015-01-30,59.6074333190918
2015-02-02,59.35078430175781
2015-02-03,58.68848419189453
2015-02-04,58.133811950683594
2015-02-05,59.118980407714844
2015-02-06,58.24970626831055
2015-02-09,57.62881088256836
2015-02-10,58.36562728881836
2015-02-11,58.32391357421875
2015-02-12,58.807518005371094
2015-02-13,58.83252716064453
2015-02-17,59.66633224487305
2015-02-18,59.20772933959961
2015-02-19,59.2994499206543
2015-02-20,59.93315505981445
2015-02-23,59.274452209472656
2015-02-24,59.11603927612305
2015-02-25,58.6657829284668
2015-02-26,58.39063262939453
2015-02-27,58.50733947753906
2015-03-02,59.2994499206543
2015-03-03,58.674102783203125
2015-03-04,58.90758514404297
2015-03-05,58.85752868652344
2015-03-06,57.03988265991211
2015-03-09,58.015411376953125
2015-03-10,57.34838104248047
2015-03-11,57.08157730102539
2015-03-12,57.99875259399414
2015-03-13,58.27389144897461
2015-03-16,59.257755279541016
2015-03-17,59.066009521484375
2015-03-18,61.3172607421875
2015-03-19,61.88422775268555
2015-03-20,63.468441009521484
2015-03-23,63.668521881103516
2015-03-24,63.00151824951172
2015-03-25,62.00095748901367
2015-03-26,61.23387908935547
2015-03-27,61.35059356689453
2015-03-30,61.592403411865234
2015-03-31,60.575164794921875
2015-04-01,59.64132308959961
2015-04-02,59.3995246887207
2015-04-06,59.45786666870117
2015-04-07,59.783050537109375
2015-04-08,60.15827178955078
2015-04-09,60.33334732055664
2015-04-10,61.63407897949219
2015-04-13,61.300567626953125
2015-04-14,61.25052261352539
2015-04-15,61.458984375
2015-04-16,61.27555847167969
2015-04-17,60.42509078979492
2015-04-20,60.37505340576172
2015-04-21,60.20830154418945
2015-04-22,60.2833366394043
2015-04-23,60.366722106933594
2015-04-24,59.68303298950195
2015-04-27,59.107696533203125
2015-04-28,59.34949493408203
2015-04-29,60.26665115356445
2015-04-30,59.9248046875
2015-05-01,60.967041015625
2015-05-04,60.908695220947266
2015-05-05,59.958168029785156
2015-05-06,60.07490158081055
2015-05-07,59.88312911987305
2015-05-08,61.083770751953125
2015-05-11,61.258880615234375
2015-05-12,60.40005111694336
2015-05-13,60.700218200683594
2015-05-14,61.33831024169922
2015-05-15,61.20397186279297
2015-05-18,61.2375602722168
2015-05-19,61.66572189331055
2015-05-20,61.590179443359375
2015-05-21,62.354164123535156
2015-05-22,62.37937545776367
2015-05-26,62.38775634765625
2015-05-27,62.88308334350586
2015-05-28,64.15081024169922
2015-05-29,66.24134063720703
2015-06-01,66.32530212402344
2015-06-02,65.44375610351562
2015-06-03,65.34300231933594
2015-06-04,65.2170639038086
2015-06-05,65.58648681640625
2015-06-08,65.92230987548828
2015-06-09,69.49044799804688
2015-06-10,69.83464813232422
2015-06-11,72.6975326538086
2015-06-12,70.69939422607422
2015-06-15,70.59026336669922
2015-06-16,71.17794799804688
