,T
2015-05-05,12.591231346130371
2015-05-06,12.464275360107422
2015-05-07,12.460540771484375
2015-05-08,12.580031394958496
2015-05-11,12.505348205566406
2015-05-12,12.568830490112305
2015-05-13,12.65845012664795
2015-05-14,12.744329452514648
2015-05-15,12.819009780883789
2015-05-18,13.020649909973145
2015-05-19,12.833948135375977
2015-05-20,12.927295684814453
2015-05-21,13.095332145690918
2015-05-22,12.960904121398926
2015-05-26,12.945968627929688
2015-05-27,13.05052375793457
2015-05-28,12.994507789611816
2015-05-29,12.89742660522461
2015-06-01,12.826478004455566
2015-06-02,12.83021354675293
2015-06-03,13.08039665222168
2015-06-04,13.170012474060059
2015-06-05,12.9086275100708
2015-06-08,12.916096687316895
2015-06-09,12.886228561401367
2015-06-10,12.964638710021973
2015-06-11,13.024386405944824
2015-06-12,12.93850040435791
2015-06-15,12.848884582519531
2015-06-16,12.945968627929688
2015-06-17,12.994507789611816
2015-06-18,13.076662063598633
2015-06-19,13.065460205078125
2015-06-22,13.084129333496094
2015-06-23,13.408988952636719
2015-06-24,13.36044692993164
2015-06-25,13.509810447692871
2015-06-26,13.487405776977539
2015-06-29,13.35671329498291
2015-06-30,13.263364791870117
2015-07-01,13.282033920288086
2015-07-02,13.341776847839355
2015-07-06,13.296971321105957
2015-07-07,13.35671329498291
2015-07-08,13.220775604248047
2015-07-09,13.068767547607422
2015-07-10,13.167572975158691
2015-07-13,13.254974365234375
2015-07-14,13.346184730529785
2015-07-15,13.197967529296875
2015-07-16,13.36137866973877
2015-07-17,13.304377555847168
2015-07-20,13.26257610321045
2015-07-21,13.13717269897461
2015-07-22,13.023167610168457
2015-07-23,12.893961906433105
2015-07-24,13.030762672424316
2015-07-27,13.042167663574219
2015-07-28,13.045968055725098
2015-07-29,13.18277359008789
2015-07-30,13.224574089050293
2015-07-31,13.201777458190918
2015-08-03,13.171371459960938
2015-08-04,13.140973091125488
2015-08-05,13.13717269897461
2015-08-06,13.01176643371582
2015-08-07,13.000364303588867
2015-08-10,13.216973304748535
2015-08-11,13.167572975158691
2015-08-12,12.92816162109375
2015-08-13,12.848356246948242
2015-08-14,12.939559936523438
2015-08-17,13.007966995239258
2015-08-18,13.053565979003906
2015-08-19,13.057368278503418
2015-08-20,12.901564598083496
2015-08-21,12.684952735900879
2015-08-24,12.301133155822754
2015-08-25,12.084526062011719
2015-08-26,12.422738075256348
2015-08-27,12.707752227783203
2015-08-28,12.650751113891602
2015-08-31,12.616549491882324
2015-09-01,12.282135009765625
2015-09-02,12.472145080566406
2015-09-03,12.555743217468262
2015-09-04,12.373340606689453
2015-09-08,12.593743324279785
2015-09-09,12.456940650939941
2015-09-10,12.445539474487305
2015-09-11,12.434142112731934
2015-09-14,12.369534492492676
2015-09-15,12.487343788146973
2015-09-16,12.517743110656738
2015-09-17,12.456940650939941
2015-09-18,12.369534492492676
2015-09-21,12.373340606689453
2015-09-22,12.263132095336914
2015-09-23,12.23653507232666
2015-09-24,12.2023286819458
2015-09-25,12.28593635559082
2015-09-28,12.122529029846191
2015-09-29,12.187129020690918
2015-09-30,12.380937576293945
2015-10-01,12.361939430236816
2015-10-02,12.403736114501953
2015-10-05,12.70395565032959
2015-10-06,12.658349990844727
2015-10-07,12.825749397277832
2015-10-08,12.934181213378906
2015-10-09,12.83349323272705
2015-10-12,12.89545726776123
2015-10-13,12.86447525024414
2015-10-14,12.88383960723877
2015-10-15,12.969035148620605
2015-10-16,13.100699424743652
2015-10-19,13.023246765136719
2015-10-20,13.069718360900879
2015-10-21,13.01163101196289
2015-10-22,13.151041030883789
2015-10-23,13.065847396850586
2015-10-26,13.034866333007812
2015-10-27,12.860603332519531
2015-10-28,12.941926002502441
2015-10-29,12.992265701293945
2015-10-30,12.976777076721191
2015-11-02,13.015503883361816
2015-11-03,13.023246765136719
2015-11-04,12.965160369873047
2015-11-05,12.910944938659668
2015-11-06,12.841238021850586
2015-11-09,12.717320442199707
2015-11-10,12.697958946228027
2015-11-11,12.74830150604248
2015-11-12,12.659234046936035
2015-11-13,12.512077331542969
2015-11-16,12.794767379760742
2015-11-17,12.87997055053711
2015-11-18,12.988396644592285
2015-11-19,13.019375801086426
2015-11-20,13.034866333007812
2015-11-23,12.957419395446777
2015-11-24,12.93030834197998
2015-11-25,12.953544616699219
2015-11-27,13.000017166137695
2015-11-30,13.038743019104004
2015-12-01,13.077462196350098
2015-12-02,12.996139526367188
2015-12-03,12.818008422851562
2015-12-04,13.209127426147461
2015-12-07,13.271089553833008
2015-12-08,13.108445167541504
2015-12-09,13.000017166137695
2015-12-10,13.038743019104004
2015-12-11,12.84511947631836
2015-12-14,13.01163101196289
2015-12-15,13.092952728271484
2015-12-16,13.32143497467041
2015-12-17,13.178149223327637
2015-12-18,13.01163101196289
2015-12-21,13.201384544372559
2015-12-22,13.325302124023438
2015-12-23,13.468587875366211
2015-12-24,13.422115325927734
2015-12-28,13.460844993591309
2015-12-29,13.526677131652832
2015-12-30,13.453099250793457
2015-12-31,13.325302124023438
2016-01-04,13.302068710327148
2016-01-05,13.395011901855469
2016-01-06,13.436637878417969
2016-01-07,13.219661712646484
2016-01-08,13.23149585723877
2016-01-11,13.393243789672852
2016-01-12,13.373520851135254
2016-01-13,13.310397148132324
2016-01-14,13.531318664550781
2016-01-15,13.409025192260742
2016-01-19,13.614163398742676
2016-01-20,13.373520851135254
2016-01-21,13.625996589660645
2016-01-22,13.862696647644043
2016-01-25,13.807472229003906
2016-01-26,13.965267181396484
2016-01-27,13.996824264526367
2016-01-28,14.016550064086914
2016-01-29,14.225632667541504
2016-02-01,14.27297592163086
2016-02-02,14.225632667541504
2016-02-03,14.486003875732422
2016-02-04,14.411046981811523
2016-02-05,14.54912281036377
2016-02-08,14.639860153198242
2016-02-09,14.458392143249512
2016-02-10,14.371601104736328
2016-02-11,14.284811019897461
2016-02-12,14.38737964630127
2016-02-16,14.458392143249512
2016-02-17,14.45444393157959
2016-02-18,14.592520713806152
2016-02-19,14.426831245422363
2016-02-22,14.541234016418457
2016-02-23,14.493897438049316
2016-02-24,14.635915756225586
2016-02-25,14.742429733276367
2016-02-26,14.647747993469238
2016-02-29,14.576742172241211
2016-03-01,14.750317573547363
2016-03-02,14.868669509887695
2016-03-03,14.987025260925293
2016-03-04,14.963345527648926
2016-03-07,15.042250633239746
2016-03-08,15.026467323303223
2016-03-09,14.983071327209473
2016-03-10,15.11325740814209
2016-03-11,15.132986068725586
2016-03-14,15.117201805114746
2016-03-15,15.196101188659668
2016-03-16,15.29472827911377
2016-03-17,15.43280029296875
2016-03-18,15.211878776550293
2016-03-21,15.353903770446777
2016-03-22,15.239495277404785
2016-03-23,15.20399284362793
2016-03-24,15.338123321533203
2016-03-28,15.413078308105469
2016-03-29,15.56298542022705
2016-03-30,15.531428337097168
2016-03-31,15.452526092529297
2016-04-01,15.405186653137207
2016-04-04,15.527488708496094
2016-04-05,15.460417747497559
2016-04-06,15.49471378326416
2016-04-07,15.474660873413086
2016-04-08,15.438568115234375
2016-04-11,15.394463539123535
2016-04-12,15.506746292114258
2016-04-13,15.338319778442383
2016-04-14,15.406492233276367
2016-04-15,15.430553436279297
2016-04-18,15.498722076416016
2016-04-19,15.606992721557617
2016-04-20,15.5267915725708
2016-04-21,15.181928634643555
2016-04-22,15.266140937805176
2016-04-25,15.32227897644043
2016-04-26,15.27415943145752
2016-04-27,15.5267915725708
2016-04-28,15.49471378326416
2016-04-29,15.566889762878418
2016-05-02,15.679173469543457
2016-05-03,15.602982521057129
2016-05-04,15.59095287322998
2016-05-05,15.534811973571777
2016-05-06,15.635061264038086
2016-05-09,15.582930564880371
2016-05-10,15.763381958007812
2016-05-11,15.711250305175781
2016-05-12,15.859618186950684
2016-05-13,15.69922161102295
2016-05-16,15.751351356506348
2016-05-17,15.683183670043945
2016-05-18,15.418519020080566
2016-05-19,15.414515495300293
2016-05-20,15.418519020080566
2016-05-23,15.366389274597168
2016-05-24,15.438568115234375
2016-05-25,15.486689567565918
2016-05-26,15.574912071228027
2016-05-27,15.635061264038086
2016-05-31,15.69922161102295
2016-06-01,15.530805587768555
2016-06-02,15.574912071228027
2016-06-03,15.723289489746094
2016-06-06,15.775411605834961
2016-06-07,15.955867767333984
2016-06-08,15.98393440246582
2016-06-09,16.076162338256836
2016-06-10,16.172407150268555
2016-06-13,16.11626434326172
2016-06-14,16.192453384399414
2016-06-15,16.15636444091797
2016-06-16,16.23656463623047
2016-06-17,16.33280372619629
2016-06-20,16.35285758972168
2016-06-21,16.46914291381836
2016-06-22,16.561376571655273
2016-06-23,16.793960571289062
2016-06-24,16.64960289001465
2016-06-27,16.854108810424805
2016-06-28,16.850099563598633
2016-06-29,17.058618545532227
2016-06-30,17.327289581298828
2016-07-01,17.431549072265625
2016-07-05,17.383432388305664
2016-07-06,17.540321350097656
2016-07-07,17.214750289916992
2016-07-08,17.340904235839844
2016-07-11,17.300209045410156
2016-07-12,17.2595157623291
2016-07-13,17.33277130126953
2016-07-14,17.406024932861328
2016-07-15,17.454856872558594
2016-07-18,17.438583374023438
2016-07-19,17.406024932861328
2016-07-20,17.381607055664062
2016-07-21,17.304283142089844
2016-07-22,17.54439353942871
2016-07-25,17.47520637512207
2016-07-26,17.247304916381836
2016-07-27,17.401952743530273
2016-07-28,17.328702926635742
2016-07-29,17.617652893066406
2016-08-01,17.57288360595703
2016-08-02,17.56474494934082
2016-08-03,17.556602478027344
2016-08-04,17.53218650817871
2016-08-05,17.56474494934082
2016-08-08,17.47113800048828
2016-08-09,17.53218650817871
2016-08-10,17.581022262573242
2016-08-11,17.658344268798828
2016-08-12,17.613576889038086
2016-08-15,17.507770538330078
2016-08-16,17.07638168334961
2016-08-17,17.03568458557129
2016-08-18,16.848474502563477
2016-08-19,16.689762115478516
2016-08-22,16.649065017700195
2016-08-23,16.624643325805664
2016-08-24,16.632787704467773
2016-08-25,16.71417999267578
2016-08-26,16.555465698242188
2016-08-29,16.685691833496094
2016-08-30,16.64092254638672
2016-08-31,16.636852264404297
2016-09-01,16.669410705566406
2016-09-02,16.665346145629883
2016-09-06,16.779293060302734
2016-09-07,16.79557228088379
2016-09-08,16.763011932373047
2016-09-09,16.160707473754883
2016-09-12,16.567672729492188
2016-09-13,16.26651382446289
2016-09-14,16.233957290649414
2016-09-15,16.46186065673828
2016-09-16,16.36011505126953
2016-09-19,16.30314064025879
2016-09-20,16.2624454498291
2016-09-21,16.510692596435547
2016-09-22,16.7304630279541
2016-09-23,16.799644470214844
2016-09-26,16.742666244506836
2016-09-27,16.872896194458008
2016-09-28,16.624643325805664
2016-09-29,16.5758056640625
2016-09-30,16.526973724365234
2016-10-03,16.592084884643555
2016-10-04,16.238025665283203
2016-10-05,16.194820404052734
2016-10-06,16.17413902282715
2016-10-07,16.07488441467285
2016-10-10,16.132783889770508
2016-10-11,16.170000076293945
2016-10-12,16.265121459960938
2016-10-13,16.281667709350586
2016-10-14,16.21963119506836
2016-10-17,16.240314483642578
2016-10-18,16.27753448486328
2016-10-19,16.285799026489258
2016-10-20,15.983904838562012
2016-10-21,15.504179000854492
2016-10-24,15.243638038635254
2016-10-25,15.177472114562988
2016-10-26,15.065814018249512
2016-10-27,15.103033065795898
2016-10-28,15.098895072937012
2016-10-31,15.214692115783691
2016-11-01,15.119572639465332
2016-11-02,15.041000366210938
2016-11-03,15.148520469665527
2016-11-04,15.094759941101074
2016-11-07,15.222963333129883
2016-11-08,15.297404289245605
2016-11-09,15.483503341674805
2016-11-10,15.123710632324219
2016-11-11,15.098895072937012
2016-11-14,14.94174861907959
2016-11-15,15.206418991088867
2016-11-16,15.36357593536377
2016-11-17,15.47109603881836
2016-11-18,15.533126831054688
2016-11-21,15.607566833496094
2016-11-22,15.942551612854004
