,C
2016-06-01,36.11861801147461
2016-06-02,36.1417121887207
2016-06-03,34.92595672607422
2016-06-06,35.19527053833008
2016-06-07,35.04136657714844
2016-06-08,35.0567626953125
2016-06-09,34.633548736572266
2016-06-10,33.77946472167969
2016-06-13,33.210060119628906
2016-06-14,32.28668975830078
2016-06-15,32.325164794921875
2016-06-16,32.409812927246094
2016-06-17,32.68681335449219
2016-06-20,32.93303680419922
2016-06-21,33.02537536621094
2016-06-22,32.8407096862793
2016-06-23,34.21035385131836
2016-06-24,31.00937271118164
2016-06-27,29.608964920043945
2016-06-28,31.117116928100586
2016-06-29,32.409812927246094
2016-06-30,32.61754608154297
2016-07-01,32.44828796386719
2016-07-05,31.37872314453125
2016-07-06,31.59417724609375
2016-07-07,31.771162033081055
2016-07-08,32.30208969116211
2016-07-11,32.54061508178711
2016-07-12,33.42548751831055
2016-07-13,33.34085464477539
2016-07-14,34.20266342163086
2016-07-15,34.110328674316406
2016-07-18,34.29499053955078
2016-07-19,34.12570571899414
2016-07-20,34.218040466308594
2016-07-21,33.95642852783203
2016-07-22,34.087249755859375
2016-07-25,33.88717269897461
2016-07-26,33.97182083129883
2016-07-27,34.07954406738281
2016-07-28,34.04092788696289
2016-07-29,33.83241271972656
2016-08-01,33.53124237060547
2016-08-02,33.199180603027344
2016-08-03,33.89419174194336
2016-08-04,33.855587005615234
2016-08-05,35.307430267333984
2016-08-08,35.492767333984375
2016-08-09,35.446434020996094
2016-08-10,35.09892272949219
2016-08-11,35.31513977050781
2016-08-12,35.19931411743164
2016-08-15,35.82484817504883
2016-08-16,36.0024528503418
2016-08-17,36.01017379760742
2016-08-18,35.909786224365234
2016-08-19,35.93294906616211
2016-08-22,36.03334426879883
2016-08-23,35.979278564453125
2016-08-24,36.03334426879883
2016-08-25,36.079681396484375
2016-08-26,36.380855560302734
2016-08-29,36.4966926574707
2016-08-30,36.990936279296875
2016-08-31,36.86737823486328
2016-09-01,36.57392501831055
2016-09-02,36.68975067138672
2016-09-06,36.51986312866211
2016-09-07,36.66660690307617
2016-09-08,36.9059944152832
2016-09-09,36.42720413208008
2016-09-12,36.9059944152832
2016-09-13,36.234130859375
2016-09-14,36.102848052978516
2016-09-15,36.357688903808594
2016-09-16,35.84028244018555
2016-09-19,35.979278564453125
2016-09-20,35.94066619873047
2016-09-21,36.21868896484375
2016-09-22,36.380855560302734
2016-09-23,36.41175079345703
2016-09-26,35.4387092590332
2016-09-27,35.80938720703125
2016-09-28,36.195518493652344
2016-09-29,35.36921310424805
2016-09-30,36.47352981567383
2016-10-03,36.319087982177734
2016-10-04,36.87509536743164
2016-10-05,37.57012939453125
2016-10-06,37.89447784423828
2016-10-07,38.05665588378906
2016-10-10,38.2651481628418
2016-10-11,37.83270263671875
