,L
2017-09-26,46.28782653808594
2017-09-27,46.24915313720703
2017-09-28,46.24915313720703
2017-09-29,46.26849365234375
2017-10-02,46.51983642578125
2017-10-03,46.79053497314453
2017-10-04,46.92588806152344
2017-10-05,47.273921966552734
2017-10-06,47.29323959350586
2017-10-09,46.94520950317383
2017-10-10,47.322242736816406
2017-10-11,47.080562591552734
2017-10-12,47.2352409362793
2017-10-13,47.22556686401367
2017-10-16,47.4285888671875
2017-10-17,47.04188537597656
2017-10-18,47.070892333984375
2017-10-19,47.35124206542969
2017-10-20,47.3705940246582
2017-10-23,47.080562591552734
2017-10-24,46.89686965942383
2017-10-25,46.6455192565918
2017-10-26,46.76152801513672
2017-10-27,46.35550308227539
2017-10-30,47.815277099609375
2017-10-31,47.86362838745117
2017-11-01,47.89262771606445
2017-11-02,47.85395812988281
2017-11-03,47.96030044555664
2017-11-06,48.02797317504883
2017-11-07,47.84428787231445
2017-11-08,47.931297302246094
2017-11-09,47.69927978515625
2017-11-10,47.86362838745117
2017-11-13,48.23099136352539
2017-11-14,48.279319763183594
2017-11-15,48.03763961791992
2017-11-16,47.563934326171875
2017-11-17,47.58325958251953
2017-11-20,47.70895004272461
2017-11-21,47.73794937133789
2017-11-22,47.71861267089844
2017-11-24,47.70895004272461
2017-11-27,48.00863265991211
2017-11-28,48.505210876464844
2017-11-29,48.7181510925293
2017-11-30,48.669761657714844
2017-12-01,48.87303924560547
2017-12-04,49.02791213989258
2017-12-05,48.505210876464844
2017-12-06,48.360008239746094
2017-12-07,48.38905715942383
2017-12-08,48.24385452270508
2017-12-11,48.44713592529297
2017-12-12,48.708492279052734
2017-12-13,48.30194091796875
2017-12-14,47.86635208129883
2017-12-15,48.15673828125
2017-12-18,48.37936782836914
2017-12-19,48.050262451171875
2017-12-20,47.9244270324707
2017-12-21,48.19545364379883
2017-12-22,48.06961441040039
2017-12-26,48.321285247802734
2017-12-27,48.39873123168945
2017-12-28,48.53423309326172
2017-12-29,48.42776870727539
2018-01-02,48.292259216308594
2018-01-03,48.853660583496094
2018-01-04,49.095672607421875
2018-01-05,48.99888229370117
2018-01-08,48.96016311645508
2018-01-09,49.4925537109375
2018-01-10,49.569976806640625
2018-01-11,49.86036682128906
2018-01-12,51.08969497680664
2018-01-16,50.51858901977539
2018-01-17,50.6734619140625
2018-01-18,50.83802032470703
2018-01-19,50.828346252441406
2018-01-22,51.10906219482422
2018-01-23,51.20585250854492
2018-01-24,51.341373443603516
2018-01-25,51.44785690307617
2018-01-26,51.747928619384766
2018-01-29,51.40912628173828
2018-01-30,50.32500076293945
2018-01-31,49.995887756347656
2018-02-01,49.937808990478516
2018-02-02,49.19247055053711
2018-02-05,46.646690368652344
2018-02-06,46.278865814208984
2018-02-07,46.3272705078125
2018-02-08,44.57522964477539
2018-02-09,45.23344039916992
2018-02-12,45.978790283203125
2018-02-13,46.549896240234375
2018-02-14,47.3049201965332
2018-02-15,48.292259216308594
2018-02-16,48.47617721557617
2018-02-20,48.292259216308594
2018-02-21,48.15673828125
2018-02-22,48.011539459228516
2018-02-23,48.727840423583984
2018-02-26,49.10533905029297
2018-02-27,48.63335418701172
2018-02-28,47.8095588684082
2018-03-01,47.150516510009766
2018-03-02,47.31528091430664
2018-03-05,48.81751251220703
2018-03-06,49.311790466308594
2018-03-07,49.369937896728516
2018-03-08,49.68006896972656
2018-03-09,50.12589645385742
2018-03-12,49.92236328125
2018-03-13,49.66069030761719
2018-03-14,49.38930892944336
2018-03-15,49.369937896728516
