,BRO
2016-09-01,17.47646713256836
2016-09-02,17.671781539916992
2016-09-06,17.611324310302734
2016-09-07,17.574127197265625
2016-09-08,17.560169219970703
2016-09-09,17.12767791748047
2016-09-12,17.425310134887695
2016-09-13,17.28579330444336
2016-09-14,17.095123291015625
2016-09-15,17.332294464111328
2016-09-16,17.178831100463867
2016-09-19,17.276493072509766
2016-09-20,17.30904769897461
2016-09-21,17.490415573120117
2016-09-22,17.611324310302734
2016-09-23,17.43461036682129
2016-09-26,17.295093536376953
2016-09-27,17.439260482788086
2016-09-28,17.52297019958496
2016-09-29,17.33694839477539
2016-09-30,17.53691291809082
2016-10-03,17.26719093322754
2016-10-04,17.467161178588867
2016-10-05,17.643878936767578
2016-10-06,17.964759826660156
2016-10-07,17.76944351196289
2016-10-10,17.62062644958496
2016-10-11,17.327646255493164
2016-10-12,17.490415573120117
2016-10-13,17.443906784057617
2016-10-14,17.41135025024414
2016-10-17,17.33694839477539
2016-10-18,17.364850997924805
2016-10-19,17.425310134887695
2016-10-20,17.257892608642578
2016-10-21,17.495058059692383
2016-10-24,17.01141357421875
2016-10-25,17.01141357421875
2016-10-26,17.135107040405273
2016-10-27,17.09776496887207
2016-10-28,17.158449172973633
2016-10-31,17.205127716064453
2016-11-01,17.023088455200195
2016-11-02,16.901723861694336
2016-11-03,17.05575942993164
2016-11-04,16.934398651123047
2016-11-07,17.19112205505371
2016-11-08,17.270469665527344
2016-11-09,17.550535202026367
2016-11-10,17.816587448120117
2016-11-11,18.274024963378906
2016-11-14,18.76413345336914
2016-11-15,18.974180221557617
2016-11-16,19.1422176361084
2016-11-17,19.725679397583008
2016-11-18,19.763017654418945
2016-11-21,19.735013961791992
2016-11-22,19.903051376342773
2016-11-23,20.2017822265625
2016-11-25,20.155107498168945
2016-11-28,20.010406494140625
2016-11-29,20.047748565673828
2016-11-30,20.23446273803711
2016-12-01,20.360485076904297
2016-12-02,20.173782348632812
2016-12-05,20.355817794799805
2016-12-06,20.67789077758789
2016-12-07,20.70589256286621
2016-12-08,20.621877670288086
2016-12-09,20.733896255493164
2016-12-12,20.864593505859375
2016-12-13,21.055971145629883
2016-12-14,20.883268356323242
2016-12-15,20.957950592041016
2016-12-16,20.948619842529297
2016-12-19,20.96728515625
