,EXC
2020-08-12,23.520889282226562
2020-08-13,23.28339195251465
2020-08-14,23.277257919311523
2020-08-17,22.915178298950195
2020-08-18,22.749481201171875
2020-08-19,22.71879768371582
2020-08-20,22.283077239990234
2020-08-21,22.41195297241211
2020-08-24,23.12996482849121
2020-08-25,22.78630256652832
2020-08-26,22.878355026245117
2020-08-27,22.63901710510254
2020-08-28,22.73107147216797
2020-08-31,22.651290893554688
2020-09-01,22.295347213745117
2020-09-02,23.338624954223633
2020-09-03,22.884490966796875
2020-09-04,22.761754989624023
2020-09-08,22.350584030151367
2020-09-09,22.50400733947754
2020-09-10,21.99464225769043
2020-09-11,21.988506317138672
2020-09-14,22.25239372253418
2020-09-15,22.19716453552246
2020-09-16,22.25239372253418
2020-09-17,22.049877166748047
2020-09-18,21.5221004486084
2020-09-21,21.325721740722656
2020-09-22,21.608020782470703
2020-09-23,21.16002655029297
2020-09-24,21.36254119873047
2020-09-25,21.798263549804688
2020-09-28,21.933271408081055
2020-09-29,21.675519943237305
2020-09-30,21.94554901123047
2020-10-01,21.988506317138672
2020-10-02,22.056015014648438
2020-10-05,22.577646255493164
2020-10-06,22.810853958129883
2020-10-07,23.22816276550293
2020-10-08,24.130279541015625
2020-10-09,24.056640625
2020-10-12,24.53531837463379
2020-10-13,25.149009704589844
2020-10-14,25.1796932220459
2020-10-15,25.406757354736328
2020-10-16,25.8302059173584
2020-10-19,25.689058303833008
2020-10-20,26.02044677734375
2020-10-21,25.86088752746582
2020-10-22,25.916120529174805
2020-10-23,25.89771270751953
2020-10-26,25.590866088867188
2020-10-27,25.25333595275879
2020-10-28,24.283710479736328
2020-10-29,24.645780563354492
2020-10-30,24.480085372924805
2020-11-02,25.13673210144043
2020-11-03,26.06340980529785
2020-11-04,25.90998649597168
2020-11-05,26.431623458862305
2020-11-06,26.290470123291016
2020-11-09,26.585039138793945
2020-11-10,26.382530212402344
2020-11-11,26.90416145324707
2020-11-12,26.204557418823242
2020-11-13,26.55938148498535
2020-11-16,26.83803939819336
2020-11-17,26.67084503173828
2020-11-18,26.441730499267578
2020-11-19,26.224992752075195
2020-11-20,25.927753448486328
2020-11-23,25.741981506347656
2020-11-24,26.472686767578125
2020-11-25,26.144489288330078
2020-11-27,25.84725570678711
2020-11-30,25.43235969543457
2020-12-01,25.543821334838867
2020-12-02,25.741981506347656
2020-12-03,25.419973373413086
2020-12-04,25.345664978027344
2020-12-07,25.512859344482422
2020-12-08,25.58717155456543
2020-12-09,25.444740295410156
2020-12-10,25.512859344482422
2020-12-11,25.50666046142578
2020-12-14,25.426170349121094
2020-12-15,26.454113006591797
2020-12-16,26.280725479125977
2020-12-17,26.410764694213867
2020-12-18,26.361225128173828
2020-12-21,25.704824447631836
2020-12-22,25.859638214111328
2020-12-23,25.828672409057617
2020-12-24,25.90298080444336
2020-12-28,26.138290405273438
2020-12-29,25.90298080444336
2020-12-30,25.96490478515625
2020-12-31,26.144489288330078
2021-01-04,25.494281768798828
2021-01-05,25.457130432128906
2021-01-06,26.286911010742188
2021-01-07,26.026832580566406
2021-01-08,26.138290405273438
2021-01-11,25.921560287475586
2021-01-12,26.05779457092285
2021-01-13,26.50364875793457
2021-01-14,26.367412567138672
2021-01-15,26.850425720214844
2021-01-19,26.516036987304688
2021-01-20,26.658458709716797
2021-01-21,26.639883041381836
2021-01-22,26.3426456451416
2021-01-25,26.844234466552734
2021-01-26,26.53461456298828
2021-01-27,25.40139389038086
2021-01-28,26.033023834228516
2021-01-29,25.735790252685547
2021-02-01,26.05779457092285
2021-02-02,26.53461456298828
2021-02-03,26.305492401123047
2021-02-04,27.04239273071289
2021-02-05,27.0485897064209
2021-02-08,27.085739135742188
2021-02-09,26.980466842651367
2021-02-10,26.825654983520508
2021-02-11,26.466493606567383
2021-02-12,26.138290405273438
2021-02-16,25.995872497558594
2021-02-17,26.113523483276367
2021-02-18,26.441730499267578
2021-02-19,25.62432289123535
2021-02-22,25.141315460205078
2021-02-23,25.26515769958496
2021-02-24,24.88742446899414
2021-02-25,24.100982666015625
2021-02-26,23.902822494506836
2021-03-01,24.342491149902344
2021-03-02,24.342491149902344
2021-03-03,24.478721618652344
2021-03-04,24.627342224121094
2021-03-05,24.78553009033203
2021-03-08,25.442060470581055
2021-03-09,25.967287063598633
2021-03-10,26.17362403869629
2021-03-11,26.279916763305664
2021-03-12,26.63006591796875
2021-03-15,27.11151885986328
2021-03-16,27.11151885986328
2021-03-17,26.867664337158203
2021-03-18,26.698850631713867
2021-03-19,26.867664337158203
2021-03-22,26.7551212310791
2021-03-23,26.761371612548828
2021-03-24,26.84265899658203
2021-03-25,27.117774963378906
2021-03-26,27.217819213867188
2021-03-29,27.355371475219727
2021-03-30,27.19905662536621
2021-03-31,27.34912109375
2021-04-01,27.455421447753906
2021-04-05,27.81182098388672
2021-04-06,27.861841201782227
2021-04-07,28.105693817138672
2021-04-08,28.074426651000977
2021-04-09,28.03066062927246
