,LMT
2016-06-06,191.4175567626953
2016-06-07,191.49752807617188
2016-06-08,192.20111083984375
2016-06-09,192.43304443359375
2016-06-10,192.361083984375
2016-06-13,190.25814819335938
2016-06-14,191.6574249267578
2016-06-15,191.45758056640625
2016-06-16,191.7933807373047
2016-06-17,189.9463653564453
2016-06-20,190.8098907470703
2016-06-21,190.73789978027344
2016-06-22,190.43406677246094
2016-06-23,191.89730834960938
2016-06-24,191.6574249267578
2016-06-27,191.32962036132812
2016-06-28,192.62489318847656
2016-06-29,195.15956115722656
2016-06-30,198.42987060546875
2016-07-01,199.37335205078125
2016-07-05,199.501220703125
2016-07-06,199.95697021484375
2016-07-07,199.70912170410156
2016-07-08,201.4121856689453
2016-07-11,203.40313720703125
2016-07-12,203.65097045898438
2016-07-13,204.61045837402344
2016-07-14,204.69044494628906
2016-07-15,205.4739990234375
2016-07-18,204.92233276367188
2016-07-19,207.05711364746094
2016-07-20,205.22618103027344
2016-07-21,203.20323181152344
2016-07-22,205.73793029785156
2016-07-25,204.38661193847656
2016-07-26,203.69900512695312
2016-07-27,203.21923828125
2016-07-28,203.53111267089844
2016-07-29,202.07582092285156
2016-08-01,203.76295471191406
2016-08-02,205.49002075195312
2016-08-03,205.3701171875
2016-08-04,206.08970642089844
2016-08-05,208.12062072753906
2016-08-08,208.04066467285156
2016-08-09,208.41644287109375
2016-08-10,208.92820739746094
2016-08-11,209.919677734375
2016-08-12,211.2069854736328
2016-08-15,213.08595275878906
2016-08-16,205.30613708496094
2016-08-17,204.40260314941406
2016-08-18,204.2266845703125
2016-08-19,203.18727111816406
2016-08-22,203.251220703125
2016-08-23,199.69314575195312
2016-08-24,198.38980102539062
2016-08-25,198.71766662597656
2016-08-26,195.4473876953125
2016-08-29,195.33543395996094
2016-08-30,192.7594451904297
2016-08-31,195.59307861328125
2016-09-01,196.1082763671875
2016-09-02,195.8748321533203
2016-09-06,195.61720275878906
2016-09-07,194.30508422851562
2016-09-08,194.51434326171875
2016-09-09,191.5438690185547
2016-09-12,192.2361602783203
2016-09-13,191.11724853515625
2016-09-14,191.11724853515625
2016-09-15,192.46963500976562
2016-09-16,191.14935302734375
2016-09-19,193.9105987548828
2016-09-20,193.5885467529297
2016-09-21,196.27731323242188
2016-09-22,198.5313262939453
2016-09-23,197.9033966064453
2016-09-26,197.6538848876953
2016-09-27,197.86317443847656
2016-09-28,197.8309783935547
2016-09-29,195.08590698242188
2016-09-30,192.97683715820312
2016-10-03,193.66908264160156
2016-10-04,190.86773681640625
2016-10-05,190.46519470214844
2016-10-06,188.9517364501953
2016-10-07,187.99375915527344
2016-10-10,187.80056762695312
2016-10-11,186.64134216308594
2016-10-12,186.8426055908203
2016-10-13,187.55906677246094
2016-10-14,187.22096252441406
2016-10-17,187.38198852539062
2016-10-18,187.39805603027344
2016-10-19,187.02777099609375
2016-10-20,186.62525939941406
2016-10-21,185.5706787109375
2016-10-24,186.89089965820312
2016-10-25,200.65655517578125
2016-10-26,201.32472229003906
2016-10-27,200.06890869140625
2016-10-28,199.6422119140625
2016-10-31,198.338134765625
2016-11-01,197.2111358642578
2016-11-02,197.3157958984375
2016-11-03,192.1556854248047
2016-11-04,190.20753479003906
2016-11-07,192.6145477294922
2016-11-08,192.5501251220703
2016-11-09,204.03761291503906
2016-11-10,207.10470581054688
2016-11-11,208.63424682617188
2016-11-14,215.13063049316406
2016-11-15,214.07608032226562
2016-11-16,211.9991455078125
2016-11-17,211.94284057617188
2016-11-18,211.78985595703125
2016-11-21,212.05551147460938
2016-11-22,213.0537109375
2016-11-23,212.84437561035156
2016-11-25,214.0680389404297
2016-11-28,214.07608032226562
2016-11-29,216.078125
2016-11-30,215.00006103515625
2016-12-01,215.93222045898438
2016-12-02,216.921142578125
2016-12-05,216.36181640625
2016-12-06,215.60797119140625
2016-12-07,215.916015625
2016-12-08,210.13674926757812
2016-12-09,210.36375427246094
2016-12-12,205.15997314453125
2016-12-13,204.00897216796875
2016-12-14,204.50340270996094
2016-12-15,203.1659393310547
2016-12-16,202.7039794921875
2016-12-19,204.40611267089844
2016-12-20,205.66253662109375
2016-12-21,204.6817169189453
2016-12-22,204.90869140625
2016-12-23,202.30674743652344
2016-12-27,203.3362274169922
2016-12-28,202.2987060546875
2016-12-29,203.1173553466797
2016-12-30,202.5904541015625
2017-01-03,205.3220672607422
2017-01-04,205.87326049804688
2017-01-05,207.4862518310547
2017-01-06,209.00198364257812
2017-01-09,208.96954345703125
2017-01-10,207.6402587890625
2017-01-11,206.7972869873047
2017-01-12,204.7627410888672
2017-01-13,206.31094360351562
2017-01-17,205.97860717773438
2017-01-18,205.93804931640625
2017-01-19,208.33734130859375
2017-01-20,208.90472412109375
2017-01-23,208.70208740234375
2017-01-24,204.99789428710938
2017-01-25,203.44969177246094
2017-01-26,206.6675567626953
2017-01-27,205.47607421875
2017-01-30,204.9329833984375
2017-01-31,203.71713256835938
2017-02-01,203.36859130859375
2017-02-02,204.23593139648438
2017-02-03,206.2542266845703
2017-02-06,206.9431915283203
2017-02-07,207.8023681640625
2017-02-08,208.1022491455078
2017-02-09,209.28564453125
2017-02-10,211.19046020507812
2017-02-13,212.64955139160156
2017-02-14,212.8197021484375
2017-02-15,213.5491943359375
2017-02-16,215.06495666503906
2017-02-17,215.08119201660156
2017-02-21,215.33241271972656
2017-02-22,215.54319763183594
2017-02-23,214.67588806152344
2017-02-24,215.60797119140625
2017-02-27,219.83560180664062
2017-02-28,217.5667266845703
2017-03-01,219.03582763671875
2017-03-02,217.90138244628906
2017-03-03,218.5298309326172
2017-03-06,218.49716186523438
2017-03-07,219.57449340820312
2017-03-08,218.49716186523438
2017-03-09,219.28065490722656
2017-03-10,219.26434326171875
2017-03-13,219.69688415527344
2017-03-14,218.72569274902344
2017-03-15,219.90093994140625
2017-03-16,218.6766815185547
2017-03-17,221.97396850585938
2017-03-20,222.0147247314453
2017-03-21,219.5417938232422
2017-03-22,219.88458251953125
2017-03-23,219.9499053955078
2017-03-24,218.25234985351562
2017-03-27,218.0400848388672
2017-03-28,219.6397705078125
2017-03-29,218.92152404785156
2017-03-30,220.79869079589844
2017-03-31,218.39923095703125
2017-04-03,219.28065490722656
2017-04-04,219.9988555908203
2017-04-05,217.89320373535156
2017-04-06,217.99935913085938
2017-04-07,220.54571533203125
2017-04-10,219.56629943847656
2017-04-11,220.57830810546875
2017-04-12,219.14193725585938
2017-04-13,218.72569274902344
2017-04-17,220.26004028320312
2017-04-18,219.36227416992188
2017-04-19,220.05599975585938
2017-04-20,221.8678436279297
2017-04-21,222.87986755371094
2017-04-24,225.42617797851562
2017-04-25,220.3742218017578
2017-04-26,220.64364624023438
2017-04-27,221.28839111328125
2017-04-28,219.9090576171875
2017-05-01,219.07656860351562
2017-05-02,219.94171142578125
2017-05-03,220.031494140625
2017-05-04,220.77420043945312
2017-05-05,222.83087158203125
2017-05-08,222.3983154296875
2017-05-09,223.5164337158203
2017-05-10,221.77804565429688
2017-05-11,222.06369018554688
2017-05-12,221.38633728027344
2017-05-15,222.27584838867188
2017-05-16,221.70458984375
2017-05-17,219.73765563964844
2017-05-18,218.17071533203125
2017-05-19,222.63497924804688
2017-05-22,226.09542846679688
2017-05-23,227.1808624267578
2017-05-24,228.56019592285156
2017-05-25,230.2006378173828
2017-05-26,231.49832153320312
2017-05-30,230.06903076171875
2017-05-31,230.92330932617188
2017-06-01,230.78363037109375
