,WYNN
2018-02-01,158.008056640625
2018-02-02,154.36578369140625
2018-02-05,153.36483764648438
2018-02-06,151.2703094482422
2018-02-07,164.33804321289062
2018-02-08,156.8866424560547
2018-02-09,154.05068969726562
2018-02-12,150.99227905273438
2018-02-13,152.6049041748047
2018-02-14,152.6049041748047
2018-02-15,152.4654541015625
2018-02-16,152.71646118164062
2018-02-20,153.31141662597656
2018-02-21,154.6500244140625
2018-02-22,152.63279724121094
2018-02-23,155.36585998535156
2018-02-26,157.1042022705078
2018-02-27,156.87179565429688
2018-02-28,155.7097930908203
2018-03-01,151.91696166992188
2018-03-02,151.5823211669922
2018-03-05,153.44154357910156
2018-03-06,155.04046630859375
2018-03-07,156.5557403564453
2018-03-08,166.50259399414062
2018-03-09,175.5941619873047
2018-03-12,178.2900390625
2018-03-13,172.35911560058594
2018-03-14,172.18251037597656
2018-03-15,173.10279846191406
2018-03-16,171.7548828125
2018-03-19,168.83587646484375
2018-03-20,171.2250213623047
2018-03-21,166.3259735107422
2018-03-22,163.18386840820312
2018-03-23,163.4999237060547
2018-03-26,164.54110717773438
2018-03-27,165.21969604492188
2018-03-28,163.64866638183594
2018-03-29,169.52378845214844
2018-04-02,168.259521484375
2018-04-03,167.60882568359375
2018-04-04,166.93948364257812
2018-04-05,168.48263549804688
2018-04-06,165.9262237548828
2018-04-09,167.68321228027344
2018-04-10,170.3790283203125
2018-04-11,167.17190551757812
2018-04-12,173.50253295898438
2018-04-13,170.8717498779297
2018-04-16,175.4175567626953
2018-04-17,177.2302703857422
2018-04-18,179.3312225341797
2018-04-19,178.15989685058594
2018-04-20,178.95936584472656
2018-04-23,179.6379852294922
2018-04-24,176.6260223388672
2018-04-25,170.0165252685547
2018-04-26,171.29005432128906
2018-04-27,172.08026123046875
2018-04-30,173.08421325683594
2018-05-01,178.34580993652344
2018-05-02,177.58352661132812
2018-05-03,178.13198852539062
2018-05-04,178.86639404296875
2018-05-07,178.40162658691406
2018-05-08,178.25283813476562
2018-05-09,185.18775939941406
2018-05-10,187.32582092285156
2018-05-11,181.87835693359375
2018-05-14,178.14132690429688
2018-05-15,177.4812774658203
2018-05-16,179.66514587402344
2018-05-17,177.303955078125
2018-05-18,176.41732788085938
2018-05-21,181.22369384765625
2018-05-22,180.94374084472656
2018-05-23,181.6250457763672
2018-05-24,180.7290802001953
2018-05-25,181.251708984375
2018-05-29,180.48641967773438
2018-05-30,182.61428833007812
2018-05-31,182.9315948486328
2018-06-01,179.65579223632812
2018-06-04,170.63104248046875
2018-06-05,165.07803344726562
2018-06-06,167.53253173828125
2018-06-07,164.4900665283203
2018-06-08,166.2353057861328
2018-06-11,168.75514221191406
2018-06-12,167.42056274414062
2018-06-13,164.6487274169922
2018-06-14,164.4900665283203
2018-06-15,161.74620056152344
2018-06-18,163.407470703125
2018-06-19,160.91558837890625
2018-06-20,162.80084228515625
2018-06-21,160.5236358642578
2018-06-22,158.78775024414062
2018-06-25,155.42794799804688
2018-06-26,156.0438995361328
2018-06-27,152.97344970703125
2018-06-28,153.06675720214844
2018-06-29,156.17457580566406
2018-07-02,143.8553009033203
2018-07-03,142.01675415039062
2018-07-05,144.5086212158203
2018-07-06,146.39382934570312
2018-07-09,149.44566345214844
2018-07-10,154.3453369140625
2018-07-11,150.43492126464844
2018-07-12,153.5520782470703
2018-07-13,154.2146759033203
2018-07-16,154.95199584960938
2018-07-17,153.95338439941406
2018-07-18,153.94403076171875
2018-07-19,152.6561279296875
2018-07-20,152.9827423095703
2018-07-23,152.8147735595703
2018-07-24,152.6467742919922
2018-07-25,154.7373504638672
2018-07-26,154.2333526611328
2018-07-27,152.48812866210938
2018-07-30,151.0229034423828
2018-07-31,155.6519317626953
2018-08-01,149.3150177001953
2018-08-02,139.56222534179688
2018-08-03,139.23556518554688
2018-08-06,142.74472045898438
2018-08-07,143.06202697753906
2018-08-08,143.62197875976562
2018-08-09,142.15676879882812
2018-08-10,138.61029052734375
2018-08-13,138.125
2018-08-14,134.27056884765625
2018-08-15,129.6266326904297
2018-08-16,130.9682159423828
2018-08-17,133.52940368652344
2018-08-20,136.76608276367188
2018-08-21,136.3439178466797
2018-08-22,136.08120727539062
2018-08-23,136.16566467285156
2018-08-24,136.878662109375
2018-08-27,139.53366088867188
2018-08-28,138.81129455566406
2018-08-29,139.56179809570312
2018-08-30,139.3460693359375
2018-08-31,139.16778564453125
2018-09-04,134.1861114501953
2018-09-05,131.6905975341797
2018-09-06,119.94473266601562
2018-09-07,120.44197082519531
2018-09-10,125.90211486816406
2018-09-11,125.23600769042969
2018-09-12,126.59632873535156
2018-09-13,126.82152557373047
2018-09-14,126.91532897949219
2018-09-17,124.26029205322266
2018-09-18,124.74816131591797
2018-09-19,127.3375015258789
2018-09-20,128.81980895996094
2018-09-21,128.27566528320312
2018-09-24,124.75750732421875
2018-09-25,125.65816497802734
2018-09-26,123.5285415649414
2018-09-27,120.96733856201172
2018-09-28,119.20358276367188
2018-10-01,117.54302215576172
2018-10-02,116.15453338623047
2018-10-03,119.27863311767578
2018-10-04,115.80741882324219
2018-10-05,113.1711654663086
2018-10-08,109.08074951171875
2018-10-09,111.60442352294922
2018-10-10,107.99247741699219
2018-10-11,109.03384399414062
2018-10-12,109.37158203125
2018-10-15,107.57968139648438
2018-10-16,110.54430389404297
2018-10-17,110.9758529663086
2018-10-18,106.82916259765625
2018-10-19,103.38607025146484
2018-10-22,101.97882080078125
2018-10-23,96.34044647216797
2018-10-24,93.27262115478516
2018-10-25,96.8376693725586
2018-10-26,94.29523468017578
2018-10-29,88.35662841796875
2018-10-30,91.56517028808594
2018-10-31,94.37966918945312
2018-11-01,105.66581726074219
2018-11-02,104.78395080566406
2018-11-05,102.54173278808594
2018-11-06,102.90760803222656
2018-11-07,106.9417495727539
2018-11-08,92.89735412597656
2018-11-09,92.24063873291016
2018-11-12,93.34768676757812
2018-11-13,95.6837158203125
2018-11-14,96.85643005371094
2018-11-15,99.82103729248047
2018-11-16,101.09695434570312
2018-11-19,97.77583312988281
