,LKQ
2015-11-25,27.854333877563477
2015-11-27,28.14447784423828
2015-11-30,27.601619720458984
2015-12-01,27.798171997070312
2015-12-02,27.217876434326172
2015-12-03,26.73117446899414
2015-12-04,27.17107582092285
2015-12-07,27.264671325683594
2015-12-08,27.47994613647461
2015-12-09,26.834131240844727
2015-12-10,26.815412521362305
2015-12-11,26.338071823120117
2015-12-14,26.628219604492188
2015-12-15,26.71245765686035
2015-12-16,26.890287399291992
2015-12-17,26.197673797607422
2015-12-18,25.561216354370117
2015-12-21,25.598655700683594
2015-12-22,26.993242263793945
2015-12-23,27.57353973388672
2015-12-24,27.601619720458984
2015-12-28,27.788814544677734
2015-12-29,28.107040405273438
2015-12-30,27.854333877563477
2015-12-31,27.732654571533203
2016-01-04,26.993242263793945
2016-01-05,26.787330627441406
2016-01-06,26.590778350830078
2016-01-07,26.38486671447754
2016-01-08,25.3740234375
2016-01-11,25.018356323242188
2016-01-12,25.28978729248047
2016-01-13,23.754798889160156
2016-01-14,24.166627883911133
2016-01-15,24.297658920288086
2016-01-19,24.091751098632812
2016-01-20,24.391258239746094
2016-01-21,24.65332794189453
2016-01-22,25.05579376220703
2016-01-25,24.391258239746094
2016-01-26,25.074514389038086
2016-01-27,24.475496292114258
2016-01-28,24.765642166137695
2016-01-29,25.645448684692383
2016-02-01,25.589298248291016
2016-02-02,25.065155029296875
2016-02-03,24.859243392944336
2016-02-04,24.709489822387695
2016-02-05,23.60504722595215
2016-02-08,23.324264526367188
2016-02-09,22.641002655029297
2016-02-10,22.968595504760742
2016-02-11,22.8469181060791
2016-02-12,23.427213668823242
2016-02-16,24.026227951049805
2016-02-17,24.353822708129883
2016-02-18,24.278942108154297
2016-02-19,24.6252498626709
2016-02-22,24.33510398864746
2016-02-23,24.494216918945312
2016-02-24,24.278942108154297
2016-02-25,25.97304344177246
2016-02-26,26.35679054260254
2016-02-29,25.8326473236084
2016-03-01,26.71245765686035
2016-03-02,27.10555648803711
2016-03-03,27.526744842529297
2016-03-04,28.107040405273438
2016-03-07,28.49078369140625
2016-03-08,28.462711334228516
2016-03-09,28.472070693969727
2016-03-10,28.546945571899414
2016-03-11,29.15532112121582
2016-03-14,28.85581398010254
2016-03-15,28.537588119506836
2016-03-16,28.837095260620117
2016-03-17,28.96813201904297
2016-03-18,28.85581398010254
2016-03-21,28.893253326416016
2016-03-22,28.837095260620117
2016-03-23,28.275516510009766
2016-03-24,28.191280364990234
2016-03-28,28.64990234375
2016-03-29,28.92133331298828
2016-03-30,29.12724494934082
2016-03-31,29.885379791259766
2016-04-01,30.100650787353516
2016-04-04,30.222326278686523
2016-04-05,29.482908248901367
2016-04-06,29.613943099975586
2016-04-07,29.361238479614258
2016-04-08,29.613943099975586
2016-04-11,29.35187530517578
2016-04-12,30.222326278686523
2016-04-13,31.074054718017578
2016-04-14,30.95237922668457
2016-04-15,31.074054718017578
2016-04-18,31.083415985107422
2016-04-19,31.21444320678711
2016-04-20,31.401639938354492
2016-04-21,31.364198684692383
2016-04-22,31.130212783813477
2016-04-25,30.961740493774414
2016-04-26,31.776033401489258
2016-04-27,31.97258949279785
2016-04-28,30.783905029296875
2016-04-29,29.997690200805664
2016-05-02,30.381439208984375
2016-05-03,30.41887855529785
2016-05-04,30.36271858215332
2016-05-05,30.26912498474121
2016-05-06,30.428237915039062
2016-05-09,30.521833419799805
2016-05-10,30.886863708496094
2016-05-11,30.484390258789062
2016-05-12,30.886863708496094
2016-05-13,30.2316837310791
2016-05-16,30.61542510986328
2016-05-17,30.11937141418457
2016-05-18,29.94153594970703
2016-05-19,29.445472717285156
2016-05-20,29.408035278320312
2016-05-23,29.857295989990234
2016-05-24,30.194246292114258
2016-05-25,30.821340560913086
2016-05-26,30.643505096435547
2016-05-27,31.064693450927734
2016-05-31,30.95237922668457
2016-06-01,30.596710205078125
2016-06-02,30.971097946166992
2016-06-03,30.821340560913086
2016-06-06,30.41887855529785
2016-06-07,30.93366241455078
2016-06-08,31.083415985107422
2016-06-09,30.98981475830078
2016-06-10,30.166166305541992
2016-06-13,30.081926345825195
2016-06-14,30.06321144104004
2016-06-15,30.36271858215332
2016-06-16,30.437597274780273
2016-06-17,30.49375343322754
2016-06-20,30.783905029296875
2016-06-21,30.671585083007812
