,HAL
2017-08-11,34.803585052490234
2017-08-14,34.707923889160156
2017-08-15,34.394840240478516
2017-08-16,34.1948127746582
2017-08-17,33.64693832397461
2017-08-18,33.907840728759766
2017-08-21,33.690425872802734
2017-08-22,33.6208610534668
2017-08-23,33.94261932373047
2017-08-24,33.73391342163086
2017-08-25,33.925228118896484
2017-08-28,33.73391342163086
2017-08-29,33.673038482666016
2017-08-30,33.629547119140625
2017-08-31,33.89044189453125
2017-09-01,33.986549377441406
2017-09-05,34.7990837097168
2017-09-06,35.830047607421875
2017-09-07,36.092159271240234
2017-09-08,35.20097732543945
2017-09-11,35.49802780151367
2017-09-12,36.04845428466797
2017-09-13,36.5202522277832
2017-09-14,36.85225296020508
2017-09-15,36.96583938598633
2017-09-18,37.23667526245117
2017-09-19,37.40267562866211
2017-09-20,38.101627349853516
2017-09-21,37.98805236816406
2017-09-22,38.66080093383789
2017-09-25,39.04521560668945
2017-09-26,39.00154113769531
2017-09-27,39.82279968261719
2017-09-28,40.04122543334961
2017-09-29,40.21596908569336
2017-10-02,39.77912139892578
2017-10-03,39.254905700683594
2017-10-04,39.47333526611328
2017-10-05,39.394691467285156
2017-10-06,39.09763717651367
2017-10-09,39.254905700683594
2017-10-10,39.34227752685547
2017-10-11,39.76163864135742
2017-10-12,39.10637283325195
2017-10-13,39.071434020996094
2017-10-16,38.97532653808594
2017-10-17,38.84426498413086
2017-10-18,38.241424560546875
2017-10-19,37.935630798339844
2017-10-20,37.85700225830078
2017-10-23,36.904685974121094
2017-10-24,36.14457702636719
2017-10-25,36.22319412231445
2017-10-26,36.03098678588867
2017-10-27,37.070682525634766
2017-10-30,37.50752258300781
2017-10-31,37.34152603149414
2017-11-01,37.612369537353516
2017-11-02,37.2978401184082
2017-11-03,37.76963806152344
2017-11-06,39.38597106933594
2017-11-07,39.55195999145508
2017-11-08,39.42090606689453
2017-11-09,39.32480239868164
2017-11-10,38.949119567871094
2017-11-13,38.62584686279297
2017-11-14,37.51625442504883
2017-11-15,36.42414093017578
2017-11-16,36.26688003540039
2017-11-17,36.49404525756836
2017-11-20,36.31929397583008
2017-11-21,35.96984100341797
2017-11-22,36.19699478149414
2017-11-24,36.32804870605469
2017-11-27,35.88246154785156
2017-11-28,35.83877944946289
2017-11-29,36.08340835571289
2017-11-30,36.502784729003906
2017-12-01,37.6211051940918
2017-12-04,38.34626388549805
2017-12-05,38.11910629272461
2017-12-06,38.05769729614258
2017-12-07,38.12788391113281
2017-12-08,38.59285354614258
2017-12-11,39.61931228637695
2017-12-12,39.68949890136719
2017-12-13,39.26837158203125
2017-12-14,38.96132278442383
2017-12-15,39.13678741455078
2017-12-18,39.90004348754883
2017-12-19,40.242191314697266
2017-12-20,41.602027893066406
2017-12-21,42.260005950927734
2017-12-22,42.11963653564453
2017-12-26,42.7863883972168
2017-12-27,42.83026123046875
2017-12-28,42.61093521118164
2017-12-29,42.87411880493164
2018-01-02,43.523338317871094
2018-01-03,44.30413818359375
2018-01-04,45.295501708984375
2018-01-05,45.46219253540039
2018-01-08,45.8745231628418
2018-01-09,45.71661376953125
2018-01-10,46.03244400024414
2018-01-11,46.78691864013672
2018-01-12,46.6202392578125
2018-01-16,45.734153747558594
2018-01-17,46.365814208984375
2018-01-18,45.93594741821289
2018-01-19,46.50619125366211
2018-01-22,49.48027420043945
2018-01-23,49.85751724243164
2018-01-24,48.550323486328125
2018-01-25,48.4275016784668
2018-01-26,48.78719711303711
2018-01-29,48.07657241821289
2018-01-30,47.49753952026367
2018-01-31,47.111534118652344
2018-02-01,47.822147369384766
2018-02-02,45.78680419921875
2018-02-05,43.90058135986328
2018-02-06,44.41819763183594
2018-02-07,43.5935173034668
2018-02-08,41.59325408935547
2018-02-09,40.970367431640625
2018-02-12,42.040687561035156
2018-02-13,41.57569885253906
2018-02-14,41.99681854248047
2018-02-15,41.13705825805664
2018-02-16,41.672210693359375
2018-02-20,41.37392807006836
2018-02-21,40.83876419067383
2018-02-22,41.347599029541016
2018-02-23,42.505653381347656
2018-02-26,42.31264877319336
2018-02-27,41.777488708496094
2018-02-28,40.72471618652344
2018-03-01,40.382572174072266
2018-03-02,40.382572174072266
2018-03-05,40.58434295654297
2018-03-06,40.44343566894531
2018-03-07,40.364166259765625
2018-03-08,40.5226936340332
2018-03-09,41.38581466674805
2018-03-12,41.32416534423828
2018-03-13,40.601959228515625
2018-03-14,40.72527313232422
2018-03-15,39.88856506347656
2018-03-16,40.43463134765625
2018-03-19,39.351318359375
2018-03-20,40.06470489501953
2018-03-21,41.491512298583984
2018-03-22,40.848575592041016
2018-03-23,40.90141296386719
2018-03-26,41.57957458496094
2018-03-27,41.28894805908203
2018-03-28,40.55792999267578
2018-03-29,41.34177780151367
2018-04-02,40.59315490722656
2018-04-03,41.21847915649414
2018-04-04,41.200862884521484
2018-04-05,41.9935302734375
2018-04-06,41.39462661743164
2018-04-09,41.007110595703125
2018-04-10,42.99757385253906
2018-04-11,43.67573547363281
2018-04-12,44.2217903137207
2018-04-13,44.72380828857422
2018-04-16,44.7061882019043
2018-04-17,44.82069396972656
2018-04-18,45.8775749206543
2018-04-19,45.80710983276367
2018-04-20,45.76307678222656
2018-04-23,45.84233856201172
2018-04-24,45.243446350097656
2018-04-25,45.578121185302734
2018-04-26,46.326744079589844
2018-04-27,46.52932357788086
2018-04-30,46.67024230957031
2018-05-01,46.18583679199219
2018-05-02,46.361976623535156
2018-05-03,46.071346282958984
2018-05-04,45.96564865112305
2018-05-07,45.82473373413086
2018-05-08,45.683815002441406
2018-05-09,46.41482925415039
2018-05-10,46.42363357543945
2018-05-11,46.04490280151367
2018-05-14,46.23868179321289
2018-05-15,46.432430267333984
2018-05-16,46.65262222290039
2018-05-17,47.885658264160156
2018-05-18,47.84161376953125
2018-05-21,47.912078857421875
2018-05-22,46.89043045043945
2018-05-23,46.60858917236328
2018-05-24,46.03611755371094
2018-05-25,44.20417404174805
2018-05-29,43.82547378540039
2018-05-30,44.39792251586914
2018-05-31,43.8078498840332
2018-06-01,43.22655487060547
2018-06-04,42.23131561279297
2018-06-05,42.31974411010742
2018-06-06,42.69987106323242
2018-06-07,43.256839752197266
2018-06-08,42.523067474365234
2018-06-11,42.310890197753906
2018-06-12,42.310890197753906
2018-06-13,42.142913818359375
2018-06-14,42.19596481323242
2018-06-15,41.196983337402344
2018-06-18,41.21466827392578
2018-06-19,40.763790130615234
2018-06-20,40.41018295288086
2018-06-21,39.711769104003906
2018-06-22,40.86103057861328
2018-06-25,39.99467086791992
2018-06-26,40.083065032958984
2018-06-27,40.52510070800781
2018-06-28,40.339447021484375
2018-06-29,39.835533142089844
2018-07-02,39.31394577026367
2018-07-03,39.36697769165039
2018-07-05,39.296268463134766
2018-07-06,39.720611572265625
2018-07-09,40.51626968383789
2018-07-10,40.89639663696289
2018-07-11,39.87089920043945
2018-07-12,39.711769104003906
2018-07-13,40.0919075012207
2018-07-16,39.747135162353516
2018-07-17,39.835533142089844
2018-07-18,39.605682373046875
2018-07-19,39.747135162353516
2018-07-20,39.95930862426758
2018-07-23,36.72366714477539
2018-07-24,35.6716423034668
2018-07-25,35.203086853027344
2018-07-26,36.52033996582031
2018-07-27,36.953514099121094
2018-07-30,37.38669967651367
2018-07-31,37.501625061035156
2018-08-01,37.18337631225586
2018-08-02,37.050758361816406
2018-08-03,37.17451858520508
2018-08-06,37.094970703125
2018-08-07,37.15684127807617
2018-08-08,37.15684127807617
2018-08-09,36.6971321105957
2018-08-10,37.077274322509766
2018-08-13,36.11365509033203
2018-08-14,35.95452880859375
2018-08-15,35.09700012207031
2018-08-16,35.15888214111328
2018-08-17,35.3357048034668
2018-08-20,35.715843200683594
2018-08-21,36.16670608520508
2018-08-22,36.4230842590332
2018-08-23,36.095985412597656
2018-08-24,36.07829666137695
2018-08-27,36.25510787963867
2018-08-28,35.95452880859375
2018-08-29,35.99873352050781
2018-08-30,35.55671691894531
2018-08-31,35.26496887207031
2018-09-04,35.06071472167969
2018-09-05,32.97377014160156
2018-09-06,32.73400115966797
2018-09-07,32.68071746826172
2018-09-10,32.5830192565918
2018-09-11,33.16914367675781
2018-09-12,33.870704650878906
2018-09-13,34.128238677978516
2018-09-14,34.30586242675781
2018-09-17,34.37690734863281
2018-09-18,34.77653503417969
2018-09-19,35.5757942199707
2018-09-20,35.86885070800781
2018-09-21,36.15303421020508
2018-09-24,36.463844299316406
2018-09-25,36.73027038574219
2018-09-26,36.48161697387695
2018-09-27,36.046470642089844
2018-09-28,35.99318313598633
2018-10-01,36.45497131347656
2018-10-02,37.04109191894531
2018-10-03,37.12102127075195
2018-10-04,37.2009391784668
2018-10-05,37.29863357543945
2018-10-08,37.30751419067383
2018-10-09,37.4229621887207
2018-10-10,36.09086608886719
2018-10-11,35.30049133300781
2018-10-12,35.16728973388672
2018-10-15,35.34489059448242
2018-10-16,35.59355163574219
2018-10-17,35.13176345825195
2018-10-18,33.74638748168945
2018-10-19,33.337867736816406
2018-10-22,32.32548904418945
2018-10-23,31.61502456665039
2018-10-24,30.398393630981445
2018-10-25,30.85130500793457
2018-10-26,31.206520080566406
2018-10-29,30.567121505737305
2018-10-30,31.135478973388672
