,EXR
2015-06-16,48.60734939575195
2015-06-17,48.72802734375
2015-06-18,49.37405014038086
2015-06-19,48.91261291503906
2015-06-22,48.38017654418945
2015-06-23,47.6773681640625
2015-06-24,47.03133773803711
2015-06-25,46.43503189086914
2015-06-26,46.59830093383789
2015-06-29,46.17236328125
2015-06-30,46.300148010253906
2015-07-01,47.44309997558594
2015-07-02,47.8548469543457
2015-07-06,47.790950775146484
2015-07-07,48.657047271728516
2015-07-08,48.84871292114258
2015-07-09,48.91261291503906
2015-07-10,49.39535140991211
2015-07-13,49.480525970458984
2015-07-14,49.38825607299805
2015-07-15,49.38825607299805
2015-07-16,49.95616912841797
2015-07-17,49.81418228149414
2015-07-20,50.247230529785156
2015-07-21,49.892276763916016
2015-07-22,50.33951950073242
2015-07-23,50.29692840576172
2015-07-24,50.389198303222656
2015-07-27,50.52410888671875
2015-07-28,50.39631271362305
2015-07-29,50.509883880615234
2015-07-30,51.70255661010742
2015-07-31,52.1923828125
2015-08-03,52.83129119873047
2015-08-04,52.75318908691406
2015-08-05,53.0229606628418
2015-08-06,53.48441696166992
2015-08-07,53.7399787902832
2015-08-10,53.456024169921875
2015-08-11,54.03104782104492
2015-08-12,54.449867248535156
2015-08-13,54.84033966064453
2015-08-14,55.69223403930664
2015-08-17,55.869686126708984
2015-08-18,55.74900436401367
2015-08-19,55.69223403930664
2015-08-20,55.287567138671875
2015-08-21,54.329200744628906
2015-08-24,51.26951217651367
2015-08-25,49.71479415893555
2015-08-26,51.19141387939453
2015-08-27,52.41954803466797
2015-08-28,52.625423431396484
2015-08-31,52.16399002075195
2015-09-01,51.461177825927734
2015-09-02,52.227882385253906
2015-09-03,52.03620147705078
2015-09-04,50.70157241821289
2015-09-08,51.880027770996094
2015-09-09,51.04234313964844
2015-09-10,51.09202575683594
2015-09-11,52.230098724365234
2015-09-14,52.28736114501953
2015-09-15,53.554290771484375
2015-09-16,52.98882293701172
2015-09-17,53.86924743652344
2015-09-18,54.026702880859375
2015-09-21,54.82837677001953
2015-09-22,54.12691116333008
2015-09-23,54.6494140625
2015-09-24,54.119773864746094
2015-09-25,54.59215545654297
2015-09-28,54.019535064697266
2015-09-29,54.83552932739258
2015-09-30,55.22919464111328
2015-10-01,54.6923828125
2015-10-02,55.021636962890625
2015-10-05,55.995079040527344
2015-10-06,54.91427230834961
2015-10-07,54.60647964477539
