,YUM
2019-09-20,101.8819351196289
2019-09-23,103.0522689819336
2019-09-24,101.82750701904297
2019-09-25,101.16522979736328
2019-09-26,102.3446044921875
2019-09-27,102.5079116821289
2019-09-30,102.90709686279297
2019-10-01,102.41719818115234
2019-10-02,102.21761322021484
2019-10-03,103.13390350341797
2019-10-04,104.02298736572266
2019-10-07,103.14298248291016
2019-10-08,102.14500427246094
2019-10-09,102.8163833618164
2019-10-10,103.72362518310547
2019-10-11,103.83247375488281
2019-10-14,102.35369110107422
2019-10-15,100.97472381591797
2019-10-16,101.13800811767578
2019-10-17,100.13096618652344
2019-10-18,101.8819351196289
2019-10-21,101.89100646972656
2019-10-22,99.8860092163086
2019-10-23,99.13302612304688
2019-10-24,98.84271240234375
2019-10-25,98.97880554199219
2019-10-28,99.35074615478516
2019-10-29,99.5412826538086
2019-10-30,93.75314331054688
2019-10-31,92.27436065673828
2019-11-01,90.40545654296875
2019-11-04,89.3167724609375
2019-11-05,88.84501647949219
2019-11-06,90.80463409423828
2019-11-07,90.41455078125
2019-11-08,89.72503662109375
2019-11-11,89.66154479980469
2019-11-12,89.21697998046875
2019-11-13,89.25328826904297
2019-11-14,89.00835418701172
2019-11-15,89.16256713867188
2019-11-18,89.16256713867188
2019-11-19,88.98113250732422
2019-11-20,89.40023040771484
2019-11-21,89.1998062133789
2019-11-22,88.9446792602539
2019-11-25,89.30001068115234
2019-11-26,90.8853988647461
2019-11-27,91.69627380371094
2019-11-29,91.7236328125
2019-12-02,91.62340545654297
2019-12-03,90.61204528808594
2019-12-04,90.38426971435547
2019-12-05,89.76471710205078
2019-12-06,89.99248504638672
2019-12-09,90.18380737304688
2019-12-10,90.42070007324219
2019-12-11,90.60293579101562
2019-12-12,90.95826721191406
2019-12-13,91.21337890625
2019-12-16,91.92408752441406
2019-12-17,90.76692962646484
2019-12-18,89.96514892578125
2019-12-19,90.94917297363281
2019-12-20,91.65071105957031
2019-12-23,90.94005584716797
2019-12-24,91.41384887695312
2019-12-26,92.74410247802734
2019-12-27,92.84431457519531
2019-12-30,91.69627380371094
2019-12-31,91.77831268310547
2020-01-02,93.09032440185547
2020-01-03,92.79875946044922
2020-01-06,92.74410247802734
2020-01-07,92.90811157226562
2020-01-08,93.07208251953125
2020-01-09,93.81011962890625
2020-01-10,92.65298461914062
2020-01-13,91.42294311523438
2020-01-14,91.76917266845703
2020-01-15,92.24295806884766
2020-01-16,93.08122253417969
2020-01-17,96.03327178955078
2020-01-21,96.21550750732422
2020-01-22,97.02642059326172
2020-01-23,96.56172943115234
2020-01-24,95.65060424804688
