,MDT
2019-05-15,76.08163452148438
2019-05-16,75.9437484741211
2019-05-17,75.61622619628906
2019-05-20,75.47832489013672
2019-05-21,75.65067291259766
2019-05-22,76.50399017333984
2019-05-23,78.986328125
2019-05-24,80.18438720703125
2019-05-28,78.7018814086914
2019-05-29,78.88288116455078
2019-05-30,79.79652404785156
2019-05-31,79.79652404785156
2019-06-03,80.44297790527344
2019-06-04,81.37385559082031
2019-06-05,83.21834564208984
2019-06-06,83.1752700805664
2019-06-07,83.70101928710938
2019-06-10,84.25267028808594
2019-06-11,84.0888900756836
2019-06-12,84.06303405761719
2019-06-13,84.03717041015625
2019-06-14,84.03717041015625
2019-06-17,83.88202667236328
2019-06-18,84.43364715576172
2019-06-19,85.11457061767578
2019-06-20,85.55415344238281
2019-06-21,85.65758514404297
2019-06-24,85.46797943115234
2019-06-25,85.24386596679688
2019-06-26,83.79585266113281
2019-06-27,84.01997375488281
2019-06-28,83.9423599243164
2019-07-01,84.5543441772461
2019-07-02,84.51123809814453
2019-07-03,85.16627502441406
2019-07-05,85.02762603759766
2019-07-08,84.94961547851562
2019-07-09,85.31362915039062
2019-07-10,85.66896057128906
2019-07-11,86.66561889648438
2019-07-12,86.01560974121094
2019-07-15,86.50959777832031
2019-07-16,86.55294036865234
2019-07-17,87.46292114257812
2019-07-18,87.82691955566406
2019-07-19,87.35894012451172
2019-07-22,87.7402572631836
2019-07-23,88.06092834472656
2019-07-24,88.6849136352539
2019-07-25,88.47691345214844
2019-07-26,88.87556457519531
2019-07-29,89.49091339111328
2019-07-30,89.91557312011719
2019-07-31,88.346923828125
2019-08-01,88.7195816040039
2019-08-02,88.6849136352539
2019-08-05,86.2409439086914
2019-08-06,87.7402572631836
2019-08-07,87.87026977539062
2019-08-08,88.6415786743164
2019-08-09,88.1129150390625
2019-08-12,87.53225708007812
2019-08-13,88.7455825805664
2019-08-14,87.47159576416016
2019-08-15,88.18225860595703
2019-08-16,89.05757904052734
2019-08-19,90.2882308959961
2019-08-20,92.6541976928711
2019-08-21,93.41686248779297
2019-08-22,93.45152282714844
2019-08-23,91.90888214111328
2019-08-26,92.63687896728516
2019-08-27,93.20020294189453
2019-08-28,93.5988540649414
2019-08-29,93.425537109375
2019-08-30,93.5035171508789
2019-09-03,93.13953399658203
2019-09-04,93.3041763305664
2019-09-05,93.35619354248047
2019-09-06,94.19686126708984
2019-09-09,93.5382080078125
2019-09-10,93.148193359375
2019-09-11,94.14484405517578
2019-09-12,95.6614990234375
2019-09-13,95.04617309570312
2019-09-16,94.50883483886719
2019-09-17,94.76017761230469
2019-09-18,95.33216857910156
2019-09-19,96.20748138427734
2019-09-20,96.35482025146484
2019-09-23,96.06014251708984
2019-09-24,95.1241683959961
2019-09-25,93.26952362060547
2019-09-26,93.54825592041016
2019-09-27,93.47857666015625
2019-09-30,94.61091613769531
2019-10-01,94.26251220703125
2019-10-02,92.27655792236328
2019-10-03,93.13885498046875
2019-10-04,94.55864715576172
2019-10-07,93.42633819580078
2019-10-08,91.46649932861328
2019-10-09,92.98208618164062
2019-10-10,93.56565856933594
2019-10-11,93.70506286621094
2019-10-14,93.6963119506836
2019-10-15,94.23637390136719
2019-10-16,94.50638580322266
2019-10-17,94.51509857177734
2019-10-18,94.17538452148438
2019-10-21,92.86885833740234
2019-10-22,91.0135498046875
2019-10-23,91.64940643310547
2019-10-24,91.71039581298828
2019-10-25,91.84104919433594
2019-10-28,92.52044677734375
2019-10-29,93.67891693115234
2019-10-30,94.54993438720703
2019-10-31,94.85481262207031
2019-11-01,94.5673599243164
2019-11-04,93.33049011230469
2019-11-05,91.91944122314453
2019-11-06,93.08660125732422
