,TPR
2018-12-26,28.524375915527344
2018-12-27,28.743206024169922
2018-12-28,28.4570369720459
2018-12-31,28.406532287597656
2019-01-02,28.962038040161133
2019-01-03,27.792110443115234
2019-01-04,28.844202041625977
2019-01-07,29.13037872314453
2019-01-08,29.8121337890625
2019-01-09,31.141977310180664
2019-01-10,30.392885208129883
2019-01-11,30.594890594482422
2019-01-14,30.418136596679688
2019-01-15,30.21613883972168
2019-01-16,29.711130142211914
2019-01-17,30.40130615234375
2019-01-18,31.209312438964844
2019-01-22,30.594890594482422
2019-01-23,30.729555130004883
2019-01-24,30.40130615234375
2019-01-25,31.562808990478516
2019-01-28,31.88265609741211
2019-01-29,31.806901931762695
2019-01-30,32.30348587036133
2019-01-31,32.58125305175781
2019-02-01,32.51390838623047
2019-02-04,32.38764953613281
2019-02-05,32.606502532958984
2019-02-06,33.086246490478516
2019-02-07,28.17928123474121
2019-02-08,28.499122619628906
2019-02-11,29.164043426513672
2019-02-12,29.75321388244629
2019-02-13,29.542795181274414
2019-02-14,29.58487319946289
2019-02-15,30.22455406188965
2019-02-19,29.90471649169922
2019-02-20,29.450218200683594
2019-02-21,29.31554412841797
2019-02-22,29.845796585083008
2019-02-25,30.43497085571289
2019-02-26,30.014135360717773
2019-02-27,29.83738136291504
2019-02-28,29.408126831054688
2019-03-01,29.761632919311523
2019-03-04,29.121957778930664
2019-03-05,29.13037872314453
2019-03-06,29.054624557495117
2019-03-07,29.052921295166016
2019-03-08,28.50892448425293
2019-03-11,28.780929565429688
2019-03-12,28.71292495727539
2019-03-13,28.780929565429688
2019-03-14,28.13492774963379
2019-03-15,27.36993408203125
2019-03-18,27.998924255371094
2019-03-19,27.990427017211914
2019-03-20,27.072431564331055
2019-03-21,27.157428741455078
2019-03-22,26.290430068969727
2019-03-25,26.834430694580078
2019-03-26,27.157428741455078
2019-03-27,27.607927322387695
2019-03-28,27.803430557250977
2019-03-29,27.616430282592773
2019-04-01,28.381423950195312
2019-04-02,28.253929138183594
2019-04-03,28.806428909301758
2019-04-04,29.282426834106445
2019-04-05,29.1124267578125
2019-04-08,28.73842430114746
2019-04-09,28.525924682617188
2019-04-10,28.398427963256836
2019-04-11,27.964929580688477
2019-04-12,27.684429168701172
2019-04-15,27.454931259155273
2019-04-16,27.42092514038086
2019-04-17,27.454931259155273
2019-04-18,27.66742706298828
2019-04-22,26.09493637084961
2019-04-23,26.213932037353516
2019-04-24,26.80042839050293
2019-04-25,26.179931640625
2019-04-26,26.902427673339844
2019-04-29,27.480426788330078
2019-04-30,27.429428100585938
2019-05-01,26.36693572998047
2019-05-02,26.681434631347656
2019-05-03,26.519929885864258
2019-05-06,26.791927337646484
2019-05-07,26.11193084716797
2019-05-08,26.137434005737305
2019-05-09,28.355924606323242
2019-05-10,27.412429809570312
2019-05-13,25.686933517456055
2019-05-14,26.162931442260742
2019-05-15,26.417930603027344
2019-05-16,26.638931274414062
2019-05-17,26.162931442260742
2019-05-20,26.11193084716797
2019-05-21,26.672929763793945
2019-05-22,26.23093605041504
2019-05-23,25.6954288482666
2019-05-24,25.25343132019043
2019-05-28,24.989933013916016
2019-05-29,24.64993667602539
2019-05-30,24.105939865112305
2019-05-31,24.275938034057617
2019-06-03,24.496932983398438
2019-06-04,25.542434692382812
2019-06-05,25.644433975219727
2019-06-06,25.453598022460938
2019-06-07,26.00375747680664
2019-06-10,25.763059616088867
2019-06-11,25.54815673828125
2019-06-12,24.7830867767334
2019-06-13,25.737272262573242
2019-06-14,25.393421173095703
2019-06-17,25.4965763092041
2019-06-18,26.055335998535156
2019-06-19,26.201473236083984
2019-06-20,26.545320510864258
2019-06-21,26.932151794433594
2019-06-24,26.99233055114746
2019-06-25,25.96077537536621
2019-06-26,26.45935821533203
2019-06-27,26.682865142822266
2019-06-28,27.276010513305664
2019-07-01,26.9063663482666
2019-07-02,26.081125259399414
2019-07-03,26.115510940551758
2019-07-05,25.995161056518555
2019-07-08,26.01235580444336
2019-07-09,25.479387283325195
2019-07-10,24.808876037597656
2019-07-11,25.54815673828125
2019-07-12,26.081125259399414
2019-07-15,26.433574676513672
2019-07-16,26.82040023803711
2019-07-17,26.020952224731445
2019-07-18,26.13269805908203
2019-07-19,26.046735763549805
2019-07-22,25.264480590820312
2019-07-23,25.823238372802734
2019-07-24,26.476552963256836
2019-07-25,26.493745803833008
2019-07-26,26.321823120117188
2019-07-29,26.313222885131836
2019-07-30,26.3562068939209
2019-07-31,26.588302612304688
2019-08-01,25.16132354736328
2019-08-02,25.57394027709961
2019-08-05,23.932056427001953
2019-08-06,23.9664363861084
2019-08-07,24.224327087402344
2019-08-08,24.473621368408203
2019-08-09,23.545223236083984
2019-08-12,22.565244674682617
2019-08-13,22.96067237854004
2019-08-14,21.490713119506836
2019-08-15,16.719770431518555
2019-08-16,17.15818214416504
2019-08-19,18.02640151977539
2019-08-20,18.08658218383789
2019-08-21,18.69692039489746
2019-08-22,18.292890548706055
2019-08-23,17.45905303955078
2019-08-26,17.94904136657715
2019-08-27,17.605188369750977
2019-08-28,17.613786697387695
2019-08-29,17.433263778686523
2019-08-30,17.751325607299805
2019-09-03,17.570804595947266
2019-09-04,18.47340965270996
2019-09-05,20.01752281188965
2019-09-06,20.690011978149414
2019-09-09,21.214035034179688
2019-09-10,21.982595443725586
2019-09-11,22.51534652709961
2019-09-12,22.340673446655273
2019-09-13,21.99132537841797
2019-09-16,22.279537200927734
2019-09-17,21.973859786987305
2019-09-18,21.99132537841797
2019-09-19,22.069929122924805
2019-09-20,21.95639419555664
2019-09-23,21.95639419555664
2019-09-24,21.965124130249023
2019-09-25,22.148534774780273
2019-09-26,22.279537200927734
2019-09-27,22.698749542236328
2019-09-30,22.751148223876953
2019-10-01,22.35814094543457
2019-10-02,21.60704231262207
2019-10-03,22.069929122924805
2019-10-04,22.262069702148438
2019-10-07,21.99132537841797
2019-10-08,21.53717803955078
2019-10-09,21.64198112487793
2019-10-10,21.825389862060547
2019-10-11,22.690017700195312
2019-10-14,22.05246353149414
2019-10-15,22.288270950317383
2019-10-16,22.270801544189453
2019-10-17,22.218399047851562
2019-10-18,22.323205947875977
2019-10-21,22.91709327697754
2019-10-22,23.065563201904297
2019-10-23,22.663820266723633
2019-10-24,22.45421028137207
2019-10-25,23.10049819946289
2019-10-28,22.82102394104004
2019-10-29,22.59394645690918
2019-10-30,22.925830841064453
2019-10-31,22.585214614868164
2019-11-01,22.96076011657715
2019-11-04,23.161636352539062
2019-11-05,23.53718376159668
2019-11-06,22.64635467529297
2019-11-07,23.641986846923828
2019-11-08,23.78172492980957
2019-11-11,23.301372528076172
2019-11-12,23.03936195373535
2019-11-13,22.733686447143555
2019-11-14,22.786087036132812
2019-11-15,23.371240615844727
2019-11-18,23.52845001220703
2019-11-19,23.53718376159668
2019-11-20,22.82102394104004
2019-11-21,22.50661277770996
2019-11-22,23.01316261291504
2019-11-25,23.310110092163086
2019-11-26,23.17910385131836
2019-11-27,23.598318099975586
2019-11-29,23.484777450561523
2019-12-02,22.611413955688477
2019-12-03,21.685649871826172
2019-12-04,22.305742263793945
2019-12-05,22.525239944458008
2019-12-06,22.596044540405273
2019-12-09,22.835012435913086
2019-12-10,22.596044540405273
2019-12-11,22.852712631225586
2019-12-12,23.312955856323242
2019-12-13,22.95892906188965
2019-12-16,22.551788330078125
2019-12-17,22.578344345092773
2019-12-18,22.95892906188965
2019-12-19,23.357210159301758
2019-12-20,23.64043617248535
2019-12-23,23.976764678955078
2019-12-24,23.666990280151367
2019-12-26,24.100675582885742
2019-12-27,23.790897369384766
2019-12-30,23.534223556518555
2019-12-31,23.870553970336914
2020-01-02,23.835153579711914
2020-01-03,23.82630157470703
2020-01-06,24.127227783203125
2020-01-07,24.35734748840332
2020-01-08,24.516664505004883
2020-01-09,24.233434677124023
2020-01-10,24.277690887451172
2020-01-13,24.870695114135742
2020-01-14,25.339786529541016
2020-01-15,25.27783203125
2020-01-16,25.534500122070312
2020-01-17,25.56990623474121
2020-01-21,25.100814819335938
2020-01-22,24.472408294677734
2020-01-23,24.729082107543945
2020-01-24,24.153785705566406
2020-01-27,23.22444725036621
2020-01-28,23.36606216430664
2020-01-29,23.684690475463867
2020-01-30,23.578481674194336
2020-01-31,22.8084659576416
2020-02-03,23.03858184814453
2020-02-04,24.07412338256836
2020-02-05,25.127368927001953
2020-02-06,25.667266845703125
2020-02-07,24.755634307861328
2020-02-10,25.233577728271484
2020-02-11,25.295534133911133
2020-02-12,26.083248138427734
2020-02-13,25.516799926757812
2020-02-14,25.853126525878906
2020-02-18,24.870695114135742
2020-02-19,24.81759262084961
2020-02-20,25.499099731445312
2020-02-21,24.773334503173828
2020-02-24,22.613740921020508
2020-02-25,21.551647186279297
2020-02-26,20.817039489746094
2020-02-27,20.31254005432129
2020-02-28,20.755083084106445
2020-03-02,20.967498779296875
2020-03-03,20.675424575805664
2020-03-04,21.533945083618164
2020-03-05,19.943496704101562
2020-03-06,19.476768493652344
2020-03-09,16.541793823242188
2020-03-10,17.19700050354004
2020-03-11,15.769901275634766
2020-03-12,13.47218132019043
2020-03-13,14.56718921661377
2020-03-16,10.303838729858398
2020-03-17,11.838644981384277
2020-03-18,11.991229057312012
2020-03-19,11.40782356262207
2020-03-20,10.806467056274414
2020-03-23,9.49604606628418
2020-03-24,12.314346313476562
2020-03-25,13.373451232910156
2020-03-26,13.606813430786133
2020-03-27,12.484879493713379
2020-03-30,11.856596946716309
2020-03-31,11.623235702514648
2020-04-01,9.935845375061035
2020-04-02,9.881993293762207
2020-04-03,9.95379638671875
2020-04-06,11.704014778137207
2020-04-07,12.987506866455078
2020-04-08,13.436280250549316
2020-04-09,14.091489791870117
2020-04-13,13.256771087646484
2020-04-14,13.80427360534668
2020-04-15,12.942628860473633
2020-04-16,12.933650970458984
2020-04-17,13.660667419433594
2020-04-20,12.754144668579102
2020-04-21,12.341270446777344
2020-04-22,12.036105155944824
2020-04-23,12.359224319458008
2020-04-24,12.24254322052002
2020-04-27,13.508084297180176
2020-04-28,14.459484100341797
2020-04-29,15.303176879882812
2020-04-30,13.355500221252441
2020-05-01,13.606813430786133
2020-05-04,13.256771087646484
2020-05-05,13.256771087646484
2020-05-06,12.628486633300781
2020-05-07,13.01443099975586
2020-05-08,13.355500221252441
2020-05-11,12.493855476379395
2020-05-12,11.838644981384277
2020-05-13,10.70773696899414
2020-05-14,11.138558387756348
2020-05-15,10.950074195861816
2020-05-18,12.01815414428711
2020-05-19,11.542455673217773
2020-05-20,11.901473999023438
2020-05-21,12.7810697555542
2020-05-22,12.547707557678223
2020-05-26,13.238819122314453
2020-05-27,13.80427360534668
2020-05-28,12.556685447692871
2020-05-29,12.20664119720459
2020-06-01,12.736191749572754
2020-06-02,13.01443099975586
2020-06-03,14.082512855529785
2020-06-04,14.755674362182617
2020-06-05,15.536540031433105
2020-06-08,16.137895584106445
2020-06-09,14.85440444946289
2020-06-10,13.894028663635254
2020-06-11,12.673364639282227
2020-06-12,12.996482849121094
2020-06-15,12.736191749572754
2020-06-16,13.454230308532715
2020-06-17,12.763118743896484
2020-06-18,12.547707557678223
2020-06-19,12.143810272216797
2020-06-22,12.305371284484863
2020-06-23,12.368199348449707
2020-06-24,11.488603591918945
2020-06-25,11.30909538269043
2020-06-26,11.264216423034668
2020-06-29,11.982254981994629
2020-06-30,11.919425010681152
2020-07-01,11.641186714172363
2020-07-02,11.677085876464844
2020-07-06,11.829669952392578
2020-07-07,11.353971481323242
2020-07-08,11.668111801147461
2020-07-09,11.07573127746582
2020-07-10,11.327043533325195
2020-07-13,11.578354835510254
2020-07-14,11.641186714172363
2020-07-15,12.583610534667969
2020-07-16,12.601561546325684
2020-07-17,12.260492324829102
2020-07-20,11.775816917419434
2020-07-21,12.251516342163086
2020-07-22,12.296394348144531
2020-07-23,12.44897747039795
2020-07-24,12.089958190917969
2020-07-27,12.251516342163086
2020-07-28,12.125862121582031
2020-07-29,12.44897747039795
2020-07-30,11.937376976013184
2020-07-31,11.991229057312012
2020-08-03,11.973276138305664
2020-08-04,11.919425010681152
2020-08-05,12.332295417785645
2020-08-06,12.592582702636719
2020-08-07,13.023407936096191
2020-08-10,13.849151611328125
2020-08-11,13.938905715942383
2020-08-12,14.001733779907227
2020-08-13,13.849151611328125
2020-08-14,14.297924995422363
2020-08-17,14.208170890808105
2020-08-18,13.759398460388184
