,KIM
2019-11-21,16.98187255859375
2019-11-22,16.950035095214844
2019-11-25,17.053491592407227
2019-11-26,17.172853469848633
2019-11-27,17.236513137817383
2019-11-29,17.204683303833008
2019-12-02,16.743135452270508
2019-12-03,16.8386287689209
2019-12-04,16.92616081237793
2019-12-05,16.862503051757812
2019-12-06,16.854543685913086
2019-12-09,16.894338607788086
2019-12-10,16.846586227416992
2019-12-11,16.576021194458008
2019-12-12,16.249752044677734
2019-12-13,16.16221809387207
2019-12-16,16.233835220336914
2019-12-17,16.233835220336914
2019-12-18,16.377077102661133
2019-12-19,16.345247268676758
2019-12-20,16.337289810180664
2019-12-23,16.1701717376709
2019-12-24,16.202007293701172
2019-12-26,16.281579971313477
2019-12-27,16.520315170288086
2019-12-30,16.528274536132812
2019-12-31,16.70573616027832
2020-01-02,15.810359954833984
2020-01-03,15.979750633239746
2020-01-06,16.18947982788086
2020-01-07,15.995885848999023
2020-01-08,15.931347846984863
2020-01-09,15.59255599975586
2020-01-10,15.64902400970459
2020-01-13,15.931347846984863
2020-01-14,16.165281295776367
2020-01-15,16.318546295166016
2020-01-16,16.40727424621582
2020-01-17,16.350811004638672
2020-01-21,16.463743209838867
2020-01-22,16.40727424621582
2020-01-23,16.496007919311523
2020-01-24,16.415342330932617
2020-01-27,16.237878799438477
2020-01-28,16.294343948364258
2020-01-29,16.181411743164062
2020-01-30,15.608687400817871
2020-01-31,15.366692543029785
2020-02-03,15.471563339233398
2020-02-04,15.673223495483398
2020-02-05,15.907149314880371
2020-02-06,15.866823196411133
2020-02-07,15.826489448547363
2020-02-10,15.891022682189941
2020-02-11,15.423160552978516
2020-02-12,15.140836715698242
2020-02-13,15.269895553588867
2020-02-14,15.536093711853027
2020-02-18,15.382826805114746
2020-02-19,14.97143840789795
2020-02-20,15.294098854064941
2020-02-21,15.382826805114746
2020-02-24,15.302166938781738
2020-02-25,14.987568855285645
2020-02-26,14.745574951171875
2020-02-27,14.261584281921387
2020-02-28,13.995392799377441
2020-03-02,14.374515533447266
2020-03-03,14.3261137008667
2020-03-04,14.745574951171875
2020-03-05,14.414848327636719
2020-03-06,13.979257583618164
2020-03-09,12.559550285339355
2020-03-10,13.05160903930664
2020-03-11,11.978764533996582
2020-03-12,10.260598182678223
2020-03-13,10.663923263549805
2020-03-16,8.550500869750977
2020-03-17,8.760226249694824
2020-03-18,7.872910976409912
2020-03-19,8.268168449401855
2020-03-20,8.574697494506836
2020-03-23,7.590583801269531
2020-03-24,8.461764335632324
2020-03-25,9.026420593261719
2020-03-26,9.131285667419434
2020-03-27,8.389169692993164
2020-03-30,8.147171974182129
2020-03-31,7.800313472747803
2020-04-01,6.894845962524414
2020-04-02,6.437957763671875
2020-04-03,6.4545722007751465
2020-04-06,7.193898677825928
2020-04-07,7.600943565368652
2020-04-08,7.9996819496154785
2020-04-09,8.988218307495117
2020-04-13,8.76392936706543
2020-04-14,8.91345500946045
2020-04-15,8.06613826751709
2020-04-16,7.044371128082275
2020-04-17,7.409880638122559
2020-04-20,7.110830307006836
2020-04-21,6.894845962524414
2020-04-22,6.919765949249268
2020-04-23,7.177285194396973
2020-04-24,7.144055366516113
2020-04-27,7.725550174713135
2020-04-28,8.431647300720215
2020-04-29,9.295578002929688
2020-04-30,9.062981605529785
2020-05-01,8.805466651916504
2020-05-04,8.639322280883789
2020-05-05,8.622708320617676
2020-05-06,8.157516479492188
2020-05-07,8.348576545715332
2020-05-08,9.054676055908203
2020-05-11,8.381805419921875
2020-05-12,7.7920050621032715
2020-05-13,7.2769694328308105
2020-05-14,7.659092903137207
2020-05-15,7.600943565368652
2020-05-18,8.647629737854004
2020-05-19,8.689165115356445
2020-05-20,9.10451889038086
2020-05-21,9.353729248046875
2020-05-22,9.411879539489746
2020-05-26,10.16781997680664
2020-05-27,10.325654029846191
2020-05-28,9.727547645568848
2020-05-29,9.22912311553955
2020-06-01,9.951836585998535
2020-06-02,10.3671875
2020-06-03,11.546788215637207
2020-06-04,11.887374877929688
2020-06-05,12.643319129943848
2020-06-08,13.033748626708984
2020-06-09,12.394107818603516
2020-06-10,11.679701805114746
2020-06-11,10.425336837768555
2020-06-12,11.43049144744873
2020-06-15,11.314191818237305
2020-06-16,11.737850189208984
2020-06-17,11.073287010192871
2020-06-18,11.073287010192871
2020-06-19,10.566558837890625
2020-06-22,10.848997116088867
2020-06-23,10.840690612792969
2020-06-24,10.64132308959961
2020-06-25,10.591479301452637
2020-06-26,10.40041732788086
2020-06-29,10.566558837890625
2020-06-30,10.666241645812988
2020-07-01,10.724392890930176
2020-07-02,10.599786758422852
2020-07-06,10.741005897521973
2020-07-07,10.09305477142334
2020-07-08,10.09305477142334
2020-07-09,9.83553695678711
2020-07-10,10.051521301269531
2020-07-13,9.80230712890625
2020-07-14,9.553098678588867
2020-07-15,9.985065460205078
2020-07-16,9.83553695678711
2020-07-17,9.652785301208496
2020-07-20,9.345422744750977
2020-07-21,9.31219482421875
2020-07-22,9.378650665283203
2020-07-23,9.212509155273438
2020-07-24,8.930068969726562
2020-07-27,8.896842956542969
2020-07-28,9.23742961883545
2020-07-29,9.411879539489746
2020-07-30,9.328804969787598
2020-07-31,9.262351989746094
2020-08-03,9.212509155273438
2020-08-04,9.586326599121094
2020-08-05,9.403570175170898
2020-08-06,9.503255844116211
2020-08-07,9.91030216217041
2020-08-10,10.026598930358887
2020-08-11,10.350574493408203
2020-08-12,10.292425155639648
2020-08-13,9.976759910583496
2020-08-14,9.951836585998535
2020-08-17,9.968448638916016
2020-08-18,9.760774612426758
2020-08-19,9.494948387145996
2020-08-20,9.594634056091309
2020-08-21,9.494948387145996
2020-08-24,9.843843460083008
2020-08-25,9.818923950195312
2020-08-26,9.611248970031738
2020-08-27,9.868765830993652
2020-08-28,10.026598930358887
2020-08-31,9.960143089294434
2020-09-01,10.142898559570312
2020-09-02,10.267504692077637
2020-09-03,10.392110824584961
2020-09-04,10.516715049743652
2020-09-08,10.184433937072754
2020-09-09,10.125807762145996
2020-09-10,10.159307479858398
2020-09-11,9.765665054321289
2020-09-14,10.360315322875977
2020-09-15,10.862836837768555
2020-09-16,10.938215255737305
2020-09-17,10.762332916259766
2020-09-18,10.21793270111084
2020-09-21,9.673538208007812
2020-09-22,9.506030082702637
2020-09-23,9.037007331848145
2020-09-24,9.129138946533203
2020-09-25,9.397150039672852
2020-09-28,9.681912422180176
2020-09-29,9.447402954101562
2020-09-30,9.430652618408203
2020-10-01,9.723788261413574
2020-10-02,9.966672897338867
2020-10-05,10.008550643920898
2020-10-06,10.008550643920898
2020-10-07,9.849418640136719
2020-10-08,10.067179679870605
2020-10-09,9.732165336608887
2020-10-12,9.723788261413574
2020-10-13,9.27151870727539
2020-10-14,9.187766075134277
2020-10-15,9.305020332336426
2020-10-16,9.229643821716309
2020-10-19,9.154265403747559
2020-10-20,9.29664421081543
2020-10-21,9.263144493103027
2020-10-22,9.59815788269043
2020-10-23,9.631659507751465
2020-10-26,9.305020332336426
2020-10-27,8.869502067565918
2020-10-28,8.559615135192871
2020-10-29,8.727121353149414
2020-10-30,8.593114852905273
2020-11-02,8.752246856689453
2020-11-03,9.229643821716309
2020-11-04,8.986756324768066
2020-11-05,8.869502067565918
2020-11-06,8.593114852905273
2020-11-09,11.36535930633545
2020-11-10,11.842754364013672
2020-11-11,11.842754364013672
2020-11-12,11.34860897064209
2020-11-13,11.909757614135742
2020-11-16,12.755667686462402
2020-11-17,12.621660232543945
2020-11-18,12.186144828796387
2020-11-19,12.546284675598145
2020-11-20,12.521157264709473
2020-11-23,13.073928833007812
2020-11-24,12.923175811767578
2020-11-25,12.78917121887207
2020-11-27,12.621660232543945
2020-11-30,12.094014167785645
2020-12-01,12.395526885986328
2020-12-02,12.630036354064941
2020-12-03,12.722166061401367
2020-12-04,13.073928833007812
2020-12-07,12.646787643432617
2020-12-08,12.545207977294922
2020-12-09,12.638324737548828
2020-12-10,12.545207977294922
2020-12-11,12.48595142364502
2020-12-14,12.215070724487305
2020-12-15,12.917669296264648
2020-12-16,12.680648803710938
2020-12-17,12.765297889709473
2020-12-18,12.375906944274902
2020-12-21,12.215070724487305
2020-12-22,12.181211471557617
2020-12-23,12.181211471557617
2020-12-24,12.291257858276367
2020-12-28,12.452091217041016
2020-12-29,12.274325370788574
2020-12-30,12.528276443481445
2020-12-31,12.706045150756836
2021-01-04,12.130420684814453
