,REG
2019-09-12,55.35235595703125
2019-09-13,54.542938232421875
2019-09-16,54.679176330566406
2019-09-17,54.583011627197266
2019-09-18,54.40670394897461
2019-09-19,54.494850158691406
2019-09-20,54.278480529785156
2019-09-23,54.23039627075195
2019-09-24,54.19034194946289
2019-09-25,54.13424301147461
2019-09-26,55.176055908203125
2019-09-27,55.3603630065918
2019-09-30,55.68893814086914
2019-10-01,55.48860168457031
2019-10-02,54.87953186035156
2019-10-03,54.73528289794922
2019-10-04,55.31228256225586
2019-10-07,55.19207000732422
2019-10-08,54.791378021240234
2019-10-09,54.67116165161133
2019-10-10,54.73528289794922
2019-10-11,54.887535095214844
2019-10-14,54.847476959228516
2019-10-15,54.9756965637207
2019-10-16,54.87150955200195
2019-10-17,54.87150955200195
2019-10-18,55.15201187133789
2019-10-21,55.69695281982422
2019-10-22,55.81715774536133
2019-10-23,55.528663635253906
2019-10-24,55.23213577270508
2019-10-25,54.89555358886719
2019-10-28,54.55897903442383
2019-10-29,54.95166015625
2019-10-30,55.89730453491211
2019-10-31,53.88579177856445
2019-11-01,53.76559066772461
2019-11-04,53.14852523803711
2019-11-05,53.49311447143555
2019-11-06,53.46906661987305
2019-11-07,52.5474739074707
2019-11-08,52.284671783447266
2019-11-11,52.42213821411133
2019-11-12,52.40595626831055
2019-11-13,52.30893325805664
2019-11-14,53.182228088378906
2019-11-15,52.85878372192383
2019-11-18,52.72132110595703
2019-11-19,52.76175308227539
2019-11-20,52.08252716064453
2019-11-21,51.702476501464844
2019-11-22,51.864200592041016
2019-11-25,52.034000396728516
2019-11-26,52.317012786865234
2019-11-27,52.61619567871094
2019-11-29,52.59194564819336
2019-12-02,51.56500244140625
2019-12-03,51.856101989746094
2019-12-04,52.21189498901367
2019-12-05,51.75099563598633
2019-12-06,52.04209899902344
2019-12-09,52.23615646362305
2019-12-10,51.953147888183594
2019-12-11,50.65937423706055
2019-12-12,49.179603576660156
2019-12-13,49.25238800048828
2019-12-16,49.95587921142578
2019-12-17,49.713294982910156
2019-12-18,50.424869537353516
2019-12-19,50.57041931152344
2019-12-20,50.65937423706055
2019-12-23,50.08525466918945
2019-12-24,50.028656005859375
2019-12-26,50.13376998901367
2019-12-27,50.50572967529297
2019-12-30,50.45722198486328
2019-12-31,51.01514434814453
2020-01-02,49.8750114440918
2020-01-03,50.46529769897461
2020-01-06,50.59468078613281
2020-01-07,49.8750114440918
2020-01-08,50.27932357788086
2020-01-09,49.7698860168457
2020-01-10,50.0690803527832
2020-01-13,50.23080062866211
2020-01-14,50.667457580566406
2020-01-15,50.98281478881836
2020-01-16,51.14453887939453
2020-01-17,51.104095458984375
2020-01-21,51.629695892333984
2020-01-22,51.435630798339844
2020-01-23,51.81568145751953
2020-01-24,51.5811882019043
2020-01-27,51.209228515625
2020-01-28,51.54883575439453
2020-01-29,50.918128967285156
2020-01-30,50.449127197265625
2020-01-31,50.166114807128906
2020-02-03,50.0690803527832
2020-02-04,50.65937423706055
2020-02-05,51.29817199707031
2020-02-06,51.354774475097656
2020-02-07,51.0394172668457
2020-02-10,51.589263916015625
2020-02-11,50.65937423706055
2020-02-12,50.384437561035156
2020-02-13,50.80491256713867
2020-02-14,51.76715850830078
2020-02-18,51.945045471191406
2020-02-19,51.21730422973633
2020-02-20,51.799495697021484
2020-02-21,51.97499084472656
2020-02-24,51.76277542114258
2020-02-25,50.48952865600586
2020-02-26,50.154884338378906
2020-02-27,47.7144775390625
2020-02-28,46.881954193115234
2020-03-02,49.20811080932617
2020-03-03,48.08992385864258
2020-03-04,50.65276336669922
2020-03-05,50.367088317871094
2020-03-06,49.33053970336914
2020-03-09,45.86988067626953
2020-03-10,47.32270431518555
2020-03-11,45.17612075805664
2020-03-12,42.148067474365234
2020-03-13,45.09450149536133
2020-03-16,36.679588317871094
2020-03-17,38.91594314575195
2020-03-18,30.843830108642578
2020-03-19,30.63161849975586
2020-03-20,28.811500549316406
2020-03-23,28.468713760375977
2020-03-24,32.19870376586914
2020-03-25,33.65968322753906
2020-03-26,34.55748748779297
2020-03-27,33.04753875732422
2020-03-30,32.60679244995117
2020-03-31,31.366186141967773
2020-04-01,28.999237060546875
2020-04-02,27.09751319885254
2020-04-03,26.338459014892578
2020-04-06,28.689088821411133
2020-04-07,30.011306762695312
2020-04-08,33.37401580810547
2020-04-09,36.01030731201172
2020-04-13,35.20228576660156
2020-04-14,35.871551513671875
2020-04-15,33.71681594848633
2020-04-16,30.25617218017578
2020-04-17,31.553911209106445
2020-04-20,30.35411262512207
2020-04-21,29.048208236694336
2020-04-22,28.9257755279541
2020-04-23,29.072689056396484
2020-04-24,28.917619705200195
2020-04-27,30.55815315246582
2020-04-28,33.08018112182617
2020-04-29,36.247005462646484
2020-04-30,35.83891296386719
2020-05-01,33.39850997924805
2020-05-04,32.835330963134766
2020-05-05,32.908790588378906
2020-05-06,31.121328353881836
2020-05-07,31.92936134338379
2020-05-08,34.24733352661133
2020-05-11,33.12099075317383
2020-05-12,31.43148422241211
2020-05-13,29.439979553222656
2020-05-14,29.799100875854492
2020-05-15,30.54169273376465
2020-05-18,34.28369903564453
2020-05-19,34.5575065612793
2020-05-20,34.32518005371094
2020-05-21,34.922569274902344
2020-05-22,34.23392105102539
2020-05-26,37.43659973144531
2020-05-27,38.04228973388672
2020-05-28,37.0798225402832
2020-05-29,35.50337600708008
2020-06-01,37.66892623901367
2020-06-02,37.99250411987305
2020-06-03,40.86331558227539
2020-06-04,41.32794189453125
2020-06-05,42.14936065673828
2020-06-08,44.5555305480957
2020-06-09,42.13277053833008
2020-06-10,39.95892333984375
2020-06-11,37.1047248840332
2020-06-12,39.73490524291992
2020-06-15,39.77638244628906
2020-06-16,40.71396255493164
2020-06-17,38.88029479980469
2020-06-18,38.54011535644531
2020-06-19,37.03833770751953
2020-06-22,37.67721176147461
2020-06-23,38.27461624145508
2020-06-24,36.80602264404297
2020-06-25,37.40340805053711
2020-06-26,36.913883209228516
2020-06-29,38.017391204833984
2020-06-30,38.07547378540039
2020-07-01,38.307796478271484
2020-07-02,37.94272232055664
2020-07-06,38.150146484375
2020-07-07,36.58199691772461
2020-07-08,36.009498596191406
2020-07-09,34.94746780395508
2020-07-10,35.62782669067383
2020-07-13,35.337432861328125
2020-07-14,34.90597915649414
2020-07-15,35.65272521972656
2020-07-16,34.93086624145508
2020-07-17,34.5989875793457
2020-07-20,34.15924072265625
2020-07-21,33.669708251953125
2020-07-22,34.32518005371094
2020-07-23,33.545249938964844
2020-07-24,33.15528869628906
2020-07-27,33.113800048828125
2020-07-28,34.64046096801758
2020-07-29,34.939170837402344
2020-07-30,34.69025802612305
2020-07-31,34.04307556152344
2020-08-03,33.67800521850586
2020-08-04,34.067970275878906
2020-08-05,34.00159454345703
2020-08-06,33.98499298095703
2020-08-07,34.5575065612793
2020-08-10,35.56974792480469
2020-08-11,36.092464447021484
2020-08-12,36.23351287841797
2020-08-13,35.74143981933594
2020-08-14,36.06948471069336
2020-08-17,35.93490982055664
2020-08-18,35.1778450012207
2020-08-19,33.815147399902344
2020-08-20,34.61426544189453
2020-08-21,34.033851623535156
2020-08-24,34.5301399230957
2020-08-25,34.4460334777832
2020-08-26,33.73102951049805
2020-08-27,34.19367599487305
2020-08-28,34.01702117919922
2020-08-31,33.40297317504883
2020-09-01,33.142215728759766
2020-09-02,34.5133171081543
2020-09-03,34.681556701660156
2020-09-04,34.933902740478516
2020-09-08,34.46284866333008
2020-09-09,34.37873077392578
2020-09-10,33.09173583984375
2020-09-11,32.46926498413086
2020-09-14,33.6805534362793
2020-09-15,34.66472244262695
2020-09-16,35.00120162963867
2020-09-17,34.73202133178711
2020-09-18,33.70579147338867
2020-09-21,31.300046920776367
2020-09-22,31.34209632873535
2020-09-23,30.72804069519043
2020-09-24,30.938329696655273
2020-09-25,31.4766845703125
2020-09-28,32.43562316894531
2020-09-29,31.771100997924805
2020-09-30,31.98138427734375
2020-10-01,33.142215728759766
2020-10-02,33.815147399902344
2020-10-05,33.73944091796875
2020-10-06,33.60485076904297
2020-10-07,33.167442321777344
2020-10-08,34.01702117919922
2020-10-09,33.29361343383789
2020-10-12,33.43661117553711
2020-10-13,32.16645050048828
2020-10-14,31.67856788635254
2020-10-15,32.41880416870117
2020-10-16,31.57762336730957
2020-10-19,31.123390197753906
2020-10-20,31.54397201538086
2020-10-21,31.241167068481445
2020-10-22,32.11597442626953
2020-10-23,32.2085075378418
2020-10-26,31.586040496826172
2020-10-27,30.467283248901367
2020-10-28,29.743873596191406
2020-10-29,29.827987670898438
2020-10-30,29.937339782714844
2020-11-02,30.450456619262695
2020-11-03,31.4851016998291
2020-11-04,30.198110580444336
2020-11-05,30.43362808227539
2020-11-06,28.641929626464844
2020-11-09,38.660301208496094
2020-11-10,39.324825286865234
2020-11-11,38.752838134765625
2020-11-12,36.927494049072266
