,MCK
2021-10-19,198.864990234375
2021-10-20,202.30059814453125
2021-10-21,203.38040161132812
2021-10-22,205.24546813964844
2021-10-25,203.6355743408203
2021-10-26,204.14602661132812
2021-10-27,199.296875
2021-10-28,201.2502899169922
2021-10-29,204.05770874023438
2021-11-01,204.25404357910156
2021-11-02,214.90451049804688
2021-11-03,220.10707092285156
2021-11-04,218.988037109375
2021-11-05,217.61378479003906
2021-11-08,216.18063354492188
2021-11-09,215.42478942871094
2021-11-10,215.6014404296875
2021-11-11,218.7622528076172
2021-11-12,220.696044921875
2021-11-15,217.84933471679688
2021-11-16,216.55364990234375
2021-11-17,219.70460510253906
2021-11-18,221.29483032226562
2021-11-19,216.83828735351562
2021-11-22,217.98680114746094
2021-11-23,222.28627014160156
2021-11-24,221.86416625976562
2021-11-26,217.53526306152344
2021-11-29,219.16473388671875
2021-11-30,213.22325134277344
2021-12-01,211.8953094482422
2021-12-02,216.81373596191406
2021-12-03,215.0922393798828
2021-12-06,220.34515380859375
2021-12-07,220.9058380126953
2021-12-08,222.98138427734375
2021-12-09,226.97515869140625
2021-12-10,229.28680419921875
2021-12-13,227.0341796875
2021-12-14,225.88327026367188
2021-12-15,228.49984741210938
2021-12-16,228.65724182128906
2021-12-17,229.28680419921875
2021-12-20,230.44757080078125
2021-12-21,232.2378692626953
2021-12-22,232.62149047851562
2021-12-23,236.8513641357422
2021-12-27,241.33692932128906
2021-12-28,242.46817016601562
2021-12-29,244.4060516357422
2021-12-30,244.83885192871094
2021-12-31,244.5142364501953
2022-01-03,244.0519256591797
2022-01-04,243.9535369873047
2022-01-05,243.27484130859375
2022-01-06,240.61886596679688
2022-01-07,245.68482971191406
2022-01-10,246.62918090820312
2022-01-11,250.67208862304688
2022-01-12,250.47540283203125
2022-01-13,250.59344482421875
2022-01-14,252.33450317382812
2022-01-18,248.41946411132812
2022-01-19,247.05213928222656
2022-01-20,247.73089599609375
2022-01-21,242.59608459472656
2022-01-24,244.29783630371094
2022-01-25,241.6222381591797
2022-01-26,242.94033813476562
2022-01-27,250.93771362304688
2022-01-28,253.9969024658203
2022-01-31,252.53128051757812
2022-02-01,252.72799682617188
2022-02-02,254.2428436279297
2022-02-03,263.05670166015625
2022-02-04,261.22705078125
2022-02-07,265.7912902832031
2022-02-08,272.5099182128906
2022-02-09,274.24114990234375
2022-02-10,269.0669860839844
2022-02-11,266.7651672363281
2022-02-14,266.25372314453125
2022-02-15,269.430908203125
2022-02-16,271.31964111328125
2022-02-17,268.8899230957031
2022-02-18,266.3913879394531
2022-02-22,264.6108703613281
2022-02-23,263.9223327636719
2022-02-24,262.2500915527344
2022-02-25,270.8868713378906
2022-02-28,270.93603515625
2022-03-01,267.7730712890625
2022-03-02,269.79302978515625
2022-03-03,276.05999755859375
2022-03-04,277.6957092285156
2022-03-07,274.345458984375
2022-03-08,268.7584228515625
2022-03-09,272.48309326171875
2022-03-10,276.0205993652344
2022-03-11,277.1142578125
2022-03-14,280.68133544921875
2022-03-15,286.3768005371094
2022-03-16,287.0960388183594
2022-03-17,290.6039733886719
2022-03-18,294.6734924316406
2022-03-21,295.5505065917969
2022-03-22,295.5307922363281
2022-03-23,295.6293029785156
2022-03-24,299.5018615722656
2022-03-25,305.9362487792969
2022-03-28,303.9753723144531
2022-03-29,302.5072326660156
2022-03-30,302.5268859863281
2022-03-31,301.64996337890625
2022-04-01,302.5072326660156
2022-04-04,301.2853088378906
2022-04-05,302.5072326660156
2022-04-06,307.0102844238281
2022-04-07,315.45489501953125
2022-04-08,321.0714416503906
2022-04-11,315.97711181640625
2022-04-12,317.85919189453125
2022-04-13,320.85467529296875
2022-04-14,318.5193786621094
2022-04-18,321.86956787109375
2022-04-19,319.9481506347656
2022-04-20,326.6880187988281
2022-04-21,326.599365234375
2022-04-22,313.52349853515625
2022-04-25,312.6662902832031
2022-04-26,311.6317138671875
2022-04-27,313.1983947753906
2022-04-28,315.90814208984375
2022-04-29,305.0789489746094
2022-05-02,302.3100891113281
2022-05-03,303.30535888671875
2022-05-04,315.0804443359375
2022-05-05,310.6167297363281
2022-05-06,329.1021423339844
2022-05-09,321.6922607421875
2022-05-10,325.0030822753906
2022-05-11,327.2300109863281
2022-05-12,317.2974853515625
2022-05-13,319.4948425292969
2022-05-16,323.0323181152344
2022-05-17,328.2843017578125
2022-05-18,315.9573669433594
2022-05-19,314.4596862792969
2022-05-20,318.135009765625
2022-05-23,322.8352966308594
2022-05-24,323.98809814453125
2022-05-25,328.5997009277344
2022-05-26,331.4966125488281
2022-05-27,330.0579833984375
2022-05-31,324.3348388671875
2022-06-01,317.9406433105469
2022-06-02,314.3587951660156
2022-06-03,312.18798828125
2022-06-06,313.45098876953125
2022-06-07,317.3880920410156
2022-06-08,310.8459777832031
2022-06-09,307.8955993652344
2022-06-10,309.1882629394531
2022-06-13,302.92230224609375
2022-06-14,302.4586181640625
2022-06-15,303.60321044921875
2022-06-16,299.99169921875
2022-06-17,296.5874328613281
2022-06-21,305.28070068359375
2022-06-22,306.92852783203125
2022-06-23,310.4907531738281
2022-06-24,317.2894592285156
2022-06-27,321.91729736328125
2022-06-28,317.2894592285156
2022-06-29,323.71319580078125
2022-06-30,321.88775634765625
2022-07-01,325.1636657714844
2022-07-05,318.1084289550781
2022-07-06,317.279541015625
2022-07-07,316.993408203125
2022-07-08,326.8115539550781
2022-07-11,324.4532165527344
2022-07-12,323.0422058105469
2022-07-13,320.871337890625
2022-07-14,322.16400146484375
2022-07-15,325.6274719238281
2022-07-18,321.7100830078125
2022-07-19,325.597900390625
2022-07-20,322.2725830078125
2022-07-21,323.4665222167969
2022-07-22,326.0616455078125
2022-07-25,331.7453308105469
2022-07-26,333.19580078125
2022-07-27,335.1199951171875
2022-07-28,335.6134033203125
2022-07-29,337.0541076660156
2022-08-01,337.8829345703125
2022-08-02,330.6500244140625
2022-08-03,322.765869140625
2022-08-04,333.3339538574219
2022-08-05,342.0963439941406
2022-08-08,342.7771911621094
2022-08-09,350.06927490234375
2022-08-10,354.84515380859375
2022-08-11,354.0064392089844
2022-08-12,360.36114501953125
2022-08-15,366.5282287597656
2022-08-16,368.8865966796875
2022-08-17,362.5023498535156
2022-08-18,363.67657470703125
2022-08-19,366.09417724609375
2022-08-22,363.242431640625
2022-08-23,359.19671630859375
2022-08-24,358.4073181152344
2022-08-25,362.0286865234375
2022-08-26,352.0624694824219
2022-08-29,358.2099914550781
2022-08-30,359.1868591308594
2022-08-31,362.6752624511719
2022-09-01,359.5426025390625
2022-09-02,359.5327453613281
2022-09-06,356.5483093261719
2022-09-07,362.6357116699219
2022-09-08,365.79803466796875
2022-09-09,361.89453125
2022-09-12,359.44378662109375
2022-09-13,343.79046630859375
2022-09-14,337.3769226074219
2022-09-15,337.0014343261719
2022-09-16,342.1697692871094
2022-09-19,344.8380126953125
2022-09-20,341.4879150390625
2022-09-21,341.39898681640625
2022-09-22,342.8714599609375
2022-09-23,339.22491455078125
2022-09-26,338.8394775390625
2022-09-27,337.4460754394531
2022-09-28,344.8280944824219
2022-09-29,337.9698486328125
2022-09-30,335.864990234375
2022-10-03,342.65399169921875
2022-10-04,351.1723937988281
2022-10-05,350.1940612792969
2022-10-06,346.7550964355469
2022-10-07,342.59466552734375
2022-10-10,343.2272033691406
2022-10-11,347.4073181152344
2022-10-12,341.3199157714844
2022-10-13,350.29296875
2022-10-14,348.4943542480469
2022-10-17,350.31268310546875
2022-10-18,356.62738037109375
2022-10-19,356.40997314453125
2022-10-20,354.9572448730469
2022-10-21,366.27239990234375
2022-10-24,374.6424865722656
2022-10-25,377.9234313964844
2022-10-26,380.8683166503906
2022-10-27,383.4969787597656
2022-10-28,390.0686340332031
2022-10-31,384.78167724609375
2022-11-01,377.5380554199219
2022-11-02,385.19671630859375
2022-11-03,392.8948669433594
2022-11-04,391.9757995605469
2022-11-07,391.1358947753906
2022-11-08,386.1651306152344
2022-11-09,381.66876220703125
2022-11-10,365.9561462402344
2022-11-11,352.0124206542969
2022-11-14,356.82501220703125
2022-11-15,349.51220703125
2022-11-16,358.91998291015625
2022-11-17,362.2304992675781
2022-11-18,365.3730773925781
2022-11-21,364.4441833496094
2022-11-22,373.27880859375
2022-11-23,376.2632141113281
2022-11-25,378.8227233886719
2022-11-28,375.8580627441406
2022-11-29,377.2810974121094
2022-11-30,377.71649169921875
2022-12-01,375.7768859863281
2022-12-02,382.8328552246094
2022-12-05,378.4686584472656
2022-12-06,374.1143493652344
2022-12-07,381.50677490234375
2022-12-08,377.67694091796875
2022-12-09,367.55316162109375
2022-12-12,373.82733154296875
2022-12-13,367.2364807128906
2022-12-14,368.44378662109375
2022-12-15,364.45562744140625
2022-12-16,368.7704162597656
2022-12-19,371.6402587890625
2022-12-20,371.6501770019531
2022-12-21,376.5091857910156
2022-12-22,377.8253479003906
2022-12-23,379.68585205078125
2022-12-27,376.2419738769531
2022-12-28,373.58984375
2022-12-29,371.2246398925781
2022-12-30,371.2246398925781
2023-01-03,370.44281005859375
2023-01-04,370.12615966796875
2023-01-05,370.1657409667969
2023-01-06,382.0411071777344
2023-01-09,377.9936218261719
2023-01-10,378.69622802734375
2023-01-11,376.84564208984375
2023-01-12,376.88519287109375
2023-01-13,377.8451843261719
2023-01-17,379.4879150390625
2023-01-18,374.4705505371094
2023-01-19,374.7872619628906
2023-01-20,374.1143493652344
2023-01-23,371.1355285644531
2023-01-24,372.5903015136719
2023-01-25,372.14495849609375
2023-01-26,380.13116455078125
2023-01-27,375.2622985839844
2023-01-30,374.7575988769531
2023-01-31,374.74761962890625
2023-02-01,367.12762451171875
2023-02-02,362.6743469238281
2023-02-03,358.8148498535156
2023-02-06,354.41107177734375
2023-02-07,359.8341369628906
2023-02-08,362.87225341796875
2023-02-09,358.59716796875
2023-02-10,364.24786376953125
2023-02-13,363.1493225097656
2023-02-14,362.0508728027344
2023-02-15,359.8638610839844
2023-02-16,359.97271728515625
2023-02-17,363.0504150390625
2023-02-21,357.7559509277344
2023-02-22,356.95440673828125
2023-02-23,356.58819580078125
2023-02-24,355.4105529785156
2023-02-27,351.659912109375
2023-02-28,346.7043151855469
2023-03-01,348.6271057128906
2023-03-02,344.25628662109375
2023-03-03,342.60107421875
2023-03-06,344.8013610839844
2023-03-07,334.3350830078125
2023-03-08,335.2766418457031
2023-03-09,332.9872131347656
2023-03-10,333.21514892578125
2023-03-13,332.4222412109375
2023-03-14,333.5124816894531
2023-03-15,332.37274169921875
2023-03-16,336.90216064453125
2023-03-17,336.33721923828125
2023-03-20,342.184814453125
2023-03-21,344.3851013183594
2023-03-22,338.7852783203125
2023-03-23,332.84844970703125
2023-03-24,343.4831237792969
2023-03-27,346.2980041503906
2023-03-28,351.3328552246094
2023-03-29,353.98907470703125
2023-03-30,354.6036071777344
2023-03-31,352.888916015625
2023-04-03,360.5403747558594
2023-04-04,359.7673034667969
2023-04-05,369.8569641113281
2023-04-06,366.8042907714844
2023-04-10,367.4782409667969
2023-04-11,362.9190673828125
2023-04-12,359.34112548828125
2023-04-13,361.08551025390625
2023-04-14,358.78607177734375
2023-04-17,360.05474853515625
2023-04-18,357.0615539550781
2023-04-19,352.39337158203125
2023-04-20,356.080322265625
2023-04-21,356.6651306152344
2023-04-24,358.70684814453125
2023-04-25,360.06463623046875
2023-04-26,356.0505676269531
2023-04-27,360.58001708984375
2023-04-28,361.00616455078125
2023-05-01,350.8670654296875
2023-05-02,357.79498291015625
2023-05-03,351.2734375
2023-05-04,351.88787841796875
2023-05-05,362.6217346191406
2023-05-08,365.287841796875
2023-05-09,385.2688903808594
2023-05-10,390.9578552246094
2023-05-11,388.56927490234375
2023-05-12,386.5078125
2023-05-15,387.6772766113281
