,AIZ
2016-11-16,73.17694854736328
2016-11-17,73.15153503417969
2016-11-18,72.7023696899414
2016-11-21,72.66001892089844
2016-11-22,72.5074691772461
2016-11-23,73.49662780761719
2016-11-25,73.68423461914062
2016-11-28,73.24933624267578
2016-11-29,73.39432525634766
2016-11-30,73.62450408935547
2016-12-01,73.99974822998047
2016-12-02,73.41987609863281
2016-12-05,73.89743041992188
2016-12-06,75.79901885986328
2016-12-07,76.95016479492188
2016-12-08,79.73861694335938
2016-12-09,78.58744049072266
2016-12-12,78.57036590576172
2016-12-13,78.50215148925781
2016-12-14,78.56184387207031
2016-12-15,78.85176849365234
2016-12-16,77.88816833496094
2016-12-19,78.80061340332031
2016-12-20,78.70681762695312
2016-12-21,78.72389221191406
2016-12-22,79.46572875976562
2016-12-23,79.54248046875
2016-12-27,79.93474578857422
2016-12-28,79.46572875976562
2016-12-29,79.02233123779297
2016-12-30,79.184326171875
2017-01-03,80.25878143310547
2017-01-04,81.08592224121094
2017-01-05,81.12003326416016
2017-01-06,81.84486389160156
2017-01-09,80.25025177001953
2017-01-10,80.32696533203125
2017-01-11,80.838623046875
2017-01-12,80.86422729492188
2017-01-13,80.86422729492188
2017-01-17,80.76189422607422
2017-01-18,81.11150360107422
2017-01-19,81.56346130371094
2017-01-20,81.98980712890625
2017-01-23,81.83631896972656
2017-01-24,82.492919921875
2017-01-25,83.59295654296875
2017-01-26,84.31776428222656
2017-01-27,83.46503448486328
2017-01-30,82.68052673339844
2017-01-31,82.82546997070312
2017-02-01,83.0216064453125
2017-02-02,83.00454711914062
2017-02-03,83.57589721679688
2017-02-06,83.04720306396484
2017-02-07,82.71463012695312
2017-02-08,77.1292495727539
2017-02-09,77.90525817871094
2017-02-10,79.24403381347656
2017-02-13,80.4293212890625
2017-02-14,81.22235870361328
2017-02-15,82.07508087158203
2017-02-16,82.30531311035156
2017-02-17,82.5014419555664
2017-02-21,83.60145568847656
2017-02-22,83.8999252319336
2017-02-23,84.74010467529297
2017-02-24,84.67153930664062
2017-02-27,84.1228256225586
2017-02-28,84.87728118896484
2017-03-01,86.46337127685547
2017-03-02,85.52030181884766
2017-03-03,85.6231918334961
2017-03-06,85.37457275390625
2017-03-07,85.3917007446289
2017-03-08,85.28883361816406
2017-03-09,85.70893096923828
2017-03-10,85.42601013183594
2017-03-13,85.22881317138672
2017-03-14,85.2973861694336
2017-03-15,84.89444732666016
2017-03-16,84.52578735351562
2017-03-17,84.85157775878906
2017-03-20,83.71987915039062
2017-03-21,81.83370208740234
2017-03-22,81.9451904296875
2017-03-23,81.73941040039062
2017-03-24,81.49932861328125
2017-03-27,81.07068634033203
2017-03-28,81.87660217285156
2017-03-29,80.8563232421875
2017-03-30,81.82513427734375
