,KMI
2015-07-13,23.31578826904297
2015-07-14,23.212007522583008
2015-07-15,22.943374633789062
2015-07-16,22.833486557006836
2015-07-17,22.522123336791992
2015-07-20,22.161907196044922
2015-07-21,21.881072998046875
2015-07-22,21.588024139404297
2015-07-23,21.33771324157715
2015-07-24,21.276655197143555
2015-07-27,21.502548217773438
2015-07-28,21.716232299804688
2015-07-29,21.815275192260742
2015-07-30,21.68528175354004
2015-07-31,21.443851470947266
2015-08-03,20.892894744873047
2015-08-04,20.83718490600586
2015-08-05,19.958133697509766
2015-08-06,20.236705780029297
2015-08-07,19.896224975585938
2015-08-10,20.11908721923828
2015-08-11,20.360511779785156
2015-08-12,20.954805374145508
2015-08-13,20.515275955200195
2015-08-14,21.02289390563965
2015-08-17,21.270509719848633
2015-08-18,21.010513305664062
2015-08-19,20.787660598754883
2015-08-20,20.236705780029297
2015-08-21,19.6795597076416
2015-08-24,18.744794845581055
2015-08-25,18.52813148498535
2015-08-26,19.060508728027344
2015-08-27,19.809560775756836
2015-08-28,20.19956398010254
2015-08-31,20.063371658325195
2015-09-01,19.43194007873535
2015-09-02,19.382415771484375
2015-09-03,19.240032196044922
2015-09-04,19.048126220703125
2015-09-08,19.24622917175293
2015-09-09,18.967655181884766
2015-09-10,18.880985260009766
2015-09-11,18.633363723754883
2015-09-14,18.484792709350586
2015-09-15,18.6890811920166
2015-09-16,18.998607635498047
2015-09-17,19.08527183532715
2015-09-18,18.806699752807617
2015-09-21,18.98622703552246
2015-09-22,18.639556884765625
2015-09-23,17.989559173583984
2015-09-24,18.16288948059082
2015-09-25,18.212411880493164
2015-09-28,17.054794311523438
2015-09-29,16.194318771362305
2015-09-30,17.135271072387695
2015-10-01,17.41383934020996
2015-10-02,18.3424072265625
2015-10-05,19.159561157226562
2015-10-06,19.673370361328125
2015-10-07,19.896224975585938
2015-10-08,20.230514526367188
2015-10-09,20.02623176574707
2015-10-12,19.98908233642578
2015-10-13,19.487646102905273
2015-10-14,19.642410278320312
2015-10-15,19.95193862915039
2015-10-16,19.939563751220703
2015-10-19,19.6362247467041
2015-10-20,19.766225814819336
2015-10-21,19.450515747070312
2015-10-22,18.416702270507812
2015-10-23,18.094797134399414
2015-10-26,17.060985565185547
2015-10-27,16.88764762878418
2015-10-28,17.172412872314453
2015-10-29,17.15349578857422
2015-10-30,17.24808692932129
2015-11-02,16.7877254486084
2015-11-03,17.348997116088867
2015-11-04,16.907543182373047
2015-11-05,16.339963912963867
2015-11-06,16.434560775756836
2015-11-09,16.119232177734375
2015-11-10,16.04987144470215
2015-11-11,15.387690544128418
2015-11-12,14.79488754272461
2015-11-13,14.725513458251953
2015-11-16,15.154358863830566
2015-11-17,14.73182201385498
2015-11-18,15.324628829956055
2015-11-19,14.9210205078125
2015-11-20,14.750743865966797
2015-11-23,14.927324295043945
2015-11-24,15.393999099731445
2015-11-25,15.198497772216797
2015-11-27,15.053446769714355
2015-11-30,14.86426067352295
2015-12-01,14.139023780822754
2015-12-02,13.02908992767334
2015-12-03,12.146186828613281
2015-12-04,10.607418060302734
2015-12-07,10.355159759521484
2015-12-08,9.913711547851562
2015-12-09,10.60111141204834
2015-12-10,10.727241516113281
2015-12-11,10.506512641906738
2015-12-14,10.090289115905762
2015-12-15,9.989388465881348
2015-12-16,10.052452087402344
2015-12-17,9.692986488342285
2015-12-18,9.547937393188477
2015-12-21,9.547937393188477
2015-12-22,9.661452293395996
2015-12-23,10.348855018615723
2015-12-24,10.140742301940918
2015-12-28,9.623611450195312
2015-12-29,9.522709846496582
2015-12-30,9.169548988342285
2015-12-31,9.409196853637695
2016-01-04,9.629922866821289
2016-01-05,9.825417518615723
2016-01-06,9.314598083496094
2016-01-07,8.986662864685059
2016-01-08,9.314598083496094
2016-01-11,8.92990779876709
2016-01-12,8.57674789428711
2016-01-13,8.166828155517578
2016-01-14,8.816391944885254
2016-01-15,8.19836139678955
2016-01-19,7.914568901062012
2016-01-20,7.574025630950928
2016-01-21,8.753325462341309
2016-01-22,9.674064636230469
2016-01-25,8.948824882507324
2016-01-26,9.440725326538086
2016-01-27,8.967742919921875
2016-01-28,9.728049278259277
2016-01-29,10.466081619262695
2016-02-01,9.664422035217285
2016-02-02,9.320855140686035
2016-02-03,9.931641578674316
2016-02-04,9.963452339172363
2016-02-05,9.963452339172363
2016-02-08,9.492640495300293
2016-02-09,9.295404434204102
2016-02-10,9.289044380187988
2016-02-11,8.881852149963379
2016-02-12,9.518089294433594
2016-02-16,9.938005447387695
2016-02-17,10.93053150177002
2016-02-18,11.382258415222168
2016-02-19,11.051417350769043
2016-02-22,11.388623237609863
2016-02-23,11.08322811126709
2016-02-24,11.26773738861084
2016-02-25,11.293185234069824
2016-02-26,11.299551963806152
2016-02-29,11.50951099395752
2016-03-01,11.522233009338379
2016-03-02,11.846710205078125
2016-03-03,12.024857521057129
2016-03-04,11.783090591430664
2016-03-07,11.954870223999023
2016-03-08,11.32499885559082
2016-03-09,11.445883750915527
2016-03-10,11.26773738861084
2016-03-11,11.846710205078125
2016-03-14,11.923059463500977
2016-03-15,11.496781349182129
