,AVY
2015-01-05,42.454566955566406
2015-01-06,42.87786102294922
2015-01-07,43.30117416381836
2015-01-08,44.58766174316406
2015-01-09,44.00666427612305
2015-01-12,44.31376647949219
2015-01-13,44.28886413574219
2015-01-14,44.42996597290039
2015-01-15,43.483768463134766
2015-01-16,43.75768280029297
2015-01-20,44.488075256347656
2015-01-21,44.07305908203125
2015-01-22,44.72876739501953
2015-01-23,43.641475677490234
2015-01-26,43.973453521728516
2015-01-27,43.47544860839844
2015-01-28,43.07706069946289
2015-01-29,43.79086685180664
2015-01-30,43.38417053222656
2015-02-02,42.496070861816406
2015-02-03,43.018959045410156
2015-02-04,42.74506759643555
2015-02-05,43.4422607421875
2015-02-06,43.492061614990234
2015-02-09,43.14345932006836
2015-02-10,44.25566482543945
2015-02-11,44.14776611328125
2015-02-12,44.52956771850586
2015-02-13,44.645774841308594
2015-02-17,44.811771392822266
2015-02-18,44.8864631652832
2015-02-19,44.65406799316406
2015-02-20,44.8864631652832
2015-02-23,45.22676467895508
2015-02-24,45.351261138916016
2015-02-25,45.176971435546875
2015-02-26,45.0690803527832
2015-02-27,44.44655990600586
2015-03-02,45.05644989013672
2015-03-03,44.496681213378906
2015-03-04,44.47163772583008
2015-03-05,44.27946853637695
2015-03-06,43.65288162231445
2015-03-09,43.78654861450195
2015-03-10,43.151607513427734
2015-03-11,43.185020446777344
2015-03-12,43.71971893310547
2015-03-13,43.45236587524414
2015-03-16,44.02047348022461
2015-03-17,43.63616943359375
2015-03-18,44.13743591308594
2015-03-19,44.27946853637695
2015-03-20,44.6888427734375
2015-03-23,44.53010177612305
2015-03-24,44.25440979003906
2015-03-25,43.78654861450195
2015-03-26,43.5693359375
2015-03-27,43.74477767944336
2015-03-30,44.83088684082031
2015-03-31,44.204288482666016
2015-04-01,44.26274871826172
2015-04-02,44.27946853637695
2015-04-06,44.613651275634766
2015-04-07,44.53845977783203
2015-04-08,44.997962951660156
2015-04-09,44.88100051879883
2015-04-10,45.14835739135742
2015-04-13,45.05644989013672
2015-04-14,44.33795928955078
2015-04-15,43.84503173828125
2015-04-16,43.35210418701172
2015-04-17,42.66703796386719
2015-04-20,42.96778869628906
2015-04-21,43.02628707885742
2015-04-22,43.26021194458008
2015-04-23,43.03462600708008
2015-04-24,43.368812561035156
2015-04-27,43.410587310791016
2015-04-28,43.31033706665039
2015-04-29,45.62456512451172
2015-04-30,46.44331359863281
2015-05-01,46.919525146484375
2015-05-04,47.320556640625
2015-05-05,47.51271438598633
2015-05-06,48.22285461425781
2015-05-07,48.206138610839844
2015-05-08,48.623870849609375
2015-05-11,48.71577453613281
2015-05-12,48.67399978637695
2015-05-13,49.985687255859375
2015-05-14,50.553794860839844
2015-05-15,50.5621452331543
2015-05-18,50.30314636230469
2015-05-19,50.963157653808594
2015-05-20,50.98822784423828
2015-05-21,51.76520538330078
2015-05-22,52.2831916809082
2015-05-26,51.86547088623047
2015-05-27,52.78446578979492
2015-05-28,52.47534942626953
2015-05-29,51.723445892333984
2015-06-01,52.00920867919922
2015-06-02,51.07625961303711
2015-06-03,51.38724136352539
2015-06-04,50.89976119995117
2015-06-05,51.101478576660156
2015-06-08,51.009029388427734
2015-06-09,51.462894439697266
2015-06-10,52.15208435058594
2015-06-11,52.25294876098633
2015-06-12,52.18571090698242
2015-06-15,51.32840347290039
2015-06-16,51.941959381103516
2015-06-17,52.48828125
2015-06-18,52.631160736083984
2015-06-19,52.30335998535156
2015-06-22,52.41262435913086
2015-06-23,52.236141204833984
2015-06-24,51.8159065246582
2015-06-25,51.60576629638672
2015-06-26,52.278167724609375
2015-06-29,51.28639221191406
2015-06-30,51.21914291381836
2015-07-01,52.28656005859375
2015-07-02,52.25294876098633
2015-07-06,51.75706481933594
2015-07-07,52.06803512573242
2015-07-08,51.009029388427734
2015-07-09,50.9586067199707
2015-07-10,51.773860931396484
2015-07-13,52.42945098876953
2015-07-14,53.0093879699707
2015-07-15,53.38759994506836
2015-07-16,52.91692352294922
2015-07-17,51.958770751953125
2015-07-20,52.13526916503906
2015-07-21,51.740238189697266
2015-07-22,52.0260124206543
2015-07-23,51.4544792175293
2015-07-24,50.52153778076172
2015-07-27,50.25260543823242
2015-07-28,51.37882995605469
2015-07-29,51.15190505981445
2015-07-30,51.773860931396484
2015-07-31,51.14350509643555
2015-08-03,50.882957458496094
2015-08-04,50.68963623046875
2015-08-05,51.5805549621582
2015-08-06,52.00080108642578
2015-08-07,52.98417282104492
2015-08-10,54.33735275268555
2015-08-11,54.03477096557617
2015-08-12,53.522071838378906
2015-08-13,53.53047180175781
2015-08-14,53.76582336425781
2015-08-17,54.20287322998047
2015-08-18,53.606109619140625
2015-08-19,53.39600372314453
2015-08-20,52.110069274902344
2015-08-21,50.63920593261719
2015-08-24,48.10095977783203
2015-08-25,46.99150466918945
2015-08-26,48.764930725097656
2015-08-27,49.681053161621094
2015-08-28,50.06768035888672
2015-08-31,49.12046432495117
2015-09-01,47.61504364013672
2015-09-02,48.61302185058594
2015-09-03,49.05280303955078
2015-09-04,48.57918167114258
2015-09-08,49.99155807495117
2015-09-09,49.50103759765625
2015-09-10,49.80550003051758
2015-09-11,49.65327453613281
2015-09-14,49.6279182434082
2015-09-15,50.093055725097656
2015-09-16,50.921875
2015-09-17,50.989524841308594
2015-09-18,50.033851623535156
2015-09-21,49.6701774597168
2015-09-22,48.45231628417969
2015-09-23,48.426944732666016
2015-09-24,48.05482482910156
2015-09-25,47.978702545166016
2015-09-28,47.08222961425781
2015-09-29,47.014564514160156
2015-09-30,47.843387603759766
2015-10-01,49.17966079711914
2015-10-02,50.30448532104492
2015-10-05,50.18608856201172
2015-10-06,49.568687438964844
2015-10-07,49.7209358215332
2015-10-08,50.025394439697266
2015-10-09,50.414432525634766
2015-10-12,50.312950134277344
2015-10-13,50.109981536865234
2015-10-14,49.585609436035156
2015-10-15,50.18608856201172
2015-10-16,50.634334564208984
2015-10-19,50.89651107788086
2015-10-20,51.39549255371094
2015-10-21,51.09103012084961
2015-10-22,53.15463638305664
2015-10-23,54.05110549926758
2015-10-26,53.77201843261719
2015-10-27,53.40834426879883
2015-10-28,54.34712219238281
2015-10-29,55.12519836425781
