,RMD
2021-04-20,199.24122619628906
2021-04-21,201.96298217773438
2021-04-22,201.68209838867188
2021-04-23,202.72821044921875
2021-04-26,204.26824951171875
2021-04-27,204.05514526367188
2021-04-28,203.5418243408203
2021-04-29,201.3818359375
2021-04-30,182.0679168701172
2021-05-03,188.62538146972656
2021-05-04,186.13604736328125
2021-05-05,186.55255126953125
2021-05-06,187.03684997558594
2021-05-07,189.0321807861328
2021-05-10,187.14340209960938
2021-05-11,188.635009765625
2021-05-12,186.6551513671875
2021-05-13,189.12030029296875
2021-05-14,189.663818359375
2021-05-17,189.25621032714844
2021-05-18,187.83917236328125
2021-05-19,188.1497802734375
2021-05-20,192.895751953125
2021-05-21,196.18589782714844
2021-05-24,200.25245666503906
2021-05-25,200.46600341796875
2021-05-26,199.55368041992188
2021-05-27,199.8933868408203
2021-05-28,199.78660583496094
2021-06-01,200.17483520507812
2021-06-02,197.5640411376953
2021-06-03,197.9231414794922
2021-06-04,199.2624969482422
2021-06-07,200.61160278320312
2021-06-08,201.36856079101562
2021-06-09,205.71661376953125
2021-06-10,214.03419494628906
2021-06-11,212.1416473388672
2021-06-14,224.8751983642578
2021-06-15,229.4949951171875
2021-06-16,229.824951171875
2021-06-17,233.37713623046875
2021-06-18,230.4460906982422
2021-06-21,232.46481323242188
2021-06-22,233.9886016845703
2021-06-23,236.23057556152344
2021-06-24,238.724853515625
2021-06-25,237.29812622070312
2021-06-28,239.8118438720703
2021-06-29,239.03541564941406
2021-06-30,239.25863647460938
2021-07-01,240.57861328125
2021-07-02,243.15054321289062
2021-07-06,240.6271209716797
2021-07-07,244.65489196777344
2021-07-08,243.34466552734375
2021-07-09,240.38449096679688
2021-07-12,241.5103302001953
2021-07-13,241.4326934814453
2021-07-14,242.03439331054688
2021-07-15,242.2479248046875
2021-07-16,245.732177734375
2021-07-19,246.0815887451172
2021-07-20,247.7315216064453
2021-07-21,247.84796142578125
2021-07-22,250.00254821777344
2021-07-23,252.17660522460938
2021-07-26,252.08924865722656
2021-07-27,256.4566955566406
2021-07-28,258.1939392089844
2021-07-29,261.78509521484375
2021-07-30,263.79400634765625
2021-08-02,260.7174072265625
2021-08-03,265.0459899902344
2021-08-04,265.1430969238281
2021-08-05,259.5041809082031
2021-08-06,266.5989074707031
2021-08-09,269.7822570800781
2021-08-10,267.0162353515625
2021-08-11,264.483154296875
2021-08-12,267.0938720703125
2021-08-13,266.996826171875
2021-08-16,271.98541259765625
2021-08-17,272.3348388671875
2021-08-18,271.7419128417969
2021-08-19,275.10498046875
2021-08-20,277.6905517578125
2021-08-23,277.8363342285156
2021-08-24,274.3371276855469
2021-08-25,277.5641784667969
2021-08-26,277.05877685546875
2021-08-27,278.8763732910156
2021-08-30,280.9661865234375
2021-08-31,282.3950500488281
2021-09-01,280.0038757324219
2021-09-02,286.1566467285156
2021-09-03,287.5174560546875
2021-09-07,287.7215881347656
2021-09-08,289.0337829589844
2021-09-09,287.3036193847656
2021-09-10,287.31329345703125
2021-09-13,280.8106384277344
2021-09-14,284.09600830078125
2021-09-15,282.2881164550781
2021-09-16,278.1668395996094
2021-09-17,277.9432678222656
2021-09-20,276.27142333984375
2021-09-21,280.1593933105469
2021-09-22,280.4024658203125
2021-09-23,274.8328552246094
2021-09-24,271.65447998046875
2021-09-27,262.92584228515625
2021-09-28,257.4049072265625
2021-09-29,257.92974853515625
2021-09-30,256.1704406738281
2021-10-01,254.85826110839844
2021-10-04,247.87930297851562
2021-10-05,250.74668884277344
2021-10-06,248.9971160888672
2021-10-07,247.85015869140625
2021-10-08,246.79066467285156
2021-10-11,244.57449340820312
2021-10-12,245.18687438964844
2021-10-13,245.18687438964844
2021-10-14,247.49049377441406
2021-10-15,248.33615112304688
2021-10-18,249.7941436767578
2021-10-19,252.87539672851562
2021-10-20,254.12925720214844
2021-10-21,255.6747283935547
2021-10-22,260.00982666015625
2021-10-25,260.4764404296875
2021-10-26,260.22369384765625
2021-10-27,260.6124572753906
2021-10-28,261.1373596191406
2021-10-29,255.5483856201172
2021-11-01,257.53131103515625
2021-11-02,255.2471160888672
2021-11-03,260.6124572753906
2021-11-04,255.2957000732422
2021-11-05,253.2544708251953
2021-11-08,256.248291015625
2021-11-09,254.72950744628906
2021-11-10,252.6071319580078
2021-11-11,246.60032653808594
2021-11-12,248.07037353515625
2021-11-15,255.43043518066406
2021-11-16,259.43170166015625
2021-11-17,255.58621215820312
2021-11-18,256.1995544433594
2021-11-19,253.42489624023438
2021-11-22,250.41664123535156
2021-11-23,247.63229370117188
2021-11-24,248.25534057617188
2021-11-26,244.56558227539062
2021-11-29,250.12457275390625
2021-11-30,248.10935974121094
2021-12-01,246.59059143066406
2021-12-02,249.11209106445312
2021-12-03,248.04116821289062
2021-12-06,253.41513061523438
2021-12-07,258.8768310546875
2021-12-08,260.93096923828125
2021-12-09,257.56243896484375
2021-12-10,254.4666290283203
2021-12-13,256.52081298828125
2021-12-14,249.67672729492188
2021-12-15,249.7740936279297
2021-12-16,247.05789184570312
2021-12-17,246.28878784179688
2021-12-20,241.46975708007812
2021-12-21,250.81581115722656
2021-12-22,254.77813720703125
2021-12-23,251.97434997558594
2021-12-27,255.1383514404297
2021-12-28,253.98959350585938
2021-12-29,254.20370483398438
2021-12-30,255.0604705810547
2021-12-31,253.5904083251953
2022-01-03,252.64608764648438
2022-01-04,246.73660278320312
2022-01-05,238.26675415039062
2022-01-06,235.40451049804688
2022-01-07,230.9553680419922
2022-01-10,231.07220458984375
2022-01-11,232.06521606445312
2022-01-12,237.7117919921875
2022-01-13,245.04263305664062
2022-01-14,245.49049377441406
2022-01-18,234.32386779785156
2022-01-19,235.00535583496094
2022-01-20,231.66607666015625
2022-01-21,228.94012451171875
2022-01-24,232.21124267578125
2022-01-25,226.02920532226562
2022-01-26,224.92906188964844
2022-01-27,218.94175720214844
2022-01-28,210.40371704101562
2022-01-31,222.55361938476562
2022-02-01,226.01947021484375
2022-02-02,230.92616271972656
2022-02-03,230.74119567871094
2022-02-04,232.68829345703125
2022-02-07,231.26690673828125
2022-02-08,234.67434692382812
2022-02-09,240.37954711914062
2022-02-10,238.30226135253906
2022-02-11,237.8828887939453
2022-02-14,227.83782958984375
2022-02-15,229.427490234375
2022-02-16,231.69009399414062
2022-02-17,228.4425048828125
2022-02-18,225.9945831298828
2022-02-22,227.49647521972656
2022-02-23,227.45748901367188
2022-02-24,231.89488220214844
2022-02-25,239.3165283203125
2022-02-28,240.64285278320312
2022-03-01,244.9339599609375
2022-03-02,243.44183349609375
2022-03-03,243.7246551513672
2022-03-04,248.298583984375
2022-03-07,241.1597137451172
2022-03-08,232.93836975097656
2022-03-09,239.1604766845703
2022-03-10,236.61508178710938
2022-03-11,232.17771911621094
2022-03-14,230.7245635986328
2022-03-15,238.2632598876953
2022-03-16,249.0397491455078
2022-03-17,252.80426025390625
2022-03-18,254.99851989746094
2022-03-21,250.5904083251953
2022-03-22,248.73744201660156
2022-03-23,227.23316955566406
2022-03-24,235.3960418701172
2022-03-25,234.3817596435547
2022-03-28,236.47854614257812
2022-03-29,241.1012420654297
2022-03-30,242.84693908691406
2022-03-31,236.50778198242188
2022-04-01,240.34054565429688
2022-04-04,239.6286163330078
2022-04-05,239.40426635742188
2022-04-06,241.16949462890625
2022-04-07,245.84095764160156
2022-04-08,243.1589813232422
2022-04-11,236.1566925048828
2022-04-12,231.4949951171875
2022-04-13,230.74407958984375
2022-04-14,228.4132080078125
2022-04-18,226.2481689453125
2022-04-19,233.4942626953125
2022-04-20,238.9751739501953
2022-04-21,233.08465576171875
2022-04-22,221.7815399169922
2022-04-25,220.35768127441406
2022-04-26,211.29759216308594
2022-04-27,209.40560913085938
2022-04-28,208.22552490234375
2022-04-29,195.02069091796875
2022-05-02,194.8256378173828
2022-05-03,191.5585479736328
2022-05-04,200.16026306152344
2022-05-05,198.68760681152344
2022-05-06,197.0491943359375
2022-05-09,187.96961975097656
2022-05-10,190.3882598876953
2022-05-11,187.12388610839844
2022-05-12,187.9546356201172
2022-05-13,192.40159606933594
2022-05-16,192.45045471191406
2022-05-17,193.34963989257812
2022-05-18,187.07501220703125
2022-05-19,193.1150360107422
2022-05-20,193.1834716796875
2022-05-23,193.96534729003906
2022-05-24,191.09194946289062
2022-05-25,190.97463989257812
2022-05-26,197.48379516601562
2022-05-27,203.58250427246094
2022-05-31,198.8521270751953
2022-06-01,198.11911010742188
2022-06-02,206.47543334960938
2022-06-03,203.59228515625
2022-06-06,206.0747528076172
2022-06-07,209.64210510253906
2022-06-08,207.46258544921875
2022-06-09,203.88548278808594
2022-06-10,203.78775024414062
2022-06-13,197.8063507080078
2022-06-14,197.43496704101562
2022-06-15,198.6761932373047
2022-06-16,191.78587341308594
2022-06-17,193.0955352783203
2022-06-21,196.94627380371094
2022-06-22,198.37322998046875
2022-06-23,202.79087829589844
2022-06-24,206.7100372314453
2022-06-27,207.80465698242188
2022-06-28,206.4852294921875
2022-06-29,208.08810424804688
2022-06-30,204.8823699951172
2022-07-01,210.83445739746094
2022-07-05,211.5283966064453
2022-07-06,212.368896484375
2022-07-07,215.29119873046875
2022-07-08,212.74029541015625
2022-07-11,211.9584197998047
2022-07-12,210.89309692382812
2022-07-13,213.3071746826172
2022-07-14,216.89405822753906
2022-07-15,220.3929901123047
2022-07-18,213.80560302734375
2022-07-19,219.66970825195312
2022-07-20,221.76124572753906
2022-07-21,227.6351318359375
2022-07-22,226.50143432617188
2022-07-25,230.67471313476562
2022-07-26,232.76626586914062
2022-07-27,234.72096252441406
2022-07-28,237.5650634765625
2022-07-29,235.07281494140625
2022-08-01,233.78268432617188
2022-08-02,233.89019775390625
2022-08-03,234.1736297607422
2022-08-04,233.29403686523438
2022-08-05,236.32382202148438
2022-08-08,231.2708740234375
2022-08-09,231.41749572753906
2022-08-10,238.06350708007812
2022-08-11,235.3953399658203
2022-08-12,234.55482482910156
2022-08-15,231.7400360107422
2022-08-16,230.75289916992188
2022-08-17,231.4873046875
2022-08-18,231.08583068847656
2022-08-19,228.6280975341797
2022-08-22,224.58409118652344
2022-08-23,220.00152587890625
2022-08-24,219.06150817871094
2022-08-25,224.45677185058594
2022-08-26,216.54502868652344
2022-08-29,216.03587341308594
2022-08-30,214.87063598632812
2022-08-31,215.34060668945312
2022-09-01,214.90980529785156
2022-09-02,211.48268127441406
2022-09-06,216.06524658203125
2022-09-07,226.473876953125
2022-09-08,228.2168426513672
2022-09-09,231.11520385742188
2022-09-12,233.053955078125
2022-09-13,229.754150390625
2022-09-14,228.3441162109375
2022-09-15,221.2450714111328
2022-09-16,218.4250946044922
2022-09-19,219.5902557373047
2022-09-20,215.6147918701172
2022-09-21,213.0591583251953
2022-09-22,209.24038696289062
2022-09-23,210.0432891845703
2022-09-26,210.62103271484375
2022-09-27,207.89892578125
2022-09-28,214.1950225830078
2022-09-29,213.9110565185547
2022-09-30,213.75439453125
2022-10-03,219.58047485351562
2022-10-04,223.96719360351562
2022-10-05,226.93409729003906
2022-10-06,225.06387329101562
2022-10-07,217.77879333496094
2022-10-10,214.6160125732422
2022-10-11,210.52308654785156
2022-10-12,205.75450134277344
2022-10-13,210.30767822265625
2022-10-14,207.34075927734375
2022-10-17,210.52308654785156
2022-10-18,214.34185791015625
2022-10-19,210.81686401367188
