,PAYX
2020-11-11,81.99649047851562
2020-11-12,80.95755004882812
2020-11-13,82.28311920166016
2020-11-16,83.41162872314453
2020-11-17,82.84736633300781
2020-11-18,82.30998229980469
2020-11-19,82.47120666503906
2020-11-20,81.18145751953125
2020-11-23,82.3726577758789
2020-11-24,83.94902801513672
2020-11-25,83.40267181396484
2020-11-27,83.62657928466797
2020-11-30,83.4295425415039
2020-12-01,83.8146743774414
2020-12-02,83.13396453857422
2020-12-03,83.56388854980469
2020-12-04,84.61178588867188
2020-12-07,83.78780364990234
2020-12-08,83.59076690673828
2020-12-09,83.49223327636719
2020-12-10,81.80841827392578
2020-12-11,82.23833465576172
2020-12-14,81.7994613647461
2020-12-15,83.7698745727539
2020-12-16,84.61178588867188
2020-12-17,85.66867065429688
2020-12-18,86.80612182617188
2020-12-21,86.51056671142578
2020-12-22,86.54640197753906
2020-12-23,84.54910278320312
2020-12-24,84.82674407958984
2020-12-28,84.45952606201172
2020-12-29,83.42057800292969
2020-12-30,82.52494049072266
2020-12-31,83.4563980102539
2021-01-04,80.93067932128906
2021-01-05,80.62615966796875
2021-01-06,81.63825988769531
2021-01-07,81.97858428955078
2021-01-08,82.4174575805664
2021-01-11,81.50390625
2021-01-12,81.25312042236328
2021-01-13,80.21416473388672
2021-01-14,78.8796615600586
2021-01-15,79.14834594726562
2021-01-19,79.1214828491211
2021-01-20,79.99921417236328
2021-01-21,78.41392517089844
2021-01-22,77.80489349365234
2021-01-25,77.88548278808594
2021-01-26,78.21687316894531
2021-01-27,78.17208862304688
2021-01-28,79.79322052001953
2021-01-29,78.7560043334961
2021-02-01,80.54181671142578
2021-02-02,81.65116882324219
2021-02-03,81.12804412841797
2021-02-04,82.59819030761719
2021-02-05,82.64328002929688
2021-02-08,82.7154541015625
2021-02-09,81.97587585449219
2021-02-10,81.57902526855469
2021-02-11,81.4347152709961
2021-02-12,80.63199615478516
2021-02-16,80.09085845947266
2021-02-17,80.43358612060547
2021-02-18,82.32762908935547
2021-02-19,81.39863586425781
2021-02-22,81.52490234375
2021-02-23,81.96685028076172
2021-02-24,84.20362091064453
2021-02-25,82.44487762451172
2021-02-26,82.13822174072266
2021-03-01,83.65345764160156
2021-03-02,83.103271484375
2021-03-03,81.60606384277344
2021-03-04,80.55081939697266
2021-03-05,83.0852279663086
2021-03-08,84.0593032836914
2021-03-09,85.27691650390625
2021-03-10,85.41219329833984
2021-03-11,85.82708740234375
2021-03-12,85.90824890136719
2021-03-15,88.1630630493164
2021-03-16,88.42462921142578
