,HSY
2015-09-03,72.92550659179688
2015-09-04,72.5052490234375
2015-09-08,74.43668365478516
2015-09-09,73.03861236572266
2015-09-10,73.3052978515625
2015-09-11,73.70938110351562
2015-09-14,72.9093246459961
2015-09-15,73.33760833740234
2015-09-16,75.75394439697266
2015-09-17,75.39837646484375
2015-09-18,74.71951293945312
2015-09-21,74.97811889648438
2015-09-22,74.11341857910156
2015-09-23,74.22657775878906
2015-09-24,74.42052459716797
2015-09-25,74.80033874511719
2015-09-28,73.76596069335938
2015-09-29,74.66297149658203
2015-09-30,74.25081634521484
2015-10-01,74.38821411132812
2015-10-02,76.21456909179688
2015-10-05,77.16815948486328
2015-10-06,76.10143280029297
2015-10-07,77.3135986328125
2015-10-08,78.388427734375
2015-10-09,78.03284454345703
2015-10-12,78.44499969482422
2015-10-13,77.37020111083984
2015-10-14,76.20648956298828
2015-10-15,76.55398559570312
2015-10-16,76.99844360351562
2015-10-19,76.97421264648438
2015-10-20,76.13374328613281
2015-10-21,76.00448608398438
2015-10-22,77.52374267578125
2015-10-23,77.3135986328125
2015-10-26,76.73986053466797
2015-10-27,76.23072814941406
2015-10-28,71.30924224853516
2015-10-29,71.89109802246094
2015-10-30,71.67289733886719
2015-11-02,71.08295440673828
2015-11-03,71.16378784179688
2015-11-04,70.88092041015625
2015-11-05,70.88092041015625
2015-11-06,69.62834167480469
2015-11-09,68.78787231445312
2015-11-10,69.33740997314453
2015-11-11,69.975830078125
2015-11-12,68.82018280029297
2015-11-13,67.7373046875
2015-11-16,68.49696350097656
2015-11-17,67.54335021972656
2015-11-18,68.9494857788086
2015-11-19,68.76361846923828
2015-11-20,68.35956573486328
2015-11-23,69.696533203125
2015-11-24,70.40448760986328
2015-11-25,70.72185516357422
2015-11-27,70.79508209228516
2015-11-30,70.23359680175781
2015-12-01,69.67210388183594
2015-12-02,69.3384780883789
2015-12-03,68.80955505371094
2015-12-04,70.38821411132812
2015-12-07,70.90898895263672
2015-12-08,71.49491119384766
2015-12-09,70.47773742675781
2015-12-10,70.60790252685547
2015-12-11,71.14497375488281
2015-12-14,73.16307067871094
2015-12-15,72.70736694335938
2015-12-16,74.39178466796875
2015-12-17,73.09796142578125
2015-12-18,72.22724151611328
2015-12-21,72.56900787353516
2015-12-22,73.0165786743164
2015-12-23,73.51294708251953
2015-12-24,73.49668884277344
2015-12-28,73.55364227294922
2015-12-29,74.03376007080078
2015-12-30,73.72452545166016
2015-12-31,72.64225006103516
2016-01-04,71.60066223144531
2016-01-05,71.34027862548828
2016-01-06,71.38910675048828
2016-01-07,69.73721313476562
2016-01-08,69.10250091552734
2016-01-11,68.55731201171875
2016-01-12,69.17572784423828
2016-01-13,68.02836608886719
2016-01-14,68.81769561767578
2016-01-15,67.80052185058594
2016-01-19,68.85026550292969
2016-01-20,69.1594467163086
2016-01-21,68.89093780517578
2016-01-22,69.37104797363281
2016-01-25,68.16670227050781
2016-01-26,69.23269653320312
2016-01-27,68.70378112792969
2016-01-28,70.79508209228516
2016-01-29,71.69831848144531
2016-02-01,72.71549987792969
2016-02-02,72.82942962646484
2016-02-03,72.24352264404297
2016-02-04,72.12959289550781
2016-02-05,71.36470031738281
2016-02-08,73.24445343017578
2016-02-09,73.08979797363281
2016-02-10,73.0328369140625
2016-02-11,72.0075454711914
2016-02-12,72.99215698242188
2016-02-16,73.55364227294922
2016-02-17,74.54639434814453
2016-02-18,73.63502502441406
2016-02-19,74.07443237304688
2016-02-22,73.52108001708984
2016-02-23,73.63819885253906
2016-02-24,74.26066589355469
2016-02-25,75.30081939697266
2016-02-26,74.21971893310547
2016-02-29,74.44086456298828
2016-03-01,75.23532104492188
2016-03-02,75.57109069824219
2016-03-03,76.4638442993164
2016-03-04,76.31640625
2016-03-07,75.71035766601562
2016-03-08,75.3827133178711
2016-03-09,75.8167953491211
2016-03-10,75.30900573730469
2016-03-11,75.93965148925781
2016-03-14,75.61206817626953
2016-03-15,75.792236328125
2016-03-16,75.99697875976562
2016-03-17,75.8741226196289
2016-03-18,74.51453399658203
2016-03-21,74.43266296386719
2016-03-22,73.1795654296875
2016-03-23,73.64642333984375
2016-03-24,73.76927185058594
2016-03-28,73.9740219116211
2016-03-29,75.23532104492188
2016-03-30,75.22711181640625
2016-03-31,75.42369842529297
2016-04-01,76.75048828125
2016-04-04,75.75946807861328
2016-04-05,74.80941009521484
2016-04-06,75.23532104492188
2016-04-07,74.56371307373047
2016-04-08,75.19438171386719
2016-04-11,75.02236938476562
2016-04-12,75.46460723876953
2016-04-13,75.4318618774414
2016-04-14,75.50556945800781
2016-04-15,76.58670043945312
2016-04-18,77.02078247070312
2016-04-19,77.44666290283203
2016-04-20,75.0141830444336
2016-04-21,73.53174591064453
2016-04-22,74.16239929199219
2016-04-25,74.83396911621094
2016-04-26,73.38430786132812
2016-04-27,74.42446899414062
2016-04-28,75.07150268554688
2016-04-29,76.25907897949219
2016-05-02,76.7586669921875
2016-05-03,76.0543212890625
2016-05-04,75.46460723876953
2016-05-05,75.26805877685547
2016-05-06,75.03054809570312
2016-05-09,75.73493194580078
2016-05-10,76.30001831054688
2016-05-11,75.5465087890625
2016-05-12,76.30001831054688
2016-05-13,75.71035766601562
2016-05-16,75.91510009765625
2016-05-17,74.28524017333984
2016-05-18,73.6136474609375
2016-05-19,74.236083984375
2016-05-20,74.34255981445312
2016-05-23,74.69950866699219
2016-05-24,75.29300689697266
2016-05-25,75.30950164794922
2016-05-26,75.96070098876953
2016-05-27,76.33164978027344
2016-05-31,76.53772735595703
2016-06-01,76.66136932373047
2016-06-02,76.46353912353516
2016-06-03,77.07352447509766
2016-06-06,76.9004135131836
2016-06-07,76.83448028564453
2016-06-08,77.2548599243164
2016-06-09,79.4805679321289
2016-06-10,79.46404266357422
2016-06-13,78.82931518554688
2016-06-14,79.61243438720703
2016-06-15,79.175537109375
2016-06-16,79.7773208618164
2016-06-17,80.04931640625
2016-06-20,79.66185760498047
2016-06-21,80.33784484863281
2016-06-22,80.24714660644531
2016-06-23,80.05756378173828
2016-06-24,80.75821685791016
2016-06-27,80.1317367553711
2016-06-28,79.32394409179688
2016-06-29,80.07403564453125
2016-06-30,93.55159759521484
2016-07-01,92.28215026855469
2016-07-05,91.12812805175781
2016-07-06,90.08946990966797
2016-07-07,90.70772552490234
2016-07-08,91.25175476074219
2016-07-11,90.79014587402344
2016-07-12,89.63610076904297
2016-07-13,89.29814910888672
2016-07-14,89.10029602050781
2016-07-15,91.21879577636719
2016-07-18,90.15542602539062
2016-07-19,90.13066101074219
2016-07-20,89.9493408203125
2016-07-21,90.3367691040039
2016-07-22,90.63351440429688
2016-07-25,91.48257446289062
2016-07-26,90.2955551147461
2016-07-27,89.1827163696289
2016-07-28,91.78755950927734
2016-07-29,91.30120086669922
2016-08-01,91.40837097167969
2016-08-02,92.46350860595703
2016-08-03,91.0704116821289
2016-08-04,91.26824951171875
2016-08-05,92.03485870361328
2016-08-08,91.24349975585938
2016-08-09,90.8973159790039
2016-08-10,92.12553405761719
2016-08-11,92.3563461303711
2016-08-12,91.88646697998047
2016-08-15,92.17501068115234
2016-08-16,91.91122436523438
2016-08-17,93.50213623046875
2016-08-18,93.20536041259766
2016-08-19,93.65874481201172
2016-08-22,93.8813247680664
2016-08-23,93.70562744140625
2016-08-24,91.90708923339844
2016-08-25,91.9982681274414
2016-08-26,91.8988037109375
2016-08-29,92.55357360839844
2016-08-30,82.59123992919922
2016-08-31,82.7901382446289
2016-09-01,82.50006103515625
2016-09-02,82.3011474609375
2016-09-06,82.70726013183594
2016-09-07,82.16024017333984
2016-09-08,81.29827117919922
2016-09-09,79.71524047851562
2016-09-12,80.79271697998047
2016-09-13,79.57435607910156
2016-09-14,79.54948425292969
2016-09-15,79.57435607910156
2016-09-16,79.13509368896484
2016-09-19,79.11023712158203
2016-09-20,79.16824340820312
2016-09-21,79.86444854736328
2016-09-22,79.69868469238281
2016-09-23,79.4417495727539
2016-09-26,79.0107650756836
2016-09-27,78.48860168457031
2016-09-28,78.84500885009766
2016-09-29,78.43890380859375
2016-09-30,79.23455047607422
2016-10-03,79.07707214355469
2016-10-04,78.76212310791016
2016-10-05,78.49690246582031
2016-10-06,78.82844543457031
2016-10-07,78.91132354736328
2016-10-10,79.22627258300781
2016-10-11,78.43059539794922
2016-10-12,78.6958236694336
2016-10-13,79.27599334716797
2016-10-14,79.92244720458984
2016-10-17,80.17938232421875
2016-10-18,79.82298278808594
2016-10-19,79.25941467285156
2016-10-20,78.83672332763672
2016-10-21,79.03565216064453
2016-10-24,78.97761535644531
2016-10-25,79.4085922241211
2016-10-26,79.69039154052734
2016-10-27,79.15995025634766
2016-10-28,84.8704833984375
2016-10-31,84.92019653320312
2016-11-01,84.53067016601562
2016-11-02,84.40634155273438
2016-11-03,83.44490814208984
2016-11-04,82.8813247680664
2016-11-07,84.20742797851562
2016-11-08,83.86760711669922
2016-11-09,83.26255798339844
2016-11-10,80.61864471435547
2016-11-11,80.60208892822266
2016-11-14,81.98622131347656
2016-11-15,82.16024017333984
2016-11-16,82.3011474609375
2016-11-17,82.18513488769531
2016-11-18,81.68783569335938
2016-11-21,81.56106567382812
2016-11-22,81.502685546875
2016-11-23,81.03561401367188
2016-11-25,81.51102447509766
2016-11-28,81.60276794433594
2016-11-29,81.8446044921875
2016-11-30,80.6019058227539
2016-12-01,80.30164337158203
2016-12-02,80.9688949584961
2016-12-05,81.64445495605469
2016-12-06,82.14485931396484
2016-12-07,82.70369720458984
2016-12-08,82.10319519042969
2016-12-09,83.65452575683594
2016-12-12,84.32174682617188
2016-12-13,84.14659881591797
2016-12-14,83.3959732055664
2016-12-15,83.99646759033203
2016-12-16,84.37178802490234
2016-12-19,84.62198638916016
2016-12-20,85.58114624023438
2016-12-21,86.0482177734375
2016-12-22,87.10746002197266
2016-12-23,86.42353057861328
2016-12-27,86.57366180419922
2016-12-28,86.03152465820312
2016-12-29,86.73212432861328
2016-12-30,86.26505279541016
2017-01-03,86.67374420166016
2017-01-04,86.84056854248047
2017-01-05,86.28175354003906
2017-01-06,87.16583251953125
2017-01-09,86.64871978759766
2017-01-10,87.4327163696289
2017-01-11,87.53279876708984
2017-01-12,87.3076171875
2017-01-13,87.44938659667969
2017-01-17,87.71629333496094
2017-01-18,88.11663055419922
2017-01-19,87.75798797607422
2017-01-20,88.04991149902344
2017-01-23,87.82471466064453
2017-01-24,88.84223937988281
2017-01-25,88.65875244140625
2017-01-26,88.13330841064453
2017-01-27,87.99986267089844
2017-01-30,87.63288116455078
2017-01-31,87.96652221679688
2017-02-01,87.67459106445312
2017-02-02,88.06659698486328
2017-02-03,89.22590637207031
2017-02-06,89.58455657958984
2017-02-07,89.40106964111328
2017-02-08,89.22590637207031
2017-02-09,90.16838836669922
2017-02-10,89.75969696044922
2017-02-13,90.25177001953125
2017-02-14,90.36021423339844
2017-02-15,90.74385833740234
2017-02-16,89.78470611572266
2017-02-17,89.45109558105469
2017-02-21,90.47696685791016
2017-02-22,90.55078887939453
2017-02-23,91.13798522949219
2017-02-24,91.34765625
2017-02-27,90.42498779296875
2017-02-28,90.88630676269531
2017-03-01,91.76708221435547
2017-03-02,91.54061126708984
2017-03-03,91.1463623046875
2017-03-06,91.09603881835938
2017-03-07,90.71855926513672
2017-03-08,91.07086181640625
2017-03-09,91.73352813720703
2017-03-10,91.37281036376953
2017-03-13,91.1799087524414
2017-03-14,91.02892303466797
2017-03-15,91.67481231689453
2017-03-16,91.8258056640625
2017-03-17,91.43994140625
2017-03-20,91.30570983886719
2017-03-21,90.68500518798828
2017-03-22,90.54240417480469
2017-03-23,90.67660522460938
2017-03-24,90.57596588134766
2017-03-27,90.81082153320312
2017-03-28,91.55738830566406
2017-03-29,91.94325256347656
2017-03-30,91.34765625
2017-03-31,91.64127349853516
2017-04-03,91.36443328857422
2017-04-04,90.91987609863281
2017-04-05,91.49028778076172
2017-04-06,91.33089447021484
2017-04-07,91.86773681640625
2017-04-10,90.86114501953125
2017-04-11,90.9366683959961
2017-04-12,91.4735107421875
2017-04-13,90.76048278808594
2017-04-17,91.1799087524414
2017-04-18,91.8258056640625
2017-04-19,91.12120056152344
2017-04-20,91.2637939453125
2017-04-21,90.08942413330078
2017-04-24,90.96179962158203
2017-04-25,90.97857666015625
2017-04-26,90.1733169555664
2017-04-27,90.07266235351562
2017-04-28,90.76048278808594
2017-05-01,89.79586029052734
2017-05-02,89.80422973632812
2017-05-03,89.53582000732422
2017-05-04,89.98878479003906
2017-05-05,90.21527862548828
2017-05-08,89.75389099121094
2017-05-09,89.25900268554688
2017-05-10,89.44355010986328
2017-05-11,89.3764419555664
2017-05-12,89.81263732910156
2017-05-15,90.46692657470703
2017-05-16,89.93006896972656
2017-05-17,91.23861694335938
2017-05-18,92.90786743164062
2017-05-19,93.9312515258789
2017-05-22,94.59390258789062
2017-05-23,95.42721557617188
2017-05-24,96.45623779296875
2017-05-25,97.25748443603516
2017-05-26,97.80575561523438
2017-05-30,97.43462371826172
2017-05-31,97.22374725341797
2017-06-01,97.68766021728516
2017-06-02,97.73827362060547
2017-06-05,97.35872650146484
2017-06-06,97.40088653564453
2017-06-07,97.40088653564453
2017-06-08,95.9923324584961
2017-06-09,96.16946411132812
2017-06-12,95.81522369384766
2017-06-13,96.3297348022461
2017-06-14,96.48152923583984
2017-06-15,96.89482879638672
2017-06-16,94.32232666015625
2017-06-19,94.71874237060547
2017-06-20,94.11988830566406
2017-06-21,94.10301208496094
2017-06-22,93.2173843383789
2017-06-23,92.61853790283203
2017-06-26,93.01497650146484
2017-06-27,91.24374389648438
2017-06-28,90.81361389160156
2017-06-29,89.92798614501953
2017-06-30,90.56055450439453
2017-07-03,89.94483947753906
2017-07-05,89.66651153564453
2017-07-06,89.76771545410156
2017-07-07,89.32913970947266
2017-07-10,88.53630828857422
2017-07-11,87.76876831054688
2017-07-12,88.418212890625
2017-07-13,88.3929214477539
2017-07-14,88.9580307006836
2017-07-17,89.64964294433594
2017-07-18,89.31226348876953
2017-07-19,89.48095703125
2017-07-20,89.64122009277344
2017-07-21,89.7339859008789
2017-07-24,88.81462860107422
2017-07-25,90.6196060180664
2017-07-26,89.4050521850586
2017-07-27,89.78458404541016
2017-07-28,89.46408081054688
2017-07-31,88.82305908203125
2017-08-01,89.10985565185547
2017-08-02,89.05924224853516
2017-08-03,89.01704406738281
2017-08-04,88.44351959228516
2017-08-07,89.10985565185547
2017-08-08,88.64594268798828
2017-08-09,88.77246856689453
2017-08-10,88.81462860107422
2017-08-11,88.73026275634766
2017-08-14,89.35442352294922
2017-08-15,89.32071685791016
2017-08-16,89.43878173828125
2017-08-17,90.9654312133789
2017-08-18,90.5352554321289
2017-08-21,90.76297760009766
2017-08-22,90.8895034790039
2017-08-23,91.17463684082031
2017-08-24,89.54529571533203
2017-08-25,89.23980712890625
2017-08-28,88.6542739868164
2017-08-29,89.05311584472656
2017-08-30,88.59486389160156
2017-08-31,89.03614807128906
2017-09-01,89.62167358398438
2017-09-05,88.81552124023438
2017-09-06,89.35011291503906
2017-09-07,91.48013305664062
2017-09-08,91.77713775634766
2017-09-11,93.05006408691406
2017-09-12,92.99066925048828
2017-09-13,92.85487365722656
2017-09-14,92.77001953125
2017-09-15,93.77137756347656
2017-09-18,93.13492584228516
2017-09-19,92.84640502929688
2017-09-20,92.00625610351562
2017-09-21,91.26799011230469
2017-09-22,90.35995483398438
2017-09-25,90.656982421875
2017-09-26,90.9794692993164
2017-09-27,91.83656311035156
2017-09-28,91.49711608886719
2017-09-29,92.64274597167969
2017-10-02,92.36268615722656
2017-10-03,91.36134338378906
2017-10-04,91.85353088378906
2017-10-05,92.43058013916016
2017-10-06,92.20146179199219
2017-10-09,91.55651092529297
2017-10-10,92.52391052246094
2017-10-11,92.93975067138672
2017-10-12,93.3216323852539
2017-10-13,93.40648651123047
2017-10-16,94.144775390625
2017-10-17,94.04293060302734
2017-10-18,93.38951873779297
2017-10-19,92.79550170898438
2017-10-20,92.51541137695312
2017-10-23,92.60029602050781
2017-10-24,92.80394744873047
2017-10-25,92.1590347290039
2017-10-26,87.29649353027344
2017-10-27,88.32330322265625
2017-10-30,88.87491607666016
2017-10-31,90.10541534423828
2017-11-01,90.57213592529297
2017-11-02,90.45332336425781
2017-11-03,89.88475799560547
2017-11-06,88.577880859375
2017-11-07,89.92716979980469
2017-11-08,91.43771362304688
2017-11-09,91.45468139648438
2017-11-10,92.1590347290039
2017-11-13,91.80260467529297
2017-11-14,93.228271484375
2017-11-15,91.15766906738281
2017-11-16,93.09248352050781
2017-11-17,92.58331298828125
2017-11-20,93.43193054199219
2017-11-21,92.63459014892578
2017-11-22,92.30162811279297
2017-11-24,91.72965240478516
2017-11-27,92.51506805419922
2017-11-28,93.7699966430664
2017-11-29,94.33342742919922
2017-11-30,94.70052337646484
2017-12-01,94.76881408691406
2017-12-04,96.31401824951172
2017-12-05,96.2628402709961
2017-12-06,97.11649322509766
2017-12-07,96.94573974609375
2017-12-08,96.63842010498047
2017-12-11,96.29692840576172
2017-12-12,96.80914306640625
2017-12-13,96.6042709350586
2017-12-14,96.77501678466797
2017-12-15,97.44087982177734
2017-12-18,97.5433349609375
2017-12-19,98.5592269897461
2017-12-20,98.1665267944336
2017-12-21,97.88480377197266
2017-12-22,98.13240051269531
2017-12-26,98.18363189697266
2017-12-27,97.8165283203125
2017-12-28,97.62870788574219
2017-12-29,96.90308380126953
2018-01-02,95.7078857421875
2018-01-03,95.3066635131836
2018-01-04,95.97254943847656
2018-01-05,96.43352508544922
2018-01-08,97.37258911132812
2018-01-09,97.1335678100586
2018-01-10,94.60661315917969
2018-01-11,93.98343658447266
2018-01-12,93.28337860107422
2018-01-16,92.44676971435547
2018-01-17,92.99312591552734
2018-01-18,92.0199203491211
2018-01-19,93.36875915527344
2018-01-22,93.87242889404297
2018-01-23,94.59806060791016
2018-01-24,94.17121887207031
2018-01-25,94.9566421508789
2018-01-26,94.82003784179688
2018-01-29,93.6248779296875
2018-01-30,93.50535583496094
2018-01-31,94.18832397460938
2018-02-01,88.58806610107422
2018-02-02,87.90511322021484
2018-02-05,85.51473236083984
2018-02-06,86.47089385986328
2018-02-07,84.5500717163086
2018-02-08,83.36344146728516
2018-02-09,85.08790588378906
2018-02-12,85.18182373046875
2018-02-13,84.9769287109375
2018-02-14,84.53301239013672
2018-02-15,86.04405212402344
2018-02-16,85.9757308959961
2018-02-20,85.2842788696289
2018-02-21,83.56834411621094
2018-02-22,83.42739868164062
2018-02-23,83.32424926757812
2018-02-26,84.22667694091797
2018-02-27,84.38998413085938
2018-02-28,84.45011901855469
2018-03-01,84.05477905273438
2018-03-02,84.97441864013672
2018-03-05,85.47289276123047
2018-03-06,85.40413665771484
2018-03-07,85.84243774414062
2018-03-08,85.6447982788086
2018-03-09,86.2549819946289
2018-03-12,86.80504608154297
2018-03-13,87.49263000488281
2018-03-14,87.38947296142578
2018-03-15,86.75346374511719
2018-03-16,86.82222747802734
2018-03-19,86.0057601928711
2018-03-20,86.22920989990234
2018-03-21,84.63062286376953
2018-03-22,83.4101791381836
2018-03-23,82.559326171875
2018-03-26,84.24385833740234
2018-03-27,84.04618835449219
2018-03-28,84.4415512084961
2018-03-29,85.0517349243164
2018-04-02,83.401611328125
2018-04-03,84.0633773803711
2018-04-04,86.46126556396484
2018-04-05,85.68772888183594
2018-04-06,84.95720672607422
2018-04-09,85.39553833007812
2018-04-10,82.387451171875
2018-04-11,83.06640625
2018-04-12,82.13819122314453
2018-04-13,82.47337341308594
2018-04-16,83.19532012939453
2018-04-17,83.10939025878906
2018-04-18,81.94052124023438
2018-04-19,80.41068267822266
2018-04-20,79.48247528076172
2018-04-23,80.0840835571289
2018-04-24,79.73169708251953
2018-04-25,80.39350128173828
2018-04-26,80.17863464355469
2018-04-27,80.25596618652344
2018-04-30,79.01837158203125
2018-05-01,78.48548889160156
2018-05-02,76.9556884765625
2018-05-03,77.09320068359375
2018-05-04,78.880859375
2018-05-07,78.7777328491211
2018-05-08,79.1988525390625
2018-05-09,79.59420776367188
2018-05-10,79.8348617553711
2018-05-11,79.46529388427734
2018-05-14,79.53404998779297
2018-05-15,79.62858581542969
2018-05-16,80.47943878173828
2018-05-17,79.58560943603516
2018-05-18,78.63159942626953
2018-05-21,79.12149810791016
2018-05-22,78.76911926269531
2018-05-23,79.15589141845703
2018-05-24,79.35150909423828
2018-05-25,79.66314697265625
2018-05-29,79.28227233886719
2018-05-30,79.29093933105469
2018-05-31,77.94056701660156
2018-06-01,77.91456604003906
2018-06-04,79.03987121582031
2018-06-05,78.33873748779297
2018-06-06,78.38199615478516
2018-06-07,78.84078216552734
2018-06-08,79.43807983398438
2018-06-11,79.9920883178711
2018-06-12,80.83170318603516
2018-06-13,78.96197509765625
2018-06-14,79.75834655761719
2018-06-15,81.36841583251953
2018-06-18,79.24764251708984
2018-06-19,79.56791687011719
2018-06-20,79.51598358154297
2018-06-21,79.55927276611328
2018-06-22,80.21713256835938
2018-06-25,81.54155731201172
2018-06-26,81.40301513671875
2018-06-27,81.30781555175781
2018-06-28,81.52422332763672
2018-06-29,80.5547103881836
2018-07-02,79.83628845214844
2018-07-03,80.30367279052734
2018-07-05,82.37252044677734
2018-07-06,82.71012878417969
2018-07-09,81.29917907714844
2018-07-10,81.20394897460938
2018-07-11,81.40301513671875
2018-07-12,81.07412719726562
2018-07-13,81.3597640991211
2018-07-16,80.286376953125
2018-07-17,80.98754119873047
