,KHC
2018-10-26,40.746856689453125
2018-10-29,41.39552688598633
2018-10-30,41.64155960083008
2018-10-31,40.98543930053711
2018-11-01,41.90252685546875
2018-11-02,37.82410430908203
2018-11-05,39.061798095703125
2018-11-06,39.859588623046875
2018-11-07,39.92668914794922
2018-11-08,39.74775314331055
2018-11-09,40.254764556884766
2018-11-12,40.01615905761719
2018-11-13,39.79994201660156
2018-11-14,39.248199462890625
2018-11-15,39.22932815551758
2018-11-16,39.297245025634766
2018-11-19,39.15387725830078
2018-11-20,38.43705749511719
2018-11-21,38.60305404663086
2018-11-23,38.51250457763672
2018-11-26,38.53514099121094
2018-11-27,39.08596420288086
2018-11-28,38.6181526184082
2018-11-29,38.625694274902344
2018-11-30,38.5728645324707
2018-12-03,38.79924011230469
2018-12-04,37.712677001953125
2018-12-06,37.365577697753906
2018-12-07,36.754390716552734
2018-12-10,36.42238998413086
2018-12-11,36.50539016723633
2018-12-12,36.41484832763672
2018-12-13,36.573299407958984
2018-12-14,35.81120300292969
2018-12-17,35.32828140258789
2018-12-18,34.82273483276367
2018-12-19,34.02290344238281
2018-12-20,33.84181213378906
2018-12-21,33.238162994384766
2018-12-24,32.09879684448242
2018-12-26,32.66470718383789
2018-12-27,33.019351959228516
2018-12-28,32.8759880065918
2018-12-31,32.47606658935547
2019-01-02,32.702423095703125
2019-01-03,32.6797981262207
2019-01-04,33.57017135620117
2019-01-07,34.20399475097656
2019-01-08,34.23418045043945
2019-01-09,34.0530891418457
2019-01-10,34.40772247314453
2019-01-11,34.41526412963867
2019-01-14,34.898189544677734
2019-01-15,35.39619827270508
2019-01-16,35.3433723449707
2019-01-17,35.524471282958984
2019-01-18,35.864017486572266
2019-01-22,35.67537307739258
2019-01-23,35.50937271118164
2019-01-24,35.11701202392578
2019-01-25,35.27547073364258
2019-01-28,35.388648986816406
2019-01-29,35.37356185913086
2019-01-30,35.27547073364258
2019-01-31,36.2639274597168
2019-02-01,36.03756332397461
2019-02-04,36.01492691040039
2019-02-05,36.32429504394531
2019-02-06,35.984745025634766
2019-02-07,35.63764572143555
2019-02-08,35.81120300292969
2019-02-11,35.71311569213867
2019-02-12,36.301658630371094
2019-02-13,35.94701385498047
2019-02-14,35.72064971923828
2019-02-15,35.93192672729492
2019-02-19,36.04511260986328
2019-02-20,36.41484832763672
2019-02-21,36.3544807434082
2019-02-22,26.371715545654297
2019-02-25,25.828432083129883
2019-02-26,24.99087142944336
2019-02-27,24.29668617248535
2019-02-28,25.043691635131836
2019-03-01,24.44759750366211
2019-03-04,25.073875427246097
2019-03-05,24.93050765991211
2019-03-06,24.794692993164062
2019-03-07,24.359294891357425
2019-03-08,24.519704818725582
2019-03-11,24.57317352294922
2019-03-12,24.4356746673584
2019-03-13,24.67247200012207
2019-03-14,24.344018936157227
2019-03-15,24.512067794799805
2019-03-18,24.466228485107425
2019-03-19,24.54261779785156
2019-03-20,24.45859718322754
2019-03-21,25.016206741333008
2019-03-22,24.66483688354492
2019-03-25,24.82524681091309
2019-03-26,25.130788803100582
2019-03-27,24.93218231201172
2019-03-28,25.12315559387207
2019-03-29,24.93982315063477
2019-04-01,24.82524681091309
2019-04-02,24.50442695617676
2019-04-03,24.63428497314453
2019-04-04,24.97037696838379
2019-04-05,25.337026596069336
2019-04-08,25.352298736572266
2019-04-09,25.16897964477539
2019-04-10,25.19189453125
2019-04-11,25.199533462524418
2019-04-12,25.260643005371097
2019-04-15,25.314111709594727
2019-04-16,25.237722396850582
2019-04-17,25.12315559387207
2019-04-18,25.17662048339844
2019-04-22,25.130788803100582
2019-04-23,25.283557891845703
2019-04-24,25.023849487304688
2019-04-25,24.840526580810547
2019-04-26,25.253002166748047
2019-04-29,25.413414001464844
2019-04-30,25.390501022338867
2019-05-01,25.199533462524418
2019-05-02,24.580810546875
2019-05-03,24.886354446411133
2019-05-06,25.0314884185791
2019-05-07,24.82524681091309
2019-05-08,24.771774291992188
2019-05-09,24.886354446411133
2019-05-10,24.93982315063477
2019-05-13,24.42040252685547
2019-05-14,24.649559020996097
2019-05-15,24.748859405517575
2019-05-16,24.794692993164062
2019-05-17,24.84816551208496
2019-05-20,24.28291130065918
2019-05-21,24.428041458129883
2019-05-22,24.351655960083008
2019-05-23,24.023195266723633
2019-05-24,23.76348876953125
2019-05-28,22.197586059570312
2019-05-29,21.90732192993164
2019-05-30,21.22562599182129
2019-05-31,21.41929054260254
2019-06-03,22.015775680541992
2019-06-04,22.209436416625977
2019-06-05,22.054506301879883
2019-06-06,22.17070960998535
2019-06-07,22.2636661529541
2019-06-10,23.479877471923828
2019-06-11,23.42565536499023
2019-06-12,23.340436935424805
2019-06-13,23.557348251342773
2019-06-14,23.479877471923828
2019-06-17,23.371429443359375
2019-06-18,23.448894500732425
2019-06-19,23.98340606689453
2019-06-20,24.11509895324707
2019-06-21,24.386232376098633
2019-06-24,23.642559051513672
2019-06-25,23.766502380371097
2019-06-26,23.89044761657715
2019-06-27,23.83622169494629
2019-06-28,24.045381546020508
2019-07-01,23.59607315063477
2019-07-02,23.642559051513672
2019-07-03,24.20805549621582
2019-07-05,24.00664329528809
2019-07-08,23.77425193786621
2019-07-09,23.62706184387207
2019-07-10,24.24679183959961
2019-07-11,23.743263244628903
2019-07-12,23.859460830688477
2019-07-15,23.766502380371097
2019-07-16,23.487625122070312
2019-07-17,23.580585479736328
2019-07-18,24.053129196166992
2019-07-19,24.432706832885746
2019-07-22,24.393978118896484
2019-07-23,24.750320434570312
2019-07-24,24.843278884887695
2019-07-25,24.440454483032227
2019-07-26,24.672849655151367
2019-07-29,24.603132247924805
2019-07-30,24.66510581970215
2019-07-31,24.796794891357425
2019-08-01,25.199621200561523
2019-08-02,24.951730728149418
2019-08-05,24.355243682861328
2019-08-06,23.689037322998047
2019-08-07,23.91368865966797
2019-08-08,21.8608455657959
2019-08-09,20.5284366607666
2019-08-12,20.36575698852539
2019-08-13,20.110116958618164
2019-08-14,19.76926612854004
2019-08-15,19.412925720214844
2019-08-16,19.68405532836914
2019-08-19,19.91645622253418
2019-08-20,19.782678604125977
2019-08-21,19.884973526000977
2019-08-22,20.160396575927734
2019-08-23,19.932191848754883
2019-08-26,20.12891387939453
2019-08-27,19.672510147094727
2019-08-28,19.806285858154297
2019-08-29,19.932191848754883
2019-08-30,20.081701278686523
2019-09-03,20.506629943847656
2019-09-04,20.66400718688965
2019-09-05,20.923686981201172
2019-09-06,21.466650009155273
2019-09-09,22.096166610717773
2019-09-10,22.78864097595215
2019-09-11,23.04044532775879
2019-09-12,22.843727111816406
2019-09-13,23.016845703125
2019-09-16,23.30799865722656
2019-09-17,22.316503524780273
2019-09-18,22.355846405029297
2019-09-19,22.15124893188477
2019-09-20,22.14337730407715
2019-09-23,22.190595626831055
2019-09-24,21.978132247924805
2019-09-25,22.14337730407715
2019-09-26,22.041086196899418
2019-09-27,21.90731430053711
2019-09-30,21.982067108154297
2019-10-01,21.513858795166016
2019-10-02,20.89220428466797
2019-10-03,20.88433837890625
2019-10-04,21.226642608642575
2019-10-07,21.19910049438477
2019-10-08,21.01811408996582
2019-10-09,21.03385353088379
2019-10-10,21.19910049438477
2019-10-11,21.309267044067383
2019-10-14,21.498125076293945
2019-10-15,21.631895065307617
2019-10-16,21.592554092407227
2019-10-17,21.852231979370117
2019-10-18,21.726327896118164
2019-10-21,21.88370132446289
2019-10-22,22.426664352416992
2019-10-23,22.51322364807129
2019-10-24,22.3873233795166
2019-10-25,22.33223533630371
2019-10-28,22.324369430541992
2019-10-29,22.14337730407715
2019-10-30,22.426664352416992
2019-10-31,25.440494537353516
2019-11-01,25.660831451416016
2019-11-04,26.227399826049805
2019-11-05,25.89689826965332
2019-11-06,26.077884674072266
2019-11-07,25.747390747070312
2019-11-08,25.84968376159668
2019-11-11,25.77886199951172
2019-11-12,25.951980590820312
2019-11-13,26.203792572021484
2019-11-14,24.65863990783691
2019-11-15,24.929439544677734
2019-11-18,24.698461532592773
2019-11-19,24.929439544677734
2019-11-20,24.762184143066406
2019-11-21,24.085186004638672
2019-11-22,24.32412338256836
2019-11-25,24.738290786743164
2019-11-26,24.268373489379883
2019-11-27,24.1887264251709
2019-11-29,24.292264938354492
2019-12-02,24.65067672729492
2019-12-03,24.531206130981445
2019-12-04,24.71439552307129
2019-12-05,24.88961601257324
2019-12-06,24.762184143066406
2019-12-09,25.43120765686035
2019-12-10,25.391393661499023
2019-12-11,25.168380737304688
2019-12-12,25.439178466796875
2019-12-13,25.168380737304688
2019-12-16,25.279884338378903
2019-12-17,25.18431282043457
2019-12-18,25.28784942626953
2019-12-19,25.407320022583008
2019-12-20,25.662193298339844
2019-12-23,25.423248291015625
2019-12-24,25.471038818359375
2019-12-26,25.192277908325195
2019-12-27,25.18431282043457
2019-12-30,25.255990982055664
2019-12-31,25.590505599975582
2020-01-02,25.176345825195312
2020-01-03,24.881650924682617
2020-01-06,24.93740463256836
2020-01-07,24.499351501464844
2020-01-08,24.363948822021484
2020-01-09,24.35598373413086
2020-01-10,24.451560974121097
2020-01-13,24.817930221557617
2020-01-14,25.27191734313965
2020-01-15,25.168380737304688
2020-01-16,25.27191734313965
2020-01-17,24.71439552307129
2020-01-21,24.698461532592773
2020-01-22,24.42766571044922
2020-01-23,24.435630798339844
2020-01-24,24.220582962036133
2020-01-27,24.17279815673828
2020-01-28,23.997568130493164
2020-01-29,23.591379165649418
2020-01-30,23.84624290466309
2020-01-31,23.256853103637695
2020-02-03,23.2170352935791
2020-02-04,23.2170352935791
2020-02-05,23.392257690429688
2020-02-06,23.14535140991211
2020-02-07,23.52765655517578
2020-02-10,23.647123336791992
2020-02-11,23.901996612548828
2020-02-12,23.925891876220703
2020-02-13,22.11791229248047
2020-02-14,21.409055709838867
2020-02-18,21.7674617767334
2020-02-19,21.751535415649418
2020-02-20,21.839149475097656
2020-02-21,21.71170997619629
2020-02-24,21.20993423461914
2020-02-25,20.763914108276367
2020-02-26,20.421432495117188
2020-02-27,19.887800216674805
2020-02-28,19.72850227355957
2020-03-02,20.763914108276367
2020-03-03,20.30992317199707
2020-03-04,21.066570281982425
2020-03-05,21.22586441040039
2020-03-06,20.7320556640625
2020-03-09,19.08336639404297
2020-03-10,19.513456344604492
2020-03-11,18.84442901611328
2020-03-12,16.251901626586914
2020-03-13,19.41964340209961
2020-03-16,17.839820861816406
2020-03-17,19.306215286254883
2020-03-18,19.192794799804688
2020-03-19,18.050466537475582
2020-03-20,18.050466537475582
2020-03-23,16.827112197875977
2020-03-24,18.62567901611328
2020-03-25,18.60137367248535
2020-03-26,20.06777572631836
2020-03-27,19.63838577270508
2020-03-30,20.391834259033203
2020-03-31,20.043466567993164
2020-04-01,19.18470001220703
2020-04-02,19.96245765686035
2020-04-03,20.513364791870117
2020-04-06,20.991363525390625
2020-04-07,21.55847549438477
2020-04-08,22.13369369506836
2020-04-09,22.77372360229492
2020-04-13,22.62789535522461
2020-04-14,23.049182891845703
2020-04-15,22.725114822387695
2020-04-16,23.68111038208008
2020-04-17,23.762126922607425
2020-04-20,23.632497787475582
2020-04-21,23.06537818908691
2020-04-22,23.30033302307129
2020-04-23,23.113994598388672
2020-04-24,23.68111038208008
2020-04-27,24.45886611938477
2020-04-28,24.65330696105957
2020-04-29,24.73432350158691
2020-04-30,24.572290420532227
