,SBUX
2016-02-29,49.00423812866211
2016-03-01,50.54481887817383
2016-03-02,50.1407356262207
2016-03-03,49.702972412109375
2016-03-04,49.41674041748047
2016-03-07,48.82744598388672
2016-03-08,48.49070358276367
2016-03-09,48.04452133178711
2016-03-10,48.4233512878418
2016-03-11,48.48228454589844
2016-03-14,49.37465286254883
2016-03-15,49.73665237426758
2016-03-16,50.233341217041016
2016-03-17,50.13230895996094
2016-03-18,50.25859832763672
2016-03-21,49.75347900390625
2016-03-22,49.989200592041016
2016-03-23,49.526180267333984
2016-03-24,49.13050842285156
2016-03-28,49.635623931884766
2016-03-29,50.13230895996094
2016-03-30,50.519561767578125
2016-03-31,50.25859832763672
2016-04-01,51.369834899902344
2016-04-04,50.721622467041016
2016-04-05,50.54481887817383
2016-04-06,51.20988845825195
2016-04-07,51.496124267578125
2016-04-08,51.38666534423828
2016-04-11,51.268821716308594
2016-04-12,50.09022521972656
2016-04-13,50.68793869018555
2016-04-14,50.62059783935547
2016-04-15,50.94049072265625
2016-04-18,51.26039123535156
2016-04-19,51.268821716308594
2016-04-20,51.268821716308594
2016-04-21,51.049922943115234
2016-04-22,48.55803298950195
2016-04-25,48.63381576538086
2016-04-26,48.59172821044922
2016-04-27,47.90139389038086
2016-04-28,47.497314453125
2016-04-29,47.33736038208008
2016-05-02,48.28866195678711
2016-05-03,47.51988983154297
2016-05-04,47.63816833496094
2016-05-05,47.51988983154297
2016-05-06,47.570579528808594
2016-05-09,47.849369049072266
2016-05-10,48.567447662353516
2016-05-11,47.50299072265625
2016-05-12,47.562137603759766
2016-05-13,47.15663528442383
2016-05-16,46.91162872314453
2016-05-17,46.36251449584961
2016-05-18,46.2949333190918
2016-05-19,46.08372497558594
2016-05-20,46.14287185668945
2016-05-23,46.12596130371094
2016-05-24,46.835594177246094
2016-05-25,46.590614318847656
2016-05-26,46.708885192871094
2016-05-27,46.590614318847656
2016-05-31,46.3709602355957
2016-06-01,46.31182861328125
2016-06-02,46.14287185668945
2016-06-03,46.134422302246094
2016-06-06,46.96233367919922
2016-06-07,46.717342376708984
2016-06-08,46.649742126464844
2016-06-09,46.953880310058594
2016-06-10,46.354061126708984
2016-06-13,46.49768829345703
2016-06-14,46.945430755615234
2016-06-15,46.75957489013672
2016-06-16,46.91162872314453
2016-06-17,46.72578048706055
2016-06-20,46.784912109375
2016-06-21,47.14818572998047
2016-06-22,46.97921371459961
2016-06-23,47.41851806640625
2016-06-24,46.19356155395508
2016-06-27,45.357200622558594
2016-06-28,46.33717727661133
2016-06-29,47.9338493347168
2016-06-30,48.25486755371094
2016-07-01,48.145042419433594
2016-07-05,47.95918655395508
