,MMM
2018-02-21,151.15206909179688
2018-02-22,153.63894653320312
2018-02-23,154.30296325683594
2018-02-26,158.9381866455078
2018-02-27,156.7508087158203
2018-02-28,153.31993103027344
2018-03-01,150.605224609375
2018-03-02,149.9737548828125
2018-03-05,151.562255859375
2018-03-06,152.1155548095703
2018-03-07,153.3589630126953
2018-03-08,153.86029052734375
2018-03-09,157.12185668945312
2018-03-12,156.11277770996094
2018-03-13,154.6610107421875
2018-03-14,152.52574157714844
2018-03-15,153.55430603027344
2018-03-16,154.43319702148438
2018-03-19,150.7484588623047
2018-03-20,151.32785034179688
2018-03-21,152.4280548095703
2018-03-22,145.2864532470703
2018-03-23,140.20205688476562
2018-03-26,143.37901306152344
2018-03-27,140.5341033935547
2018-03-28,140.97024536132812
2018-03-29,142.9102325439453
2018-04-02,138.41827392578125
2018-04-03,140.83352661132812
2018-04-04,141.63429260253906
2018-04-05,142.35690307617188
2018-04-06,138.17739868164062
2018-04-09,138.54196166992188
2018-04-10,141.25669860839844
2018-04-11,139.53147888183594
2018-04-12,140.89212036132812
2018-04-13,140.3062286376953
2018-04-16,141.7253875732422
2018-04-17,143.28134155273438
2018-04-18,142.9102325439453
2018-04-19,142.47409057617188
2018-04-20,141.7579803466797
2018-04-23,140.54052734375
2018-04-24,130.9381103515625
2018-04-25,129.44735717773438
2018-04-26,128.30804443359375
2018-04-27,127.67657470703125
2018-04-30,126.55027770996094
2018-05-01,126.9604721069336
2018-05-02,126.62191772460938
2018-05-03,127.39009094238281
2018-05-04,129.78585815429688
2018-05-07,130.3717498779297
2018-05-08,131.3352508544922
2018-05-09,132.42893981933594
2018-05-10,133.47706604003906
2018-05-11,133.56173706054688
2018-05-14,133.9523162841797
2018-05-15,131.77137756347656
2018-05-16,130.33921813964844
2018-05-17,131.32899475097656
2018-05-18,130.41131591796875
2018-05-21,132.24659729003906
2018-05-22,130.41786193847656
2018-05-23,130.2212371826172
2018-05-24,130.70628356933594
2018-05-25,130.45718383789062
2018-05-29,128.3007354736328
2018-05-30,130.22779846191406
2018-05-31,129.27732849121094
2018-06-01,130.82424926757812
2018-06-04,131.78778076171875
2018-06-05,131.87953186035156
2018-06-06,133.62307739257812
2018-06-07,134.4161834716797
2018-06-08,135.41249084472656
2018-06-11,134.44895935058594
2018-06-12,134.31787109375
2018-06-13,134.2982177734375
2018-06-14,133.47235107421875
2018-06-15,134.35064697265625
2018-06-18,133.8262939453125
2018-06-19,130.6931610107422
2018-06-20,129.83448791503906
2018-06-21,128.15647888183594
2018-06-22,128.7988739013672
2018-06-25,128.3400421142578
2018-06-26,128.85133361816406
2018-06-27,127.76322937011719
2018-06-28,128.45144653320312
2018-06-29,128.94305419921875
2018-07-02,128.15647888183594
2018-07-03,128.35971069335938
2018-07-05,129.3494415283203
2018-07-06,129.4281005859375
2018-07-09,131.4403839111328
2018-07-10,132.06307983398438
2018-07-11,129.5723114013672
2018-07-12,130.6472625732422
2018-07-13,131.86642456054688
2018-07-16,131.820556640625
2018-07-17,132.4498291015625
