,MRK
2019-10-24,67.15188598632812
2019-10-25,66.89167022705078
2019-10-28,66.84288024902344
2019-10-29,69.2010726928711
2019-10-30,70.11184692382812
2019-10-31,70.4696273803711
2019-11-01,69.07096862792969
2019-11-04,68.22527313232422
2019-11-05,67.42835998535156
2019-11-06,67.69672393798828
2019-11-07,67.39583587646484
2019-11-08,67.97319030761719
2019-11-11,67.72109985351562
2019-11-12,68.4041748046875
2019-11-13,68.973388671875
2019-11-14,68.75384521484375
2019-11-15,69.03843688964844
2019-11-18,68.41231536865234
2019-11-19,68.8351821899414
2019-11-20,69.33932495117188
2019-11-21,69.49383544921875
2019-11-22,69.48570251464844
2019-11-25,69.68900299072266
2019-11-26,71.02257537841797
2019-11-27,71.24215698242188
2019-11-29,70.89249420166016
2019-12-02,70.77863311767578
2019-12-03,71.05512237548828
2019-12-04,72.10411834716797
2019-12-05,72.16918182373047
2019-12-06,72.25047302246094
2019-12-09,72.14476776123047
2019-12-10,72.45378112792969
2019-12-11,72.356201171875
2019-12-12,72.83596801757812
2019-12-13,73.02428436279297
2019-12-16,73.10615539550781
2019-12-17,72.88509368896484
2019-12-18,73.37635040283203
2019-12-19,73.67926788330078
2019-12-20,74.98109436035156
2019-12-23,75.11209869384766
2019-12-24,74.86647033691406
2019-12-26,74.78459167480469
2019-12-27,74.91559600830078
2019-12-30,74.53076171875
2019-12-31,74.46527862548828
2020-01-02,75.35771942138672
2020-01-03,74.71089935302734
2020-01-06,75.03021240234375
2020-01-07,73.032470703125
2020-01-08,72.54122924804688
2020-01-09,73.17984771728516
2020-01-10,73.30266571044922
2020-01-13,73.28627014160156
2020-01-14,73.63015747070312
2020-01-15,74.94834899902344
2020-01-16,74.65357971191406
2020-01-17,74.48165893554688
2020-01-21,73.66291809082031
2020-01-22,73.40088653564453
2020-01-23,72.50846099853516
2020-01-24,70.39608764648438
2020-01-27,70.49433898925781
2020-01-28,70.61717224121094
2020-01-29,71.4277114868164
2020-01-30,70.82183074951172
2020-01-31,69.95397186279297
2020-02-03,71.50957489013672
2020-02-04,72.3447265625
