,AXP
2015-10-07,67.56971740722656
2015-10-08,67.56971740722656
2015-10-09,67.7010269165039
2015-10-12,67.68350219726562
2015-10-13,67.06193542480469
2015-10-14,66.68546295166016
2015-10-15,67.1844711303711
2015-10-16,67.5959701538086
2015-10-19,67.412109375
2015-10-20,67.36833190917969
2015-10-21,66.9831314086914
2015-10-22,63.47245407104492
2015-10-23,65.30220031738281
2015-10-26,64.9520034790039
2015-10-27,64.79442596435547
2015-10-28,65.17964935302734
2015-10-29,64.97828674316406
2015-10-30,64.13780975341797
2015-11-02,64.73313903808594
2015-11-03,64.81193542480469
2015-11-04,64.84697723388672
2015-11-05,64.7243881225586
2015-11-06,65.0483169555664
2015-11-09,64.27790832519531
2015-11-10,64.23412322998047
2015-11-11,63.831382751464844
2015-11-12,63.01718521118164
2015-11-13,62.334327697753906
2015-11-16,62.73704528808594
2015-11-17,62.25553512573242
2015-11-18,63.166019439697266
2015-11-19,63.682525634765625
2015-11-20,63.40241241455078
2015-11-23,63.24481964111328
2015-11-24,62.71077346801758
2015-11-25,62.7633056640625
2015-11-27,62.90338897705078
2015-11-30,62.719539642333984
2015-12-01,63.20978927612305
2015-12-02,62.334327697753906
2015-12-03,61.651458740234375
2015-12-04,62.24678421020508
2015-12-07,61.817779541015625
2015-12-08,61.2049674987793
2015-12-09,61.161155700683594
2015-12-10,61.380043029785156
2015-12-11,60.28569030761719
2015-12-14,60.259429931640625
2015-12-15,61.41507339477539
2015-12-16,61.905311584472656
2015-12-17,60.90727996826172
2015-12-18,59.418968200683594
2015-12-21,59.88296127319336
2015-12-22,60.27693557739258
2015-12-23,61.25749206542969
2015-12-24,61.423824310302734
2015-12-28,61.0736198425293
2015-12-29,61.76524353027344
2015-12-30,61.423824310302734
2015-12-31,60.8897819519043
2016-01-04,59.17383575439453
2016-01-05,58.26333236694336
2016-01-06,56.645389556884766
2016-01-07,56.13538360595703
2016-01-08,55.950740814208984
2016-01-11,56.32005310058594
2016-01-12,56.6278076171875
2016-01-13,55.26486587524414
2016-01-14,55.65177536010742
2016-01-15,55.317630767822266
2016-01-19,55.080223083496094
2016-01-20,55.42314147949219
2016-01-21,55.080223083496094
2016-01-22,48.41502380371094
2016-01-25,48.379844665527344
2016-01-26,48.441410064697266
2016-01-27,47.94019317626953
2016-01-28,46.498111724853516
2016-01-29,47.04329299926758
2016-02-01,48.09846878051758
2016-02-02,47.18398666381836
2016-02-03,47.57966232299805
2016-02-04,47.817073822021484
2016-02-05,47.46535110473633
2016-02-08,46.076045989990234
2016-02-09,46.278282165527344
2016-02-10,45.979305267333984
2016-02-11,44.941734313964844
2016-02-12,46.30466842651367
2016-02-16,46.761898040771484
2016-02-17,47.14000701904297
2016-02-18,47.614845275878906
2016-02-19,48.10725784301758
2016-02-22,48.916229248046875
2016-02-23,48.45897674560547
2016-02-24,48.04570770263672
2016-02-25,48.705196380615234
2016-02-26,48.696407318115234
2016-02-29,48.87226104736328
2016-03-01,49.94501495361328
2016-03-02,50.22639465332031
2016-03-03,51.07933807373047
2016-03-04,51.25519561767578
2016-03-07,51.8795166015625
2016-03-08,52.25761795043945
2016-03-09,51.9234733581543
2016-03-10,51.65968322753906
2016-03-11,52.28398513793945
2016-03-14,52.38071823120117
2016-03-15,52.081748962402344
2016-03-16,52.49503707885742
2016-03-17,52.829185485839844
2016-03-18,53.83158493041992
2016-03-21,53.82279586791992
2016-03-22,53.29521179199219
2016-03-23,53.31279754638672
2016-03-24,53.17211151123047
2016-03-28,53.005035400390625
2016-03-29,53.28640365600586
2016-03-30,53.01382827758789
2016-03-31,53.989871978759766
2016-04-01,53.72606658935547
2016-04-04,53.30400466918945
2016-04-05,52.9258918762207
2016-04-06,52.908226013183594
2016-04-07,52.00699234008789
2016-04-08,52.57246398925781
2016-04-11,52.83753204345703
2016-04-12,53.61508560180664
2016-04-13,54.92277145385742
2016-04-14,55.23202133178711
2016-04-15,54.90510940551758
2016-04-18,55.302696228027344
2016-04-19,56.16860580444336
2016-04-20,57.449771881103516
2016-04-21,57.97109603881836
2016-04-22,58.25383377075195
2016-04-25,58.050601959228516
2016-04-26,58.492393493652344
2016-04-27,58.51889419555664
2016-04-28,58.17430114746094
2016-04-29,57.81203842163086
2016-05-02,58.032936096191406
2016-05-03,57.29957962036133
2016-05-04,56.77827072143555
2016-05-05,56.477848052978516
2016-05-06,56.999149322509766
2016-05-09,56.530860900878906
2016-05-10,57.29072952270508
2016-05-11,57.0698356628418
2016-05-12,56.84894561767578
2016-05-13,56.65456008911133
2016-05-16,56.610374450683594
2016-05-17,55.452903747558594
2016-05-18,56.12443161010742
2016-05-19,55.43523406982422
2016-05-20,56.477848052978516
2016-05-23,56.186275482177734
2016-05-24,57.31724166870117
2016-05-25,57.70602035522461
2016-05-26,57.63532257080078
2016-05-27,57.89156723022461
2016-05-31,58.103614807128906
2016-06-01,58.23616409301758
2016-06-02,58.6779670715332
2016-06-03,57.86505126953125
2016-06-06,58.262672424316406
2016-06-07,58.21848678588867
2016-06-08,58.5453987121582
2016-06-09,58.059444427490234
2016-06-10,57.40560531616211
2016-06-13,56.25696563720703
2016-06-14,53.95967102050781
2016-06-15,54.268917083740234
2016-06-16,54.719547271728516
2016-06-17,54.65768814086914
2016-06-20,55.046470642089844
2016-06-21,55.037635803222656
2016-06-22,54.73721694946289
2016-06-23,55.88584518432617
2016-06-24,53.067256927490234
2016-06-27,50.955528259277344
2016-06-28,51.15876007080078
2016-06-29,52.952552795410156
