,WMB
2021-01-21,17.524860382080078
2021-01-22,17.46824836730957
2021-01-25,17.516769409179688
2021-01-26,17.338855743408203
2021-01-27,17.152849197387695
2021-01-28,17.35502815246582
2021-01-29,17.169023513793945
2021-02-01,17.217546463012695
2021-02-02,17.32267951965332
2021-02-03,17.72703742980957
2021-02-04,17.807905197143555
2021-02-05,17.864517211914062
2021-02-08,18.196094512939453
2021-02-09,18.001998901367188
2021-02-10,18.446794509887695
2021-02-11,18.018178939819336
2021-02-12,18.47105598449707
2021-02-16,18.527666091918945
2021-02-17,18.673236846923828
2021-02-18,18.001998901367188
2021-02-19,18.309310913085938
2021-02-22,18.527666091918945
2021-02-23,19.27977180480957
2021-02-24,19.336380004882812
2021-02-25,18.964374542236328
2021-02-26,18.47105598449707
2021-03-01,19.077592849731445
2021-03-02,19.182727813720703
2021-03-03,19.19890022277832
2021-03-04,19.498125076293945
2021-03-05,19.619428634643555
2021-03-08,19.506210327148438
2021-03-09,19.053329467773438
2021-03-10,19.73265266418457
2021-03-11,19.65862274169922
2021-03-12,19.68330192565918
2021-03-15,19.469438552856445
2021-03-16,19.09929656982422
2021-03-17,19.230905532836914
2021-03-18,18.72092628479004
2021-03-19,18.87721061706543
2021-03-22,18.910114288330078
2021-03-23,18.926570892333984
2021-03-24,19.32138442993164
2021-03-25,19.6915283203125
2021-03-26,20.201496124267578
2021-03-29,19.77377700805664
2021-03-30,19.4776668548584
2021-03-31,19.48589324951172
2021-04-01,19.65862274169922
2021-04-05,19.535245895385742
2021-04-06,19.551694869995117
2021-04-07,19.839584350585938
2021-04-08,19.4776668548584
2021-04-09,19.411863327026367
2021-04-12,19.288484573364258
2021-04-13,19.494115829467773
2021-04-14,19.452987670898438
2021-04-15,19.609270095825195
2021-04-16,19.428314208984375
2021-04-19,19.48589324951172
2021-04-20,19.288484573364258
2021-04-21,19.37895965576172
2021-04-22,19.11574935913086
2021-04-23,19.420087814331055
2021-04-26,19.716197967529297
2021-04-27,19.6915283203125
2021-04-28,20.09457015991211
2021-04-29,20.21795082092285
2021-04-30,20.036991119384766
2021-05-03,20.374231338500977
2021-05-04,20.21795082092285
2021-05-05,20.49761199951172
2021-05-06,20.538734436035156
2021-05-07,20.81017303466797
2021-05-10,21.007583618164062
2021-05-11,21.098064422607422
2021-05-12,20.793724060058594
2021-05-13,20.8759765625
2021-05-14,21.287246704101562
2021-05-17,21.821897506713867
2021-05-18,21.657386779785156
2021-05-19,21.41062355041504
2021-05-20,21.66560935974121
2021-05-21,21.706737518310547
2021-05-24,21.80544090270996
2021-05-25,21.336599349975586
2021-05-26,21.40239906311035
2021-05-27,21.63271141052246
2021-05-28,21.66560935974121
2021-06-01,22.11800765991211
2021-06-02,22.447023391723633
2021-06-03,22.71845817565918
2021-06-04,22.989896774291992
2021-06-07,23.2202091217041
2021-06-08,23.170852661132812
2021-06-09,23.137950897216797
2021-06-10,23.12960433959961
2021-06-11,23.196382522583008
2021-06-14,22.971012115478516
2021-06-15,23.162996292114258
2021-06-16,22.929275512695312
2021-06-17,22.47853660583496
2021-06-18,21.752347946166992
2021-06-21,22.328289031982422
2021-06-22,22.31159782409668
2021-06-23,22.31159782409668
2021-06-24,22.344987869262695
2021-06-25,22.353334426879883
2021-06-28,21.902591705322266
2021-06-29,21.819122314453125
2021-06-30,22.16135597229004
2021-07-01,22.37002182006836
2021-07-02,22.486888885498047
2021-07-06,22.052839279174805
2021-07-07,21.93597984313965
2021-07-08,21.902591705322266
2021-07-09,22.286556243896484
2021-07-12,22.11961555480957
2021-07-13,21.86920166015625
2021-07-14,21.36838722229004
2021-07-15,21.334997177124023
2021-07-16,21.10127830505371
2021-07-19,20.633848190307617
2021-07-20,20.89260482788086
2021-07-21,21.10127830505371
2021-07-22,21.084585189819336
2021-07-23,20.992767333984375
2021-07-26,21.360034942626953
2021-07-27,21.09292984008789
2021-07-28,21.117971420288086
2021-07-29,21.243179321289062
2021-07-30,20.909297943115234
