,BAC
2020-05-18,20.378189086914062
2020-05-19,19.738317489624023
2020-05-20,20.360416412353516
2020-05-21,20.351530075073242
2020-05-22,20.13823890686035
2020-05-26,21.57795524597168
2020-05-27,23.088768005371094
2020-05-28,22.093402862548828
2020-05-29,21.435758590698242
2020-06-01,21.871227264404297
2020-06-02,22.075632095336914
2020-06-03,23.0976505279541
2020-06-04,23.96571922302246
2020-06-05,25.155946731567383
2020-06-08,25.540761947631836
2020-06-09,25.254383087158203
2020-06-10,23.804630279541016
2020-06-11,21.415220260620117
2020-06-12,22.175891876220703
2020-06-15,22.50701141357422
2020-06-16,23.088701248168945
2020-06-17,22.372772216796875
2020-06-18,22.4085750579834
2020-06-19,22.596498489379883
2020-06-22,22.032705307006836
2020-06-23,22.184843063354492
2020-06-24,21.307828903198242
2020-06-25,22.1221981048584
2020-06-26,20.717187881469727
2020-06-29,20.931968688964844
2020-06-30,21.254135131835938
2020-07-01,20.815629959106445
2020-07-02,20.84247589111328
2020-07-06,21.173593521118164
2020-07-07,20.591899871826172
2020-07-08,20.672441482543945
2020-07-09,20.377120971679688
2020-07-10,21.49576187133789
2020-07-13,21.647897720336914
2020-07-14,21.603151321411133
2020-07-15,22.014808654785156
2020-07-16,21.415220260620117
2020-07-17,20.779829025268555
2020-07-20,21.102001190185547
2020-07-21,21.853727340698242
2020-07-22,21.75528335571289
2020-07-23,21.96111297607422
2020-07-24,21.79108238220215
2020-07-27,21.603151321411133
2020-07-28,21.800025939941406
2020-07-29,22.61440086364746
2020-07-30,22.229589462280273
2020-07-31,22.265382766723633
2020-08-03,22.36382484436035
2020-08-04,22.381723403930664
2020-08-05,22.721786499023438
2020-08-06,22.793380737304688
2020-08-07,23.36612319946289
2020-08-10,23.768836975097656
2020-08-11,24.091001510620117
2020-08-12,23.920974731445312
2020-08-13,23.580902099609375
2020-08-14,23.688289642333984
2020-08-17,23.178194046020508
2020-08-18,22.847078323364258
2020-08-19,22.820228576660156
2020-08-20,22.462263107299805
2020-08-21,22.354873657226562
2020-08-24,22.99026107788086
2020-08-25,23.267684936523438
2020-08-26,22.87392234802246
2020-08-27,23.312429428100586
2020-08-28,23.53615379333496
2020-08-31,23.035005569458008
2020-09-01,23.008159637451172
2020-09-02,23.285585403442383
2020-09-03,23.123376846313477
2020-09-04,23.9163875579834
2020-09-08,22.961172103881836
2020-09-09,22.98820686340332
2020-09-10,22.654781341552734
2020-09-11,22.97919273376465
2020-09-14,23.20448112487793
2020-09-15,22.780946731567383
2020-09-16,23.069313049316406
2020-09-17,22.844024658203125
2020-09-18,22.71786117553711
2020-09-21,22.05101776123047
2020-09-22,21.57341194152832
2020-09-23,20.960628509521484
2020-09-24,21.03272247314453
2020-09-25,21.167890548706055
2020-09-28,21.708580017089844
2020-09-29,21.420211791992188
2020-09-30,21.708580017089844
2020-10-01,21.717588424682617
2020-10-02,21.816715240478516
2020-10-05,22.186185836791992
2020-10-06,21.96090316772461
2020-10-07,22.42048454284668
2020-10-08,22.744897842407227
2020-10-09,22.8530330657959
2020-10-12,23.141401290893555
2020-10-13,22.48356819152832
2020-10-14,21.2850399017334
2020-10-15,21.762649536132812
2020-10-16,21.843748092651367
2020-10-19,21.375154495239258
2020-10-20,21.753639221191406
2020-10-21,21.67253303527832
2020-10-22,22.41147232055664
2020-10-23,22.438505172729492
2020-10-26,22.114091873168945
2020-10-27,21.492307662963867
2020-10-28,21.149869918823242
2020-10-29,21.21295166015625
2020-10-30,21.357135772705078
2020-11-02,21.699569702148438
2020-11-03,22.249267578125
2020-11-04,21.339111328125
2020-11-05,22.177173614501953
2020-11-06,21.906829833984375
2020-11-09,25.015783309936523
2020-11-10,24.9256649017334
2020-11-11,24.637300491333008
2020-11-12,24.051555633544922
2020-11-13,24.330913543701172
2020-11-16,24.85357666015625
2020-11-17,24.826539993286133
2020-11-18,24.31289291381836
2020-11-19,24.31289291381836
2020-11-20,24.15969467163086
2020-11-23,24.682357788085938
2020-11-24,26.11517906188965
2020-11-25,26.160236358642578
2020-11-27,26.124189376831055
2020-11-30,25.37624168395996
2020-12-01,25.85384750366211
2020-12-02,26.187271118164062
2020-12-03,26.2144718170166
2020-12-04,26.55904197692871
2020-12-07,26.377689361572266
2020-12-08,26.23260498046875
2020-12-09,26.114728927612305
2020-12-10,26.395824432373047
2020-12-11,25.906171798706055
2020-12-14,25.588808059692383
2020-12-15,25.96964454650879
2020-12-16,26.042184829711914
2020-12-17,26.14193344116211
2020-12-18,25.99685287475586
2020-12-21,26.967082977294922
2020-12-22,26.486499786376953
2020-12-23,27.248178482055664
2020-12-24,27.16657066345215
2020-12-28,27.320722579956055
2020-12-29,27.2119140625
2020-12-30,27.184709548950195
2020-12-31,27.483938217163086
2021-01-04,27.23004722595215
