,DUK
2015-03-19,50.96128463745117
2015-03-20,51.403778076171875
2015-03-23,51.49095153808594
2015-03-24,50.994808197021484
2015-03-25,50.25730895996094
2015-03-26,49.84833526611328
2015-03-27,50.28412628173828
2015-03-30,50.887535095214844
2015-03-31,51.4775276184082
2015-04-01,51.51106262207031
2015-04-02,51.60491943359375
2015-04-06,52.45638656616211
2015-04-07,52.06082534790039
2015-04-08,51.8261604309082
2015-04-09,51.631736755371094
2015-04-10,52.18821334838867
2015-04-13,51.779239654541016
2015-04-14,52.0206184387207
2015-04-15,52.30889892578125
2015-04-16,51.83286666870117
2015-04-17,51.83286666870117
2015-04-20,52.7044563293457
2015-04-21,52.34242248535156
2015-04-22,52.496612548828125
2015-04-23,52.8720817565918
2015-04-24,53.2408447265625
2015-04-27,52.543575286865234
2015-04-28,52.945838928222656
2015-04-29,52.58378982543945
2015-04-30,52.0072021484375
2015-05-01,52.22843933105469
2015-05-04,52.2686767578125
2015-05-05,51.12218475341797
2015-05-06,51.22947692871094
2015-05-07,51.49764633178711
2015-05-08,51.69879150390625
2015-05-11,51.33673095703125
2015-05-12,51.15572738647461
2015-05-13,50.43416213989258
2015-05-14,51.14554214477539
2015-05-15,51.59271240234375
2015-05-18,51.51141357421875
2015-05-19,51.61981201171875
2015-05-20,51.85694122314453
2015-05-21,51.59950637817383
2015-05-22,51.52497100830078
2015-05-26,51.32848358154297
2015-05-27,51.63336944580078
2015-05-28,51.45720672607422
2015-05-29,51.30815887451172
2015-06-01,51.4910888671875
2015-06-02,50.847450256347656
2015-06-03,50.27156066894531
2015-06-04,50.27832794189453
2015-06-05,49.356910705566406
2015-06-08,49.085906982421875
2015-06-09,48.869102478027344
2015-06-10,48.81490707397461
2015-06-11,49.363685607910156
2015-06-12,49.14011001586914
2015-06-15,49.11977005004883
2015-06-16,49.16720962524414
2015-06-17,49.51273727416992
2015-06-18,50.50191116333008
2015-06-19,49.594032287597656
2015-06-22,49.50596237182617
2015-06-23,48.63197708129883
2015-06-24,48.05608367919922
2015-06-25,47.88671875
2015-06-26,48.103515625
2015-06-29,48.00188446044922
2015-06-30,47.84606170654297
2015-07-01,48.157711029052734
2015-07-02,49.14011001586914
2015-07-06,49.356910705566406
2015-07-07,50.996498107910156
2015-07-08,50.67128372192383
2015-07-09,50.18347930908203
2015-07-10,50.386749267578125
2015-07-13,50.37318801879883
2015-07-14,50.00055694580078
2015-07-15,50.149600982666016
2015-07-16,50.68483352661133
2015-07-17,49.844722747802734
2015-07-20,49.6414680480957
2015-07-21,49.06557083129883
2015-07-22,49.031707763671875
2015-07-23,48.48292541503906
2015-07-24,48.57098388671875
2015-07-27,49.45853805541992
2015-07-28,49.5466194152832
2015-07-29,49.533058166503906
2015-07-30,49.763427734375
2015-07-31,50.28512191772461
2015-08-03,50.78647232055664
2015-08-04,50.081851959228516
2015-08-05,50.12250900268555
2015-08-06,50.027645111083984
2015-08-07,50.91521072387695
2015-08-10,50.68483352661133
2015-08-11,51.01005935668945
2015-08-12,51.76014709472656
2015-08-13,51.77385330200195
2015-08-14,52.314998626708984
2015-08-17,52.417781829833984
2015-08-18,52.2259635925293
2015-08-19,52.89043426513672
2015-08-20,52.589012145996094
2015-08-21,52.547916412353516
2015-08-24,49.62289047241211
2015-08-25,48.09527587890625
2015-08-26,49.143367767333984
2015-08-27,49.67768859863281
2015-08-28,49.58863067626953
2015-08-31,48.57481002807617
2015-09-01,47.30067443847656
2015-09-02,47.376014709472656
