,CINF
2020-06-12,54.121150970458984
2020-06-15,54.928138732910156
2020-06-16,56.61163330078125
2020-06-17,55.57288360595703
2020-06-18,56.531036376953125
2020-06-19,56.566856384277344
2020-06-22,56.23553466796875
2020-06-23,57.12204360961914
2020-06-24,55.528106689453125
2020-06-25,57.077274322509766
2020-06-26,55.51915740966797
2020-06-29,57.08623504638672
2020-06-30,57.33695602416992
2020-07-01,57.399635314941406
2020-07-02,58.08915328979492
2020-07-06,60.94570541381836
2020-07-07,61.16061019897461
2020-07-08,61.912811279296875
2020-07-09,60.318885803222656
2020-07-10,63.11273956298828
2020-07-13,62.76350402832031
2020-07-14,65.1096420288086
2020-07-15,65.8349838256836
2020-07-16,67.8855972290039
2020-07-17,68.64674377441406
2020-07-20,69.00493621826172
2020-07-21,69.98099517822266
2020-07-22,71.8346176147461
2020-07-23,74.02852630615234
2020-07-24,74.52999114990234
2020-07-27,73.8315200805664
2020-07-28,74.68220520019531
2020-07-29,74.71803283691406
2020-07-30,71.46748352050781
2020-07-31,69.78400421142578
2020-08-03,70.20486450195312
2020-08-04,69.36311340332031
2020-08-05,71.24361419677734
2020-08-06,71.14510345458984
2020-08-07,73.133056640625
2020-08-10,74.70013427734375
2020-08-11,74.43148803710938
2020-08-12,72.54203796386719
2020-08-13,71.26152038574219
2020-08-14,71.73612976074219
2020-08-17,70.05261993408203
2020-08-18,70.72423553466797
2020-08-19,70.03472137451172
2020-08-20,69.82878112792969
2020-08-21,69.25568389892578
2020-08-24,71.20780181884766
2020-08-25,71.05558013916016
2020-08-26,70.29441833496094
2020-08-27,72.04953002929688
2020-08-28,71.98684692382812
2020-08-31,71.10929107666016
2020-09-01,71.63762664794922
2020-09-02,73.133056640625
2020-09-03,72.16594696044922
2020-09-04,72.60472106933594
2020-09-08,70.87647247314453
2020-09-09,70.5988540649414
2020-09-10,69.15715789794922
2020-09-11,68.87957000732422
2020-09-14,69.55117797851562
2020-09-15,68.56752014160156
2020-09-16,69.66849517822266
2020-09-17,69.88508605957031
2020-09-18,70.39945983886719
2020-09-21,68.08018493652344
2020-09-22,68.47726440429688
2020-09-23,67.63800048828125
2020-09-24,68.86531066894531
2020-09-25,69.37068939208984
2020-09-28,71.31095123291016
2020-09-29,70.29116821289062
2020-09-30,70.36335754394531
2020-10-01,69.02777099609375
2020-10-02,70.19190216064453
2020-10-05,74.02728271484375
2020-10-06,72.1231460571289
2020-10-07,71.68994903564453
2020-10-08,72.77288055419922
2020-10-09,71.91557312011719
2020-10-12,73.29631042480469
2020-10-13,71.42826843261719
2020-10-14,71.0853271484375
2020-10-15,71.13044738769531
2020-10-16,70.91384887695312
2020-10-19,70.09264373779297
2020-10-20,72.03289031982422
2020-10-21,76.0667953491211
2020-10-22,69.25336456298828
2020-10-23,69.84898376464844
2020-10-26,69.31654357910156
2020-10-27,66.64530944824219
2020-10-28,64.22676849365234
2020-10-29,64.65994262695312
2020-10-30,63.838722229003906
2020-11-02,65.17431640625
2020-11-03,66.50093078613281
2020-11-04,65.23748779296875
2020-11-05,67.27702331542969
2020-11-06,67.00627899169922
2020-11-09,77.3663101196289
2020-11-10,78.18753814697266
2020-11-11,76.27435302734375
2020-11-12,74.89362335205078
2020-11-13,71.09435272216797
2020-11-16,72.0509262084961
2020-11-17,71.9336166381836
2020-11-18,71.7441177368164
2020-11-19,70.70629119873047
2020-11-20,69.84898376464844
2020-11-23,70.05655670166016
2020-11-24,71.79824829101562
2020-11-25,70.86874389648438
2020-11-27,70.2189712524414
2020-11-30,68.90140533447266
2020-12-01,72.19532012939453
2020-12-02,72.13215637207031
2020-12-03,73.72948455810547
2020-12-04,74.8665542602539
2020-12-07,72.35778045654297
2020-12-08,73.33240509033203
2020-12-09,73.39557647705078
2020-12-10,73.07069396972656
2020-12-11,72.34873962402344
2020-12-14,71.84336853027344
2020-12-15,73.5892333984375
2020-12-16,74.59852600097656
2020-12-17,76.64445495605469
2020-12-18,75.5078353881836
2020-12-21,76.42621612548828
