,SBAC
2017-03-09,110.40831756591797
2017-03-10,111.55416107177734
2017-03-13,111.40262603759766
2017-03-14,109.96324157714844
2017-03-15,110.50301361083984
2017-03-16,109.98216247558594
2017-03-17,109.51815795898438
2017-03-20,110.85337829589844
2017-03-21,110.8723373413086
2017-03-22,110.68292999267578
2017-03-23,111.86665344238281
2017-03-24,112.01817321777344
2017-03-27,111.55416107177734
2017-03-28,112.2643814086914
2017-03-29,113.42916107177734
2017-03-30,112.61477661132812
2017-03-31,113.98789978027344
2017-04-03,113.21138000488281
2017-04-04,113.10719299316406
2017-04-05,112.76628875732422
2017-04-06,113.70380401611328
2017-04-07,114.74547576904297
2017-04-10,115.52197265625
2017-04-11,117.46333312988281
2017-04-12,116.54472351074219
2017-04-13,117.23603820800781
2017-04-17,118.34400939941406
2017-04-18,118.51445770263672
2017-04-19,118.4386978149414
2017-04-20,117.6905746459961
2017-04-21,117.21709442138672
2017-04-24,116.91405487060547
2017-04-25,117.44436645507812
2017-04-26,117.09398651123047
2017-04-27,118.68490600585938
2017-04-28,119.78338623046875
2017-05-01,120.50309753417969
2017-05-02,122.14137268066406
2017-05-03,121.06183624267578
2017-05-04,121.39325714111328
2017-05-05,122.74744415283203
2017-05-08,124.4520034790039
2017-05-09,122.87057495117188
2017-05-10,122.34024047851562
2017-05-11,120.94820404052734
2017-05-12,120.76826477050781
2017-05-15,123.49555206298828
2017-05-16,123.83649444580078
2017-05-17,126.97095489501953
2017-05-18,125.00125885009766
2017-05-19,125.75885009765625
2017-05-22,126.7342300415039
2017-05-23,127.18878936767578
2017-05-24,126.96149444580078
2017-05-25,128.36300659179688
2017-05-26,128.80810546875
2017-05-30,130.6642303466797
2017-05-31,130.85357666015625
2017-06-01,130.91989135742188
2017-06-02,131.3365478515625
2017-06-05,130.6168212890625
2017-06-06,129.72669982910156
2017-06-07,128.69447326660156
2017-06-08,127.15091705322266
2017-06-09,127.17929077148438
2017-06-12,125.39898681640625
2017-06-13,125.048583984375
2017-06-14,125.86304473876953
2017-06-15,125.20960235595703
2017-06-16,125.9955825805664
2017-06-19,125.91034698486328
2017-06-20,124.58457946777344
2017-06-21,124.13003540039062
2017-06-22,124.28154754638672
2017-06-23,124.91603088378906
2017-06-26,125.75885009765625
2017-06-27,128.54299926757812
2017-06-28,127.22662353515625
2017-06-29,127.38766479492188
2017-06-30,127.74751281738281
2017-07-03,127.1603775024414
2017-07-05,127.28348541259766
2017-07-06,127.23613739013672
2017-07-07,129.43310546875
2017-07-10,127.35922241210938
2017-07-11,126.51643371582031
2017-07-12,129.02590942382812
2017-07-13,128.70391845703125
2017-07-14,129.25318908691406
2017-07-17,128.78919982910156
2017-07-18,130.20022583007812
2017-07-19,131.11878967285156
2017-07-20,128.6092529296875
2017-07-21,129.3573760986328
2017-07-24,128.9596405029297
2017-07-25,128.26834106445312
