,ADP
2016-03-11,72.3814697265625
2016-03-14,72.3814697265625
2016-03-15,72.42293548583984
2016-03-16,72.70491790771484
2016-03-17,73.68360900878906
2016-03-18,73.51773834228516
2016-03-21,73.82461547851562
2016-03-22,73.51773834228516
2016-03-23,73.42652130126953
2016-03-24,73.60897064208984
2016-03-28,73.2357406616211
2016-03-29,74.17298126220703
2016-03-30,73.94074249267578
2016-03-31,74.40521240234375
2016-04-01,74.86135864257812
2016-04-04,74.40521240234375
2016-04-05,74.4383544921875
2016-04-06,75.34241485595703
2016-04-07,74.4798355102539
2016-04-08,74.91941833496094
2016-04-11,74.40521240234375
2016-04-12,74.73695373535156
2016-04-13,74.84477996826172
2016-04-14,74.86135864257812
2016-04-15,74.7701416015625
2016-04-18,75.22628784179688
2016-04-19,75.25948333740234
2016-04-20,74.74525451660156
2016-04-21,74.10659790039062
2016-04-22,74.35542297363281
2016-04-25,74.29737091064453
2016-04-26,74.47154998779297
2016-04-27,74.74525451660156
2016-04-28,73.89926147460938
2016-04-29,73.35184478759766
2016-05-02,74.17298126220703
2016-05-03,73.65872955322266
2016-05-04,73.31037139892578
2016-05-05,71.70136260986328
2016-05-06,72.03313446044922
2016-05-09,72.29025268554688
2016-05-10,73.401611328125
2016-05-11,71.88382720947266
2016-05-12,71.77601623535156
2016-05-13,71.12908172607422
2016-05-16,71.90872192382812
2016-05-17,70.78900146484375
2016-05-18,70.99635314941406
2016-05-19,70.6148452758789
2016-05-20,70.8885269165039
2016-05-23,70.70608520507812
2016-05-24,72.53903198242188
2016-05-25,72.58879852294922
2016-05-26,72.73809051513672
2016-05-27,73.02009582519531
2016-05-31,72.85423278808594
2016-06-01,73.08645629882812
2016-06-02,73.0615463256836
2016-06-03,72.43122100830078
2016-06-06,72.72981262207031
2016-06-07,72.04969787597656
2016-06-08,72.78406524658203
2016-06-09,73.12620544433594
2016-06-10,72.67557525634766
2016-06-13,72.73400115966797
2016-06-14,73.00936126708984
2016-06-15,73.10950469970703
2016-06-16,73.46000671386719
2016-06-17,73.10950469970703
2016-06-20,74.3028335571289
2016-06-21,74.55316925048828
2016-06-22,74.11922454833984
2016-06-23,75.05387115478516
2016-06-24,72.36680603027344
2016-06-27,71.48226165771484
2016-06-28,73.36820983886719
2016-06-29,74.3779296875
2016-06-30,76.66442108154297
2016-07-01,77.39879608154297
2016-07-05,77.8660659790039
2016-07-06,77.95787811279297
2016-07-07,78.02466583251953
2016-07-08,78.8340835571289
2016-07-11,79.39320373535156
2016-07-12,79.11783599853516
2016-07-13,79.39320373535156
2016-07-14,79.45160675048828
2016-07-15,79.32645416259766
2016-07-18,79.21796417236328
2016-07-19,79.29307556152344
2016-07-20,79.60183715820312
2016-07-21,79.1762466430664
2016-07-22,79.6435546875
2016-07-25,79.51838684082031
2016-07-26,79.87720489501953
2016-07-27,79.21796417236328
2016-07-28,76.547607421875
2016-07-29,74.22770690917969
2016-08-01,73.99405670166016
2016-08-02,73.40994262695312
2016-08-03,73.5935287475586
2016-08-04,73.77710723876953
