,RSG
2015-11-18,37.508506774902344
2015-11-19,37.45744705200195
2015-11-20,37.814857482910156
2015-11-23,37.49149703979492
2015-11-24,37.32130432128906
2015-11-25,37.39788818359375
2015-11-27,37.542537689208984
2015-11-30,37.38087844848633
2015-12-01,37.704227447509766
2015-12-02,37.57658386230469
2015-12-03,37.07455062866211
2015-12-04,37.704227447509766
2015-12-07,37.38938522338867
2015-12-08,37.678688049316406
2015-12-09,37.40640640258789
2015-12-10,37.559574127197266
2015-12-11,36.7767219543457
2015-12-14,36.649085998535156
2015-12-15,37.117088317871094
2015-12-16,37.695716857910156
2015-12-17,37.304283142089844
2015-12-18,37.083045959472656
2015-12-21,37.31279754638672
2015-12-22,37.678688049316406
2015-12-23,37.85737991333008
2015-12-24,37.789306640625
2015-12-28,38.163719177246094
2015-12-29,38.50408172607422
2015-12-30,38.15287780761719
2015-12-31,37.681739807128906
2016-01-04,36.95365524291992
2016-01-05,37.55324935913086
2016-01-06,37.681739807128906
2016-01-07,37.81881332397461
2016-01-08,37.80167770385742
2016-01-11,38.118614196777344
2016-01-12,38.255680084228516
2016-01-13,37.536128997802734
2016-01-14,37.95586013793945
2016-01-15,37.06501007080078
2016-01-19,37.476165771484375
2016-01-20,36.54247283935547
2016-01-21,36.1484375
2016-01-22,36.773765563964844
2016-01-25,36.32832336425781
2016-01-26,36.4482421875
2016-01-27,36.165565490722656
2016-01-28,36.57673645019531
2016-01-29,37.43333435058594
2016-02-01,37.561824798583984
2016-02-02,37.373382568359375
2016-02-03,37.724571228027344
2016-02-04,37.80167770385742
2016-02-05,37.33054733276367
2016-02-08,37.19348907470703
2016-02-09,37.55324935913086
2016-02-10,37.93872833251953
2016-02-11,37.536128997802734
2016-02-12,37.86164474487305
2016-02-16,38.91524887084961
2016-02-17,38.743927001953125
2016-02-18,39.078006744384766
2016-02-19,39.12939453125
2016-02-22,39.446346282958984
2016-02-23,39.36924362182617
2016-02-24,39.40352249145508
2016-02-25,39.60053253173828
2016-02-26,39.58339309692383
2016-02-29,39.14653015136719
2016-03-01,39.90891647338867
2016-03-02,40.311500549316406
2016-03-03,40.43999099731445
2016-03-04,40.33720397949219
2016-03-07,40.183013916015625
2016-03-08,39.94317626953125
