,BXP
2019-06-14,104.42256164550781
2019-06-17,105.65831756591797
2019-06-18,105.31078338623047
2019-06-19,106.04450225830078
2019-06-20,107.17987823486328
2019-06-21,105.09449768066406
2019-06-24,103.26399230957031
2019-06-25,101.02418518066406
2019-06-26,99.24774932861328
2019-06-27,99.62125396728516
2019-06-28,100.37602233886719
2019-07-01,100.4538345336914
2019-07-02,102.09564208984375
2019-07-03,103.51957702636719
2019-07-05,102.60917663574219
2019-07-08,102.9826889038086
2019-07-09,102.74925994873047
2019-07-10,104.1653823852539
2019-07-11,103.09162139892578
2019-07-12,102.94380187988281
2019-07-15,102.78816986083984
2019-07-16,102.25904083251953
2019-07-17,101.26305389404297
2019-07-18,101.44981384277344
2019-07-19,99.65238189697266
2019-07-22,99.90914916992188
2019-07-23,101.19303894042969
2019-07-24,101.39534759521484
2019-07-25,101.6209945678711
2019-07-26,102.16570281982422
2019-07-29,102.9360122680664
2019-07-30,103.49622344970703
2019-07-31,103.4495620727539
2019-08-01,101.41869354248047
2019-08-02,101.2708511352539
2019-08-05,99.0843505859375
2019-08-06,98.9676513671875
2019-08-07,99.96360778808594
2019-08-08,101.85441589355469
2019-08-09,100.64056396484375
2019-08-12,98.71866607666016
2019-08-13,99.03768157958984
2019-08-14,97.74600982666016
2019-08-15,98.88983154296875
2019-08-16,99.76132202148438
2019-08-19,99.9013671875
2019-08-20,99.27888488769531
2019-08-21,99.34112548828125
2019-08-22,99.5434341430664
2019-08-23,97.90940856933594
2019-08-26,98.84315490722656
2019-08-27,98.22843170166016
2019-08-28,98.5396728515625
2019-08-29,99.66793060302734
2019-08-30,99.92471313476562
2019-09-03,100.22041320800781
2019-09-04,100.93624877929688
2019-09-05,100.85842895507812
2019-09-06,101.28642272949219
2019-09-09,101.43424987792969
2019-09-10,101.86222839355469
2019-09-11,102.72589874267578
2019-09-12,103.82303619384766
2019-09-13,102.24347686767578
2019-09-16,102.73368835449219
2019-09-17,102.08786010742188
2019-09-18,101.49651336669922
2019-09-19,101.17748260498047
2019-09-20,101.23971557617188
2019-09-23,101.34864807128906
2019-09-24,100.78063201904297
2019-09-25,101.28642272949219
2019-09-26,103.16943359375
2019-09-27,101.9781494140625
2019-09-30,101.6176528930664
2019-10-01,100.84961700439453
2019-10-02,98.31034088134766
2019-10-03,100.23046112060547
2019-10-04,100.87312316894531
2019-10-07,100.43424224853516
2019-10-08,99.59565734863281
2019-10-09,100.20694732666016
2019-10-10,99.67401885986328
2019-10-11,100.47343444824219
2019-10-14,99.97966766357422
2019-10-15,100.98284149169922
2019-10-16,100.58314514160156
2019-10-17,100.05020904541016
2019-10-18,100.59880828857422
2019-10-21,101.8684310913086
2019-10-22,102.5424575805664
2019-10-23,102.64434051513672
2019-10-24,103.74153900146484
2019-10-25,103.59263610839844
2019-10-28,103.98451232910156
2019-10-29,104.47041320800781
2019-10-30,108.88277435302734
2019-10-31,107.52694702148438
2019-11-01,107.71503448486328
2019-11-04,108.56930541992188
2019-11-05,106.83726501464844
2019-11-06,108.0912094116211
2019-11-07,108.12255859375
2019-11-08,108.42037200927734
2019-11-11,108.60064697265625
2019-11-12,106.28868103027344
2019-11-13,107.14290618896484
2019-11-14,108.00501251220703
2019-11-15,107.80908203125
2019-11-18,108.70252227783203
2019-11-19,108.36552429199219
2019-11-20,108.193115234375
2019-11-21,107.17426300048828
2019-11-22,107.83258819580078
2019-11-25,107.79339599609375
2019-11-26,108.55361938476562
2019-11-27,108.94547271728516
2019-11-29,108.57713317871094
2019-12-02,107.26830291748047
2019-12-03,108.52225494384766
2019-12-04,108.15391540527344
2019-12-05,109.03167724609375
2019-12-06,109.15709686279297
2019-12-09,109.61947631835938
2019-12-10,109.41571044921875
2019-12-11,107.59746551513672
2019-12-12,105.9046401977539
2019-12-13,105.88898468017578
2019-12-16,106.31217193603516
2019-12-17,105.38737487792969
2019-12-18,106.16324615478516
2019-12-19,106.34351348876953
2019-12-20,106.4140396118164
2019-12-23,106.43756866455078
2019-12-24,106.53944396972656
2019-12-26,107.47991180419922
2019-12-27,107.90312194824219
2019-12-30,107.87944793701172
2019-12-31,108.81877136230469
2020-01-02,107.01905822753906
2020-01-03,107.85577392578125
2020-01-06,108.61354064941406
2020-01-07,106.72699737548828
2020-01-08,106.15867614746094
