,OXY
2021-01-04,16.8054141998291
2021-01-05,18.500396728515625
2021-01-06,19.261211395263672
2021-01-07,19.81015968322754
2021-01-08,19.338260650634766
2021-01-11,19.338260650634766
2021-01-12,21.784433364868164
2021-01-13,21.50514793395996
2021-01-14,23.344589233398438
2021-01-15,21.56292724609375
2021-01-19,22.217805862426758
2021-01-20,22.16965675354004
2021-01-21,20.74432945251465
2021-01-22,20.69617462158203
2021-01-25,20.715435028076172
2021-01-26,19.62717628479004
2021-01-27,19.819787979125977
2021-01-28,20.176124572753906
2021-01-29,19.318998336791992
2021-02-01,19.63680648803711
2021-02-02,19.964248657226562
2021-02-03,21.20659637451172
2021-02-04,21.476253509521484
2021-02-05,21.72664451599121
2021-02-08,24.50989532470703
2021-02-09,23.739444732666016
2021-02-10,24.65435218811035
2021-02-11,24.057260513305664
2021-02-12,24.452110290527344
2021-02-16,25.48258399963379
2021-02-17,25.742610931396484
2021-02-18,24.34617805480957
2021-02-19,24.48100471496582
2021-02-22,25.49221420288086
2021-02-23,25.09736442565918
2021-02-24,27.119789123535156
2021-02-25,25.76187515258789
2021-02-26,25.627046585083008
2021-03-01,26.618999481201172
2021-03-02,26.792348861694336
2021-03-03,27.601322174072266
2021-03-04,28.795513153076172
2021-03-05,30.076385498046875
2021-03-08,28.670318603515625
2021-03-09,27.600963592529297
2021-03-10,28.284963607788086
2021-03-11,29.84564208984375
2021-03-12,29.508460998535156
2021-03-15,28.22715950012207
2021-03-16,27.138538360595703
2021-03-17,27.976680755615234
2021-03-18,25.645288467407227
2021-03-19,27.071104049682617
2021-03-22,26.454532623291016
2021-03-23,25.616390228271484
2021-03-24,26.06917953491211
2021-03-25,25.72236442565918
2021-03-26,26.743549346923828
2021-03-29,26.01137924194336
2021-03-30,26.32929229736328
2021-03-31,25.645288467407227
2021-04-01,26.377466201782227
2021-04-05,24.383255004882812
2021-04-06,24.421794891357422
2021-04-07,24.373620986938477
2021-04-08,23.824495315551758
2021-04-09,23.68962287902832
2021-04-12,23.34280776977539
2021-04-13,23.400609970092773
2021-04-14,24.614471435546875
2021-04-15,23.949731826782227
2021-04-16,23.48731231689453
2021-04-19,23.641454696655273
2021-04-20,22.350521087646484
2021-04-21,23.55474853515625
2021-04-22,23.21756362915039
2021-04-23,23.747425079345703
2021-04-26,23.988271713256836
2021-04-27,24.171314239501953
2021-04-28,25.14433479309082
2021-04-29,24.990190505981445
2021-04-30,24.431428909301758
2021-05-03,25.18286895751953
2021-05-04,24.91312026977539
2021-05-05,26.05954933166504
2021-05-06,25.674190521240234
2021-05-07,26.387094497680664
2021-05-10,25.65492057800293
2021-05-11,23.631816864013672
2021-05-12,24.200218200683594
2021-05-13,22.841842651367188
2021-05-14,24.18094825744629
2021-05-17,25.423715591430664
2021-05-18,24.922754287719727
2021-05-19,24.152050018310547
2021-05-20,24.03643798828125
2021-05-21,24.200218200683594
