,UNP
2017-07-28,87.68659973144531
2017-07-31,87.39797973632812
2017-08-01,86.56610870361328
2017-08-02,86.86322021484375
2017-08-03,87.04998016357422
2017-08-04,86.99056243896484
2017-08-07,87.06693267822266
2017-08-08,87.48286437988281
2017-08-09,88.08553314208984
2017-08-10,87.1688003540039
2017-08-11,87.91578674316406
2017-08-14,88.90044403076172
2017-08-15,89.00232696533203
2017-08-16,89.85115814208984
2017-08-17,87.58474731445312
2017-08-18,88.1959228515625
2017-08-21,88.54393005371094
2017-08-22,90.15677642822266
2017-08-23,89.16360473632812
2017-08-24,88.7646255493164
2017-08-25,89.34186553955078
2017-08-28,88.7476577758789
2017-08-29,89.62281036376953
2017-08-30,89.5971908569336
2017-08-31,89.90457153320312
2017-09-01,90.04971313476562
2017-09-05,88.8800048828125
2017-09-06,89.6569595336914
2017-09-07,90.0667724609375
2017-09-08,91.53530883789062
2017-09-11,92.29519653320312
2017-09-12,92.61963653564453
2017-09-13,92.77330780029297
2017-09-14,94.65164184570312
2017-09-15,96.82029724121094
2017-09-18,95.65057373046875
2017-09-19,96.47875213623047
2017-09-20,98.18636322021484
2017-09-21,98.5620346069336
2017-09-22,98.4766616821289
2017-09-25,98.86087036132812
2017-09-26,98.55351257324219
2017-09-27,99.58659362792969
2017-09-28,99.01456451416016
2017-09-29,99.01456451416016
2017-10-02,98.4083480834961
2017-10-03,98.0924301147461
2017-10-04,97.13619995117188
2017-10-05,97.34964752197266
2017-10-06,97.28987121582031
2017-10-09,97.2301254272461
2017-10-10,96.16289520263672
2017-10-11,96.52146911621094
2017-10-12,97.0678939819336
2017-10-13,95.86404418945312
2017-10-16,95.7018051147461
2017-10-17,94.40406036376953
2017-10-18,94.24185180664062
2017-10-19,95.63352966308594
2017-10-20,96.47026062011719
2017-10-23,96.64098358154297
2017-10-24,96.39341735839844
2017-10-25,94.14791870117188
2017-10-26,99.44143676757812
2017-10-27,99.96223449707031
2017-10-30,99.35607147216797
2017-10-31,98.86087036132812
2017-11-01,99.89397430419922
2017-11-02,101.0807113647461
2017-11-03,100.04761505126953
2017-11-06,100.17571258544922
2017-11-07,99.9281005859375
2017-11-08,100.57698059082031
2017-11-09,99.9537124633789
2017-11-10,99.6378173828125
2017-11-13,99.4499740600586
2017-11-14,99.23654174804688
2017-11-15,98.78401947021484
2017-11-16,99.52681732177734
2017-11-17,98.72425842285156
2017-11-20,99.0487060546875
2017-11-21,99.99642181396484
2017-11-22,100.62822723388672
2017-11-24,100.96118927001953
2017-11-27,100.03057098388672
2017-11-28,101.43077850341797
2017-11-29,105.55636596679688
2017-11-30,108.61299133300781
2017-12-01,106.99882507324219
2017-12-04,111.68677520751953
2017-12-05,109.9094467163086
2017-12-06,109.85792541503906
2017-12-07,110.29585266113281
2017-12-08,110.85394287109375
2017-12-11,110.8023910522461
2017-12-12,112.21910095214844
2017-12-13,111.88424682617188
2017-12-14,110.90543365478516
2017-12-15,112.13327026367188
2017-12-18,113.73882293701172
2017-12-19,114.39994049072266
2017-12-20,115.63634490966797
2017-12-21,114.8206558227539
2017-12-22,115.4560546875
2017-12-26,115.61054992675781
2017-12-27,117.04440307617188
2017-12-28,116.01411437988281
2017-12-29,115.13835144042969
2018-01-02,116.58078002929688
2018-01-03,117.23331451416016
2018-01-04,116.59794616699219
2018-01-05,118.08332824707031
2018-01-08,119.72323608398438
2018-01-09,121.06269073486328
2018-01-10,119.94654083251953
2018-01-11,120.50457763671875
2018-01-12,121.20863342285156
2018-01-16,120.47026824951172
2018-01-17,120.5990219116211
2018-01-18,120.5732421875
2018-01-19,121.27735137939453
2018-01-22,121.89551544189453
2018-01-23,121.37179565429688
2018-01-24,121.22581481933594
2018-01-25,114.70907592773438
2018-01-26,115.24996948242188
2018-01-29,116.81261444091797
2018-01-30,116.22019958496094
2018-01-31,114.62319946289062
2018-02-01,113.66156768798828
2018-02-02,111.06856536865234
2018-02-05,106.58668518066406
2018-02-06,112.60545349121094
2018-02-07,110.72513580322266
2018-02-08,107.20487213134766
2018-02-09,109.2826919555664
2018-02-12,110.45038604736328
2018-02-13,110.15845489501953
2018-02-14,114.3570327758789
2018-02-15,114.95802307128906
2018-02-16,115.28430938720703
2018-02-20,111.81558227539062
