,SYY
2016-06-20,40.259666442871094
2016-06-21,40.356388092041016
2016-06-22,40.27579879760742
2016-06-23,40.533714294433594
2016-06-24,40.23550033569336
2016-06-27,40.06623077392578
2016-06-28,39.9050407409668
2016-06-29,40.73234176635742
2016-06-30,41.154083251953125
2016-07-01,41.14598846435547
2016-07-05,41.52719497680664
2016-07-06,41.58396530151367
2016-07-07,41.519081115722656
2016-07-08,41.8435173034668
2016-07-11,41.884063720703125
2016-07-12,41.429866790771484
2016-07-13,42.200382232666016
2016-07-14,42.1517219543457
2016-07-15,42.19227981567383
2016-07-18,42.14360427856445
2016-07-19,42.29770278930664
2016-07-20,42.02194595336914
2016-07-21,41.965171813964844
2016-07-22,42.249046325683594
2016-07-25,42.281497955322266
2016-07-26,42.14360427856445
2016-07-27,41.83540725708008
2016-07-28,42.03816604614258
2016-07-29,42.00572204589844
2016-08-01,42.11116409301758
2016-08-02,42.12739562988281
2016-08-03,41.63263702392578
2016-08-04,41.770511627197266
2016-08-05,41.5677375793457
2016-08-08,41.5352897644043
2016-08-09,42.03004455566406
2016-08-10,42.03004455566406
2016-08-11,41.98139572143555
2016-08-12,42.34638595581055
2016-08-15,42.32204818725586
2016-08-16,42.249046325683594
2016-08-17,42.37070846557617
2016-08-18,42.54914855957031
2016-08-19,42.565372467041016
2016-08-22,42.92224884033203
2016-08-23,42.80057907104492
2016-08-24,42.5167121887207
2016-08-25,42.54914855957031
2016-08-26,42.27338790893555
2016-08-29,42.5167121887207
2016-08-30,42.11928176879883
2016-08-31,42.0625
2016-09-01,42.2247200012207
2016-09-02,43.18179702758789
2016-09-06,43.3602294921875
2016-09-07,43.06012725830078
2016-09-08,42.670814514160156
2016-09-09,40.391685485839844
2016-09-12,40.845890045166016
2016-09-13,40.17268753051758
2016-09-14,40.24568557739258
2016-09-15,40.213253021240234
2016-09-16,40.0510368347168
2016-09-19,39.94559097290039
2016-09-20,39.832027435302734
2016-09-21,40.30245590209961
2016-09-22,40.57012176513672
2016-09-23,40.18891143798828
2016-09-26,39.64549255371094
2016-09-27,39.93748474121094
2016-09-28,40.099693298339844
2016-09-29,39.767154693603516
2016-09-30,39.75092315673828
2016-10-03,39.67793655395508
2016-10-04,39.020965576171875
2016-10-05,38.996463775634766
2016-10-06,39.41280746459961
2016-10-07,39.24136734008789
2016-10-10,39.35566329956055
2016-10-11,39.19239044189453
2016-10-12,39.68218994140625
2016-10-13,39.88627624511719
2016-10-14,39.44545364379883
2016-10-17,39.3964729309082
2016-10-18,39.40462875366211
2016-10-19,39.127079010009766
2016-10-20,38.849525451660156
2016-10-21,38.76789855957031
2016-10-24,38.97197341918945
2016-10-25,38.72708511352539
2016-10-26,38.58012771606445
2016-10-27,38.73524856567383
2016-10-28,39.176063537597656
2016-10-31,39.28219223022461
2016-11-01,39.249534606933594
2016-11-02,38.996463775634766
2016-11-03,39.06178283691406
2016-11-04,39.216880798339844
2016-11-07,43.06998825073242
2016-11-08,44.23735809326172
2016-11-09,44.212867736816406
2016-11-10,43.44550704956055
2016-11-11,43.372039794921875
2016-11-14,43.665924072265625
2016-11-15,43.67408752441406
2016-11-16,43.372039794921875
2016-11-17,43.55979537963867
2016-11-18,43.38019943237305
2016-11-21,43.86185073852539
