,CDW
2020-01-06,133.1723175048828
2020-01-07,133.02122497558594
2020-01-08,132.8230438232422
2020-01-09,134.01239013671875
2020-01-10,134.3805694580078
2020-01-13,135.31507873535156
2020-01-14,135.89083862304688
2020-01-15,136.4949951171875
2020-01-16,136.11740112304688
2020-01-17,129.1793670654297
2020-01-21,128.45254516601562
2020-01-22,128.92453002929688
2020-01-23,130.9539794921875
2020-01-24,130.18943786621094
2020-01-27,126.36639404296875
2020-01-28,127.86732482910156
2020-01-29,127.30094909667969
2020-01-30,126.32866668701172
2020-01-31,123.13809204101562
2020-02-03,125.44132995605469
2020-02-04,128.5186004638672
2020-02-05,128.41476440429688
2020-02-06,127.09325408935547
2020-02-07,125.22423553466797
2020-02-10,126.47969055175781
2020-02-11,128.34872436523438
2020-02-12,128.9339599609375
2020-02-13,129.58531188964844
2020-02-14,130.53868103027344
2020-02-18,127.3103256225586
2020-02-19,128.97174072265625
2020-02-20,130.4915008544922
2020-02-21,126.40418243408203
2020-02-24,122.6270751953125
2020-02-25,118.47138977050781
2020-02-26,118.17792510986328
2020-02-27,109.8853988647461
2020-02-28,108.12467193603516
2020-03-02,113.57726287841797
2020-03-03,109.44046783447266
2020-03-04,112.82946014404297
2020-03-05,107.73653411865234
2020-03-06,105.62554931640625
2020-03-09,92.9690170288086
2020-03-10,98.5352554321289
2020-03-11,97.38034057617188
2020-03-12,86.58870697021484
2020-03-13,95.89413452148438
2020-03-16,82.32884216308594
2020-03-17,82.62230682373047
2020-03-18,79.88651275634766
2020-03-19,83.55948638916016
2020-03-20,75.31427764892578
2020-03-23,81.0319595336914
2020-03-24,88.8227767944336
2020-03-25,87.00523376464844
2020-03-26,95.66693878173828
2020-03-27,88.74705505371094
2020-03-30,91.73841857910156
2020-03-31,88.29264068603516
2020-04-01,84.08959197998047
2020-04-02,83.27547454833984
2020-04-03,82.25312042236328
2020-04-06,90.7254867553711
2020-04-07,93.36660766601562
2020-04-08,96.81236267089844
2020-04-09,100.58943939208984
2020-04-13,98.33644104003906
2020-04-14,101.05330657958984
2020-04-15,98.14713287353516
2020-04-16,98.68669891357422
2020-04-17,103.01282501220703
2020-04-20,99.96466064453125
2020-04-21,93.57485961914062
2020-04-22,96.31063842773438
2020-04-23,95.47761535644531
2020-04-24,99.1789779663086
2020-04-27,100.6083755493164
2020-04-28,101.4035415649414
2020-04-29,105.35101318359375
2020-04-30,104.88719177246094
2020-05-01,101.11956024169922
2020-05-04,102.41645050048828
2020-05-05,104.1203842163086
2020-05-06,101.07222747802734
2020-05-07,100.97757720947266
2020-05-08,102.74777221679688
2020-05-11,99.36827850341797
2020-05-12,96.53784942626953
2020-05-13,92.77971649169922
2020-05-14,94.3795166015625
2020-05-15,92.59037017822266
2020-05-18,100.82611846923828
2020-05-19,100.33385467529297
2020-05-20,103.40093231201172
2020-05-21,101.84304809570312
2020-05-22,100.4466323852539
2020-05-26,102.6030044555664
2020-05-27,104.81634521484375
2020-05-28,104.16090393066406
2020-05-29,105.35784149169922
2020-06-01,106.3077621459961
2020-06-02,107.59968566894531
2020-06-03,109.32855987548828
2020-06-04,110.90546417236328
2020-06-05,119.06543731689453
