,PRU
2015-02-09,50.4722785949707
2015-02-10,51.007965087890625
2015-02-11,51.733097076416016
2015-02-12,51.41299057006836
2015-02-13,52.47782897949219
2015-02-17,52.88285446166992
2015-02-18,51.974822998046875
2015-02-19,52.45823669433594
2015-02-20,53.17549133300781
2015-02-23,52.918861389160156
2015-02-24,53.64927291870117
2015-02-25,53.2149772644043
2015-02-26,53.37289810180664
2015-02-27,53.201812744140625
2015-03-02,54.057273864746094
2015-03-03,53.62953567504883
2015-03-04,53.037315368652344
2015-03-05,53.307098388671875
2015-03-06,54.35335922241211
2015-03-09,54.37968826293945
2015-03-10,52.55695343017578
2015-03-11,52.945167541503906
2015-03-12,54.175697326660156
2015-03-13,53.39263916015625
2015-03-16,54.66263198852539
2015-03-17,54.16912078857422
2015-03-18,53.846683502197266
2015-03-19,52.780670166015625
2015-03-20,54.406009674072266
2015-03-23,53.80717849731445
2015-03-24,53.02415466308594
2015-03-25,52.2345085144043
2015-03-26,52.6688117980957
2015-03-27,52.076576232910156
2015-03-30,52.88596725463867
2015-03-31,52.84646987915039
2015-04-01,52.28055953979492
2015-04-02,52.99123764038086
2015-04-06,52.72145080566406
2015-04-07,52.425323486328125
2015-04-08,52.79384231567383
2015-04-09,53.38606262207031
2015-04-10,52.866214752197266
2015-04-13,53.280765533447266
2015-04-14,52.58327102661133
2015-04-15,52.69511795043945
2015-04-16,52.747779846191406
2015-04-17,52.06999969482422
2015-04-20,52.596412658691406
2015-04-21,52.45166015625
2015-04-22,53.37948226928711
2015-04-23,53.50450134277344
2015-04-24,53.16233825683594
2015-04-27,52.78724670410156
2015-04-28,53.39922332763672
2015-04-29,54.30072784423828
2015-04-30,53.695335388183594
2015-05-01,54.85346984863281
2015-05-04,55.39964294433594
2015-05-05,54.87979507446289
2015-05-06,55.07721710205078
2015-05-07,56.044517517089844
2015-05-08,56.31431198120117
2015-05-11,57.097354888916016
2015-05-12,56.74202346801758
2015-05-13,56.64332962036133
2015-05-14,56.78807830810547
2015-05-15,56.23532485961914
2015-05-18,56.873619079589844
2015-05-19,56.7749137878418
2015-05-20,56.35377502441406
2015-05-21,56.73141098022461
2015-05-22,56.393531799316406
2015-05-26,55.63164138793945
2015-05-27,56.44652557373047
2015-05-28,56.36042785644531
2015-05-29,56.0556526184082
2015-06-01,55.86351013183594
2015-06-02,56.65854263305664
2015-06-03,57.63246536254883
2015-06-04,57.37405776977539
2015-06-05,58.460594177246094
2015-06-08,58.0233154296875
2015-06-09,58.28171157836914
2015-06-10,59.990989685058594
2015-06-11,59.580238342285156
2015-06-12,59.12310028076172
2015-06-15,58.68584442138672
2015-06-16,59.44773864746094
2015-06-17,59.056846618652344
2015-06-18,59.467620849609375
2015-06-19,59.156227111816406
2015-06-22,60.27588653564453
2015-06-23,60.600528717041016
2015-06-24,60.09038162231445
2015-06-25,59.44773864746094
2015-06-26,60.103641510009766
2015-06-29,57.831199645996094
2015-06-30,57.98357009887695
2015-07-01,58.95084762573242
2015-07-02,58.41421890258789
2015-07-06,57.97695541381836
2015-07-07,57.63905715942383
2015-07-08,56.221275329589844
2015-07-09,56.791046142578125
2015-07-10,57.877567291259766
2015-07-13,58.70570373535156
2015-07-14,58.7984619140625
2015-07-15,58.75210952758789
2015-07-16,59.31523132324219
2015-07-17,58.80510330200195
2015-07-20,58.73222351074219
2015-07-21,58.77197265625
2015-07-22,58.7984619140625
2015-07-23,58.54671096801758
2015-07-24,58.202205657958984
2015-07-27,57.658935546875
2015-07-28,58.301578521728516
2015-07-29,59.33510208129883
2015-07-30,59.407981872558594
2015-07-31,58.54011917114258
2015-08-03,59.056846618652344
2015-08-04,59.5206184387207
2015-08-05,59.533878326416016
2015-08-06,60.06387710571289
2015-08-07,59.235755920410156
2015-08-10,60.739662170410156
2015-08-11,59.262245178222656
2015-08-12,58.61960220336914
2015-08-13,59.14298629760742
2015-08-14,59.6928596496582
2015-08-17,59.169490814208984
2015-08-18,59.05023956298828
2015-08-19,58.10282516479492
2015-08-20,56.24114990234375
2015-08-21,53.87970733642578
2015-08-24,50.637725830078125
2015-08-25,49.51035690307617
2015-08-26,51.671695709228516
2015-08-27,54.11317825317383
2015-08-28,54.166542053222656
2015-08-31,53.8329963684082
2015-09-01,51.444881439208984
2015-09-02,52.658966064453125
2015-09-03,52.70564651489258
2015-09-04,51.43152618408203
