,CTRA
2021-08-03,13.336807250976562
2021-08-04,12.929201126098633
2021-08-05,13.075940132141113
2021-08-06,13.271589279174805
2021-08-09,13.04333209991455
2021-08-10,13.353109359741211
2021-08-11,13.353110313415527
2021-08-12,13.205381393432617
2021-08-13,12.983786582946777
2021-08-16,12.696535110473633
2021-08-17,12.721156120300293
2021-08-18,12.335417747497559
2021-08-19,11.9743013381958
2021-08-20,11.834778785705566
2021-08-23,12.023544311523438
2021-08-24,12.064581871032715
2021-08-25,12.310796737670898
2021-08-26,12.07278823852539
2021-08-27,12.827849388122559
2021-08-30,12.91812801361084
2021-08-31,13.041236877441406
2021-09-01,13.344902992248535
2021-09-02,14.239486694335938
2021-09-03,14.617020606994629
2021-09-07,14.575983047485352
2021-09-08,15.109454154968262
2021-09-09,15.207940101623535
2021-09-10,15.035588264465332
2021-09-13,15.577259063720703
2021-09-14,15.314629554748535
2021-09-15,16.39798355102539
2021-09-16,15.897343635559082
2021-09-17,15.930169105529785
2021-09-20,15.897343635559082
2021-09-21,15.577259063720703
2021-09-22,15.889134407043457
2021-09-23,16.233837127685547
2021-09-24,16.693439483642578
2021-09-27,18.10507583618164
2021-09-28,17.908105850219727
2021-09-29,18.507226943969727
2021-09-30,17.858863830566406
2021-10-01,18.261014938354492
2021-10-04,18.687789916992188
2021-10-05,18.589303970336914
2021-10-06,18.1132869720459
2021-10-07,18.06403923034668
2021-10-08,18.277429580688477
2021-10-11,17.661888122558594
2021-10-12,17.604440689086914
2021-10-13,17.562423706054688
2021-10-14,17.436376571655273
2021-10-15,17.09185028076172
2021-10-18,17.142269134521484
2021-10-19,17.528810501098633
2021-10-20,17.99098014831543
2021-10-21,17.461589813232422
2021-10-22,17.890146255493164
2021-10-25,18.957332611083984
2021-10-26,18.88170623779297
2021-10-27,18.579198837280273
2021-10-28,18.38592529296875
2021-10-29,17.91535758972168
2021-11-01,18.14223289489746
2021-11-02,18.024595260620117
2021-11-03,18.562389373779297
2021-11-04,18.276683807373047
2021-11-05,18.133832931518555
2021-11-08,18.2010555267334
2021-11-09,17.948965072631836
2021-11-10,17.033029556274414
2021-11-11,17.520408630371094
2021-11-12,17.563034057617188
2021-11-15,17.7506046295166
2021-11-16,17.887012481689453
2021-11-17,17.571561813354492
2021-11-18,17.707975387573242
2021-11-19,17.042966842651367
2021-11-22,17.869966506958008
2021-11-23,17.904064178466797
2021-11-24,17.98080062866211
2021-11-26,17.904064178466797
2021-11-29,17.767656326293945
2021-11-30,17.11969566345215
2021-12-01,16.829824447631836
2021-12-02,17.247583389282227
2021-12-03,17.23906135559082
2021-12-06,16.744564056396484
2021-12-07,17.15380096435547
2021-12-08,17.6909236907959
2021-12-09,17.7506046295166
2021-12-10,17.827333450317383
2021-12-13,17.443674087524414
2021-12-14,17.12822723388672
2021-12-15,17.366945266723633
2021-12-16,17.11969566345215
2021-12-17,16.76161766052246
2021-12-20,16.5570011138916
2021-12-21,16.744564056396484
2021-12-22,16.838348388671875
2021-12-23,16.531421661376953
2021-12-27,16.974760055541992
2021-12-28,17.01738739013672
2021-12-29,17.06001853942871
2021-12-30,16.66783332824707
2021-12-31,16.198917388916016
2022-01-03,16.684885025024414
2022-01-04,17.84438705444336
2022-01-05,17.631242752075195
2022-01-06,17.443674087524414
2022-01-07,18.37298011779785
2022-01-10,18.21099281311035
2022-01-11,18.117210388183594
2022-01-12,19.217031478881836
2022-01-13,18.620229721069336
2022-01-14,18.927156448364258
2022-01-18,18.603178024291992
2022-01-19,17.8017578125
2022-01-20,17.077070236206055
2022-01-21,16.480266571044922
2022-01-24,16.65078353881836
2022-01-25,17.349891662597656
2022-01-26,17.28169059753418
2022-01-27,17.89554214477539
2022-01-28,18.44118881225586
2022-01-31,18.671382904052734
2022-02-01,18.918630599975586
2022-02-02,19.54100799560547
2022-02-03,19.566587448120117
2022-02-04,19.96729850769043
2022-02-07,19.77972984313965
2022-02-08,19.08914566040039
2022-02-09,19.37902069091797
2022-02-10,19.600690841674805
2022-02-11,20.555574417114258
2022-02-14,19.805309295654297
2022-02-15,19.54100799560547
2022-02-16,19.498380661010742
2022-02-17,19.43017578125
2022-02-18,19.259658813476562
2022-02-22,19.234081268310547
2022-02-23,19.78825569152832
2022-02-24,18.961259841918945
2022-02-25,19.361968994140625
2022-02-28,19.89056396484375
2022-03-01,20.768718719482422
2022-03-02,21.88559341430664
2022-03-03,21.74917984008789
2022-03-04,22.760364532470703
2022-03-07,23.536184310913086
2022-03-08,22.67319107055664
2022-03-09,22.193750381469727
2022-03-10,22.952138900756836
2022-03-11,22.341938018798828
2022-03-14,20.16266632080078
2022-03-15,20.424177169799805
2022-03-16,20.45904541015625
2022-03-17,21.566116333007812
2022-03-18,21.662006378173828
2022-03-21,22.03684425354004
2022-03-22,22.298357009887695
2022-03-23,22.830097198486328
2022-03-24,23.562335968017578
2022-03-25,25.20115089416504
2022-03-28,24.48634910583496
2022-03-29,23.884868621826172
2022-03-30,23.623355865478516
2022-03-31,23.510032653808594
2022-04-01,23.623355865478516
2022-04-04,23.170066833496094
2022-04-05,22.995725631713867
2022-04-06,23.09161376953125
2022-04-07,23.353124618530273
2022-04-08,25.06167984008789
