,WAB
2015-04-07,89.6412582397461
2015-04-08,89.86852264404297
2015-04-09,89.80221557617188
2015-04-10,90.71125793457031
2015-04-13,90.38927459716797
2015-04-14,89.65070343017578
2015-04-15,91.23201751708984
2015-04-16,91.21307373046875
2015-04-17,90.03893280029297
2015-04-20,91.10890197753906
2015-04-21,90.68281555175781
2015-04-22,93.37195587158203
2015-04-23,93.0500259399414
2015-04-24,91.7906723022461
2015-04-27,91.12783813476562
2015-04-28,91.71491241455078
2015-04-29,90.9006118774414
2015-04-30,89.05418395996094
2015-05-01,94.51771545410156
2015-05-04,95.8717269897461
2015-05-05,93.89273834228516
2015-05-06,93.82647705078125
2015-05-07,93.98741912841797
2015-05-08,94.32832336425781
2015-05-11,93.83592987060547
2015-05-12,93.9495849609375
2015-05-13,93.96853637695312
2015-05-14,95.24757385253906
2015-05-15,95.35179901123047
2015-05-18,96.7729721069336
2015-05-19,96.64031219482422
2015-05-20,95.99607849121094
2015-05-21,96.08132934570312
2015-05-22,96.19502258300781
2015-05-26,95.19071960449219
2015-05-27,96.08132934570312
2015-05-28,95.52232360839844
2015-05-29,95.0296630859375
2015-06-01,94.6127700805664
2015-06-02,94.508544921875
2015-06-03,94.62224578857422
2015-06-04,93.62743377685547
2015-06-05,94.52750396728516
2015-06-08,93.97797393798828
2015-06-09,93.6937484741211
2015-06-10,95.15283203125
2015-06-11,95.8729019165039
2015-06-12,94.3569564819336
2015-06-15,93.40950012207031
2015-06-16,93.21055603027344
2015-06-17,93.83584594726562
2015-06-18,94.15799713134766
2015-06-19,93.54216766357422
2015-06-22,93.47586059570312
2015-06-23,94.1390609741211
2015-06-24,92.68946075439453
2015-06-25,90.72820281982422
2015-06-26,90.5008316040039
2015-06-29,88.63434600830078
2015-06-30,89.2880859375
2015-07-01,89.1649169921875
2015-07-02,89.4586181640625
2015-07-06,89.00383758544922
2015-07-07,89.31649780273438
2015-07-08,87.88585662841797
2015-07-09,88.302734375
2015-07-10,89.23124694824219
2015-07-13,90.46292114257812
2015-07-14,90.77559661865234
2015-07-15,89.80918884277344
2015-07-16,90.18815612792969
2015-07-17,89.70494842529297
2015-07-20,90.10289764404297
2015-07-21,88.97543334960938
2015-07-22,88.35008239746094
2015-07-23,88.75749969482422
2015-07-24,86.54045104980469
2015-07-27,92.78416442871094
2015-07-28,94.38538360595703
2015-07-29,96.64979553222656
2015-07-30,97.00983428955078
2015-07-31,95.8729019165039
2015-08-03,94.75491333007812
2015-08-04,93.66532897949219
2015-08-05,94.57489776611328
2015-08-06,93.16316223144531
2015-08-07,92.52838134765625
2015-08-10,94.508544921875
2015-08-11,93.89270782470703
2015-08-12,93.8453369140625
2015-08-13,94.4711685180664
2015-08-14,95.4288558959961
2015-08-17,96.66156768798828
2015-08-18,96.32019805908203
2015-08-19,95.1728744506836
2015-08-20,91.78770446777344
2015-08-21,89.11371612548828
2015-08-24,87.53018951416016
2015-08-25,86.16476440429688
2015-08-26,88.66806030273438
2015-08-27,91.70233917236328
2015-08-28,91.95835876464844
2015-08-31,90.80155181884766
2015-09-01,87.17935180664062
2015-09-02,88.10860443115234
2015-09-03,88.7818374633789
2015-09-04,86.66732025146484
2015-09-08,88.74393463134766
2015-09-09,88.80079650878906
2015-09-10,89.4835205078125
2015-09-11,89.9671401977539
2015-09-14,89.29388427734375
2015-09-15,90.76363372802734
2015-09-16,92.47989654541016
2015-09-17,92.58419036865234
2015-09-18,90.17573547363281
2015-09-21,90.33692169189453
2015-09-22,88.76287078857422
2015-09-23,87.73878479003906
2015-09-24,85.330322265625
2015-09-25,84.41056823730469
2015-09-28,81.40469360351562
2015-09-29,81.32884216308594
2015-09-30,83.49079895019531
2015-10-01,82.5615005493164
2015-10-02,83.32011413574219
2015-10-05,86.70527648925781
2015-10-06,86.31647491455078
2015-10-07,88.35516357421875
2015-10-08,88.05171203613281
2015-10-09,88.80079650878906
2015-10-12,89.17060852050781
2015-10-13,87.49227142333984
2015-10-14,86.6483383178711
2015-10-15,87.26470184326172
2015-10-16,86.10786437988281
2015-10-19,84.68551635742188
2015-10-20,84.58123779296875
2015-10-21,83.96488952636719
2015-10-22,79.4039306640625
2015-10-23,78.89191436767578
2015-10-26,79.22380828857422
2015-10-27,77.18511199951172
2015-10-28,77.64972686767578
2015-10-29,77.45060729980469
2015-10-30,78.5790023803711
2015-11-02,77.98161315917969
2015-11-03,76.70153045654297
2015-11-04,75.78173065185547
2015-11-05,73.43016052246094
2015-11-06,73.58187103271484
2015-11-09,71.99835205078125
2015-11-10,73.29740905761719
2015-11-11,73.11724853515625
2015-11-12,72.6331558227539
2015-11-13,72.8704605102539
2015-11-16,73.88610076904297
2015-11-17,71.88330078125
2015-11-18,73.7247314453125
2015-11-19,73.80065155029297
2015-11-20,72.84200286865234
2015-11-23,73.49694061279297
2015-11-24,74.9017562866211
2015-11-25,76.42999267578125
2015-11-27,76.88558197021484
2015-11-30,76.05027770996094
2015-12-01,75.9743881225586
2015-12-02,74.8732681274414
2015-12-03,71.80734252929688
2015-12-04,72.3199234008789
2015-12-07,72.13004302978516
2015-12-08,69.68112182617188
2015-12-09,69.18754577636719
2015-12-10,68.5325927734375
2015-12-11,66.55824279785156
2015-12-14,65.69447326660156
2015-12-15,66.51077270507812
2015-12-16,67.53592681884766
2015-12-17,66.74807739257812
2015-12-18,65.39073181152344
2015-12-21,68.18138122558594
2015-12-22,69.36788940429688
2015-12-23,69.9184341430664
2015-12-24,69.41532897949219
2015-12-28,68.807861328125
2015-12-29,68.36172485351562
2015-12-30,67.57389068603516
2015-12-31,67.50745391845703
2016-01-04,66.59622955322266
2016-01-05,65.4286880493164
2016-01-06,63.14110565185547
2016-01-07,61.033870697021484
2016-01-08,59.9517822265625
2016-01-11,59.60057067871094
2016-01-12,60.11314010620117
2016-01-13,58.51847839355469
2016-01-14,60.141624450683594
2016-01-15,60.35993194580078
2016-01-19,59.81889343261719
2016-01-20,59.18293380737305
2016-01-21,60.36942672729492
2016-01-22,60.929466247558594
2016-01-25,59.401241302490234
2016-01-26,59.989749908447266
2016-01-27,59.211402893066406
2016-01-28,58.993080139160156
2016-01-29,60.701656341552734
2016-02-01,60.654197692871094
2016-02-02,59.477176666259766
2016-02-03,60.49283218383789
2016-02-04,61.49898147583008
2016-02-05,58.91714859008789
2016-02-08,58.8032341003418
2016-02-09,57.502830505371094
2016-02-10,62.25513458251953
2016-02-11,60.89598083496094
2016-02-12,62.112552642822266
2016-02-16,64.14655303955078
2016-02-17,66.0474853515625
2016-02-18,65.47718048095703
2016-02-19,63.918418884277344
2016-02-22,65.28710174560547
2016-02-23,64.15604400634766
2016-02-24,64.05149841308594
2016-02-25,64.6502914428711
2016-02-26,65.45818328857422
2016-02-29,67.10249328613281
2016-03-01,67.40663146972656
2016-03-02,68.68024444580078
2016-03-03,70.19146728515625
2016-03-04,71.3034896850586
2016-03-07,73.23294830322266
2016-03-08,71.54109954833984
2016-03-09,71.73120880126953
2016-03-10,71.4175796508789
2016-03-11,73.94581604003906
2016-03-14,73.67015838623047
2016-03-15,73.527587890625
2016-03-16,73.73667907714844
2016-03-17,74.77268981933594
2016-03-18,76.06529998779297
2016-03-21,75.36196899414062
2016-03-22,74.79168701171875
2016-03-23,73.70817565917969
2016-03-24,73.63214111328125
2016-03-28,73.90778350830078
2016-03-29,75.50454711914062
2016-03-30,75.28594970703125
2016-03-31,75.36196899414062
2016-04-01,76.32193756103516
2016-04-04,75.25743103027344
2016-04-05,74.83921813964844
2016-04-06,75.27644348144531
2016-04-07,74.39250183105469
2016-04-08,74.74417114257812
2016-04-11,74.73466491699219
2016-04-12,75.52357482910156
2016-04-13,77.25337219238281
2016-04-14,76.66410827636719
2016-04-15,77.27239990234375
2016-04-18,76.7686767578125
2016-04-19,77.50050354003906
2016-04-20,77.54802703857422
2016-04-21,76.8066635131836
2016-04-22,76.97775268554688
2016-04-25,75.65660858154297
2016-04-26,79.09727478027344
2016-04-27,81.98668670654297
2016-04-28,79.51546478271484
2016-04-29,78.82164764404297
2016-05-02,78.23236846923828
2016-05-03,76.98724365234375
2016-05-04,76.04629516601562
2016-05-05,75.81818389892578
2016-05-06,75.44752502441406
2016-05-09,74.41149139404297
2016-05-10,76.15082550048828
2016-05-11,75.63709259033203
2016-05-12,75.3231430053711
2016-05-13,74.2099838256836
2016-05-16,74.45735168457031
2016-05-17,73.49641418457031
2016-05-18,72.85899353027344
2016-05-19,72.52599334716797
2016-05-20,73.34419250488281
2016-05-23,73.49641418457031
2016-05-24,74.05774688720703
2016-05-25,74.4192886352539
2016-05-26,73.67718505859375
2016-05-27,74.08628845214844
2016-05-31,73.62008666992188
2016-06-01,74.08628845214844
2016-06-02,74.2099838256836
2016-06-03,72.87801361083984
2016-06-06,74.26705169677734
2016-06-07,73.97210693359375
2016-06-08,74.36221313476562
2016-06-09,73.29662322998047
2016-06-10,71.47940826416016
2016-06-13,70.6517105102539
2016-06-14,70.50900268554688
2016-06-15,69.77640533447266
2016-06-16,69.72883605957031
2016-06-17,69.548095703125
2016-06-20,69.86206817626953
2016-06-21,69.31021118164062
2016-06-22,69.58612823486328
2016-06-23,70.88006591796875
2016-06-24,66.8365478515625
2016-06-27,63.89670944213867
2016-06-28,65.26671600341797
2016-06-29,66.40840911865234
2016-06-30,66.81753540039062
2016-07-01,66.77946472167969
2016-07-05,64.9908218383789
2016-07-06,65.35237121582031
2016-07-07,65.67581939697266
2016-07-08,67.16957092285156
2016-07-11,68.35881042480469
2016-07-12,68.9962387084961
2016-07-13,68.27315521240234
2016-07-14,67.99726867675781
2016-07-15,67.9687271118164
2016-07-18,68.14947509765625
2016-07-19,67.50254821777344
2016-07-20,67.98773956298828
2016-07-21,66.979248046875
2016-07-22,67.69281005859375
2016-07-25,63.030906677246094
2016-07-26,65.31430053710938
2016-07-27,65.3999252319336
2016-07-28,64.88616180419922
2016-07-29,65.17158508300781
2016-08-01,65.1335220336914
2016-08-02,64.7529525756836
2016-08-03,66.73188781738281
2016-08-04,67.30274963378906
2016-08-05,68.68228149414062
2016-08-08,68.98672485351562
2016-08-09,68.03533935546875
2016-08-10,68.08289337158203
2016-08-11,68.17817687988281
2016-08-12,68.0828857421875
2016-08-15,69.04518127441406
2016-08-16,69.15947723388672
2016-08-17,69.28334045410156
2016-08-18,69.84545135498047
2016-08-19,70.82677459716797
2016-08-22,71.60802459716797
2016-08-23,72.26542663574219
2016-08-24,72.30353546142578
2016-08-25,71.97960662841797
2016-08-26,71.81761932373047
2016-08-29,72.48458099365234
2016-08-30,73.62788391113281
2016-08-31,72.98950958251953
2016-09-01,72.20828247070312
2016-09-02,73.03716278076172
2016-09-06,73.3420181274414
2016-09-07,74.44721221923828
2016-09-08,74.62822723388672
2016-09-09,72.6179428100586
2016-09-12,72.89424133300781
2016-09-13,71.37936401367188
2016-09-14,70.92205047607422
2016-09-15,71.70330047607422
2016-09-16,71.3698501586914
2016-09-19,71.38890838623047
2016-09-20,71.22693634033203
2016-09-21,72.03677368164062
2016-09-22,73.76121520996094
2016-09-23,73.18958282470703
2016-09-26,75.01886749267578
2016-09-27,74.57106018066406
2016-09-28,75.96205139160156
2016-09-29,75.19034576416016
2016-09-30,77.79132080078125
2016-10-03,77.32450103759766
2016-10-04,77.52457427978516
2016-10-05,77.72463989257812
2016-10-06,78.46778106689453
2016-10-07,77.62937927246094
2016-10-10,77.36260986328125
2016-10-11,77.06725311279297
2016-10-12,77.12442016601562
2016-10-13,76.87671661376953
2016-10-14,77.01007843017578
