,WEC
2014-07-28,33.01271438598633
2014-07-29,32.47549057006836
2014-07-30,31.816524505615234
2014-07-31,31.214859008789062
2014-08-01,31.52284812927246
2014-08-04,31.20054817199707
2014-08-05,30.706323623657227
2014-08-06,30.111818313598633
2014-08-07,30.54874610900879
2014-08-08,31.093107223510742
2014-08-11,30.971330642700195
2014-08-12,30.97856330871582
2014-08-13,31.217090606689453
2014-08-14,31.361635208129883
2014-08-15,31.419450759887695
2014-08-18,31.282136917114258
2014-08-19,31.954322814941406
2014-08-20,31.903724670410156
2014-08-21,31.84591293334961
2014-08-22,31.788095474243164
2014-08-25,32.14946746826172
2014-08-26,31.853134155273438
2014-08-27,32.243438720703125
2014-08-28,32.62651443481445
2014-08-29,32.76383590698242
2014-09-02,32.30849075317383
2014-09-03,32.57591247558594
2014-09-04,32.46751022338867
2014-09-05,32.937313079833984
2014-09-08,32.72047424316406
2014-09-09,32.27235412597656
2014-09-10,32.34463119506836
2014-09-11,32.65542221069336
2014-09-12,31.882047653198242
2014-09-15,32.14946746826172
2014-09-16,32.30125427246094
2014-09-17,32.294029235839844
2014-09-18,31.80976104736328
2014-09-19,31.947097778320312
2014-09-22,31.6868896484375
2014-09-23,31.4483699798584
2014-09-24,31.311038970947266
2014-09-25,31.000247955322266
2014-09-26,30.94965171813965
2014-09-29,30.985795974731445
2014-09-30,31.079761505126953
2014-10-01,31.224308013916016
2014-10-02,31.3760986328125
2014-10-03,31.66521644592285
2014-10-06,31.715805053710938
2014-10-07,32.00491714477539
2014-10-08,32.78554153442383
2014-10-09,32.43858337402344
2014-10-10,32.93008041381836
2014-10-13,33.41435241699219
2014-10-14,34.16604232788086
2014-10-15,34.49853515625
2014-10-16,34.0576171875
2014-10-17,34.10822677612305
2014-10-20,34.57081604003906
2014-10-21,34.66476821899414
2014-10-22,34.83100509643555
2014-10-23,34.96111297607422
2014-10-24,35.14180374145508
2014-10-27,35.19239807128906
2014-10-28,35.177940368652344
2014-10-29,34.90327835083008
2014-10-30,35.82844543457031
2014-10-31,35.89350128173828
2014-11-03,36.08142852783203
2014-11-04,35.720035552978516
2014-11-05,36.478965759277344
2014-11-06,35.589935302734375
2014-11-07,35.6043815612793
2014-11-10,35.96576690673828
2014-11-11,35.944091796875
2014-11-12,35.15732192993164
2014-11-13,34.67652130126953
2014-11-14,34.83677291870117
2014-11-17,35.4268684387207
2014-11-18,35.55071258544922
2014-11-19,35.441429138183594
2014-11-20,35.383148193359375
2014-11-21,35.41958999633789
2014-11-24,35.16460418701172
2014-11-25,35.113616943359375
2014-11-26,35.31758499145508
2014-11-28,35.98780822753906
2014-12-01,36.19179153442383
2014-12-02,36.308353424072266
2014-12-03,36.3739128112793
2014-12-04,36.64345932006836
2014-12-05,36.52688980102539
2014-12-08,37.05868911743164
2014-12-09,37.11698913574219
2014-12-10,37.09513473510742
2014-12-11,37.328243255615234
2014-12-12,36.70173263549805
2014-12-15,36.52688980102539
2014-12-16,36.599754333496094
2014-12-17,37.29182815551758
2014-12-18,37.86004638671875
2014-12-19,38.115020751953125
2014-12-22,38.093177795410156
2014-12-23,38.2315788269043
