,AJG
2021-12-13,163.66741943359375
2021-12-14,161.54415893554688
2021-12-15,162.50396728515625
2021-12-16,160.9915313720703
2021-12-17,159.3917999267578
2021-12-20,159.2560577392578
2021-12-21,158.974853515625
2021-12-22,160.18678283691406
2021-12-23,161.3793182373047
2021-12-27,165.24777221679688
2021-12-28,164.16189575195312
2021-12-29,164.63697814941406
2021-12-30,163.6189422607422
2021-12-31,164.50123596191406
2022-01-03,161.63140869140625
2022-01-04,162.32945251464844
2022-01-05,159.2851104736328
2022-01-06,161.02059936523438
2022-01-07,160.32252502441406
2022-01-10,157.48179626464844
2022-01-11,158.76156616210938
2022-01-12,160.6812286376953
2022-01-13,157.5011749267578
2022-01-14,152.89585876464844
2022-01-18,150.84046936035156
2022-01-19,149.880615234375
2022-01-20,150.927734375
2022-01-21,149.473388671875
2022-01-24,151.52883911132812
2022-01-25,148.53297424316406
2022-01-26,148.51356506347656
2022-01-27,144.7808380126953
2022-01-28,149.83213806152344
2022-01-31,153.1285858154297
2022-02-01,152.07179260253906
2022-02-02,152.30447387695312
2022-02-03,149.74488830566406
2022-02-04,151.51914978027344
2022-02-07,151.59669494628906
2022-02-08,152.2850799560547
2022-02-09,155.610595703125
2022-02-10,153.97210693359375
2022-02-11,150.90830993652344
2022-02-14,148.6783905029297
2022-02-15,150.65625
2022-02-16,151.45127868652344
2022-02-17,148.82382202148438
2022-02-18,149.580078125
2022-02-22,149.0467987060547
2022-02-23,147.05926513671875
2022-02-24,149.7158203125
2022-02-25,154.44711303710938
2022-02-28,153.37095642089844
2022-03-01,151.34463500976562
2022-03-02,153.94297790527344
2022-03-03,154.07913208007812
2022-03-04,155.49925231933594
2022-03-07,150.32467651367188
2022-03-08,146.02552795410156
2022-03-09,151.6767120361328
2022-03-10,150.80126953125
2022-03-11,149.42007446289062
2022-03-14,150.5094757080078
2022-03-15,154.2250518798828
2022-03-16,158.2227020263672
2022-03-17,160.6251678466797
2022-03-18,162.794189453125
2022-03-21,162.064697265625
2022-03-22,163.01788330078125
2022-03-23,159.58441162109375
2022-03-24,161.72427368164062
2022-03-25,163.46531677246094
2022-03-28,165.67324829101562
2022-03-29,168.0368194580078
2022-03-30,169.04840087890625
2022-03-31,169.82650756835938
2022-04-01,171.5773468017578
2022-04-04,169.1650848388672
2022-04-05,170.08917236328125
2022-04-06,174.15484619140625
2022-04-07,176.4892578125
2022-04-08,178.18167114257812
2022-04-11,178.21084594726562
2022-04-12,175.32205200195312
2022-04-13,176.06130981445312
2022-04-14,175.67221069335938
2022-04-18,175.25396728515625
2022-04-19,174.59254455566406
2022-04-20,178.8722381591797
2022-04-21,179.1154327392578
2022-04-22,173.16275024414062
2022-04-25,173.99923706054688
2022-04-26,168.7760467529297
2022-04-27,170.60462951660156
2022-04-28,174.42721557617188
2022-04-29,163.88356018066406
2022-05-02,161.3157501220703
2022-05-03,160.98500061035156
2022-05-04,165.71217346191406
2022-05-05,160.47926330566406
2022-05-06,159.98321533203125
2022-05-09,155.8104705810547
2022-05-10,153.92355346679688
2022-05-11,153.4663848876953
2022-05-12,153.17457580566406
2022-05-13,157.5904541015625
2022-05-16,156.73448181152344
2022-05-17,159.68167114257812
2022-05-18,152.4256134033203
2022-05-19,151.0055389404297
2022-05-20,150.76239013671875
2022-05-23,154.19586181640625
2022-05-24,153.44692993164062
2022-05-25,153.18429565429688
2022-05-26,156.6177978515625
2022-05-27,161.11146545410156
2022-05-31,157.51266479492188
2022-06-01,156.12173461914062
2022-06-02,160.3857879638672
2022-06-03,158.27816772460938
2022-06-06,158.0732421875
2022-06-07,159.59544372558594
2022-06-08,157.27313232421875
2022-06-09,153.15545654296875
2022-06-10,149.2914276123047
2022-06-13,147.90582275390625
2022-06-14,149.5158233642578
2022-06-15,149.0474853515625
2022-06-16,145.43714904785156
2022-06-17,146.0811767578125
2022-06-21,151.44784545898438
2022-06-22,153.4969024658203
2022-06-23,156.1607666015625
2022-06-24,161.24447631835938
2022-06-27,161.2249755859375
2022-06-28,159.22462463378906
2022-06-29,159.24417114257812
2022-06-30,159.08804321289062
2022-07-01,160.63951110839844
2022-07-05,162.04461669921875
2022-07-06,164.25958251953125
2022-07-07,163.2447967529297
2022-07-08,162.71788024902344
2022-07-11,161.8201904296875
2022-07-12,160.82492065429688
2022-07-13,160.6687774658203
2022-07-14,158.7953338623047
2022-07-15,161.7323455810547
2022-07-18,157.95616149902344
2022-07-19,162.4836883544922
2022-07-20,162.532470703125
2022-07-21,165.48904418945312
2022-07-22,164.15223693847656
2022-07-25,165.5963897705078
2022-07-26,165.86956787109375
2022-07-27,169.109130859375
2022-07-28,171.79246520996094
2022-07-29,174.6514434814453
2022-08-01,168.33828735351562
2022-08-02,168.16259765625
2022-08-03,172.94386291503906
2022-08-04,172.21205139160156
2022-08-05,174.18309020996094
2022-08-08,175.04173278808594
2022-08-09,178.3203125
2022-08-10,180.91580200195312
2022-08-11,180.71092224121094
2022-08-12,184.80909729003906
2022-08-15,185.54090881347656
2022-08-16,186.03855895996094
2022-08-17,186.22396850585938
2022-08-18,186.8777313232422
2022-08-19,186.0775909423828
2022-08-22,184.30172729492188
2022-08-23,181.8330535888672
2022-08-24,183.40403747558594
2022-08-25,186.44837951660156
2022-08-26,183.15032958984375
2022-08-29,180.57427978515625
2022-08-30,178.4569091796875
2022-08-31,177.1688995361328
2022-09-01,177.6973114013672
2022-09-02,176.59158325195312
