,KR
2022-08-25,47.05965805053711
2022-08-26,46.16273880004883
2022-08-29,46.0864143371582
2022-08-30,45.33261489868164
2022-08-31,45.74290466308594
2022-09-01,46.382205963134766
2022-09-02,46.210453033447266
2022-09-06,46.296329498291016
2022-09-07,47.536746978759766
2022-09-08,46.14365768432617
2022-09-09,49.55958938598633
2022-09-12,48.22374725341797
2022-09-13,47.10736846923828
2022-09-14,46.697078704833984
2022-09-15,45.68566131591797
2022-09-16,45.11315155029297
2022-09-19,45.275367736816406
2022-09-20,44.7696533203125
2022-09-21,43.19527816772461
2022-09-22,43.41473388671875
2022-09-23,42.8040657043457
2022-09-26,42.93764877319336
2022-09-27,42.26019287109375
2022-09-28,43.367027282714844
2022-09-29,42.632320404052734
2022-09-30,41.744937896728516
2022-10-03,41.744937896728516
2022-10-04,42.65140151977539
2022-10-05,42.55597686767578
2022-10-06,41.716312408447266
2022-10-07,41.0293083190918
2022-10-10,42.23155975341797
2022-10-11,43.58648681640625
2022-10-12,43.92998504638672
2022-10-13,44.435699462890625
2022-10-14,41.18198013305664
2022-10-17,40.18009948730469
2022-10-18,41.18198013305664
2022-10-19,40.97206115722656
2022-10-20,40.23734664916992
2022-10-21,41.63044357299805
2022-10-24,41.973941802978516
2022-10-25,42.71818542480469
2022-10-26,43.357479095458984
2022-10-27,43.58648681640625
2022-10-28,44.62653350830078
2022-10-31,45.12269592285156
2022-11-01,45.00819778442383
2022-11-02,44.42616271972656
2022-11-03,45.055908203125
2022-11-04,44.27349090576172
2022-11-07,44.702857971191406
2022-11-08,44.960487365722656
2022-11-09,45.85740661621094
2022-11-10,45.905120849609375
2022-11-11,44.941402435302734
2022-11-14,44.67275619506836
2022-11-15,44.970191955566406
2022-11-16,45.89127731323242
2022-11-17,46.22709274291992
2022-11-18,46.30384826660156
2022-11-21,46.16952133178711
2022-11-22,46.13114547729492
2022-11-23,45.900875091552734
2022-11-25,47.05223846435547
2022-11-28,46.850746154785156
2022-11-29,47.34966278076172
2022-11-30,47.1961555480957
2022-12-01,46.4477653503418
2022-12-02,45.641822814941406
2022-12-05,44.202613830566406
2022-12-06,44.45207595825195
2022-12-07,45.037349700927734
2022-12-08,45.53627395629883
2022-12-09,44.58641052246094
2022-12-12,44.81667709350586
2022-12-13,43.607749938964844
2022-12-14,42.945716857910156
2022-12-15,41.727195739746094
2022-12-16,42.52354431152344
2022-12-19,42.600311279296875
2022-12-20,42.773014068603516
2022-12-21,42.65787887573242
2022-12-22,43.415855407714844
2022-12-23,44.029911041259766
2022-12-27,44.08748245239258
2022-12-28,42.773014068603516
2022-12-29,42.8113899230957
2022-12-30,42.773014068603516
2023-01-03,42.66747283935547
2023-01-04,43.14720153808594
2023-01-05,43.32950210571289
2023-01-06,43.8859977722168
2023-01-09,44.317752838134766
2023-01-10,44.116268157958984
2023-01-11,43.761268615722656
2023-01-12,43.818824768066406
2023-01-13,43.38706970214844
2023-01-17,44.30815887451172
2023-01-18,43.42544937133789
2023-01-19,42.216522216796875
2023-01-20,42.648284912109375
2023-01-23,42.888145446777344
2023-01-24,42.465980529785156
2023-01-25,43.08003616333008
2023-01-26,42.65787887573242
2023-01-27,43.22396469116211
2023-01-30,42.418006896972656
2023-01-31,42.82098388671875
2023-02-01,43.348690032958984
2023-02-02,43.14720153808594
2023-02-03,42.6194953918457
2023-02-06,42.73463439941406
2023-02-07,42.66747283935547
2023-02-08,42.475582122802734
2023-02-09,42.30287170410156
2023-02-10,42.984092712402344
2023-02-13,43.07044219970703
2023-02-14,42.10539245605469
2023-02-15,42.7230339050293
2023-02-16,42.31770324707031
2023-02-17,42.462459564208984
2023-02-21,43.060794830322266
2023-02-22,43.060794830322266
2023-02-23,42.3756103515625
2023-02-24,42.221195220947266
2023-02-27,41.8930778503418
2023-02-28,41.63251495361328
2023-03-01,41.86412811279297
2023-03-02,44.13201141357422
2023-03-03,44.37327575683594
2023-03-06,44.85580062866211
2023-03-07,45.27077102661133
2023-03-08,45.791908264160156
2023-03-09,45.59889602661133
2023-03-10,45.45413589477539
2023-03-13,45.21287155151367
2023-03-14,45.53133773803711
2023-03-15,46.60255813598633
2023-03-16,45.483089447021484
2023-03-17,45.14531707763672
2023-03-20,45.69540023803711
2023-03-21,46.091068267822266
2023-03-22,46.361289978027344
2023-03-23,46.824520111083984
2023-03-24,47.335994720458984
2023-03-27,46.930667877197266
2023-03-28,47.21053695678711
2023-03-29,47.326351165771484
2023-03-30,47.34564208984375
2023-03-31,47.644813537597656
2023-04-03,48.194889068603516
2023-04-04,47.731666564941406
2023-04-05,46.38058853149414
2023-04-06,46.824520111083984
2023-04-10,47.19124221801758
2023-04-11,46.28408432006836
2023-04-12,45.66645050048828
2023-04-13,45.405879974365234
2023-04-14,45.01986312866211
2023-04-17,46.13932800292969
2023-04-18,46.17792892456055
2023-04-19,45.791908264160156
2023-04-20,46.129676818847656
2023-04-21,46.2454833984375
2023-04-24,46.55430603027344
2023-04-25,46.293739318847656
2023-04-26,46.14897918701172
2023-04-27,46.65080642700195
2023-04-28,46.930667877197266
2023-05-01,47.557952880859375
2023-05-02,47.712364196777344
2023-05-03,47.22984313964844
2023-05-04,46.59290313720703
2023-05-05,47.509700775146484
2023-05-08,47.432498931884766
2023-05-09,47.44215393066406
2023-05-10,47.40354919433594
2023-05-11,47.44215393066406
2023-05-12,47.713802337646484
2023-05-15,47.60708236694336
