,TROW
2018-11-29,77.54309844970703
2018-11-30,78.72364044189453
2018-12-03,78.89794158935547
2018-12-04,75.48307800292969
2018-12-06,75.15824127197266
2018-12-07,73.9063720703125
2018-12-10,73.24876403808594
2018-12-11,72.91600799560547
2018-12-12,74.49270629882812
2018-12-13,74.4448013305664
2018-12-14,73.4150619506836
2018-12-17,72.6646957397461
2018-12-18,72.4811019897461
2018-12-19,70.57329559326172
2018-12-20,69.68724822998047
2018-12-21,69.27213287353516
2018-12-24,67.81134796142578
2018-12-26,71.5631103515625
2018-12-27,72.88822174072266
2018-12-28,72.91216278076172
2018-12-31,73.69444274902344
2019-01-02,73.311279296875
2019-01-03,70.89259338378906
2019-01-04,73.42304992675781
2019-01-07,73.31927490234375
2019-01-08,73.69444274902344
2019-01-09,73.95787048339844
2019-01-10,73.67048645019531
2019-01-11,72.04206848144531
2019-01-14,72.79243469238281
2019-01-15,74.0376968383789
2019-01-16,76.04928588867188
2019-01-17,75.62620544433594
2019-01-18,77.11893463134766
2019-01-22,75.41070556640625
2019-01-23,74.73216247558594
2019-01-24,74.92376708984375
2019-01-25,75.47454833984375
2019-01-28,75.39472198486328
2019-01-29,74.0376968383789
2019-01-30,71.23583984375
2019-01-31,74.6044692993164
2019-02-01,75.15524291992188
2019-02-04,75.96945190429688
2019-02-05,75.51445007324219
2019-02-06,75.21112060546875
2019-02-07,74.82794952392578
2019-02-08,73.74234008789062
2019-02-11,73.97383117675781
2019-02-12,77.50209045410156
2019-02-13,78.33228302001953
2019-02-14,77.70166778564453
2019-02-15,77.89324951171875
2019-02-19,77.74955749511719
2019-02-20,78.37220001220703
2019-02-21,77.51007080078125
2019-02-22,78.26841735839844
2019-02-25,78.31631469726562
2019-02-26,78.6355972290039
2019-02-27,80.01658630371094
2019-02-28,80.16825866699219
2019-03-01,80.35983276367188
2019-03-04,79.45780944824219
2019-03-05,78.8750991821289
2019-03-06,78.27640533447266
2019-03-07,76.8475341796875
2019-03-08,77.30252075195312
2019-03-11,79.09857940673828
2019-03-12,80.16825866699219
2019-03-13,80.90266418457031
2019-03-14,80.97505187988281
2019-03-15,82.39055633544922
2019-03-18,82.7203369140625
2019-03-19,82.55142974853516
2019-03-20,81.11979675292969
2019-03-21,82.28602600097656
2019-03-22,79.43081665039062
2019-03-25,78.99649047851562
2019-03-26,80.33966064453125
2019-03-27,79.69622802734375
2019-03-28,79.69622802734375
2019-03-29,80.52462768554688
2019-04-01,83.0822525024414
2019-04-02,83.05812072753906
2019-04-03,83.0822525024414
2019-04-04,82.84901428222656
2019-04-05,83.99913787841797
2019-04-08,84.0473861694336
2019-04-09,83.50047302246094
2019-04-10,83.68546295166016
2019-04-11,84.24845886230469
2019-04-12,85.17337799072266
2019-04-15,84.40931701660156
2019-04-16,85.80070495605469
2019-04-17,85.32616424560547
2019-04-18,85.17337799072266
2019-04-22,85.64790344238281
2019-04-23,86.46022033691406
2019-04-24,88.27790069580078
2019-04-25,86.58891296386719
2019-04-26,86.902587890625
2019-04-29,86.28327941894531
2019-04-30,86.46022033691406
2019-05-01,85.31010437011719
2019-05-02,84.65866088867188
2019-05-03,85.94549560546875
2019-05-06,85.0447006225586
2019-05-07,83.0822525024414
2019-05-08,82.83293151855469
2019-05-09,82.71228790283203
2019-05-10,84.92405700683594
2019-05-13,81.33695983886719
2019-05-14,83.00182342529297
2019-05-15,83.61308288574219
2019-05-16,84.69886016845703
2019-05-17,83.95088195800781
2019-05-20,83.74977111816406
2019-05-21,84.99642181396484
2019-05-22,84.67472076416016
2019-05-23,82.67206573486328
2019-05-24,83.44418334960938
2019-05-28,81.98843383789062
2019-05-29,82.20557403564453
2019-05-30,82.54338073730469
2019-05-31,81.3449935913086
2019-06-03,79.96163940429688
2019-06-04,82.7203369140625
2019-06-05,83.19483184814453
2019-06-06,83.42811584472656
2019-06-07,85.00448608398438
2019-06-10,86.03397369384766
2019-06-11,85.79268646240234
2019-06-12,85.1412124633789
2019-06-13,85.94319915771484
2019-06-14,85.82170104980469
2019-06-17,85.1007080078125
2019-06-18,87.00444793701172
2019-06-19,87.36087036132812
2019-06-20,88.778564453125
2019-06-21,87.74972534179688
2019-06-24,86.72899627685547
2019-06-25,85.80549621582031
2019-06-26,86.59129333496094
2019-06-27,87.9279556274414
2019-06-28,88.87577056884766
2019-07-01,88.34109497070312
2019-07-02,87.97654724121094
2019-07-03,88.87577056884766
2019-07-05,89.45093536376953
2019-07-08,88.26818084716797
2019-07-09,88.96487426757812
2019-07-10,88.66513061523438
2019-07-11,88.55982971191406
2019-07-12,89.60484313964844
2019-07-15,89.41851806640625
2019-07-16,89.4023208618164
2019-07-17,88.20337677001953
2019-07-18,88.81095123291016
2019-07-19,87.87125396728516
2019-07-22,88.19527435302734
2019-07-23,89.54003143310547
2019-07-24,91.75970458984375
2019-07-25,92.28627014160156
2019-07-26,93.32319641113281
2019-07-29,93.12876892089844
2019-07-30,93.45279693603516
2019-07-31,91.85690307617188
2019-08-01,89.49143981933594
2019-08-02,89.15119934082031
2019-08-05,85.63536834716797
2019-08-06,86.89102172851562
2019-08-07,86.71279907226562
2019-08-08,89.31321716308594
2019-08-09,88.0170669555664
2019-08-12,86.36446380615234
2019-08-13,87.94414520263672
2019-08-14,85.35183715820312
2019-08-15,85.432861328125
2019-08-16,86.98014068603516
2019-08-19,88.80284118652344
2019-08-20,87.34468078613281
2019-08-21,88.11427307128906
2019-08-22,88.44639587402344
2019-08-23,85.55436706542969
2019-08-26,86.40498352050781
2019-08-27,86.74519348144531
2019-08-28,87.30416870117188
2019-08-29,89.10259246826172
2019-08-30,89.61295318603516
2019-09-03,88.9081802368164
2019-09-04,89.90458679199219
2019-09-05,93.20169067382812
2019-09-06,93.66342163085938
2019-09-09,95.36463928222656
2019-09-10,95.46995544433594
2019-09-11,97.28457641601562
2019-09-12,96.298095703125
2019-09-13,96.96661376953125
2019-09-16,95.26272583007812
2019-09-17,96.15135955810547
2019-09-18,95.4747085571289
2019-09-19,94.56977081298828
2019-09-20,93.21642303466797
2019-09-23,93.62407684326172
2019-09-24,93.15936279296875
2019-09-25,93.20013427734375
2019-09-26,91.33319091796875
2019-09-27,92.14845275878906
2019-09-30,93.14305877685547
2019-10-01,90.8277359008789
2019-10-02,88.90374755859375
2019-10-03,89.29505157470703
2019-10-04,90.4771728515625
2019-10-07,89.62117004394531
2019-10-08,87.83575439453125
2019-10-09,88.09662628173828
2019-10-10,88.4635009765625
2019-10-11,90.44459533691406
2019-10-14,89.93911743164062
2019-10-15,90.80328369140625
2019-10-16,90.550537109375
2019-10-17,89.88201904296875
2019-10-18,89.1972427368164
2019-10-21,90.44459533691406
2019-10-22,88.20260620117188
2019-10-23,88.35751342773438
2019-10-24,92.40933227539062
2019-10-25,92.70283508300781
2019-10-28,95.45024871826172
2019-10-29,96.00463104248047
2019-10-30,95.84971618652344
2019-10-31,94.40673065185547
2019-11-01,95.36054992675781
2019-11-04,96.63236236572266
2019-11-05,97.12152862548828
2019-11-06,97.87969970703125
2019-11-07,98.14058685302734
2019-11-08,97.4884033203125
2019-11-11,98.17317199707031
2019-11-12,98.83356475830078
2019-11-13,98.31180572509766
2019-11-14,98.57267761230469
2019-11-15,99.02106475830078
2019-11-18,98.93953704833984
2019-11-19,99.43683624267578
2019-11-20,98.5889892578125
2019-11-21,97.85526275634766
2019-11-22,98.66236877441406
2019-11-25,99.93415069580078
2019-11-26,100.13796997070312
2019-11-27,100.85537719726562
2019-11-29,100.73310852050781
2019-12-02,99.67327117919922
2019-12-03,98.474853515625
2019-12-04,99.23302459716797
2019-12-05,100.27655792236328
2019-12-06,101.01029968261719
2019-12-09,101.49945068359375
2019-12-10,99.74665832519531
2019-12-11,100.77388000488281
2019-12-12,102.19242095947266
2019-12-13,101.0687255859375
2019-12-16,101.08511352539062
2019-12-17,100.90465545654297
2019-12-18,100.3961181640625
2019-12-19,100.49453735351562
2019-12-20,100.51095581054688
2019-12-23,99.75633239746094
2019-12-24,100.2320556640625
2019-12-26,100.78160858154297
2019-12-27,100.74060821533203
2019-12-30,99.91216278076172
2019-12-31,99.9367904663086
2020-01-02,102.65996551513672
2020-01-03,102.32365417480469
2020-01-06,102.95523071289062
2020-01-07,103.36534118652344
2020-01-08,104.349609375
2020-01-09,105.21906280517578
2020-01-10,104.54646301269531
2020-01-13,107.47467803955078
2020-01-14,106.40840911865234
2020-01-15,106.75286865234375
2020-01-16,108.2867202758789
2020-01-17,108.48357391357422
2020-01-21,108.5163803100586
2020-01-22,108.7542495727539
2020-01-23,109.2627944946289
2020-01-24,107.59771728515625
2020-01-27,105.43231201171875
2020-01-28,107.6961441040039
2020-01-29,111.64965057373047
2020-01-30,112.0187759399414
2020-01-31,109.52526092529297
2020-02-03,110.3372802734375
2020-02-04,112.21562957763672
2020-02-05,113.14249420166016
2020-02-06,113.00308227539062
2020-02-07,113.38854217529297
2020-02-10,113.58541870117188
2020-02-11,113.6920394897461
2020-02-12,113.58541870117188
2020-02-13,111.89572143554688
2020-02-14,112.69134521484375
2020-02-18,113.01124572753906
2020-02-19,114.06111907958984
2020-02-20,112.97844696044922
2020-02-21,111.772705078125
2020-02-24,108.06525421142578
2020-02-25,103.7918701171875
2020-02-26,103.84927368164062
2020-02-27,98.29632568359375
2020-02-28,96.79530334472656
2020-03-02,102.92243194580078
2020-03-03,101.29016876220703
2020-03-04,105.61278533935547
2020-03-05,100.07621765136719
2020-03-06,95.76181030273438
2020-03-09,85.00862121582031
2020-03-10,92.51371002197266
2020-03-11,86.55062866210938
2020-03-12,75.23967742919922
2020-03-13,88.90757751464844
2020-03-16,80.8062515258789
2020-03-17,89.55366516113281
2020-03-18,89.80218505859375
2020-03-19,84.99772644042969
2020-03-20,74.83377838134766
2020-03-23,70.75825500488281
2020-03-24,74.13794708251953
2020-03-25,77.0289077758789
2020-03-26,83.94570922851562
2020-03-27,81.5351791381836
2020-03-30,81.86653137207031
2020-03-31,80.88906860351562
2020-04-01,77.75785827636719
2020-04-02,80.46659088134766
2020-04-03,78.85130310058594
2020-04-06,85.07225799560547
2020-04-07,84.40959167480469
2020-04-08,87.39994049072266
2020-04-09,87.11002349853516
2020-04-13,84.69121551513672
2020-04-14,84.43443298339844
2020-04-15,81.99079895019531
2020-04-16,82.45465850830078
2020-04-17,85.72666931152344
2020-04-20,83.7883071899414
2020-04-21,81.8830795288086
2020-04-22,83.3575668334961
2020-04-23,82.13987731933594
2020-04-24,83.1173324584961
2020-04-27,88.22004699707031
2020-04-28,94.34158325195312
2020-04-29,96.85150909423828
2020-04-30,95.78292083740234
2020-05-01,91.4837646484375
2020-05-04,90.69680786132812
2020-05-05,90.84590911865234
2020-05-06,89.62823486328125
2020-05-07,92.22926330566406
2020-05-08,94.48239135742188
2020-05-11,93.33099365234375
2020-05-12,93.39725494384766
2020-05-13,89.41285705566406
2020-05-14,93.2481689453125
2020-05-15,94.02680206298828
2020-05-18,97.10002136230469
2020-05-19,94.59010314941406
2020-05-20,95.1285171508789
2020-05-21,94.97114562988281
2020-05-22,95.33560180664062
2020-05-26,99.44427490234375
2020-05-27,101.44059753417969
2020-05-28,99.9495620727539
2020-05-29,100.14836883544922
2020-06-01,100.95187377929688
2020-06-02,101.85478973388672
2020-06-03,105.62382507324219
2020-06-04,104.66291809082031
2020-06-05,106.26163482666016
2020-06-08,108.32424926757812
2020-06-09,106.55985260009766
2020-06-10,105.90544891357422
2020-06-11,98.67388153076172
2020-06-12,100.93582916259766
2020-06-15,103.13098907470703
2020-06-16,104.22441101074219
2020-06-17,104.60000610351562
2020-06-18,104.81702423095703
2020-06-19,107.34605407714844
2020-06-22,104.67511749267578
2020-06-23,104.84205627441406
2020-06-24,101.02764129638672
2020-06-25,102.27128601074219
2020-06-26,99.27484130859375
2020-06-29,100.8440170288086
2020-06-30,103.0809097290039
2020-07-01,102.25459289550781
2020-07-02,102.43824005126953
2020-07-06,104.5499267578125
2020-07-07,102.63019561767578
2020-07-08,103.681884765625
2020-07-09,102.52168273925781
2020-07-10,106.22760009765625
2020-07-13,106.94538879394531
2020-07-14,109.04041290283203
2020-07-15,110.22562408447266
2020-07-16,110.23399353027344
2020-07-17,111.65290069580078
2020-07-20,112.02849578857422
2020-07-21,112.6378173828125
2020-07-22,113.68114471435547
2020-07-23,111.90328979492188
2020-07-24,111.81983947753906
2020-07-27,112.01180267333984
2020-07-28,111.78644561767578
2020-07-29,113.36398315429688
2020-07-30,112.23716735839844
2020-07-31,115.26700592041016
2020-08-03,114.6827163696289
2020-08-04,114.42399597167969
2020-08-05,115.99317169189453
2020-08-06,115.31709289550781
2020-08-07,116.5440444946289
2020-08-10,115.73441314697266
2020-08-11,115.98479461669922
2020-08-12,115.55912780761719
2020-08-13,114.56587219238281
2020-08-14,114.29879760742188
2020-08-17,115.16683959960938
2020-08-18,114.54920196533203
2020-08-19,114.46571350097656
2020-08-20,113.7646255493164
2020-08-21,112.52932739257812
2020-08-24,113.45579528808594
2020-08-25,113.30553436279297
2020-08-26,113.67279052734375
2020-08-27,115.3003921508789
2020-08-28,116.1100082397461
2020-08-31,116.1934585571289
2020-09-01,116.16844940185547
2020-09-02,117.80438232421875
2020-09-03,112.7463150024414
2020-09-04,110.40090942382812
2020-09-08,106.80350494384766
2020-09-09,107.87186431884766
2020-09-10,104.86710357666016
2020-09-11,104.95054626464844
2020-09-14,107.11112213134766
2020-09-15,106.54784393310547
2020-09-16,107.75843811035156
2020-09-17,107.15312957763672
2020-09-18,107.5818862915039
2020-09-21,104.8664779663086
2020-09-22,105.48859405517578
2020-09-23,103.31123352050781
2020-09-24,103.76521301269531
2020-09-25,105.27001190185547
2020-09-28,108.06947326660156
2020-09-29,107.17835235595703
2020-09-30,107.79205322265625
2020-10-01,107.64071655273438
2020-10-02,108.52344512939453
2020-10-05,112.23927307128906
2020-10-06,112.54191589355469
2020-10-07,115.36656951904297
2020-10-08,118.39305114746094
2020-10-09,119.55317687988281
2020-10-12,120.29300689697266
2020-10-13,121.2093276977539
2020-10-14,121.60443878173828
2020-10-15,123.4875717163086
2020-10-16,123.60523223876953
2020-10-19,121.28500366210938
2020-10-20,123.36144256591797
2020-10-21,122.70574188232422
2020-10-22,123.04202270507812
2020-10-23,124.5047836303711
2020-10-26,121.92390441894531
2020-10-27,119.62885284423828
2020-10-28,115.29092407226562
2020-10-29,110.49905395507812
2020-10-30,106.48059844970703
2020-11-02,108.4225845336914
2020-11-03,111.09590911865234
2020-11-04,114.17282104492188
2020-11-05,115.49271392822266
2020-11-06,112.43260955810547
2020-11-09,115.19845581054688
2020-11-10,115.08916473388672
2020-11-11,118.08200073242188
2020-11-12,115.6187973022461
2020-11-13,118.05677795410156
2020-11-16,120.9319076538086
2020-11-17,118.98150634765625
2020-11-18,117.51871490478516
2020-11-19,117.30013275146484
2020-11-20,115.55994415283203
2020-11-23,117.16564178466797
2020-11-24,121.007568359375
2020-11-25,121.93228912353516
2020-11-27,122.42830657958984
2020-11-30,120.56202697753906
2020-12-01,122.31900024414062
2020-12-02,123.1681137084961
2020-12-03,126.16090393066406
2020-12-04,128.22900390625
2020-12-07,127.1949462890625
2020-12-08,128.76699829101562
2020-12-09,127.42193603515625
2020-12-10,125.54723358154297
2020-12-11,127.35468292236328
2020-12-14,125.04592895507812
2020-12-15,126.73735046386719
2020-12-16,127.21936798095703
2020-12-17,127.95514678955078
2020-12-18,127.22783660888672
2020-12-21,125.72247314453125
2020-12-22,124.6738052368164
2020-12-23,125.02899169921875
2020-12-24,125.40110778808594
2020-12-28,125.21504974365234
2020-12-29,125.4856948852539
2020-12-30,126.50049591064453
2020-12-31,128.03126525878906
2021-01-04,124.90216064453125
2021-01-05,126.08612823486328
2021-01-06,128.14964294433594
2021-01-07,130.7036895751953
2021-01-08,130.67832946777344
2021-01-11,131.40565490722656
2021-01-12,133.88352966308594
2021-01-13,132.94480895996094
2021-01-14,134.06956481933594
2021-01-15,132.28515625
2021-01-19,134.0272979736328
2021-01-20,134.92376708984375
2021-01-21,132.47120666503906
2021-01-22,132.1075439453125
2021-01-25,132.78411865234375
2021-01-26,135.8201904296875
2021-01-27,132.35279846191406
2021-01-28,137.37632751464844
2021-01-29,132.3358917236328
2021-02-01,132.00607299804688
2021-02-02,133.12237548828125
2021-02-03,134.1287841796875
2021-02-04,135.7694549560547
2021-02-05,135.19436645507812
2021-02-08,138.17970275878906
2021-02-09,139.65969848632812
2021-02-10,138.8054962158203
2021-02-11,138.01902770996094
2021-02-12,138.01055908203125
2021-02-16,138.0359649658203
2021-02-17,138.05282592773438
2021-02-18,135.31277465820312
2021-02-19,137.65541076660156
2021-02-22,136.97882080078125
2021-02-23,136.66592407226562
2021-02-24,140.5814971923828
2021-02-25,136.0400848388672
2021-02-26,137.12255859375
2021-03-01,142.2644805908203
2021-03-02,143.4738311767578
2021-03-03,143.41464233398438
2021-03-04,138.2896728515625
2021-03-05,146.05323791503906
2021-03-08,146.72979736328125
2021-03-09,149.12315368652344
2021-03-10,148.51422119140625
2021-03-11,147.2794952392578
2021-03-12,146.91583251953125
2021-03-15,147.6306610107422
2021-03-16,146.5073699951172
2021-03-17,148.68592834472656
2021-03-18,146.26058959960938
2021-03-19,146.24354553222656
2021-03-22,146.5924530029297
2021-03-23,143.4267578125
2021-03-24,144.93301391601562
2021-03-25,146.4307861328125
2021-03-26,151.5878143310547
2021-03-29,150.60069274902344
2021-03-30,146.5584259033203
2021-03-31,146.03077697753906
2021-04-01,148.0391387939453
2021-04-05,150.20066833496094
2021-04-06,150.25173950195312
2021-04-07,150.5836181640625
2021-04-08,150.14109802246094
2021-04-09,152.77072143554688
2021-04-12,155.29815673828125
2021-04-13,150.56661987304688
2021-04-14,148.85610961914062
2021-04-15,150.92404174804688
2021-04-16,151.32398986816406
2021-04-19,150.66021728515625
2021-04-20,150.24322509765625
2021-04-21,152.4983367919922
2021-04-22,149.16246032714844
2021-04-23,151.9537353515625
2021-04-26,152.17498779296875
2021-04-27,152.2260284423828
2021-04-28,152.93238830566406
2021-04-29,154.72799682617188
2021-04-30,152.4983367919922
2021-05-03,155.46835327148438
2021-05-04,154.7620086669922
2021-05-05,157.71498107910156
2021-05-06,160.36160278320312
2021-05-07,161.03384399414062
