,HLT
2020-03-09,85.35832977294922
2020-03-10,89.45885467529297
2020-03-11,80.31684875488281
2020-03-12,75.98851776123047
2020-03-13,77.88030242919922
2020-03-16,68.8769760131836
2020-03-17,64.21187591552734
2020-03-18,56.139591217041016
2020-03-19,57.476722717285156
2020-03-20,61.0126838684082
2020-03-23,62.72618865966797
2020-03-24,68.72842407226562
2020-03-25,71.5611343383789
2020-03-26,72.50208282470703
2020-03-27,68.4906997680664
2020-03-30,68.0251693725586
2020-03-31,67.58936309814453
2020-04-01,62.43895721435547
2020-04-02,57.3083381652832
2020-04-03,55.40664291381836
2020-04-06,63.191707611083984
2020-04-07,65.20233917236328
2020-04-08,69.4217300415039
2020-04-09,67.79736328125
2020-04-13,66.00463104248047
2020-04-14,69.34249877929688
2020-04-15,69.2038345336914
2020-04-16,69.48116302490234
2020-04-17,74.89900970458984
2020-04-20,71.5908432006836
2020-04-21,70.66973114013672
2020-04-22,70.11506652832031
2020-04-23,71.25409698486328
2020-04-24,70.68952941894531
2020-04-27,74.47310638427734
2020-04-28,75.02777099609375
2020-04-29,78.52410888671875
2020-04-30,74.98815155029297
2020-05-01,71.34323120117188
2020-05-04,70.72916412353516
2020-05-05,71.05599975585938
2020-05-06,70.11506652832031
2020-05-07,71.21449279785156
2020-05-08,71.50171661376953
2020-05-11,67.6488037109375
2020-05-12,66.36119079589844
2020-05-13,64.231689453125
2020-05-14,67.52005004882812
2020-05-15,67.88650512695312
2020-05-18,72.37332153320312
2020-05-19,74.57215118408203
2020-05-20,76.97899627685547
2020-05-21,76.9195556640625
2020-05-22,77.64259338378906
2020-05-26,80.91114044189453
2020-05-27,82.35723114013672
2020-05-28,79.85133361816406
2020-05-29,78.55382537841797
2020-06-01,81.12903594970703
2020-06-02,82.80291748046875
2020-06-03,85.28898620605469
2020-06-04,85.51679992675781
2020-06-05,86.36859130859375
2020-06-08,88.8447494506836
2020-06-09,85.30879211425781
2020-06-10,82.04026794433594
2020-06-11,76.8502197265625
2020-06-12,76.71154022216797
2020-06-15,76.74126434326172
2020-06-16,77.50393676757812
2020-06-17,75.69137573242188
2020-06-18,77.414794921875
2020-06-19,75.44377136230469
2020-06-22,75.35462188720703
2020-06-23,74.95841979980469
2020-06-24,72.49217224121094
2020-06-25,71.81865692138672
2020-06-26,70.4815444946289
2020-06-29,73.21521759033203
2020-06-30,72.74968719482422
2020-07-01,73.73027038574219
2020-07-02,73.80949401855469
2020-07-06,75.51309204101562
2020-07-07,73.46283721923828
2020-07-08,74.37406158447266
2020-07-09,73.42321014404297
2020-07-10,74.52262878417969
2020-07-13,72.87845611572266
2020-07-14,72.80911254882812
2020-07-15,80.14848327636719
2020-07-16,80.11875915527344
2020-07-17,79.13821411132812
2020-07-20,77.42469024658203
2020-07-21,79.3561019897461
2020-07-22,78.86087799072266
2020-07-23,78.1081314086914
2020-07-24,76.69174194335938
2020-07-27,76.60260009765625
2020-07-28,75.93900299072266
2020-07-29,76.65213012695312
2020-07-30,75.41404724121094
2020-07-31,74.33445739746094
2020-08-03,74.02738952636719
2020-08-04,77.57327270507812
2020-08-05,79.23724365234375
2020-08-06,81.9114990234375
2020-08-07,82.90196990966797
2020-08-10,85.37813568115234
2020-08-11,86.1903076171875
2020-08-12,85.07108306884766
2020-08-13,84.68482208251953
2020-08-14,85.18003845214844
2020-08-17,84.16976928710938
2020-08-18,83.26844787597656
2020-08-19,83.68443298339844
2020-08-20,84.28862762451172
2020-08-21,86.51716613769531
2020-08-24,87.55716705322266
2020-08-25,87.59678649902344
2020-08-26,85.97242736816406
2020-08-27,87.95335388183594
2020-08-28,90.85541534423828
2020-08-31,89.49846649169922
2020-09-01,90.83560180664062
2020-09-02,90.4691162109375
2020-09-03,90.42950439453125
2020-09-04,90.07295227050781
2020-09-08,91.02379608154297
2020-09-09,89.52819061279297
2020-09-10,88.50801086425781
2020-09-11,86.53697967529297
2020-09-14,91.42986297607422
2020-09-15,91.06340026855469
2020-09-16,93.13348388671875
2020-09-17,90.30075073242188
2020-09-18,88.78533172607422
2020-09-21,84.66500854492188
2020-09-22,84.42729949951172
2020-09-23,83.06044006347656
2020-09-24,82.27798461914062
2020-09-25,85.1106948852539
2020-09-28,88.21086120605469
2020-09-29,85.77430725097656
2020-09-30,84.50652313232422
2020-10-01,86.38841247558594
2020-10-02,87.12134552001953
2020-10-05,88.44857788085938
2020-10-06,88.74571228027344
2020-10-07,90.84550476074219
2020-10-08,91.65769958496094
2020-10-09,90.49883270263672
2020-10-12,90.4790267944336
2020-10-13,87.79486083984375
2020-10-14,87.45812225341797
2020-10-15,87.83448028564453
2020-10-16,88.64665985107422
2020-10-19,86.71527099609375
2020-10-20,88.71600341796875
2020-10-21,88.12173461914062
2020-10-22,93.49003601074219
2020-10-23,93.70793914794922
2020-10-26,89.51828002929688
2020-10-27,86.8341064453125
2020-10-28,83.21891021728516
2020-10-29,85.68517303466797
2020-10-30,86.9727783203125
2020-11-02,87.16097259521484
2020-11-03,89.78571319580078
2020-11-04,92.20245361328125
2020-11-05,93.18299865722656
2020-11-06,91.95481872558594
2020-11-09,103.19661712646484
2020-11-10,103.24613189697266
2020-11-11,102.76081848144531
2020-11-12,101.07701110839844
2020-11-13,104.79127502441406
2020-11-16,105.5638198852539
2020-11-17,102.3547134399414
2020-11-18,102.36460876464844
2020-11-19,101.81986999511719
2020-11-20,100.78978729248047
2020-11-23,104.04842376708984
2020-11-24,107.90131378173828
2020-11-25,105.2864990234375
2020-11-27,103.41452026367188
2020-11-30,102.64193725585938
2020-12-01,103.84040069580078
2020-12-02,105.73220825195312
2020-12-03,108.1192398071289
2020-12-04,109.79310607910156
2020-12-07,108.7828369140625
2020-12-08,108.01026916503906
2020-12-09,105.68266296386719
2020-12-10,106.33639526367188
2020-12-11,103.74136352539062
2020-12-14,102.05756378173828
2020-12-15,103.96916961669922
2020-12-16,103.41452026367188
2020-12-17,103.70174407958984
2020-12-18,103.61260986328125
2020-12-21,102.99851989746094
2020-12-22,101.96842956542969
2020-12-23,105.4944839477539
2020-12-24,105.8708724975586
2020-12-28,106.35619354248047
2020-12-29,106.92076873779297
2020-12-30,109.12950134277344
2020-12-31,110.19921112060547
2021-01-04,106.43544006347656
2021-01-05,106.92076873779297
2021-01-06,109.71385955810547
2021-01-07,112.20985412597656
2021-01-08,113.07154846191406
2021-01-11,112.10088348388672
2021-01-12,111.2590103149414
2021-01-13,110.80339813232422
2021-01-14,111.04109191894531
2021-01-15,107.37637329101562
2021-01-19,106.90095520019531
2021-01-20,106.67314147949219
2021-01-21,107.782470703125
2021-01-22,103.95926666259766
2021-01-25,104.11774444580078
2021-01-26,103.67202758789062
2021-01-27,97.72923278808594
2021-01-28,103.00843048095703
2021-01-29,100.42330169677734
2021-02-01,100.94824981689453
2021-02-02,104.78136444091797
2021-02-03,105.58363342285156
2021-02-04,109.46624755859375
2021-02-05,110.60529327392578
2021-02-08,111.24909973144531
2021-02-09,109.2978744506836
2021-02-10,108.29749298095703
2021-02-11,108.45597839355469
2021-02-12,111.07080841064453
2021-02-16,112.52679443359375
2021-02-17,110.36759185791016
2021-02-18,113.03193664550781
2021-02-19,115.79534149169922
2021-02-22,118.81624603271484
2021-02-23,120.78726959228516
2021-02-24,126.04664611816406
2021-02-25,121.80745697021484
2021-02-26,122.50078582763672
2021-03-01,122.58002471923828
2021-03-02,123.06535339355469
2021-03-03,121.95601654052734
2021-03-04,119.56900787353516
2021-03-05,121.69851684570312
2021-03-08,124.21428680419922
2021-03-09,122.93658447265625
2021-03-10,123.32286834716797
2021-03-11,123.47144317626953
2021-03-12,124.89771270751953
2021-03-15,126.04664611816406
2021-03-16,122.77810668945312
2021-03-17,125.92779541015625
2021-03-18,124.44210052490234
2021-03-19,123.20402526855469
2021-03-22,121.7480239868164
2021-03-23,117.766357421875
2021-03-24,117.37017822265625
2021-03-25,119.25205993652344
2021-03-26,119.9651870727539
2021-03-29,117.9149398803711
2021-03-30,120.896240234375
2021-03-31,119.76708221435547
2021-04-01,120.4901351928711
2021-04-05,124.20439147949219
2021-04-06,125.45237731933594
2021-04-07,123.33277130126953
2021-04-08,123.5605697631836
2021-04-09,123.16439819335938
2021-04-12,124.08552551269531
2021-04-13,124.90762329101562
2021-04-14,125.31370544433594
2021-04-15,126.06645965576172
2021-04-16,126.8291244506836
2021-04-19,124.72933959960938
2021-04-20,121.05471801757812
2021-04-21,122.72859191894531
2021-04-22,124.30343627929688
2021-04-23,126.18531799316406
2021-04-26,126.35370635986328
2021-04-27,128.77041625976562
2021-04-28,127.8790054321289
2021-04-29,129.1468048095703
2021-04-30,127.472900390625
2021-05-03,127.44319915771484
2021-05-04,127.0272216796875
2021-05-05,121.45089721679688
2021-05-06,119.6185302734375
2021-05-07,122.26307678222656
2021-05-10,120.42080688476562
2021-05-11,120.66842651367188
2021-05-12,117.16218566894531
2021-05-13,119.01434326171875
2021-05-14,122.43144989013672
2021-05-17,120.54956817626953
2021-05-18,119.63834381103516
2021-05-19,119.4204330444336
2021-05-20,119.43033599853516
2021-05-21,119.82652282714844
2021-05-24,122.41162872314453
2021-05-25,122.6196517944336
2021-05-26,125.01657104492188
2021-05-27,125.06609344482422
2021-05-28,124.07561492919922
2021-06-01,125.4028549194336
2021-06-02,123.97657012939453
2021-06-03,121.95601654052734
2021-06-04,123.5605697631836
2021-06-07,123.70915222167969
2021-06-08,126.62110137939453
2021-06-09,125.244384765625
2021-06-10,125.38304138183594
2021-06-11,127.38378143310547
2021-06-14,127.38378143310547
2021-06-15,128.01766967773438
2021-06-16,125.71980285644531
2021-06-17,125.03636932373047
2021-06-18,122.5404052734375
2021-06-21,125.53160858154297
2021-06-22,124.89771270751953
2021-06-23,124.48171997070312
2021-06-24,123.32286834716797
2021-06-25,123.29315948486328
2021-06-28,119.56900787353516
2021-06-29,117.81587982177734
2021-06-30,119.469970703125
2021-07-01,122.44135284423828
2021-07-02,125.60093688964844
2021-07-06,124.63030242919922
2021-07-07,123.263427734375
2021-07-08,121.95601654052734
2021-07-09,124.84819030761719
2021-07-12,124.65010070800781
2021-07-13,122.28287506103516
2021-07-14,122.68898010253906
2021-07-15,121.72821807861328
2021-07-16,118.60824584960938
2021-07-19,115.89437866210938
2021-07-20,119.74728393554688
2021-07-21,123.7388687133789
2021-07-22,122.0352554321289
2021-07-23,124.06571197509766
2021-07-26,125.46227264404297
2021-07-27,127.27481079101562
2021-07-28,128.29501342773438
2021-07-29,133.21763610839844
2021-07-30,130.19668579101562
2021-08-02,126.65083312988281
2021-08-03,124.87791442871094
2021-08-04,123.20402526855469
2021-08-05,125.19485473632812
2021-08-06,125.45237731933594
2021-08-09,123.42192077636719
2021-08-10,125.14533233642578
2021-08-11,123.83790588378906
2021-08-12,122.25316619873047
2021-08-13,121.04478454589844
2021-08-16,120.33165740966797
2021-08-17,118.84596252441406
2021-08-18,117.86539459228516
2021-08-19,118.09322357177734
2021-08-20,120.60899353027344
2021-08-23,121.85698699951172
2021-08-24,125.65045166015625
2021-08-25,126.10606384277344
2021-08-26,124.42229461669922
2021-08-27,126.34379577636719
2021-08-30,124.52133178710938
2021-08-31,123.6695327758789
2021-09-01,124.12515258789062
2021-09-02,123.20402526855469
2021-09-03,121.9065170288086
2021-09-07,122.19374084472656
2021-09-08,121.58956909179688
2021-09-09,124.55104064941406
2021-09-10,126.18531799316406
2021-09-13,128.96852111816406
2021-09-14,130.5631561279297
2021-09-15,130.14718627929688
2021-09-16,130.7612762451172
2021-09-17,129.95901489257812
2021-09-20,127.60167694091797
2021-09-21,126.60130310058594
2021-09-22,127.9582290649414
2021-09-23,133.2077178955078
2021-09-24,134.18826293945312
2021-09-27,137.47662353515625
2021-09-28,135.24806213378906
2021-09-29,133.871337890625
2021-09-30,130.8504180908203
2021-10-01,136.8328094482422
2021-10-04,137.1893768310547
2021-10-05,138.41754150390625
2021-10-06,138.03128051757812
2021-10-07,139.82403564453125
2021-10-08,140.16078186035156
