,MKC
2020-02-05,74.31925201416016
2020-02-06,74.36970520019531
2020-02-07,74.82384490966797
2020-02-10,75.05321502685547
2020-02-11,74.88806915283203
2020-02-12,75.70921325683594
2020-02-13,76.64501953125
2020-02-14,76.53491973876953
2020-02-18,75.64956665039062
2020-02-19,75.24589538574219
2020-02-20,75.15414428710938
2020-02-21,74.40640258789062
2020-02-24,73.85136413574219
2020-02-25,72.64945983886719
2020-02-26,70.23652648925781
2020-02-27,68.92913818359375
2020-02-28,67.06210327148438
2020-03-02,69.94295501708984
2020-03-03,68.76399993896484
2020-03-04,70.58975219726562
2020-03-05,70.43378448486328
2020-03-06,69.10345458984375
2020-03-09,66.07122802734375
2020-03-10,69.51172637939453
2020-03-11,67.25476837158203
2020-03-12,60.176517486572266
2020-03-13,61.92888641357422
2020-03-16,55.21763610839844
2020-03-17,63.626182556152344
2020-03-18,64.6950454711914
2020-03-19,57.63055419921875
2020-03-20,57.13054656982422
2020-03-23,52.21752166748047
2020-03-24,57.3094482421875
2020-03-25,56.96998977661133
2020-03-26,60.38754653930664
2020-03-27,60.68572235107422
2020-03-30,65.66756439208984
2020-03-31,64.77761840820312
2020-04-01,63.589508056640625
2020-04-02,66.61256408691406
2020-04-03,67.3786392211914
2020-04-06,69.73192596435547
2020-04-07,68.94747924804688
2020-04-08,68.39701080322266
2020-04-09,71.07799530029297
2020-04-13,68.49374389648438
2020-04-14,70.56665802001953
2020-04-15,70.27644348144531
2020-04-16,71.59391784667969
2020-04-17,72.27106475830078
2020-04-20,71.91636657714844
2020-04-21,69.64076232910156
2020-04-22,70.64958953857422
2020-04-23,69.84342956542969
2020-04-24,71.05953979492188
2020-04-27,72.2618408203125
2020-04-28,72.18353271484375
2020-04-29,72.07299041748047
2020-04-30,72.2480239868164
2020-05-01,71.13325500488281
2020-05-04,72.50138854980469
2020-05-05,73.80042266845703
2020-05-06,73.80502319335938
2020-05-07,74.0998306274414
2020-05-08,75.56007385253906
2020-05-11,75.93781280517578
2020-05-12,77.67447662353516
2020-05-13,77.62840270996094
2020-05-14,80.85295104980469
2020-05-15,81.98612213134766
2020-05-18,81.22605895996094
2020-05-19,79.47100830078125
2020-05-20,79.9638900756836
2020-05-21,78.568115234375
2020-05-22,79.17156219482422
2020-05-26,78.78461456298828
2020-05-27,79.23145294189453
2020-05-28,79.46637725830078
2020-05-29,80.68710327148438
2020-06-01,81.33660125732422
2020-06-02,80.80687713623047
2020-06-03,80.29093170166016
2020-06-04,78.66486358642578
2020-06-05,78.6925048828125
2020-06-08,79.5861587524414
2020-06-09,78.8168716430664
2020-06-10,79.42033386230469
2020-06-11,77.3151626586914
2020-06-12,76.71630859375
2020-06-15,78.4944076538086
2020-06-16,79.67829132080078
2020-06-17,80.21722412109375
2020-06-18,80.09748077392578
2020-06-19,79.3235855102539
2020-06-22,79.55391693115234
2020-06-23,79.42033386230469
2020-06-24,79.3558349609375
2020-06-25,82.24407958984375
2020-06-26,81.189208984375
2020-06-29,82.63105010986328
2020-06-30,82.6448745727539
2020-07-01,82.68630981445312
2020-07-02,83.9482421875
2020-07-06,83.92974090576172
2020-07-07,84.65547180175781
2020-07-08,84.8865966796875
2020-07-09,84.98367309570312
2020-07-10,85.93590545654297
2020-07-13,84.54914093017578
2020-07-14,87.55836486816406
2020-07-15,87.45668029785156
2020-07-16,87.69705200195312
2020-07-17,88.23788452148438
2020-07-20,88.54756927490234
2020-07-21,89.48131561279297
2020-07-22,89.5922622680664
2020-07-23,90.54910278320312
2020-07-24,89.45356750488281
2020-07-27,90.60919952392578
2020-07-28,89.20858764648438
2020-07-29,89.8326187133789
2020-07-30,89.60147857666016
2020-07-31,90.09147644042969
2020-08-03,90.73400115966797
2020-08-04,91.64461517333984
2020-08-05,91.17772674560547
2020-08-06,92.00978088378906
2020-08-07,93.1654052734375
2020-08-10,93.29019927978516
2020-08-11,91.4181137084961
2020-08-12,93.21624755859375
2020-08-13,93.39189147949219
2020-08-14,93.1654052734375
2020-08-17,93.51209259033203
2020-08-18,93.59991455078125
2020-08-19,93.61378479003906
2020-08-20,93.78480529785156
2020-08-21,93.90499877929688
2020-08-24,93.76168823242188
2020-08-25,93.73396301269531
2020-08-26,94.99125671386719
2020-08-27,94.9681396484375
2020-08-28,94.57062530517578
2020-08-31,95.3148422241211
2020-09-01,95.19002532958984
2020-09-02,96.96967315673828
2020-09-03,94.3025131225586
2020-09-04,93.30406951904297
2020-09-08,91.30255889892578
2020-09-09,93.69235229492188
2020-09-10,91.61224365234375
2020-09-11,91.82025909423828
2020-09-14,92.49514770507812
2020-09-15,92.61070251464844
2020-09-16,91.8387451171875
2020-09-17,89.08839416503906
2020-09-18,87.80799865722656
2020-09-21,88.01136016845703
2020-09-22,88.93123626708984
2020-09-23,85.74175262451172
2020-09-24,87.29487609863281
2020-09-25,88.55220031738281
2020-09-28,90.22090148925781
2020-09-29,87.77561950683594
2020-09-30,89.72167205810547
2020-10-01,89.30564880371094
2020-10-02,89.42622375488281
2020-10-05,90.4649887084961
2020-10-06,88.8697509765625
2020-10-07,90.04762268066406
2020-10-08,90.11720275878906
2020-10-09,90.94263458251953
2020-10-12,93.16390228271484
2020-10-13,92.85321044921875
2020-10-14,91.82371520996094
2020-10-15,92.35237884521484
2020-10-16,92.46367645263672
2020-10-19,91.60112762451172
2020-10-20,90.86380767822266
2020-10-21,90.5855484008789
2020-10-22,90.25631713867188
2020-10-23,91.1049575805664
2020-10-26,89.99198150634766
2020-10-27,89.13409423828125
2020-10-28,86.10125732421875
2020-10-29,85.28044891357422
2020-10-30,83.70840454101562
2020-11-02,85.86940002441406
2020-11-03,87.0333480834961
2020-11-04,87.6362075805664
2020-11-05,87.43217468261719
2020-11-06,87.48782348632812
2020-11-09,82.69282531738281
2020-11-10,84.37153625488281
2020-11-11,86.66702270507812
2020-11-12,85.78128814697266
2020-11-13,85.61434173583984
2020-11-16,85.41029357910156
2020-11-17,84.70542907714844
2020-11-18,84.48745727539062
2020-11-19,84.97439575195312
2020-11-20,85.17379760742188
2020-11-23,84.86309814453125
2020-11-24,86.50469207763672
2020-11-25,86.06415557861328
2020-11-27,86.47687530517578
2020-11-30,86.7087631225586
2020-12-01,86.84786987304688
2020-12-02,84.78890991210938
2020-12-03,85.9296875
2020-12-04,87.13539123535156
2020-12-07,85.92041778564453
2020-12-08,86.6623764038086
2020-12-09,86.3656005859375
2020-12-10,86.3006591796875
2020-12-11,86.64380645751953
2020-12-14,86.51399230957031
2020-12-15,85.11349487304688
2020-12-16,85.9853286743164
2020-12-17,87.73825073242188
2020-12-18,86.59746551513672
2020-12-21,86.89424896240234
2020-12-22,86.21717071533203
2020-12-23,86.23574829101562
2020-12-24,86.6902084350586
2020-12-28,86.64380645751953
2020-12-29,87.94227600097656
2020-12-30,88.0167236328125
2020-12-31,88.98477935791016
2021-01-04,87.4861831665039
2021-01-05,87.70958709716797
2021-01-06,87.43033599853516
2021-01-07,88.23082733154297
2021-01-08,88.62176513671875
2021-01-11,87.15109252929688
2021-01-12,86.05274200439453
2021-01-13,86.80670928955078
2021-01-14,85.28018951416016
2021-01-15,86.96492004394531
2021-01-19,86.57398986816406
2021-01-20,85.40118408203125
2021-01-21,85.13125610351562
2021-01-22,85.51288604736328
2021-01-25,88.0074462890625
2021-01-26,89.44087219238281
2021-01-27,87.56065368652344
2021-01-28,84.7217025756836
2021-01-29,83.34412384033203
2021-02-01,83.00901794433594
2021-02-02,83.28826904296875
