,DFS
2020-12-15,78.28556060791016
2020-12-16,79.19351196289062
2020-12-17,80.22986602783203
2020-12-18,78.86332702636719
2020-12-21,79.81714630126953
2020-12-22,79.64290618896484
2020-12-23,81.04609680175781
2020-12-24,80.97274017333984
2020-12-28,80.97274017333984
2020-12-29,80.72510528564453
2020-12-30,81.8990249633789
2020-12-31,83.027099609375
2021-01-04,82.18334197998047
2021-01-05,83.21050262451172
2021-01-06,87.54851531982422
2021-01-07,89.46529388427734
2021-01-08,89.06173706054688
2021-01-11,87.33755493164062
2021-01-12,87.42927551269531
2021-01-13,88.95167541503906
2021-01-14,90.27235412597656
2021-01-15,89.65788269042969
2021-01-19,90.85929870605469
2021-01-20,91.61134338378906
2021-01-21,86.42960357666016
2021-01-22,84.62287139892578
2021-01-25,81.67892456054688
2021-01-26,79.62456512451172
2021-01-27,75.36909484863281
2021-01-28,78.73494720458984
2021-01-29,76.61640167236328
2021-02-01,75.3782958984375
2021-02-02,78.258056640625
2021-02-03,80.06478881835938
2021-02-04,83.91669464111328
2021-02-05,85.14562225341797
2021-02-08,86.52132415771484
2021-02-09,84.98056030273438
2021-02-10,85.6317138671875
2021-02-11,85.08143615722656
2021-02-12,85.95270538330078
2021-02-16,87.9520263671875
2021-02-17,84.48775482177734
2021-02-18,83.16100311279297
2021-02-19,86.53314971923828
2021-02-22,87.88754272460938
2021-02-23,87.80460357666016
2021-02-24,90.25541687011719
2021-02-25,87.5281982421875
2021-02-26,86.6713638305664
2021-03-01,90.17247772216797
2021-03-02,88.94711303710938
2021-03-03,89.14978790283203
2021-03-04,87.89674377441406
2021-03-05,90.31068420410156
2021-03-08,90.21855163574219
2021-03-09,89.8592300415039
2021-03-10,91.77565002441406
2021-03-11,94.22640991210938
2021-03-12,94.22640991210938
2021-03-15,92.79833984375
2021-03-16,90.86349487304688
2021-03-17,91.28732299804688
2021-03-18,88.15475463867188
2021-03-19,87.32552337646484
2021-03-22,87.23339080810547
2021-03-23,84.74574279785156
2021-03-24,85.62100982666016
2021-03-25,88.40348815917969
2021-03-26,89.33406066894531
2021-03-29,86.68058013916016
2021-03-30,87.76776123046875
2021-03-31,87.51899719238281
2021-04-01,89.55517578125
2021-04-05,91.12145233154297
2021-04-06,91.13988494873047
2021-04-07,91.02934265136719
2021-04-08,91.69269561767578
2021-04-09,92.3008041381836
2021-04-12,92.54957580566406
2021-04-13,91.94148254394531
2021-04-14,93.35115051269531
2021-04-15,93.9776611328125
2021-04-16,94.22640991210938
2021-04-19,92.6969985961914
2021-04-20,89.1866455078125
2021-04-21,90.66079711914062
2021-04-22,91.67427825927734
2021-04-23,94.7515869140625
2021-04-26,97.83812713623047
2021-04-27,99.28462982177734
2021-04-28,102.74889373779297
2021-04-29,105.374755859375
2021-04-30,105.03387451171875
2021-05-03,105.62351989746094
2021-05-04,106.34215545654297
2021-05-05,107.12530517578125
2021-05-06,108.47048950195312
2021-05-07,110.06441497802734
2021-05-10,109.40104675292969
2021-05-11,105.39317321777344
2021-05-12,103.52284240722656
2021-05-13,105.7064437866211
2021-05-14,107.63206481933594
2021-05-17,108.83901977539062
2021-05-18,106.16712188720703
2021-05-19,106.0561294555664
2021-05-20,105.83415222167969
2021-05-21,105.4087142944336
2021-05-24,106.15785217285156
2021-05-25,105.71392822265625
2021-05-26,106.78677368164062
2021-05-27,109.15447235107422
2021-05-28,108.45157623291016
2021-06-01,111.79965209960938
2021-06-02,111.9383544921875
2021-06-03,113.37194061279297
2021-06-04,114.1118392944336
2021-06-07,114.30606079101562
2021-06-08,114.8609848022461
2021-06-09,113.78813934326172
2021-06-10,113.0019760131836
2021-06-11,113.89912414550781
2021-06-14,111.62391662597656
2021-06-15,113.76966094970703
2021-06-16,112.9002456665039
2021-06-17,108.45157623291016
2021-06-18,105.53819274902344
2021-06-21,109.18224334716797
2021-06-22,109.31171417236328
2021-06-23,110.23660278320312
2021-06-24,111.56842041015625
2021-06-25,114.28756713867188
2021-06-28,110.09785461425781
2021-06-29,108.10010528564453
2021-06-30,109.40420532226562
2021-07-01,110.69902801513672
2021-07-02,111.17072296142578
2021-07-06,108.92326354980469
2021-07-07,109.42269897460938
2021-07-08,106.60181427001953
2021-07-09,113.2054672241211
2021-07-12,117.0807113647461
2021-07-13,115.85062408447266
2021-07-14,113.69564819335938
2021-07-15,114.23207092285156
2021-07-16,111.38343048095703
2021-07-19,107.95213317871094
2021-07-20,112.16959381103516
2021-07-21,116.11882781982422
2021-07-22,114.64826965332031
2021-07-23,113.76966094970703
2021-07-26,115.36969757080078
2021-07-27,115.14771270751953
2021-07-28,114.05635070800781
2021-07-29,116.06333923339844
2021-07-30,114.9812240600586
2021-08-02,114.57428741455078
2021-08-03,116.54429626464844
2021-08-04,116.64601135253906
2021-08-05,117.55239868164062
2021-08-06,120.2900619506836
2021-08-09,119.71660614013672
2021-08-10,122.1213150024414
2021-08-11,123.58262634277344
2021-08-12,124.17452239990234
2021-08-13,125.21041107177734
2021-08-16,124.64624786376953
2021-08-17,121.45539855957031
2021-08-18,119.89566040039062
2021-08-19,116.80403900146484
2021-08-20,118.15025329589844
2021-08-23,119.24577331542969
2021-08-24,120.0534896850586
2021-08-25,122.35594940185547
2021-08-26,120.94476318359375
2021-08-27,123.92496490478516
2021-08-30,118.13167572021484
2021-08-31,119.04151916503906
2021-09-01,115.83847045898438
2021-09-02,115.1792984008789
2021-09-03,114.1858901977539
2021-09-07,112.56117248535156
2021-09-08,110.16585540771484
2021-09-09,111.6884536743164
2021-09-10,111.86486053466797
2021-09-13,113.78667449951172
2021-09-14,111.7256088256836
2021-09-15,114.5294189453125
2021-09-16,115.40213012695312
2021-09-17,114.78936767578125
2021-09-20,111.8555908203125
2021-09-21,114.03736114501953
2021-09-22,115.69921875
2021-09-23,119.0508041381836
2021-09-24,120.70337677001953
2021-09-27,121.8360595703125
2021-09-28,119.76567077636719
2021-09-29,117.89028930664062
2021-09-30,114.05591583251953
2021-10-01,118.08524322509766
2021-10-04,116.96186828613281
2021-10-05,118.35448455810547
2021-10-06,117.43534851074219
2021-10-07,118.1688003540039
2021-10-08,119.16221618652344
2021-10-11,116.72046661376953
2021-10-12,118.27092742919922
2021-10-13,114.23231506347656
2021-10-14,117.7417221069336
2021-10-15,120.01634979248047
2021-10-18,120.74053192138672
2021-10-19,121.78034973144531
2021-10-20,123.47010040283203
2021-10-21,115.9034652709961
2021-10-22,116.2191390991211
2021-10-25,114.99362182617188
2021-10-26,114.21375274658203
2021-10-27,107.1763687133789
2021-10-28,106.62859344482422
2021-10-29,105.20812225341797
2021-11-01,106.45218658447266
2021-11-02,106.48004913330078
2021-11-03,107.5384292602539
2021-11-04,106.28507232666016
2021-11-05,108.13265228271484
2021-11-08,108.38330841064453
2021-11-09,108.44829559326172
2021-11-10,109.0331802368164
2021-11-11,110.01730346679688
2021-11-12,110.89002990722656
2021-11-15,109.72021484375
2021-11-16,108.8475112915039
2021-11-17,107.12065887451172
