,ESS
2015-05-12,164.53807067871094
2015-05-13,162.47323608398438
2015-05-14,166.25515747070312
2015-05-15,167.48370361328125
2015-05-18,166.44015502929688
2015-05-19,165.8184814453125
2015-05-20,165.95169067382812
2015-05-21,164.45675659179688
2015-05-22,164.1606903076172
2015-05-26,162.37705993652344
2015-05-27,165.78147888183594
2015-05-28,166.50674438476562
2015-05-29,164.76016235351562
2015-06-01,167.4541473388672
2015-06-02,164.13108825683594
2015-06-03,160.43060302734375
2015-06-04,159.91995239257812
2015-06-05,158.7209930419922
2015-06-08,158.29916381835938
2015-06-09,156.5377197265625
2015-06-10,157.98825073242188
2015-06-11,158.5803680419922
2015-06-12,158.6543731689453
2015-06-15,158.3805389404297
2015-06-16,160.18641662597656
2015-06-17,161.44451904296875
2015-06-18,164.21249389648438
2015-06-19,162.6064910888672
2015-06-22,160.98570251464844
2015-06-23,159.19467163085938
2015-06-24,159.15762329101562
2015-06-25,157.86248779296875
2015-06-26,159.5836944580078
2015-06-29,156.84165954589844
2015-06-30,158.33934020996094
2015-07-01,161.47634887695312
2015-07-02,162.6685028076172
2015-07-06,163.67445373535156
2015-07-07,165.67138671875
2015-07-08,165.16470336914062
2015-07-09,164.68035888671875
2015-07-10,165.28390502929688
2015-07-13,164.53880310058594
2015-07-14,165.32119750976562
2015-07-15,165.88003540039062
2015-07-16,166.73690795898438
2015-07-17,166.15574645996094
2015-07-20,167.51931762695312
2015-07-21,166.57296752929688
2015-07-22,167.10948181152344
2015-07-23,165.69374084472656
2015-07-24,166.7667236328125
2015-07-27,167.13926696777344
2015-07-28,165.65643310546875
2015-07-29,165.82786560058594
2015-07-30,166.74436950683594
2015-07-31,167.58633422851562
2015-08-03,168.8083953857422
2015-08-04,167.8843994140625
2015-08-05,167.22120666503906
2015-08-06,168.45074462890625
2015-08-07,169.14369201660156
2015-08-10,169.2330780029297
2015-08-11,170.0006103515625
2015-08-12,170.1346893310547
2015-08-13,169.83663940429688
2015-08-14,170.2986602783203
2015-08-17,172.20616149902344
2015-08-18,172.81710815429688
2015-08-19,170.08999633789062
2015-08-20,169.59820556640625
2015-08-21,166.12591552734375
2015-08-24,157.86245727539062
