,UHS
2015-02-05,101.53276824951172
2015-02-06,100.73641204833984
2015-02-09,99.61383819580078
2015-02-10,101.78225708007812
2015-02-11,101.83021545410156
2015-02-12,99.87285614013672
2015-02-13,100.67884826660156
2015-02-17,102.46349334716797
2015-02-18,102.61700439453125
2015-02-19,102.83768463134766
2015-02-20,103.49972534179688
2015-02-23,103.9986572265625
2015-02-24,104.12338256835938
2015-02-25,104.76625061035156
2015-02-26,108.03150177001953
2015-02-27,108.857421875
2015-03-02,109.95221710205078
2015-03-03,108.261962890625
2015-03-04,111.16229248046875
2015-03-05,110.32676696777344
2015-03-06,109.52965545654297
2015-03-09,109.03026580810547
2015-03-10,108.50206756591797
2015-03-11,109.40480041503906
2015-03-12,109.94263458251953
2015-03-13,109.55848693847656
2015-03-16,111.59444427490234
2015-03-17,111.56563568115234
2015-03-18,112.64125061035156
2015-03-19,114.02417755126953
2015-03-20,114.0530014038086
2015-03-23,116.5211181640625
2015-03-24,115.24384307861328
2015-03-25,113.30390167236328
2015-03-26,112.6892318725586
2015-03-27,113.41912841796875
2015-03-30,115.21502685546875
2015-03-31,113.04460906982422
2015-04-01,108.48284912109375
2015-04-02,112.0650405883789
2015-04-06,113.42874908447266
2015-04-07,113.24626159667969
2015-04-08,114.26424407958984
2015-04-09,113.99535369873047
2015-04-10,113.74565124511719
2015-04-13,113.69762420654297
2015-04-14,114.4275131225586
2015-04-15,116.2906265258789
2015-04-16,115.22464752197266
2015-04-17,115.03256225585938
2015-04-20,116.1369857788086
2015-04-21,116.15618133544922
2015-04-22,116.27143096923828
2015-04-23,117.74079895019531
2015-04-24,117.82721710205078
2015-04-27,115.48394012451172
2015-04-28,117.01092529296875
2015-04-29,114.9653091430664
2015-04-30,112.31472778320312
2015-05-01,112.18028259277344
2015-05-04,114.6484146118164
2015-05-05,111.66165924072266
2015-05-06,110.79734802246094
2015-05-07,113.79366302490234
2015-05-08,115.84886169433594
2015-05-11,117.2894058227539
2015-05-12,114.80207061767578
2015-05-13,115.09978485107422
2015-05-14,117.27021789550781
2015-05-15,117.4046401977539
2015-05-18,120.77552795410156
2015-05-19,122.84032440185547
2015-05-20,121.75511169433594
2015-05-21,121.6686782836914
2015-05-22,121.77433776855469
2015-05-26,121.6590805053711
2015-05-27,126.49930572509766
2015-05-28,124.88467407226562
2015-05-29,124.53868103027344
2015-06-01,125.9322738647461
2015-06-02,124.29842376708984
2015-06-03,124.08698272705078
2015-06-04,122.28011322021484
2015-06-05,122.47232818603516
2015-06-08,121.54006958007812
2015-06-09,122.48193359375
2015-06-10,126.23023223876953
2015-06-11,127.18174743652344
2015-06-12,125.1729965209961
2015-06-15,126.09562683105469
2015-06-16,125.00001525878906
