,ADI
2019-01-29,86.7522201538086
2019-01-30,88.54074096679688
2019-01-31,88.4065933227539
2019-02-01,89.90895080566406
2019-02-04,89.15775299072266
2019-02-05,89.78375244140625
2019-02-06,91.58120727539062
2019-02-07,89.98943328857422
2019-02-08,90.07887268066406
2019-02-11,90.99099731445312
2019-02-12,93.05674743652344
2019-02-13,93.37867736816406
2019-02-14,93.4412612915039
2019-02-15,94.55909729003906
2019-02-19,93.19982147216797
2019-02-20,95.52489471435547
2019-02-21,94.14774322509766
2019-02-22,94.71112060546875
2019-02-25,96.49069213867188
2019-02-26,95.84683990478516
2019-02-27,94.72900390625
2019-02-28,96.14019012451172
2019-03-01,97.47046661376953
2019-03-04,97.66822052001953
2019-03-05,97.28170776367188
2019-03-06,95.98738098144531
2019-03-07,94.98965454101562
2019-03-08,94.74699401855469
2019-03-11,96.78734588623047
2019-03-12,96.99407958984375
2019-03-13,97.14688873291016
2019-03-14,97.2997055053711
2019-03-15,98.3243637084961
2019-03-18,98.108642578125
2019-03-19,98.82771301269531
2019-03-20,97.62327575683594
2019-03-21,99.0344467163086
2019-03-22,96.53568267822266
2019-03-25,94.60315704345703
2019-03-26,96.26600646972656
2019-03-27,94.34249114990234
2019-03-28,93.54254150390625
2019-03-29,94.62115478515625
2019-04-01,97.32666778564453
2019-04-02,97.17384338378906
2019-04-03,98.72884368896484
2019-04-04,99.35804748535156
2019-04-05,100.18497467041016
2019-04-08,100.43663787841797
2019-04-09,99.31310272216797
2019-04-10,100.7332763671875
2019-04-11,100.50855255126953
2019-04-12,102.65678405761719
2019-04-15,101.5152816772461
2019-04-16,103.00735473632812
2019-04-17,102.82756805419922
2019-04-18,103.17813873291016
2019-04-22,102.11750030517578
2019-04-23,102.56690979003906
2019-04-24,105.42523956298828
2019-04-25,103.38487243652344
2019-04-26,102.86354064941406
2019-04-29,102.36019134521484
2019-04-30,104.48143768310547
2019-05-01,103.09722137451172
2019-05-02,105.12860870361328
2019-05-03,105.11961364746094
2019-05-06,103.30397033691406
2019-05-07,102.18040466308594
2019-05-08,99.36701202392578
2019-05-09,99.36701202392578
2019-05-10,99.41197204589844
2019-05-13,93.68635559082031
2019-05-14,95.95143127441406
2019-05-15,96.97608947753906
2019-05-16,94.10879516601562
2019-05-17,90.63028717041016
2019-05-20,87.63712310791016
2019-05-21,89.77638244628906
2019-05-22,91.1785888671875
2019-05-23,88.74271392822266
2019-05-24,88.46408081054688
2019-05-28,87.28657531738281
2019-05-29,88.1854248046875
2019-05-30,88.62830352783203
2019-05-31,87.32681274414062
2019-06-03,86.82970428466797
2019-06-04,91.2584228515625
2019-06-05,90.26420593261719
2019-06-06,90.35459899902344
2019-06-07,91.00534057617188
2019-06-10,96.30171966552734
2019-06-11,95.0544204711914
2019-06-12,94.33139038085938
2019-06-13,95.60576629638672
2019-06-14,94.01505279541016
2019-06-17,94.99114990234375
2019-06-18,99.36564636230469
2019-06-19,100.3598403930664
2019-06-20,101.73363494873047
2019-06-21,102.73688507080078
2019-06-24,102.04094696044922
2019-06-25,99.6729507446289
2019-06-26,100.20621490478516
2019-06-27,101.9867172241211
2019-06-28,102.01383209228516
2019-07-01,103.93897247314453
2019-07-02,102.59228515625
2019-07-03,102.28497314453125
2019-07-05,102.0047836303711
2019-07-08,101.0738525390625
2019-07-09,102.39344024658203
2019-07-10,103.04419708251953
2019-07-11,102.96283721923828
2019-07-12,105.0235366821289
2019-07-15,105.7646713256836
2019-07-16,104.35470581054688
2019-07-17,102.98091125488281
2019-07-18,104.85181427001953
2019-07-19,104.64392852783203
2019-07-22,106.38831329345703
2019-07-23,108.3857421875
2019-07-24,112.65174865722656
2019-07-25,110.4283676147461
2019-07-26,110.08492279052734
2019-07-29,109.55167388916016
2019-07-30,109.3257064819336
2019-07-31,106.16234588623047
2019-08-01,103.4509048461914
2019-08-02,101.84210968017578
2019-08-05,97.27784729003906
2019-08-06,98.76913452148438
2019-08-07,99.2571792602539
2019-08-08,101.52577209472656
2019-08-09,100.01639556884766
2019-08-12,98.47990417480469
2019-08-13,102.14940643310547
2019-08-14,99.70006561279297
2019-08-15,98.01895141601562
2019-08-16,99.88985443115234
2019-08-19,100.47734069824219
2019-08-20,99.68199920654297
2019-08-21,98.14550018310547
2019-08-22,98.181640625
2019-08-23,94.1506118774414
2019-08-26,95.83171844482422
2019-08-27,96.75360107421875
2019-08-28,97.63935089111328
2019-08-29,99.02914428710938
2019-08-30,99.7649154663086
2019-09-03,96.63106536865234
2019-09-04,99.1835708618164
2019-09-05,102.6625747680664
2019-09-06,102.34465026855469
2019-09-09,102.52633666992188
2019-09-10,103.53459930419922
2019-09-11,104.49744415283203
2019-09-12,105.56023406982422
2019-09-13,105.84181213378906
2019-09-16,104.69730377197266
2019-09-17,104.71546936035156
2019-09-18,105.87818145751953
2019-09-19,105.26046752929688
2019-09-20,104.7608871459961
2019-09-23,103.8161849975586
2019-09-24,100.7913589477539
2019-09-25,102.3537368774414
2019-09-26,102.77156829833984
2019-09-27,100.864013671875
2019-09-30,101.49079132080078
2019-10-01,99.71949768066406
2019-10-02,98.98372650146484
2019-10-03,100.70963287353516
2019-10-04,102.67164611816406
2019-10-07,100.68236541748047
2019-10-08,96.40396881103516
2019-10-09,98.16619873046875
2019-10-10,98.5023193359375
2019-10-11,101.02752685546875
2019-10-14,100.22817993164062
2019-10-15,102.90785217285156
2019-10-16,100.45526123046875
2019-10-17,99.9193344116211
2019-10-18,99.4469985961914
2019-10-21,100.9276123046875
2019-10-22,100.71870422363281
2019-10-23,95.89530181884766
2019-10-24,95.668212890625
2019-10-25,97.03983306884766
2019-10-28,98.85655975341797
2019-10-29,98.14804077148438
2019-10-30,98.3297119140625
2019-10-31,96.85816955566406
2019-11-01,99.34709167480469
2019-11-04,101.18194580078125
2019-11-05,103.05316162109375
2019-11-06,101.76331329345703
2019-11-07,101.99947357177734
2019-11-08,102.6625747680664
2019-11-11,102.23566436767578
2019-11-12,102.88058471679688
2019-11-13,103.70719146728516
2019-11-14,102.93507385253906
2019-11-15,103.00775146484375
2019-11-18,101.70879364013672
2019-11-19,101.47261810302734
2019-11-20,98.62946319580078
2019-11-21,98.8111343383789
2019-11-22,100.509765625
2019-11-25,102.58081817626953
2019-11-26,104.3612060546875
2019-11-27,103.28026580810547
2019-11-29,102.5989990234375
2019-12-02,101.06388092041016
2019-12-03,100.14640808105469
2019-12-04,103.90702819824219
