,JNJ
2021-02-01,145.48654174804688
2021-02-02,144.18109130859375
2021-02-03,143.51046752929688
2021-02-04,144.8427734375
2021-02-05,147.04237365722656
2021-02-08,147.46263122558594
2021-02-09,148.6697235107422
2021-02-10,149.15255737304688
2021-02-11,148.48194885253906
2021-02-12,148.9468994140625
2021-02-16,147.59677124023438
2021-02-17,148.12429809570312
2021-02-18,148.19580078125
2021-02-19,145.7279815673828
2021-02-22,145.6379852294922
2021-02-23,144.35140991210938
2021-02-24,146.28579711914062
2021-02-25,146.43875122070312
2021-02-26,142.5699462890625
2021-03-01,143.34373474121094
2021-03-02,143.0737762451172
2021-03-03,140.55458068847656
2021-03-04,137.72047424316406
2021-03-05,140.44662475585938
2021-03-08,141.61624145507812
2021-03-09,141.88616943359375
2021-03-10,143.19073486328125
2021-03-11,143.18177795410156
2021-03-12,143.5956268310547
2021-03-15,144.33338928222656
2021-03-16,145.18817138671875
2021-03-17,144.64830017089844
2021-03-18,144.37838745117188
2021-03-19,143.99151611328125
2021-03-22,144.40538024902344
2021-03-23,144.27041625976562
2021-03-24,145.67396545410156
2021-03-25,145.72799682617188
2021-03-26,148.39114379882812
2021-03-29,149.38983154296875
2021-03-30,148.46311950683594
2021-03-31,147.8693084716797
2021-04-01,146.50169372558594
2021-04-05,147.04156494140625
2021-04-06,147.0055694580078
2021-04-07,147.20352172851562
2021-04-08,146.627685546875
2021-04-09,145.0801544189453
2021-04-12,145.43106079101562
2021-04-13,143.48764038085938
2021-04-14,143.88356018066406
2021-04-15,144.30642700195312
2021-04-16,145.9709014892578
2021-04-19,146.37579345703125
2021-04-20,149.7857208251953
2021-04-21,149.88467407226562
2021-04-22,148.61605834960938
2021-04-23,148.92198181152344
2021-04-26,147.662353515625
2021-04-27,146.81663513183594
2021-04-28,145.73695373535156
2021-04-29,147.73435974121094
2021-04-30,146.41177368164062
2021-05-03,148.64308166503906
2021-05-04,150.9463653564453
2021-05-05,150.3165740966797
2021-05-06,150.91937255859375
2021-05-07,151.60316467285156
2021-05-10,153.19566345214844
2021-05-11,151.94505310058594
2021-05-12,151.33323669433594
2021-05-13,152.916748046875
2021-05-14,153.1506805419922
2021-05-17,153.30361938476562
2021-05-18,153.35760498046875
2021-05-19,153.0247039794922
2021-05-20,153.91543579101562
2021-05-21,153.8164825439453
2021-05-24,154.4049530029297
2021-05-25,153.9794158935547
2021-05-26,153.06507873535156
2021-05-27,152.82965087890625
2021-05-28,153.2279815673828
2021-06-01,149.860107421875
2021-06-02,150.4667205810547
2021-06-03,150.32186889648438
2021-06-04,150.2584991455078
2021-06-07,149.2354736328125
2021-06-08,147.9227294921875
2021-06-09,149.9144744873047
2021-06-10,151.26341247558594
2021-06-11,149.34413146972656
2021-06-14,149.7152862548828
2021-06-15,148.9186248779297
2021-06-16,148.86428833007812
2021-06-17,149.57952880859375
2021-06-18,146.6461944580078
2021-06-21,148.33016967773438
2021-06-22,148.13096618652344
2021-06-23,147.23471069335938
2021-06-24,147.9046173095703
2021-06-25,148.66514587402344
2021-06-28,148.4931182861328
2021-06-29,148.50213623046875
2021-06-30,149.14495849609375
2021-07-01,150.2494659423828
2021-07-02,152.9835662841797
2021-07-06,152.06918334960938
2021-07-07,153.37289428710938
2021-07-08,153.0740966796875
2021-07-09,153.68064880371094
2021-07-12,153.4362030029297
2021-07-13,153.24610900878906
2021-07-14,154.28726196289062
2021-07-15,152.43130493164062
2021-07-16,152.18685913085938
2021-07-19,151.08233642578125
2021-07-20,152.50372314453125
