,COO
2020-02-10,87.29597473144531
2020-02-11,87.79566955566406
2020-02-12,88.22041320800781
2020-02-13,88.19043731689453
2020-02-14,88.27537536621094
2020-02-18,89.0349349975586
2020-02-19,89.08740234375
2020-02-20,88.6551513671875
2020-02-21,88.86503601074219
2020-02-24,86.72879028320312
2020-02-25,84.06287384033203
2020-02-26,83.78053283691406
2020-02-27,82.01908111572266
2020-02-28,81.09461212158203
2020-03-02,83.81301879882812
2020-03-03,82.44631958007812
2020-03-04,84.4851303100586
2020-03-05,81.2695083618164
2020-03-06,83.40325927734375
2020-03-09,79.3281478881836
2020-03-10,83.6880874633789
2020-03-11,80.92472839355469
2020-03-12,69.97118377685547
2020-03-13,72.71707153320312
2020-03-16,64.81922912597656
2020-03-17,68.75191497802734
2020-03-18,62.74046325683594
2020-03-19,68.24720764160156
2020-03-20,62.62553024291992
2020-03-23,60.8240852355957
2020-03-24,63.93475341796875
2020-03-25,64.1845932006836
2020-03-26,70.47089385986328
2020-03-27,68.26719665527344
2020-03-30,69.99617767333984
2020-03-31,68.87684631347656
2020-04-01,68.22222137451172
2020-04-02,70.91563415527344
2020-04-03,69.87874603271484
2020-04-06,74.12622833251953
2020-04-07,73.11683654785156
2020-04-08,74.3136215209961
2020-04-09,74.0987548828125
2020-04-13,74.71337127685547
2020-04-14,75.07816314697266
2020-04-15,74.63092803955078
2020-04-16,74.19368743896484
2020-04-17,76.52482604980469
2020-04-20,76.13005828857422
2020-04-21,72.0899429321289
2020-04-22,73.48162078857422
2020-04-23,72.5246810913086
2020-04-24,73.25923919677734
2020-04-27,73.36917114257812
2020-04-28,72.7320556640625
2020-04-29,72.9119644165039
2020-04-30,71.6327133178711
2020-05-01,70.03614044189453
2020-05-04,71.73015594482422
2020-05-05,72.67709350585938
2020-05-06,73.69648742675781
2020-05-07,75.93016815185547
2020-05-08,76.08506774902344
2020-05-11,76.90959167480469
2020-05-12,75.8352279663086
2020-05-13,74.061279296875
2020-05-14,74.09126281738281
2020-05-15,74.08625793457031
2020-05-18,75.4979248046875
2020-05-19,74.54598236083984
2020-05-20,74.0337905883789
2020-05-21,71.90754699707031
2020-05-22,71.81260681152344
2020-05-26,74.4310531616211
2020-05-27,77.08949279785156
2020-05-28,79.11079406738281
2020-05-29,79.19824981689453
2020-06-01,78.74850463867188
2020-06-02,79.04083251953125
2020-06-03,79.75790405273438
2020-06-04,78.41869354248047
2020-06-05,79.58802032470703
2020-06-08,80.02774810791016
2020-06-09,75.76277160644531
2020-06-10,74.61344909667969
2020-06-11,69.59640502929688
2020-06-12,72.05745697021484
2020-06-15,72.54467010498047
2020-06-16,74.98072814941406
2020-06-17,75.5878677368164
2020-06-18,75.43046569824219
2020-06-19,74.73587036132812
2020-06-22,74.07376861572266
2020-06-23,74.95075225830078
2020-06-24,70.3060073852539
2020-06-25,69.1116943359375
2020-06-26,68.20472717285156
2020-06-29,67.6925277709961
2020-06-30,70.8681640625
2020-07-01,71.8350830078125
2020-07-02,72.4747085571289
2020-07-06,71.2579345703125
2020-07-07,70.52336883544922
2020-07-08,69.97868347167969
2020-07-09,72.38976287841797
2020-07-10,72.30731964111328
2020-07-13,71.36786651611328
2020-07-14,71.93252563476562
2020-07-15,74.16621398925781
2020-07-16,72.18987274169922
2020-07-17,72.79951477050781
2020-07-20,72.28482055664062
2020-07-21,72.8494873046875
2020-07-22,72.40470886230469
2020-07-23,71.13532257080078
2020-07-24,70.8604507446289
2020-07-27,71.56011962890625
2020-07-28,70.34320831298828
2020-07-29,71.6950454711914
2020-07-30,70.64056396484375
2020-07-31,70.69803619384766
2020-08-03,73.80402374267578
2020-08-04,74.19134521484375
2020-08-05,74.75106048583984
2020-08-06,75.05841827392578
2020-08-07,75.94298553466797
2020-08-10,76.67012023925781
2020-08-11,75.0409164428711
2020-08-12,76.29280090332031
2020-08-13,76.18785858154297
2020-08-14,75.9179916381836
2020-08-17,76.21284484863281
2020-08-18,76.77257537841797
2020-08-19,76.3377914428711
2020-08-20,74.77855682373047
2020-08-21,75.36326599121094
2020-08-24,75.44072723388672
2020-08-25,76.22034454345703
2020-08-26,76.3252944946289
2020-08-27,78.0694351196289
2020-08-28,78.93402099609375
2020-08-31,78.55670166015625
2020-09-01,77.31231689453125
2020-09-02,79.26385498046875
2020-09-03,76.66513061523438
2020-09-04,80.83309936523438
2020-09-08,79.51123809814453
2020-09-09,79.76112365722656
2020-09-10,81.09046173095703
2020-09-11,81.66767883300781
2020-09-14,83.59674072265625
2020-09-15,83.97406768798828
2020-09-16,85.53580474853516
2020-09-17,86.90264129638672
2020-09-18,86.56529998779297
2020-09-21,85.42334747314453
2020-09-22,84.77117919921875
2020-09-23,83.36686706542969
2020-09-24,82.21742248535156
2020-09-25,83.26940155029297
2020-09-28,83.48929595947266
2020-09-29,83.35686492919922
2020-09-30,84.23892974853516
2020-10-01,84.65122985839844
2020-10-02,83.81663513183594
2020-10-05,85.66325378417969
2020-10-06,85.46334075927734
2020-10-07,87.67475891113281
2020-10-08,88.644287109375
2020-10-09,89.41891479492188
2020-10-12,90.11357116699219
2020-10-13,89.0166015625
2020-10-14,88.42440032958984
2020-10-15,88.31195068359375
2020-10-16,88.38191223144531
2020-10-19,87.06256866455078
2020-10-20,86.82266998291016
2020-10-21,87.15501403808594
2020-10-22,88.2519760131836
2020-10-23,89.06908416748047
2020-10-26,87.00009155273438
2020-10-27,86.54531860351562
2020-10-28,83.35186767578125
2020-10-29,80.99551391601562
2020-10-30,79.7236328125
2020-11-02,80.0909652709961
2020-11-03,80.9505386352539
2020-11-04,82.81463623046875
2020-11-05,82.95955657958984
2020-11-06,83.43682098388672
2020-11-09,87.89215087890625
2020-11-10,86.55530548095703
2020-11-11,85.7831802368164
2020-11-12,84.20643615722656
2020-11-13,85.29592895507812
2020-11-16,85.13350677490234
2020-11-17,83.07201385498047
2020-11-18,82.35735321044922
2020-11-19,83.01703643798828
2020-11-20,82.80213928222656
2020-11-23,82.43232727050781
2020-11-24,81.32536315917969
2020-11-25,82.2124252319336
2020-11-27,85.13600158691406
2020-11-30,83.76417541503906
2020-12-01,83.46932220458984
2020-12-02,83.61174011230469
2020-12-03,84.4538345336914
2020-12-04,86.38538360595703
2020-12-07,85.47334289550781
2020-12-08,86.39288330078125
2020-12-09,85.60326385498047
2020-12-10,86.90763854980469
2020-12-11,84.74868774414062
2020-12-14,85.67073822021484
2020-12-15,85.57079315185547
2020-12-16,85.943115234375
2020-12-17,87.8371810913086
2020-12-18,87.36490631103516
2020-12-21,87.09754180908203
2020-12-22,88.1295394897461
2020-12-23,88.95663452148438
2020-12-24,89.54884338378906
2020-12-28,89.94615173339844
2020-12-29,89.27397918701172
2020-12-30,89.06908416748047
2020-12-31,90.7857437133789
2021-01-04,89.271484375
2021-01-05,90.32347106933594
2021-01-06,91.53288269042969
2021-01-07,91.22053527832031
2021-01-08,90.76325988769531
2021-01-11,89.86868286132812
2021-01-12,89.45889282226562
2021-01-13,95.39350128173828
2021-01-14,93.74180603027344
2021-01-15,94.17659759521484
2021-01-19,96.80781555175781
2021-01-20,96.14312744140625
2021-01-21,94.1839370727539
2021-01-22,94.96111297607422
2021-01-25,95.87324523925781
2021-01-26,94.31639099121094
2021-01-27,90.14058685302734
2021-01-28,91.13768768310547
2021-01-29,90.97276306152344
